,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,LA CLIPPERS_ACTION,LA LAKERS_SCORE,LA CLIPPERS_SCORE
0,1,11:45.0,,J. Redick misses 2-pt jump shot from 18 ft,0,0
1,1,11:42.0,Defensive rebound by B. Ingram,,0,0
2,1,11:32.0,J. Clarkson misses 2-pt jump shot from 15 ft,,0,0
3,1,11:29.0,,Defensive rebound by D. Jordan,0,0
4,1,11:20.0,,B. Griffin makes 2-pt jump shot from 19 ft,0,2
5,1,11:04.0,J. Randle misses 2-pt jump shot from 20 ft,,0,2
6,1,11:01.0,,Defensive rebound by D. Jordan,0,2
7,1,10:46.0,,C. Paul makes 3-pt jump shot from 24 ft (assist by B. Griffin),0,5
8,1,10:26.0,B. Ingram misses 2-pt jump shot from 10 ft (block by L. Mbah a Moute),,0,5
9,1,10:24.0,,Defensive rebound by J. Redick,0,5
10,1,10:18.0,,L. Mbah a Moute makes 2-pt layup from 2 ft (assist by C. Paul),0,7
11,1,9:58.0,D. Russell misses 3-pt jump shot from 27 ft,,0,7
12,1,9:57.0,Offensive rebound by L. Nance,,0,7
13,1,9:52.0,D. Russell misses 3-pt jump shot from 26 ft,,0,7
14,1,9:51.0,,Defensive rebound by C. Paul,0,7
15,1,9:43.0,,C. Paul makes 2-pt jump shot from 11 ft,0,9
16,1,9:24.0,B. Ingram misses 2-pt jump shot from 5 ft,,0,9
17,1,9:22.0,,Defensive rebound by D. Jordan,0,9
18,1,9:11.0,,D. Jordan makes 2-pt dunk from 2 ft (assist by C. Paul),0,11
19,1,9:11.0,LA Lakers full timeout,,0,11
20,1,9:00.0,Turnover by D. Russell (lost ball; steal by D. Jordan),,0,11
21,1,8:55.0,,Turnover by C. Paul (bad pass; steal by D. Russell),0,11
22,1,8:51.0,J. Randle misses 2-pt layup from 2 ft (block by L. Mbah a Moute),,0,11
23,1,8:49.0,,Defensive rebound by B. Griffin,0,11
24,1,8:43.0,,J. Redick makes 3-pt jump shot from 23 ft (assist by C. Paul),0,14
25,1,8:20.0,Offensive foul by B. Ingram (drawn by L. Mbah a Moute),,0,14
26,1,8:20.0,Turnover by B. Ingram (offensive foul),,0,14
27,1,8:20.0,T. Robinson enters the game for J. Randle,,0,14
28,1,8:06.0,,J. Redick makes 3-pt jump shot from 23 ft (assist by C. Paul),0,17
29,1,7:55.0,J. Clarkson misses 3-pt jump shot from 25 ft,,0,17
30,1,7:54.0,,Defensive rebound by D. Jordan,0,17
31,1,7:52.0,,Turnover by D. Jordan (bad pass),0,17
32,1,7:40.0,T. Robinson misses 2-pt jump shot from 14 ft (block by D. Jordan),,0,17
33,1,7:40.0,Offensive rebound by Team,,0,17
34,1,7:27.0,T. Robinson makes 2-pt jump shot from 9 ft,,2,17
35,1,7:04.0,,B. Griffin misses 3-pt jump shot from 25 ft,2,17
36,1,7:03.0,Defensive rebound by T. Robinson,,2,17
37,1,6:56.0,D. Russell misses 3-pt jump shot from 28 ft,,2,17
38,1,6:54.0,Offensive rebound by T. Robinson,,2,17
39,1,6:50.0,T. Robinson misses 2-pt jump shot from 18 ft,,2,17
40,1,6:50.0,,Defensive rebound by Team,2,17
41,1,6:50.0,,Turnover by D. Jordan (bad pass; steal by L. Nance),2,17
42,1,6:40.0,J. Clarkson makes 2-pt jump shot from 5 ft (assist by B. Ingram),,4,17
43,1,6:29.0,,L. Mbah a Moute misses 2-pt layup from 1 ft,4,17
44,1,6:28.0,,Offensive rebound by D. Jordan,4,17
45,1,6:28.0,,Shooting foul by J. Clarkson (drawn by D. Jordan),4,17
46,1,6:28.0,,D. Jordan misses free throw 1 of 2,4,17
47,1,6:28.0,,Offensive rebound by Team,4,17
48,1,6:28.0,,D. Jordan misses free throw 2 of 2,4,17
49,1,6:26.0,Defensive rebound by T. Robinson,,4,17
50,1,6:06.0,L. Nance makes 2-pt jump shot from 18 ft (assist by D. Russell),,6,17
51,1,5:49.0,,J. Redick misses 2-pt jump shot from 19 ft,6,17
52,1,5:46.0,Defensive rebound by B. Ingram,,6,17
53,1,5:44.0,B. Ingram makes 2-pt layup from 2 ft,,8,17
54,1,5:44.0,Shooting foul by L. Mbah a Moute (drawn by B. Ingram),,8,17
55,1,5:44.0,B. Ingram misses free throw 1 of 1,,8,17
56,1,5:42.0,,Defensive rebound by D. Jordan,8,17
57,1,5:39.0,,Shooting foul by L. Nance (drawn by B. Griffin),8,17
58,1,5:39.0,,B. Griffin makes free throw 1 of 2,8,18
59,1,5:39.0,,B. Griffin makes free throw 2 of 2,8,19
60,1,5:27.0,L. Nance misses 2-pt jump shot from 14 ft,,8,19
61,1,5:26.0,Offensive rebound by T. Robinson,,8,19
62,1,5:26.0,T. Robinson makes 2-pt layup from 1 ft,,10,19
63,1,5:12.0,,Turnover by B. Griffin (bad pass; steal by D. Russell),10,19
64,1,5:08.0,J. Clarkson makes 2-pt dunk at rim (assist by D. Russell),,12,19
65,1,5:08.0,,LA Clippers full timeout,12,19
66,1,4:54.0,,Turnover by C. Paul (bad pass; steal by L. Nance),12,19
67,1,4:49.0,B. Ingram makes 2-pt layup from 1 ft,,14,19
68,1,4:49.0,Shooting foul by L. Mbah a Moute (drawn by B. Ingram),,14,19
69,1,4:49.0,B. Ingram misses free throw 1 of 1,,14,19
70,1,4:49.0,Offensive rebound by T. Robinson,,14,19
71,1,4:49.0,T. Robinson misses 2-pt layup from 1 ft,,14,19
72,1,4:47.0,Offensive rebound by T. Robinson,,14,19
73,1,4:47.0,T. Robinson makes 2-pt layup from 1 ft,,16,19
74,1,4:37.0,,Personal foul by L. Nance (drawn by B. Griffin),16,19
75,1,4:37.0,,J. Crawford enters the game for L. Mbah a Moute,16,19
76,1,4:37.0,T. Black enters the game for L. Nance,,16,19
77,1,4:24.0,,J. Redick misses 2-pt jump shot from 5 ft,16,19
78,1,4:21.0,Defensive rebound by T. Black,,16,19
79,1,4:13.0,B. Ingram misses 2-pt layup from 5 ft,,16,19
