,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,CHARLOTTE_ACTION,SACRAMENTO_SCORE,CHARLOTTE_SCORE
0,1,11:38.0,A. Afflalo misses 2-pt layup from 1 ft (block by M. Kidd-Gilchrist),,0,0
1,1,11:36.0,,Defensive rebound by M. Kidd-Gilchrist,0,0
2,1,11:26.0,,M. Williams misses 3-pt jump shot from 25 ft,0,0
3,1,11:24.0,Defensive rebound by K. Koufos,,0,0
4,1,11:16.0,G. Temple misses 2-pt jump shot from 15 ft,,0,0
5,1,11:16.0,Offensive rebound by Team,,0,0
6,1,11:16.0,,Loose ball foul by M. Kidd-Gilchrist (drawn by K. Koufos),0,0
7,1,10:59.0,K. Koufos makes 2-pt jump shot from 12 ft (assist by A. Afflalo),,2,0
8,1,10:46.0,,M. Williams misses 3-pt jump shot from 24 ft,2,0
9,1,10:45.0,Defensive rebound by K. Koufos,,2,0
10,1,10:32.0,Personal foul by M. Williams (drawn by D. Cousins),,2,0
11,1,10:17.0,D. Cousins makes 3-pt jump shot from 25 ft (assist by K. Koufos),,5,0
12,1,9:56.0,,K. Walker misses 2-pt layup from 1 ft (block by K. Koufos),5,0
13,1,9:54.0,,Offensive rebound by R. Hibbert,5,0
14,1,9:54.0,,R. Hibbert makes 2-pt dunk at rim,5,2
15,1,9:37.0,G. Temple misses 2-pt jump shot from 22 ft,,5,2
16,1,9:36.0,,Defensive rebound by M. Kidd-Gilchrist,5,2
17,1,9:21.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 14 ft,5,2
18,1,9:20.0,Defensive rebound by D. Cousins,,5,2
19,1,8:56.0,A. Afflalo makes 2-pt jump shot from 12 ft,,7,2
20,1,8:43.0,,Personal foul by K. Koufos (drawn by R. Hibbert),7,2
21,1,8:33.0,,K. Walker misses 2-pt jump shot from 20 ft,7,2
22,1,8:31.0,,Offensive rebound by M. Kidd-Gilchrist,7,2
23,1,8:27.0,,M. Williams misses 3-pt jump shot from 29 ft,7,2
24,1,8:26.0,Defensive rebound by K. Koufos,,7,2
25,1,8:07.0,D. Cousins misses 2-pt jump shot from 16 ft,,7,2
26,1,8:07.0,,Defensive rebound by Team,7,2
27,1,8:07.0,Loose ball foul by K. Koufos (drawn by N. Batum),,7,2
28,1,7:55.0,,N. Batum makes 3-pt jump shot from 25 ft (assist by R. Hibbert),7,5
29,1,7:32.0,D. Collison misses 3-pt jump shot from 25 ft,,7,5
30,1,7:31.0,,Defensive rebound by M. Kidd-Gilchrist,7,5
31,1,7:22.0,,Shooting foul by G. Temple (drawn by N. Batum),7,5
32,1,7:22.0,,N. Batum makes free throw 1 of 2,7,6
33,1,7:22.0,,N. Batum makes free throw 2 of 2,7,7
34,1,7:07.0,K. Koufos misses 2-pt jump shot from 8 ft,,7,7
35,1,7:06.0,,Defensive rebound by M. Williams,7,7
36,1,6:54.0,,N. Batum makes 2-pt jump shot from 16 ft (assist by K. Walker),7,9
37,1,6:38.0,K. Koufos misses 2-pt jump shot from 7 ft (block by R. Hibbert),,7,9
38,1,6:37.0,,Defensive rebound by R. Hibbert,7,9
39,1,6:26.0,,Personal foul by G. Temple (drawn by N. Batum),7,9
40,1,6:26.0,A. Tolliver enters the game for K. Koufos,,7,9
41,1,6:26.0,,F. Kaminsky enters the game for R. Hibbert,7,9
42,1,6:18.0,,M. Kidd-Gilchrist makes 2-pt dunk at rim (assist by F. Kaminsky),7,11
43,1,5:56.0,D. Collison makes 3-pt jump shot from 25 ft (assist by A. Tolliver),,10,11
44,1,5:35.0,,Turnover by K. Walker (bad pass; steal by A. Tolliver),10,11
45,1,5:35.0,Shooting foul by M. Kidd-Gilchrist (drawn by G. Temple),,10,11
46,1,5:35.0,,Charlotte full timeout,10,11
47,1,5:35.0,G. Temple misses free throw 1 of 2,,10,11
48,1,5:35.0,Offensive rebound by Team,,10,11
49,1,5:35.0,,M. Belinelli enters the game for M. Kidd-Gilchrist,10,11
50,1,5:35.0,G. Temple makes free throw 2 of 2,,11,11
51,1,5:22.0,,M. Williams makes 2-pt dunk at rim (assist by F. Kaminsky),11,13
52,1,5:05.0,A. Tolliver misses 3-pt jump shot from 25 ft,,11,13
53,1,5:04.0,,Defensive rebound by N. Batum,11,13
54,1,4:48.0,,N. Batum misses 3-pt jump shot from 24 ft,11,13
55,1,4:47.0,Defensive rebound by A. Afflalo,,11,13
56,1,4:36.0,D. Cousins makes 2-pt layup from 2 ft,,13,13
57,1,4:22.0,,F. Kaminsky makes 2-pt jump shot from 6 ft (assist by K. Walker),13,15
58,1,4:04.0,A. Tolliver misses 3-pt jump shot from 24 ft,,13,15
59,1,4:03.0,,Defensive rebound by N. Batum,13,15
60,1,3:54.0,,F. Kaminsky misses 3-pt jump shot from 25 ft,13,15
61,1,3:52.0,,Offensive rebound by M. Williams,13,15
62,1,3:48.0,,M. Belinelli misses 3-pt jump shot from 27 ft,13,15
63,1,3:47.0,Defensive rebound by D. Cousins,,13,15
64,1,3:24.0,D. Collison makes 2-pt jump shot from 23 ft,,15,15
65,1,3:12.0,,K. Walker misses 3-pt jump shot from 26 ft,15,15
66,1,3:11.0,Defensive rebound by G. Temple,,15,15
67,1,3:06.0,Shooting foul by M. Belinelli (drawn by G. Temple),,15,15
68,1,3:06.0,G. Temple makes free throw 1 of 2,,16,15
69,1,3:06.0,G. Temple misses free throw 2 of 2,,16,15
70,1,3:06.0,,R. Sessions enters the game for K. Walker,16,15
71,1,3:06.0,T. Lawson enters the game for A. Afflalo,,16,15
72,1,3:06.0,M. Barnes enters the game for D. Collison,,16,15
73,1,3:03.0,Offensive rebound by D. Cousins,,16,15
74,1,3:03.0,D. Cousins makes 2-pt layup from 1 ft,,18,15
75,1,2:42.0,,Turnover by N. Batum (lost ball; steal by M. Barnes),18,15
76,1,2:36.0,M. Barnes misses 2-pt layup from 1 ft,,18,15
77,1,2:34.0,,Defensive rebound by R. Sessions,18,15
78,1,2:26.0,,R. Sessions makes 3-pt jump shot from 25 ft (assist by F. Kaminsky),18,18
79,1,2:25.0,Sacramento full timeout,,18,18
80,1,2:25.0,M. Richardson enters the game for G. Temple,,18,18
81,1,2:08.0,D. Cousins makes 2-pt layup from 1 ft (assist by T. Lawson),,20,18
