,QUARTER,TIME_REMAINING,ORLANDO_ACTION,LA LAKERS_ACTION,ORLANDO_SCORE,LA LAKERS_SCORE
0,1,11:40.0,B. Biyombo makes 2-pt dunk at rim (assist by E. Fournier),,2,0
1,1,11:19.0,,L. Deng makes 2-pt jump shot from 8 ft,2,2
2,1,11:01.0,S. Ibaka makes 2-pt jump shot from 18 ft (assist by B. Biyombo),,4,2
3,1,10:50.0,,J. Randle makes 2-pt jump shot from 8 ft,4,4
4,1,10:41.0,S. Ibaka misses 2-pt jump shot from 17 ft,,4,4
5,1,10:40.0,,Defensive rebound by D. Russell,4,4
6,1,10:30.0,,J. Randle misses 2-pt jump shot from 20 ft,4,4
7,1,10:26.0,Defensive rebound by B. Biyombo,,4,4
8,1,10:21.0,E. Payton makes 2-pt jump shot from 13 ft,,6,4
9,1,10:07.0,,Turnover by N. Young (bad pass),6,4
10,1,9:57.0,Turnover by A. Gordon (traveling),,6,4
11,1,9:40.0,,T. Mozgov makes 2-pt jump shot from 9 ft,6,6
12,1,9:40.0,,Shooting foul by B. Biyombo (drawn by T. Mozgov),6,6
13,1,9:40.0,,T. Mozgov makes free throw 1 of 1,6,7
14,1,9:29.0,S. Ibaka misses 3-pt jump shot from 24 ft,,6,7
15,1,9:28.0,,Defensive rebound by D. Russell,6,7
16,1,9:20.0,,N. Young misses 2-pt layup from 2 ft,6,7
17,1,9:19.0,Defensive rebound by E. Fournier,,6,7
18,1,9:14.0,Turnover by E. Fournier (bad pass; steal by D. Russell),,6,7
19,1,9:10.0,,Shooting foul by E. Payton (drawn by D. Russell),6,7
20,1,9:10.0,,D. Russell misses free throw 1 of 2,6,7
21,1,9:10.0,,Offensive rebound by Team,6,7
22,1,9:10.0,,D. Russell makes free throw 2 of 2,6,8
23,1,8:59.0,Turnover by A. Gordon (bad pass),,6,8
24,1,8:40.0,,D. Russell makes 2-pt jump shot from 18 ft (assist by J. Randle),6,10
25,1,8:20.0,E. Payton makes 2-pt jump shot from 15 ft,,8,10
26,1,7:56.0,,J. Randle makes 2-pt hook shot from 4 ft (assist by D. Russell),8,12
27,1,7:43.0,B. Biyombo makes 2-pt jump shot from 10 ft (assist by E. Payton),,10,12
28,1,7:29.0,,L. Deng makes 3-pt jump shot from 23 ft (assist by T. Mozgov),10,15
29,1,7:13.0,S. Ibaka makes 2-pt hook shot from 4 ft (assist by E. Payton),,12,15
30,1,7:05.0,,D. Russell misses 3-pt jump shot from 27 ft,12,15
31,1,7:03.0,Defensive rebound by E. Fournier,,12,15
32,1,7:03.0,Personal foul by T. Mozgov (drawn by E. Fournier),,12,15
