,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,UTAH_ACTION,SAN ANTONIO_SCORE,UTAH_SCORE
0,1,11:43.0,L. Aldridge makes 2-pt jump shot from 18 ft,,2,0
1,1,11:17.0,,J. Johnson makes 3-pt jump shot from 24 ft,2,3
2,1,11:08.0,L. Aldridge misses 2-pt jump shot from 4 ft (block by J. Johnson),,2,3
3,1,11:07.0,,Defensive rebound by R. Hood,2,3
4,1,10:54.0,,R. Hood makes 3-pt jump shot from 25 ft,2,6
5,1,10:29.0,L. Aldridge misses 2-pt jump shot from 15 ft,,2,6
6,1,10:29.0,,Defensive rebound by R. Gobert,2,6
7,1,10:16.0,,R. Hood misses 3-pt jump shot from 24 ft,2,6
8,1,10:15.0,,Offensive rebound by G. Hill,2,6
9,1,10:10.0,,D. Favors makes 2-pt dunk at rim (assist by J. Johnson),2,8
10,1,10:10.0,San Antonio full timeout,,2,8
11,1,9:52.0,K. Anderson misses 2-pt jump shot from 8 ft,,2,8
12,1,9:51.0,,Defensive rebound by R. Gobert,2,8
13,1,9:36.0,,D. Favors misses 2-pt jump shot from 12 ft,2,8
14,1,9:36.0,Defensive rebound by Team,,2,8
15,1,9:21.0,Turnover by P. Gasol (bad pass; steal by D. Favors),,2,8
16,1,9:15.0,,R. Hood makes 2-pt layup from 2 ft (assist by G. Hill),2,10
17,1,8:58.0,P. Gasol misses 2-pt jump shot from 18 ft,,2,10
18,1,8:57.0,,Defensive rebound by G. Hill,2,10
19,1,8:37.0,,G. Hill misses 2-pt jump shot from 22 ft,2,10
20,1,8:36.0,Defensive rebound by P. Gasol,,2,10
21,1,8:25.0,Shooting foul by R. Hood (drawn by K. Leonard),,2,10
22,1,8:25.0,K. Leonard makes free throw 1 of 2,,3,10
23,1,8:25.0,K. Leonard makes free throw 2 of 2,,4,10
24,1,8:13.0,,Turnover by R. Gobert (bad pass; steal by L. Aldridge),4,10
25,1,8:01.0,K. Leonard misses 2-pt jump shot from 18 ft,,4,10
26,1,8:00.0,,Defensive rebound by J. Johnson,4,10
27,1,7:47.0,,D. Favors misses 2-pt dunk at rim (block by P. Gasol),4,10
28,1,7:46.0,,Offensive rebound by D. Favors,4,10
29,1,7:46.0,,D. Favors misses 2-pt layup from 1 ft,4,10
30,1,7:45.0,Defensive rebound by K. Anderson,,4,10
31,1,7:37.0,P. Gasol misses 2-pt jump shot from 5 ft,,4,10
32,1,7:36.0,,Defensive rebound by R. Gobert,4,10
33,1,7:21.0,,D. Favors misses 2-pt layup from 2 ft (block by L. Aldridge),4,10
34,1,7:20.0,Defensive rebound by K. Anderson,,4,10
35,1,7:15.0,P. Mills makes 3-pt jump shot from 25 ft (assist by K. Anderson),,7,10
36,1,6:58.0,,Personal foul by K. Anderson (drawn by R. Gobert),7,10
37,1,6:58.0,J. Simmons enters the game for K. Anderson,,7,10
38,1,6:58.0,,T. Lyles enters the game for D. Favors,7,10
39,1,6:54.0,,G. Hill misses 2-pt layup from 2 ft,7,10
40,1,6:54.0,Defensive rebound by P. Mills,,7,10
41,1,6:48.0,P. Mills misses 3-pt jump shot from 24 ft,,7,10
42,1,6:46.0,Offensive rebound by K. Leonard,,7,10
43,1,6:41.0,Personal foul by G. Hill (drawn by K. Leonard),,7,10
44,1,6:30.0,P. Mills makes 3-pt jump shot from 24 ft (assist by J. Simmons),,10,10
45,1,6:16.0,,J. Johnson makes 3-pt jump shot from 24 ft,10,13
46,1,5:59.0,K. Leonard makes 2-pt jump shot from 9 ft,,12,13
47,1,5:59.0,Shooting foul by R. Gobert (drawn by K. Leonard),,12,13
48,1,5:59.0,D. Bertāns enters the game for P. Gasol,,12,13
49,1,5:59.0,K. Leonard makes free throw 1 of 1,,13,13
50,1,5:48.0,,Turnover by R. Hood (bad pass),13,13
51,1,5:48.0,,J. Ingles enters the game for J. Johnson,13,13
52,1,5:33.0,L. Aldridge misses 2-pt jump shot from 3 ft,,13,13
53,1,5:32.0,Offensive rebound by K. Leonard,,13,13
54,1,5:25.0,L. Aldridge makes 2-pt layup from 2 ft (assist by D. Bertāns),,15,13
55,1,5:07.0,,Turnover by J. Ingles (bad pass; steal by J. Simmons),15,13
56,1,4:51.0,K. Leonard misses 3-pt jump shot from 24 ft,,15,13
57,1,4:51.0,Offensive rebound by D. Bertāns,,15,13
58,1,4:46.0,Shooting foul by G. Hill (drawn by K. Leonard),,15,13
59,1,4:46.0,K. Leonard makes free throw 1 of 2,,16,13
60,1,4:46.0,,S. Mack enters the game for G. Hill,16,13
61,1,4:46.0,K. Leonard makes free throw 2 of 2,,17,13
62,1,4:28.0,N. Laprovíttola enters the game for P. Mills,,17,13
63,1,4:21.0,,S. Mack misses 2-pt jump shot from 5 ft,17,13
64,1,4:21.0,Defensive rebound by L. Aldridge,,17,13
65,1,4:12.0,Personal foul by S. Mack (drawn by N. Laprovíttola),,17,13
66,1,4:12.0,N. Laprovíttola makes free throw 1 of 2,,18,13
67,1,4:12.0,M. Ginóbili enters the game for K. Leonard,,18,13
68,1,4:12.0,N. Laprovíttola makes free throw 2 of 2,,19,13
69,1,3:58.0,,T. Lyles makes 3-pt jump shot from 25 ft (assist by S. Mack),19,16
