,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,PHOENIX_ACTION,GOLDEN STATE_SCORE,PHOENIX_SCORE
0,1,11:46.0,Z. Pachulia misses 2-pt jump shot from 19 ft,,0,0
1,1,11:46.0,,Defensive rebound by M. Chriss,0,0
2,1,11:35.0,,Shooting foul by J. McAdoo (drawn by A. Len),0,0
3,1,11:35.0,,A. Len makes free throw 1 of 2,0,1
4,1,11:35.0,,A. Len makes free throw 2 of 2,0,2
5,1,11:14.0,S. Curry makes 3-pt jump shot from 25 ft,,3,2
6,1,10:59.0,,M. Chriss misses 3-pt jump shot from 25 ft,3,2
7,1,10:59.0,Defensive rebound by Z. Pachulia,,3,2
8,1,10:46.0,Z. Pachulia makes 2-pt jump shot from 18 ft (assist by K. Thompson),,5,2
9,1,10:33.0,,Personal foul by K. Thompson (drawn by A. Len),5,2
10,1,10:18.0,,T. Ulis misses 3-pt jump shot from 24 ft,5,2
11,1,10:18.0,Defensive rebound by P. McCaw,,5,2
12,1,10:08.0,P. McCaw makes 2-pt layup from 1 ft (assist by S. Curry),,7,2
13,1,9:52.0,,M. Chriss makes 2-pt dunk at rim (assist by T. Ulis),7,4
14,1,9:38.0,K. Thompson misses 3-pt jump shot from 26 ft,,7,4
15,1,9:37.0,,Defensive rebound by M. Chriss,7,4
16,1,9:26.0,,T. Ulis misses 2-pt jump shot from 20 ft,7,4
17,1,9:26.0,Defensive rebound by K. Thompson,,7,4
18,1,9:18.0,Turnover by K. Thompson (lost ball; steal by D. Booker),,7,4
19,1,9:13.0,,D. Booker makes 3-pt jump shot from 24 ft,7,7
20,1,9:00.0,S. Curry makes 3-pt jump shot from 26 ft (assist by Z. Pachulia),,10,7
21,1,8:48.0,,D. Booker misses 2-pt jump shot from 19 ft,10,7
22,1,8:47.0,Defensive rebound by K. Thompson,,10,7
23,1,8:42.0,K. Thompson misses 3-pt jump shot from 25 ft,,10,7
24,1,8:41.0,Offensive rebound by J. McAdoo,,10,7
25,1,8:41.0,J. McAdoo makes 2-pt dunk at rim,,12,7
26,1,8:24.0,,A. Len makes 2-pt dunk at rim (assist by D. Booker),12,9
27,1,8:02.0,K. Thompson misses 2-pt jump shot from 21 ft,,12,9
28,1,8:02.0,,Defensive rebound by M. Chriss,12,9
29,1,7:56.0,,Offensive foul by A. Len (drawn by Z. Pachulia),12,9
30,1,7:56.0,,Turnover by A. Len (offensive foul),12,9
31,1,7:41.0,S. Curry makes 3-pt jump shot from 25 ft,,15,9
32,1,7:32.0,,A. Len misses 2-pt layup from 1 ft,15,9
33,1,7:32.0,,Offensive rebound by A. Len,15,9
34,1,7:32.0,,A. Len makes 2-pt layup from 1 ft,15,11
35,1,7:32.0,,Shooting foul by Z. Pachulia (drawn by A. Len),15,11
36,1,7:32.0,,A. Len misses free throw 1 of 1,15,11
37,1,7:32.0,Defensive rebound by Team,,15,11
38,1,7:31.0,Personal foul by T. Ulis (drawn by S. Curry),,15,11
39,1,7:22.0,Shooting foul by A. Len (drawn by S. Curry),,15,11
40,1,7:22.0,S. Curry misses free throw 1 of 2,,15,11
41,1,7:22.0,Offensive rebound by Team,,15,11
42,1,7:22.0,S. Curry makes free throw 2 of 2,,16,11
43,1,7:08.0,,M. Chriss misses 3-pt jump shot from 23 ft,16,11
44,1,7:08.0,Defensive rebound by K. Thompson,,16,11
45,1,6:58.0,S. Curry misses 2-pt jump shot from 12 ft,,16,11
46,1,6:58.0,Offensive rebound by J. McAdoo,,16,11
47,1,6:51.0,S. Curry makes 3-pt jump shot from 25 ft (assist by P. McCaw),,19,11
48,1,6:33.0,,Turnover by T. Ulis (bad pass; steal by S. Curry),19,11
49,1,6:28.0,S. Curry makes 2-pt layup from 1 ft,,21,11
50,1,6:10.0,,Turnover by T. Ulis (bad pass; steal by K. Thompson),21,11
51,1,6:07.0,Shooting foul by D. Booker (drawn by S. Curry),,21,11
52,1,6:07.0,S. Curry misses free throw 1 of 2,,21,11
53,1,6:07.0,Offensive rebound by Team,,21,11
54,1,6:07.0,S. Curry makes free throw 2 of 2,,22,11
55,1,6:07.0,,Phoenix full timeout,22,11
56,1,6:07.0,,D. Bender enters the game for A. Len,22,11
57,1,5:54.0,,D. Booker makes 2-pt jump shot from 14 ft,22,13
58,1,5:42.0,Turnover by P. McCaw (bad pass; steal by D. Booker),,22,13
59,1,5:41.0,,Turnover by D. Booker (bad pass; steal by P. McCaw),22,13
60,1,5:34.0,K. Thompson misses 3-pt jump shot from 25 ft,,22,13
61,1,5:31.0,,Defensive rebound by Team,22,13
62,1,5:17.0,,D. Booker misses 2-pt jump shot from 9 ft (block by K. Thompson),22,13
63,1,5:17.0,Defensive rebound by Team,,22,13
64,1,5:17.0,J. McGee enters the game for Z. Pachulia,,22,13
65,1,5:07.0,J. McAdoo misses 2-pt layup from 2 ft (block by M. Chriss),,22,13
66,1,5:07.0,,Defensive rebound by T. Warren,22,13
67,1,4:59.0,,Turnover by T. Warren (lost ball; steal by P. McCaw),22,13
68,1,4:51.0,Personal foul by M. Chriss (drawn by J. McGee),,22,13
69,1,4:50.0,S. Livingston enters the game for P. McCaw,,22,13
70,1,4:48.0,K. Thompson makes 2-pt jump shot from 11 ft,,24,13
71,1,4:27.0,Violation by J. McAdoo (kicked ball),,24,13
72,1,4:19.0,,M. Chriss misses 3-pt jump shot from 25 ft,24,13
73,1,4:15.0,Defensive rebound by J. McAdoo,,24,13
74,1,4:01.0,S. Curry makes 2-pt jump shot from 20 ft,,26,13
75,1,3:50.0,,T. Ulis misses 2-pt layup from 1 ft (block by J. McGee),26,13
76,1,3:49.0,,Offensive rebound by Team,26,13
77,1,3:49.0,M. Barnes enters the game for K. Thompson,,26,13
78,1,3:42.0,,D. Booker misses 3-pt jump shot from 25 ft,26,13
79,1,3:41.0,Defensive rebound by Team,,26,13
80,1,3:32.0,S. Curry makes 3-pt jump shot from 25 ft,,29,13
81,1,3:14.0,,T. Ulis makes 2-pt jump shot from 19 ft (assist by T. Warren),29,15
82,1,3:04.0,S. Curry misses 3-pt jump shot from 26 ft,,29,15
83,1,3:03.0,,Defensive rebound by T. Ulis,29,15
84,1,2:56.0,,T. Warren misses 2-pt jump shot from 20 ft,29,15
85,1,2:56.0,,Offensive rebound by Team,29,15
86,1,2:56.0,Loose ball foul by J. McGee (drawn by M. Chriss),,29,15
87,1,2:56.0,Golden State full timeout,,29,15
88,1,2:56.0,,D. Jones enters the game for T. Warren,29,15
89,1,2:56.0,,J. Dudley enters the game for M. Chriss,29,15
90,1,2:47.0,,D. Bender misses 3-pt jump shot from 24 ft,29,15
91,1,2:46.0,Defensive rebound by S. Curry,,29,15
92,1,2:31.0,S. Curry makes 2-pt jump shot from 4 ft (assist by S. Livingston),,31,15
93,1,2:24.0,,J. Dudley misses 3-pt jump shot from 25 ft,31,15
94,1,2:23.0,Defensive rebound by M. Barnes,,31,15
95,1,2:18.0,S. Livingston makes 2-pt jump shot from 18 ft,,33,15
96,1,2:13.0,I. Clark enters the game for J. McAdoo,,33,15
97,1,1:57.0,,D. Booker misses 2-pt layup from 2 ft,33,15
98,1,1:54.0,Defensive rebound by J. McGee,,33,15
99,1,1:46.0,I. Clark makes 2-pt layup from 2 ft (assist by S. Livingston),,35,15
100,1,1:28.0,,T. Ulis misses 2-pt jump shot from 20 ft,35,15
101,1,1:28.0,,Offensive rebound by T. Ulis,35,15
102,1,1:19.0,,J. Dudley makes 3-pt jump shot from 26 ft (assist by T. Ulis),35,18
103,1,1:15.0,S. Curry misses 3-pt jump shot from 24 ft,,35,18
104,1,1:14.0,,Defensive rebound by D. Booker,35,18
105,1,1:08.0,,J. Dudley misses 2-pt layup from 3 ft,35,18
106,1,1:07.0,Defensive rebound by J. McGee,,35,18
107,1,1:07.0,Personal foul by J. Dudley (drawn by J. McGee),,35,18
108,1,1:07.0,J. McGee misses free throw 1 of 2,,35,18
109,1,1:07.0,Offensive rebound by Team,,35,18
110,1,1:07.0,,A. Williams enters the game for T. Ulis,35,18
111,1,1:07.0,J. McGee makes free throw 2 of 2,,36,18
112,1,0:50.0,,D. Booker misses 2-pt jump shot from 21 ft,36,18
113,1,0:49.0,Defensive rebound by M. Barnes,,36,18
114,1,0:37.0,M. Barnes makes 2-pt jump shot from 10 ft,,38,18
115,1,0:26.0,,Turnover by D. Bender (bad pass; steal by J. McGee),38,18
116,1,0:08.0,S. Curry misses 3-pt jump shot from 26 ft (block by D. Jones),,38,18
117,1,0:08.0,Offensive rebound by S. Curry,,38,18
118,1,0:04.0,S. Livingston makes 3-pt jump shot from 24 ft (assist by S. Curry),,41,18
119,1,0:00.0,,D. Jones misses 3-pt jump shot from 26 ft,41,18
120,1,0:00.0,,Offensive rebound by Team,41,18
121,2,11:45.0,,D. Jones makes 2-pt layup from 2 ft,41,20
122,2,11:19.0,Turnover by K. Thompson (bad pass; steal by R. Price),,41,20
123,2,11:03.0,,D. Bender misses 3-pt jump shot from 24 ft,41,20
124,2,11:02.0,Defensive rebound by I. Clark,,41,20
125,2,10:49.0,Turnover by D. West (3 sec),,41,20
126,2,10:29.0,,J. Dudley misses 2-pt jump shot from 5 ft (block by I. Clark),41,20
127,2,10:29.0,Defensive rebound by Team,,41,20
128,2,10:15.0,I. Clark misses 2-pt layup from 1 ft (block by R. Price),,41,20
129,2,10:14.0,,Defensive rebound by J. Dudley,41,20
130,2,10:10.0,,D. Jones misses 2-pt layup from 1 ft,41,20
131,2,10:08.0,,Offensive rebound by D. Bender,41,20
132,2,10:08.0,,D. Bender misses 2-pt layup from 1 ft,41,20
133,2,10:07.0,Defensive rebound by S. Livingston,,41,20
134,2,10:05.0,Shooting foul by R. Price (drawn by I. Clark),,41,20
135,2,10:05.0,I. Clark makes free throw 1 of 2,,42,20
136,2,10:05.0,,A. Williams enters the game for D. Bender,42,20
137,2,10:05.0,I. Clark makes free throw 2 of 2,,43,20
