,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,MEMPHIS_ACTION,CLEVELAND_SCORE,MEMPHIS_SCORE
0,1,11:40.0,,T. Allen misses 2-pt jump shot from 15 ft,0,0
1,1,11:39.0,Defensive rebound by M. Dunleavy,,0,0
2,1,11:22.0,J. Smith misses 2-pt jump shot from 20 ft,,0,0
3,1,11:19.0,,Defensive rebound by A. Harrison,0,0
4,1,11:12.0,,M. Gasol makes 3-pt jump shot from 25 ft (assist by A. Harrison),0,3
5,1,10:56.0,D. Liggins misses 2-pt layup from 1 ft,,0,3
6,1,10:56.0,,Defensive rebound by Team,0,3
7,1,10:39.0,,T. Allen makes 2-pt layup from 1 ft (assist by J. Green),0,5
8,1,10:16.0,M. Dunleavy makes 3-pt jump shot from 25 ft,,3,5
9,1,9:50.0,,J. Green misses 2-pt jump shot from 21 ft,3,5
10,1,9:49.0,Defensive rebound by M. Dunleavy,,3,5
11,1,9:35.0,J. Smith misses 3-pt jump shot from 26 ft,,3,5
12,1,9:35.0,,Defensive rebound by J. Green,3,5
13,1,9:24.0,,Turnover by A. Harrison (bad pass; steal by T. Thompson),3,5
14,1,9:18.0,Shooting foul by A. Harrison (drawn by D. Liggins),,3,5
15,1,9:18.0,D. Liggins makes free throw 1 of 2,,4,5
16,1,9:18.0,D. Liggins makes free throw 2 of 2,,5,5
17,1,9:00.0,,T. Allen makes 2-pt layup from 1 ft (assist by T. Williams),5,7
18,1,8:46.0,Turnover by J. Smith (bad pass; steal by M. Gasol),,5,7
19,1,8:44.0,,Turnover by J. Green (bad pass; steal by M. Dunleavy),5,7
20,1,8:37.0,J. Smith misses 2-pt jump shot from 4 ft,,5,7
21,1,8:36.0,Offensive rebound by T. Thompson,,5,7
22,1,8:19.0,C. Frye misses 2-pt jump shot from 11 ft,,5,7
23,1,8:18.0,,Defensive rebound by J. Green,5,7
24,1,8:03.0,,J. Green misses 2-pt jump shot from 19 ft,5,7
25,1,8:03.0,Defensive rebound by T. Thompson,,5,7
26,1,7:54.0,,Violation by J. Green (def goaltending),5,7
27,1,7:54.0,M. Dunleavy makes 2-pt layup from 1 ft,,7,7
28,1,7:33.0,,M. Gasol makes 2-pt jump shot from 11 ft,7,9
29,1,7:24.0,T. Thompson makes 2-pt jump shot from 5 ft (assist by D. Liggins),,9,9
30,1,7:07.0,,T. Allen misses 2-pt jump shot from 20 ft,9,9
31,1,7:04.0,,Offensive rebound by J. Green,9,9
32,1,7:04.0,,J. Green makes 2-pt dunk at rim,9,11
33,1,6:50.0,Personal foul by A. Harrison (drawn by D. Liggins),,9,11
34,1,6:50.0,,T. Douglas enters the game for A. Harrison,9,11
35,1,6:45.0,J. Smith misses 2-pt layup from 1 ft,,9,11
36,1,6:43.0,Offensive rebound by T. Thompson,,9,11
37,1,6:37.0,M. Dunleavy misses 3-pt jump shot from 25 ft,,9,11
38,1,6:34.0,,Defensive rebound by M. Gasol,9,11
39,1,6:26.0,,T. Williams misses 2-pt jump shot from 3 ft,9,11
40,1,6:24.0,Defensive rebound by C. Frye,,9,11
41,1,6:20.0,Turnover by D. Liggins (bad pass; steal by T. Williams),,9,11
42,1,6:20.0,,Turnover by T. Williams (bad pass),9,11
43,1,6:16.0,M. Dunleavy misses 3-pt jump shot from 25 ft,,9,11
44,1,6:16.0,Offensive rebound by M. Dunleavy,,9,11
45,1,5:58.0,,Memphis full timeout,9,11
46,1,5:51.0,J. Smith misses 2-pt jump shot from 19 ft,,9,11
47,1,5:51.0,,Defensive rebound by T. Williams,9,11
48,1,5:36.0,,T. Douglas makes 2-pt jump shot from 18 ft (assist by M. Gasol),9,13
49,1,5:22.0,,V. Carter enters the game for T. Williams,9,13
50,1,5:08.0,D. Liggins misses 2-pt jump shot from 20 ft,,9,13
51,1,5:06.0,,Defensive rebound by V. Carter,9,13
52,1,4:49.0,,M. Gasol misses 2-pt jump shot from 15 ft,9,13
53,1,4:47.0,Defensive rebound by D. Liggins,,9,13
54,1,4:33.0,Personal foul by V. Carter (drawn by J. Smith),,9,13
55,1,4:33.0,K. Felder enters the game for D. Liggins,,9,13
56,1,4:33.0,I. Shumpert enters the game for J. Smith,,9,13
57,1,4:33.0,R. Jefferson enters the game for M. Dunleavy,,9,13
58,1,4:33.0,,T. Daniels enters the game for T. Allen,9,13
59,1,4:22.0,R. Jefferson misses 2-pt jump shot from 15 ft,,9,13
60,1,4:20.0,,Defensive rebound by J. Green,9,13
61,1,4:06.0,,Turnover by J. Green (bad pass; steal by C. Frye),9,13
62,1,3:57.0,Shooting foul by T. Daniels (drawn by R. Jefferson),,9,13
63,1,3:57.0,R. Jefferson misses free throw 1 of 2,,9,13
64,1,3:57.0,Offensive rebound by Team,,9,13
65,1,3:57.0,J. Jones enters the game for C. Frye,,9,13
66,1,3:57.0,C. Andersen enters the game for T. Thompson,,9,13
67,1,3:57.0,R. Jefferson makes free throw 2 of 2,,10,13
68,1,3:39.0,,V. Carter misses 3-pt jump shot from 25 ft,10,13
69,1,3:39.0,Defensive rebound by C. Andersen,,10,13
70,1,3:31.0,Turnover by I. Shumpert (bad pass),,10,13
71,1,3:15.0,,Shooting foul by C. Andersen (drawn by M. Gasol),10,13
72,1,3:15.0,,M. Gasol makes free throw 1 of 2,10,14
73,1,3:15.0,,M. Gasol makes free throw 2 of 2,10,15
74,1,3:03.0,I. Shumpert misses 2-pt jump shot from 19 ft,,10,15
75,1,3:02.0,,Defensive rebound by M. Gasol,10,15
76,1,2:49.0,,T. Daniels makes 3-pt jump shot from 23 ft (assist by M. Gasol),10,18
77,1,2:30.0,I. Shumpert makes 2-pt jump shot from 18 ft,,12,18
78,1,2:11.0,,T. Daniels makes 3-pt jump shot from 25 ft (assist by T. Douglas),12,21
79,1,1:55.0,C. Andersen misses 2-pt jump shot from 21 ft,,12,21
80,1,1:54.0,,Defensive rebound by J. Green,12,21
81,1,1:46.0,,T. Douglas makes 3-pt jump shot from 26 ft,12,24
82,1,1:46.0,Cleveland full timeout,,12,24
83,1,1:46.0,,Z. Randolph enters the game for M. Gasol,12,24
84,1,1:46.0,,J. Martin enters the game for J. Green,12,24
85,1,1:27.0,Shooting foul by T. Daniels (drawn by I. Shumpert),,12,24
86,1,1:27.0,I. Shumpert makes free throw 1 of 2,,13,24
87,1,1:27.0,I. Shumpert misses free throw 2 of 2,,13,24
88,1,1:26.0,,Defensive rebound by Z. Randolph,13,24
89,1,1:05.0,,T. Daniels makes 2-pt layup from 1 ft (assist by Z. Randolph),13,26
90,1,0:56.0,J. Jones makes 3-pt jump shot from 26 ft (assist by I. Shumpert),,16,26
91,1,0:48.0,,Personal foul by R. Jefferson (drawn by V. Carter),16,26
92,1,0:33.0,,Z. Randolph misses 2-pt jump shot from 16 ft,16,26
93,1,0:31.0,,Offensive rebound by V. Carter,16,26
94,1,0:11.0,,Z. Randolph makes 2-pt jump shot from 4 ft (assist by T. Douglas),16,28
95,1,0:01.0,K. Felder misses 2-pt jump shot from 6 ft,,16,28
96,1,0:00.0,,Defensive rebound by J. Martin,16,28
97,2,11:41.0,Personal foul by Z. Randolph (drawn by C. Andersen),,16,28
98,2,11:33.0,R. Jefferson misses 3-pt jump shot from 25 ft,,16,28
99,2,11:32.0,,Defensive rebound by T. Douglas,16,28
100,2,11:14.0,,T. Douglas makes 2-pt jump shot from 21 ft (assist by J. Martin),16,30
101,2,11:03.0,Shooting foul by T. Douglas (drawn by K. Felder),,16,30
102,2,11:03.0,K. Felder misses free throw 1 of 2,,16,30
103,2,11:03.0,Offensive rebound by Team,,16,30
104,2,11:03.0,K. Felder makes free throw 2 of 2,,17,30
105,2,10:49.0,,T. Daniels makes 2-pt jump shot from 19 ft,17,32
106,2,10:38.0,,Violation by T. Douglas (kicked ball),17,32
107,2,10:28.0,J. Jones makes 3-pt jump shot from 26 ft (assist by K. Felder),,20,32
108,2,10:06.0,,Z. Randolph misses 2-pt jump shot from 20 ft,20,32
109,2,10:06.0,Defensive rebound by K. Felder,,20,32
110,2,9:57.0,R. Jefferson makes 3-pt jump shot from 24 ft (assist by K. Felder),,23,32
111,2,9:49.0,,Memphis full timeout,23,32
112,2,9:49.0,,A. Harrison enters the game for T. Douglas,23,32
113,2,9:49.0,,Personal foul by C. Andersen (drawn by Z. Randolph),23,32
114,2,9:37.0,,T. Daniels misses 3-pt jump shot from 26 ft,23,32
115,2,9:35.0,,Offensive rebound by Z. Randolph,23,32
116,2,9:31.0,,T. Williams makes 3-pt jump shot from 26 ft (assist by A. Harrison),23,35
117,2,9:16.0,Turnover by R. Jefferson (bad pass; steal by T. Williams),,23,35
118,2,9:08.0,,Z. Randolph misses 2-pt layup from 1 ft,23,35
119,2,9:07.0,Defensive rebound by C. Andersen,,23,35
120,2,8:57.0,Turnover by K. Felder (bad pass; steal by J. Martin),,23,35
121,2,8:55.0,,Turnover by T. Daniels (bad pass),23,35
122,2,8:55.0,T. Thompson enters the game for C. Andersen,,23,35
123,2,8:55.0,J. Smith enters the game for R. Jefferson,,23,35
124,2,8:47.0,Personal foul by T. Williams (drawn by J. Smith),,23,35
125,2,8:47.0,,T. Allen enters the game for T. Daniels,23,35
126,2,8:37.0,K. Felder misses 2-pt jump shot from 18 ft,,23,35
127,2,8:36.0,,Defensive rebound by Team,23,35
128,2,8:36.0,Loose ball foul by T. Thompson (drawn by Z. Randolph),,23,35
129,2,8:16.0,,A. Harrison misses 3-pt jump shot from 25 ft,23,35
130,2,8:16.0,Defensive rebound by K. Felder,,23,35
131,2,8:15.0,Personal take foul by T. Allen (drawn by K. Felder),,23,35
132,2,8:15.0,M. Dunleavy enters the game for I. Shumpert,,23,35
133,2,8:15.0,,M. Gasol enters the game for Z. Randolph,23,35
134,2,7:52.0,J. Jones misses 2-pt jump shot from 19 ft,,23,35
135,2,7:51.0,Offensive rebound by K. Felder,,23,35
136,2,7:42.0,K. Felder misses 2-pt jump shot from 18 ft,,23,35
