,QUARTER,TIME_REMAINING,CHICAGO_ACTION,MEMPHIS_ACTION,CHICAGO_SCORE,MEMPHIS_SCORE
0,1,11:38.0,P. Zipser makes 2-pt jump shot from 6 ft,,2,0
1,1,11:23.0,,M. Gasol misses 2-pt jump shot from 14 ft,2,0
2,1,11:23.0,,Offensive rebound by J. Green,2,0
3,1,11:21.0,,J. Green makes 2-pt layup at rim,2,2
4,1,11:07.0,T. Gibson misses 2-pt jump shot from 10 ft,,2,2
5,1,11:07.0,,Defensive rebound by M. Gasol,2,2
6,1,10:52.0,,M. Conley misses 3-pt jump shot from 26 ft,2,2
7,1,10:52.0,Defensive rebound by P. Zipser,,2,2
8,1,10:38.0,Shooting foul by J. Green (drawn by R. Lopez),,2,2
9,1,10:38.0,R. Lopez makes free throw 1 of 2,,3,2
10,1,10:38.0,R. Lopez misses free throw 2 of 2,,3,2
11,1,10:38.0,,Defensive rebound by T. Allen,3,2
12,1,10:23.0,,J. Green makes 2-pt jump shot from 20 ft (assist by T. Allen),3,4
13,1,10:10.0,J. Butler makes 2-pt jump shot from 21 ft (assist by M. Carter-Williams),,5,4
14,1,9:50.0,,T. Allen misses 3-pt jump shot from 25 ft,5,4
15,1,9:49.0,Defensive rebound by T. Gibson,,5,4
16,1,9:44.0,Turnover by P. Zipser (traveling),,5,4
17,1,9:44.0,Violation by Team (jump ball),,5,4
18,1,9:27.0,,M. Gasol misses 2-pt hook shot from 6 ft,5,4
19,1,9:26.0,Defensive rebound by J. Butler,,5,4
20,1,9:12.0,Shooting foul by T. Allen (drawn by J. Butler),,5,4
21,1,9:12.0,J. Butler misses free throw 1 of 2,,5,4
22,1,9:12.0,Offensive rebound by Team,,5,4
23,1,9:12.0,J. Butler misses free throw 2 of 2,,5,4
24,1,9:10.0,,Defensive rebound by M. Gasol,5,4
25,1,9:00.0,,Turnover by M. Conley (bad pass; steal by M. Carter-Williams),5,4
26,1,8:56.0,Shooting foul by C. Parsons (drawn by P. Zipser),,5,4
27,1,8:56.0,P. Zipser misses free throw 1 of 2,,5,4
28,1,8:56.0,Offensive rebound by Team,,5,4
29,1,8:56.0,P. Zipser makes free throw 2 of 2,,6,4
30,1,8:48.0,,M. Conley misses 2-pt layup from 1 ft (block by R. Lopez),6,4
31,1,8:46.0,Defensive rebound by J. Butler,,6,4
32,1,8:36.0,T. Gibson makes 2-pt layup from 2 ft,,8,4
33,1,8:24.0,,C. Parsons misses 2-pt jump shot from 18 ft,8,4
34,1,8:22.0,Defensive rebound by T. Gibson,,8,4
35,1,8:15.0,Turnover by P. Zipser (bad pass),,8,4
36,1,8:03.0,,M. Gasol makes 2-pt layup from 1 ft (assist by M. Conley),8,6
37,1,7:46.0,M. Carter-Williams misses 3-pt jump shot from 24 ft,,8,6
38,1,7:45.0,,Defensive rebound by C. Parsons,8,6
39,1,7:42.0,,T. Allen makes 2-pt layup from 1 ft (assist by C. Parsons),8,8
40,1,7:33.0,M. Carter-Williams misses 2-pt jump shot from 11 ft,,8,8
41,1,7:30.0,,Defensive rebound by J. Green,8,8
42,1,7:19.0,,M. Conley makes 3-pt jump shot from 23 ft,8,11
43,1,6:59.0,P. Zipser makes 2-pt jump shot from 18 ft,,10,11
44,1,6:36.0,,J. Green makes 2-pt jump shot from 22 ft (assist by C. Parsons),10,13
45,1,6:13.0,J. Butler misses 3-pt jump shot from 24 ft,,10,13
46,1,6:13.0,,Defensive rebound by M. Conley,10,13
47,1,6:03.0,,M. Gasol misses 2-pt jump shot from 22 ft,10,13
48,1,6:02.0,Defensive rebound by J. Butler,,10,13
49,1,5:50.0,T. Gibson misses 2-pt jump shot from 11 ft,,10,13
50,1,5:49.0,,Defensive rebound by M. Gasol,10,13
51,1,5:37.0,,J. Green misses 3-pt jump shot from 25 ft,10,13
52,1,5:35.0,Defensive rebound by M. Carter-Williams,,10,13
53,1,5:33.0,J. Butler makes 2-pt layup from 2 ft (assist by M. Carter-Williams),,12,13
54,1,5:33.0,Shooting foul by C. Parsons (drawn by J. Butler),,12,13
55,1,5:33.0,,Memphis full timeout,12,13
56,1,5:33.0,J. Butler misses free throw 1 of 1,,12,13
57,1,5:33.0,,Z. Randolph enters the game for J. Green,12,13
58,1,5:33.0,,V. Carter enters the game for M. Conley,12,13
59,1,5:31.0,,Defensive rebound by Z. Randolph,12,13
60,1,5:18.0,,T. Allen makes 2-pt layup from 2 ft (assist by M. Gasol),12,15
61,1,5:06.0,Shooting foul by V. Carter (drawn by R. Lopez),,12,15
62,1,5:06.0,R. Lopez misses free throw 1 of 2,,12,15
63,1,5:06.0,Offensive rebound by Team,,12,15
64,1,5:06.0,R. Lopez misses free throw 2 of 2,,12,15
65,1,5:06.0,,J. Ennis enters the game for C. Parsons,12,15
66,1,5:06.0,R. Rondo enters the game for M. Carter-Williams,,12,15
67,1,5:04.0,,Defensive rebound by Z. Randolph,12,15
68,1,4:47.0,,M. Gasol makes 2-pt hook shot from 1 ft,12,17
69,1,4:37.0,Offensive foul by R. Lopez (drawn by T. Allen),,12,17
70,1,4:37.0,Turnover by R. Lopez (offensive foul),,12,17
71,1,4:18.0,,Z. Randolph misses 2-pt jump shot from 21 ft,12,17
72,1,4:18.0,Defensive rebound by T. Gibson,,12,17
73,1,4:02.0,P. Zipser misses 3-pt jump shot from 26 ft,,12,17
74,1,4:02.0,,Defensive rebound by Z. Randolph,12,17
75,1,3:51.0,,Turnover by M. Gasol (traveling),12,17
76,1,3:51.0,D. McDermott enters the game for P. Zipser,,12,17
77,1,3:34.0,J. Butler misses 2-pt jump shot from 17 ft,,12,17
78,1,3:30.0,Offensive rebound by R. Lopez,,12,17
79,1,3:30.0,R. Lopez misses 2-pt layup from 1 ft,,12,17
80,1,3:27.0,,Defensive rebound by T. Allen,12,17
81,1,3:27.0,,Turnover by T. Allen (bad pass; steal by T. Gibson),12,17
82,1,3:24.0,T. Gibson misses 2-pt jump shot from 7 ft,,12,17
83,1,3:23.0,,Defensive rebound by M. Gasol,12,17
