,QUARTER,TIME_REMAINING,DENVER_ACTION,SACRAMENTO_ACTION,DENVER_SCORE,SACRAMENTO_SCORE
0,1,11:49.0,Turnover by N. Jokić (bad pass),,0,0
1,1,11:33.0,,K. Koufos misses 2-pt hook shot from 10 ft,0,0
2,1,11:32.0,Defensive rebound by J. Nelson,,0,0
3,1,11:21.0,D. Gallinari makes 2-pt jump shot from 17 ft,,2,0
4,1,10:58.0,,A. Afflalo misses 2-pt jump shot from 16 ft,2,0
5,1,10:57.0,Defensive rebound by N. Jokić,,2,0
6,1,10:42.0,N. Jokić misses 2-pt jump shot from 11 ft,,2,0
7,1,10:41.0,,Defensive rebound by D. Collison,2,0
8,1,10:34.0,,B. Hield makes 3-pt jump shot from 24 ft (assist by D. Collison),2,3
9,1,10:20.0,J. Nelson makes 3-pt jump shot from 25 ft (assist by G. Harris),,5,3
10,1,10:08.0,,A. Afflalo misses 2-pt jump shot from 12 ft,5,3
11,1,10:08.0,Defensive rebound by N. Jokić,,5,3
12,1,9:58.0,W. Chandler misses 3-pt jump shot from 25 ft,,5,3
13,1,9:58.0,,Defensive rebound by B. Hield,5,3
14,1,9:48.0,,B. Hield makes 2-pt layup from 3 ft (assist by D. Collison),5,5
15,1,9:38.0,G. Harris makes 2-pt layup from 4 ft,,7,5
16,1,9:22.0,,W. Cauley-Stein misses 2-pt hook shot from 6 ft,7,5
17,1,9:22.0,Defensive rebound by N. Jokić,,7,5
18,1,9:05.0,G. Harris makes 2-pt jump shot from 19 ft,,9,5
19,1,8:46.0,,Shooting foul by J. Nelson (drawn by W. Cauley-Stein),9,5
20,1,8:46.0,,W. Cauley-Stein makes free throw 1 of 2,9,6
21,1,8:46.0,,W. Cauley-Stein misses free throw 2 of 2,9,6
22,1,8:46.0,Defensive rebound by G. Harris,,9,6
23,1,8:29.0,W. Chandler misses 2-pt jump shot from 16 ft,,9,6
24,1,8:28.0,,Defensive rebound by K. Koufos,9,6
25,1,8:16.0,,B. Hield misses 3-pt jump shot from 26 ft,9,6
26,1,8:15.0,Defensive rebound by N. Jokić,,9,6
27,1,7:58.0,N. Jokić misses 2-pt jump shot from 12 ft,,9,6
28,1,7:56.0,Offensive rebound by W. Chandler,,9,6
29,1,7:56.0,W. Chandler makes 2-pt dunk at rim,,11,6
30,1,7:42.0,,K. Koufos makes 2-pt layup from 3 ft (assist by W. Cauley-Stein),11,8
31,1,7:27.0,G. Harris misses 2-pt layup from 2 ft,,11,8
32,1,7:26.0,,Defensive rebound by K. Koufos,11,8
33,1,7:13.0,,W. Cauley-Stein misses 2-pt hook shot from 6 ft,11,8
34,1,7:12.0,Defensive rebound by N. Jokić,,11,8
35,1,7:05.0,Turnover by N. Jokić (palming),,11,8
36,1,6:50.0,,W. Cauley-Stein misses 2-pt jump shot from 17 ft,11,8
37,1,6:50.0,Defensive rebound by J. Nelson,,11,8
38,1,6:41.0,W. Chandler makes 2-pt layup from 2 ft (assist by J. Nelson),,13,8
39,1,6:29.0,,Shooting foul by W. Chandler (drawn by W. Cauley-Stein),13,8
