,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,MEMPHIS_ACTION,SAN ANTONIO_SCORE,MEMPHIS_SCORE
0,1,11:42.0,Turnover by T. Parker (bad pass; steal by M. Conley),,0,0
1,1,11:22.0,,M. Gasol makes 2-pt jump shot from 13 ft,0,2
2,1,10:57.0,T. Parker makes 2-pt jump shot from 23 ft (assist by D. Green),,2,2
3,1,10:28.0,,M. Gasol misses 2-pt jump shot from 20 ft,2,2
4,1,10:27.0,Defensive rebound by L. Aldridge,,2,2
5,1,10:11.0,J. Simmons misses 2-pt jump shot from 5 ft (block by T. Allen),,2,2
6,1,10:09.0,,Defensive rebound by J. Green,2,2
7,1,9:57.0,,J. Green misses 2-pt layup from 3 ft,2,2
8,1,9:54.0,,Offensive rebound by J. Green,2,2
9,1,9:54.0,,J. Green makes 2-pt dunk at rim,2,4
10,1,9:36.0,D. Green misses 3-pt jump shot from 24 ft,,2,4
11,1,9:35.0,Offensive rebound by D. Dedmon,,2,4
12,1,9:29.0,Turnover by D. Green (step out of bounds),,2,4
13,1,9:19.0,,C. Parsons misses 2-pt jump shot from 13 ft,2,4
14,1,9:17.0,Defensive rebound by D. Green,,2,4
15,1,9:12.0,D. Green misses 2-pt jump shot from 10 ft (block by T. Allen),,2,4
16,1,9:11.0,Offensive rebound by D. Green,,2,4
17,1,8:58.0,D. Green misses 3-pt jump shot from 23 ft,,2,4
18,1,8:57.0,,Defensive rebound by M. Gasol,2,4
19,1,8:57.0,Loose ball foul by D. Dedmon (drawn by M. Gasol),,2,4
20,1,8:44.0,,C. Parsons misses 2-pt layup from 3 ft,2,4
21,1,8:42.0,Defensive rebound by D. Green,,2,4
22,1,8:28.0,L. Aldridge misses 2-pt jump shot from 21 ft,,2,4
23,1,8:28.0,,Defensive rebound by M. Gasol,2,4
24,1,8:13.0,,C. Parsons misses 2-pt jump shot from 18 ft,2,4
25,1,8:10.0,Defensive rebound by D. Dedmon,,2,4
26,1,7:54.0,J. Simmons makes 2-pt jump shot from 19 ft (assist by L. Aldridge),,4,4
27,1,7:35.0,,M. Conley misses 3-pt jump shot from 24 ft,4,4
28,1,7:34.0,Defensive rebound by D. Dedmon,,4,4
29,1,7:21.0,L. Aldridge misses 2-pt jump shot from 8 ft,,4,4
30,1,7:18.0,,Defensive rebound by C. Parsons,4,4
31,1,7:11.0,,V. Carter enters the game for T. Allen,4,4
32,1,6:56.0,,C. Parsons misses 2-pt jump shot from 12 ft,4,4
33,1,6:54.0,Defensive rebound by D. Dedmon,,4,4
34,1,6:47.0,T. Parker makes 2-pt jump shot from 19 ft,,6,4
35,1,6:31.0,,J. Green misses 3-pt jump shot from 24 ft,6,4
36,1,6:29.0,Defensive rebound by L. Aldridge,,6,4
37,1,6:17.0,T. Parker misses 2-pt layup from 3 ft,,6,4
38,1,6:15.0,,Defensive rebound by C. Parsons,6,4
39,1,6:10.0,,M. Gasol makes 2-pt dunk from 2 ft (assist by V. Carter),6,6
40,1,6:10.0,San Antonio full timeout,,6,6
41,1,6:10.0,,Z. Randolph enters the game for J. Green,6,6
42,1,5:50.0,L. Aldridge misses 2-pt jump shot from 18 ft,,6,6
43,1,5:49.0,,Defensive rebound by C. Parsons,6,6
44,1,5:32.0,,V. Carter misses 3-pt jump shot from 25 ft,6,6
45,1,5:32.0,Defensive rebound by D. Dedmon,,6,6
46,1,5:20.0,T. Parker misses 2-pt jump shot from 15 ft,,6,6
47,1,5:19.0,,Defensive rebound by C. Parsons,6,6
48,1,5:10.0,,M. Gasol misses 3-pt jump shot from 25 ft,6,6
49,1,5:09.0,Defensive rebound by L. Aldridge,,6,6
50,1,4:56.0,T. Parker makes 2-pt layup from 2 ft,,8,6
51,1,4:34.0,,C. Parsons makes 3-pt jump shot from 24 ft (assist by M. Conley),8,9
52,1,4:12.0,L. Aldridge makes 2-pt jump shot from 14 ft,,10,9
53,1,3:56.0,,M. Gasol misses 2-pt jump shot from 13 ft,10,9
54,1,3:54.0,Defensive rebound by J. Simmons,,10,9
55,1,3:46.0,Turnover by D. Green (bad pass; steal by C. Parsons),,10,9
56,1,3:39.0,,C. Parsons misses 2-pt jump shot from 21 ft,10,9
57,1,3:36.0,Defensive rebound by T. Parker,,10,9
58,1,3:17.0,L. Aldridge misses 3-pt jump shot from 24 ft,,10,9
59,1,3:17.0,,Defensive rebound by M. Gasol,10,9
60,1,3:09.0,,Z. Randolph makes 2-pt jump shot from 3 ft (assist by M. Conley),10,11
61,1,2:53.0,T. Parker misses 2-pt jump shot from 16 ft,,10,11
62,1,2:52.0,,Defensive rebound by V. Carter,10,11
63,1,2:44.0,,Turnover by V. Carter (bad pass; steal by J. Simmons),10,11
64,1,2:35.0,J. Simmons misses 3-pt jump shot from 24 ft,,10,11
65,1,2:33.0,,Defensive rebound by Z. Randolph,10,11
66,1,2:28.0,,Memphis full timeout,10,11
67,1,2:28.0,,J. Ennis enters the game for C. Parsons,10,11
68,1,2:28.0,,T. Douglas enters the game for M. Gasol,10,11
69,1,2:28.0,,J. Green enters the game for M. Conley,10,11
70,1,2:28.0,M. Ginóbili enters the game for D. Dedmon,,10,11
71,1,2:28.0,P. Mills enters the game for D. Green,,10,11
72,1,2:28.0,D. Lee enters the game for T. Parker,,10,11
73,1,2:13.0,,V. Carter misses 2-pt dunk at rim (block by L. Aldridge),10,11
74,1,2:08.0,Defensive rebound by D. Lee,,10,11
75,1,2:04.0,Turnover by M. Ginóbili (bad pass),,10,11
76,1,1:47.0,,Z. Randolph misses 2-pt hook shot from 5 ft,10,11
77,1,1:46.0,,Offensive rebound by J. Ennis,10,11
78,1,1:31.0,,Z. Randolph makes 2-pt layup from 2 ft (assist by J. Green),10,13
79,1,1:09.0,D. Lee makes 2-pt layup from 3 ft (assist by M. Ginóbili),,12,13
80,1,0:58.0,,J. Green makes 2-pt dunk at rim (assist by J. Ennis),12,15
81,1,0:47.0,M. Ginóbili makes 2-pt layup from 1 ft,,14,15
82,1,0:32.0,,J. Green makes 2-pt dunk at rim (assist by J. Ennis),14,17
83,1,0:09.0,M. Ginóbili misses 3-pt jump shot from 23 ft,,14,17
84,1,0:08.0,,Defensive rebound by V. Carter,14,17
