,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,BROOKLYN_ACTION,MILWAUKEE_SCORE,BROOKLYN_SCORE
0,1,11:39.0,,B. Bogdanović misses 2-pt layup from 3 ft,0,0
1,1,11:38.0,Defensive rebound by G. Antetokounmpo,,0,0
2,1,11:21.0,T. Snell makes 3-pt jump shot from 23 ft (assist by J. Parker),,3,0
3,1,11:15.0,,Turnover by I. Whitehead (bad pass),3,0
4,1,10:57.0,J. Henson misses 2-pt dunk at rim,,3,0
5,1,10:56.0,Offensive rebound by T. Snell,,3,0
6,1,10:42.0,Shooting foul by B. Lopez (drawn by J. Henson),,3,0
7,1,10:42.0,J. Henson makes free throw 1 of 2,,4,0
8,1,10:42.0,J. Henson makes free throw 2 of 2,,5,0
9,1,10:31.0,,B. Lopez misses 3-pt jump shot from 26 ft,5,0
10,1,10:30.0,Defensive rebound by G. Antetokounmpo,,5,0
11,1,10:25.0,Turnover by J. Henson (3 sec),,5,0
12,1,10:06.0,,I. Whitehead misses 3-pt jump shot from 24 ft,5,0
13,1,10:05.0,Defensive rebound by J. Henson,,5,0
14,1,9:58.0,G. Antetokounmpo misses 2-pt layup from 2 ft,,5,0
15,1,9:57.0,Offensive rebound by J. Henson,,5,0
16,1,9:56.0,J. Henson misses 2-pt dunk at rim,,5,0
17,1,9:55.0,,Defensive rebound by S. Kilpatrick,5,0
18,1,9:49.0,,T. Booker makes 2-pt layup from 2 ft (assist by I. Whitehead),5,2
19,1,9:39.0,T. Snell misses 3-pt jump shot from 24 ft,,5,2
20,1,9:38.0,,Defensive rebound by S. Kilpatrick,5,2
21,1,9:34.0,,Shooting foul by M. Dellavedova (drawn by I. Whitehead),5,2
22,1,9:34.0,,I. Whitehead makes free throw 1 of 2,5,3
23,1,9:34.0,,I. Whitehead makes free throw 2 of 2,5,4
24,1,9:15.0,G. Antetokounmpo makes 3-pt jump shot from 25 ft (assist by M. Dellavedova),,8,4
25,1,9:06.0,,Personal foul by G. Antetokounmpo (drawn by S. Kilpatrick),8,4
26,1,8:51.0,,S. Kilpatrick makes 3-pt jump shot from 26 ft,8,7
27,1,8:41.0,Shooting foul by I. Whitehead (drawn by J. Parker),,8,7
28,1,8:41.0,J. Parker misses free throw 1 of 2,,8,7
29,1,8:41.0,Offensive rebound by Team,,8,7
30,1,8:41.0,J. Parker makes free throw 2 of 2,,9,7
31,1,8:17.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,9,7
32,1,8:16.0,Defensive rebound by J. Henson,,9,7
33,1,8:10.0,J. Parker misses 2-pt layup from 2 ft,,9,7
34,1,8:09.0,,Defensive rebound by T. Booker,9,7
35,1,7:53.0,,B. Lopez makes 2-pt jump shot from 9 ft (assist by S. Kilpatrick),9,9
36,1,7:37.0,Turnover by M. Dellavedova (bad pass; steal by T. Booker),,9,9
37,1,7:35.0,,Shooting foul by T. Snell (drawn by S. Kilpatrick),9,9
38,1,7:35.0,,S. Kilpatrick makes free throw 1 of 2,9,10
39,1,7:35.0,,S. Kilpatrick makes free throw 2 of 2,9,11
40,1,7:24.0,G. Antetokounmpo makes 2-pt jump shot from 7 ft,,11,11
41,1,7:16.0,,Turnover by S. Kilpatrick (bad pass; steal by G. Antetokounmpo),11,11
42,1,7:10.0,M. Dellavedova makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),,14,11
43,1,7:10.0,,Brooklyn full timeout,14,11
44,1,7:10.0,M. Brogdon enters the game for M. Dellavedova,,14,11
45,1,7:10.0,M. Beasley enters the game for G. Antetokounmpo,,14,11
46,1,7:10.0,,J. Hamilton enters the game for B. Lopez,14,11
47,1,7:10.0,,J. Harris enters the game for B. Bogdanović,14,11
