,QUARTER,TIME_REMAINING,NEW YORK_ACTION,SACRAMENTO_ACTION,NEW YORK_SCORE,SACRAMENTO_SCORE
0,1,11:41.0,C. Anthony misses 3-pt jump shot from 25 ft,,0,0
1,1,11:40.0,,Defensive rebound by B. McLemore,0,0
2,1,11:26.0,,Shooting foul by C. Lee (drawn by D. Cousins),0,0
3,1,11:26.0,,D. Cousins makes free throw 1 of 2,0,1
4,1,11:26.0,,D. Cousins makes free throw 2 of 2,0,2
5,1,11:14.0,C. Lee misses 2-pt jump shot from 17 ft,,0,2
6,1,11:14.0,,Defensive rebound by K. Koufos,0,2
7,1,11:01.0,,D. Cousins misses 2-pt jump shot from 9 ft (block by J. Noah),0,2
8,1,11:00.0,Defensive rebound by K. Porziņģis,,0,2
9,1,10:46.0,Turnover by B. Jennings (bad pass; steal by R. Gay),,0,2
10,1,10:39.0,,B. McLemore makes 2-pt layup from 1 ft (assist by R. Gay),0,4
11,1,10:22.0,B. Jennings makes 2-pt jump shot from 16 ft,,2,4
12,1,10:08.0,,K. Koufos makes 2-pt layup from 2 ft (assist by D. Collison),2,6
13,1,9:53.0,Turnover by K. Porziņģis (lost ball; steal by D. Cousins),,2,6
14,1,9:51.0,,D. Cousins makes 2-pt dunk at rim,2,8
15,1,9:37.0,J. Noah makes 2-pt layup from 2 ft (assist by B. Jennings),,4,8
16,1,9:21.0,,R. Gay misses 2-pt jump shot from 15 ft,4,8
17,1,9:21.0,Defensive rebound by J. Noah,,4,8
18,1,9:11.0,B. Jennings makes 2-pt jump shot from 10 ft,,6,8
19,1,8:45.0,,D. Cousins misses 3-pt jump shot from 23 ft,6,8
20,1,8:44.0,Defensive rebound by K. Porziņģis,,6,8
21,1,8:32.0,K. Porziņģis misses 2-pt jump shot from 16 ft,,6,8
22,1,8:32.0,,Defensive rebound by K. Koufos,6,8
23,1,8:23.0,,D. Collison misses 2-pt jump shot from 3 ft,6,8
24,1,8:21.0,Defensive rebound by C. Anthony,,6,8
25,1,8:16.0,B. Jennings makes 2-pt jump shot from 6 ft,,8,8
26,1,7:54.0,,R. Gay misses 3-pt jump shot from 24 ft,8,8
27,1,7:53.0,Defensive rebound by J. Noah,,8,8
28,1,7:49.0,C. Anthony makes 2-pt layup from 3 ft (assist by B. Jennings),,10,8
29,1,7:29.0,,D. Collison makes 2-pt jump shot from 7 ft (assist by D. Cousins),10,10
30,1,7:18.0,K. Porziņģis makes 3-pt jump shot from 25 ft (assist by B. Jennings),,13,10
31,1,6:56.0,,K. Koufos makes 2-pt dunk at rim (assist by D. Cousins),13,12
32,1,6:39.0,K. Porziņģis misses 2-pt jump shot from 8 ft,,13,12
33,1,6:39.0,,Defensive rebound by Team,13,12
34,1,6:39.0,Loose ball foul by J. Noah (drawn by K. Koufos),,13,12
35,1,6:24.0,,Turnover by D. Cousins (lost ball; steal by J. Noah),13,12
36,1,6:14.0,C. Anthony makes 2-pt jump shot from 15 ft (assist by B. Jennings),,15,12
37,1,5:59.0,,D. Collison makes 2-pt layup from 3 ft (assist by K. Koufos),15,14
38,1,5:51.0,B. Jennings misses 3-pt jump shot from 24 ft,,15,14
39,1,5:51.0,,Defensive rebound by R. Gay,15,14
40,1,5:38.0,,B. McLemore makes 3-pt jump shot from 26 ft (assist by D. Cousins),15,17
41,1,5:17.0,C. Anthony makes 2-pt jump shot from 6 ft,,17,17
42,1,5:06.0,,Shooting foul by C. Anthony (drawn by R. Gay),17,17
43,1,5:06.0,,Sacramento full timeout,17,17
44,1,5:06.0,,R. Gay makes free throw 1 of 2,17,18
45,1,5:06.0,,R. Gay makes free throw 2 of 2,17,19
46,1,4:53.0,K. Porziņģis misses 3-pt jump shot from 25 ft,,17,19
47,1,4:52.0,,Defensive rebound by R. Gay,17,19
48,1,4:46.0,,D. Cousins misses 2-pt layup from 3 ft,17,19
49,1,4:44.0,,Offensive rebound by B. McLemore,17,19
50,1,4:40.0,,R. Gay makes 2-pt jump shot from 17 ft (assist by B. McLemore),17,21
51,1,4:24.0,K. Porziņģis misses 2-pt jump shot from 20 ft,,17,21
52,1,4:24.0,,Defensive rebound by B. McLemore,17,21
53,1,4:08.0,,R. Gay misses 3-pt jump shot from 24 ft,17,21
54,1,4:08.0,Defensive rebound by J. Noah,,17,21
55,1,3:58.0,Shooting foul by K. Koufos (drawn by K. Porziņģis),,17,21
56,1,3:58.0,K. Porziņģis makes free throw 1 of 2,,18,21
57,1,3:58.0,K. O'Quinn enters the game for J. Noah,,18,21
58,1,3:58.0,,A. Tolliver enters the game for K. Koufos,18,21
59,1,3:58.0,K. Porziņģis makes free throw 2 of 2,,19,21
60,1,3:45.0,,D. Cousins makes 2-pt jump shot from 8 ft (assist by A. Tolliver),19,23
61,1,3:27.0,C. Anthony misses 2-pt jump shot from 20 ft,,19,23
62,1,3:26.0,,Defensive rebound by D. Cousins,19,23
63,1,3:12.0,,D. Cousins misses 3-pt jump shot from 24 ft,19,23
64,1,3:12.0,Defensive rebound by C. Anthony,,19,23
65,1,3:05.0,K. Porziņģis misses 3-pt jump shot from 25 ft,,19,23
66,1,3:05.0,Offensive rebound by K. O'Quinn,,19,23
67,1,2:58.0,C. Lee misses 2-pt jump shot from 20 ft,,19,23
68,1,2:57.0,Offensive rebound by K. O'Quinn,,19,23
69,1,2:52.0,C. Anthony makes 3-pt jump shot from 25 ft (assist by K. O'Quinn),,22,23
70,1,2:34.0,,R. Gay makes 2-pt jump shot from 17 ft (assist by D. Cousins),22,25
71,1,2:25.0,Shooting foul by R. Gay (drawn by C. Anthony),,22,25
72,1,2:25.0,New York full timeout,,22,25
73,1,2:25.0,,Violation by Team (jump ball),22,25
74,1,2:25.0,C. Anthony makes free throw 1 of 2,,23,25
75,1,2:25.0,M. Kuzminskas enters the game for K. Porziņģis,,22,25
76,1,2:25.0,,T. Lawson enters the game for D. Collison,22,25
77,1,2:25.0,,O. Casspi enters the game for R. Gay,22,25
78,1,2:25.0,C. Anthony makes free throw 2 of 2,,24,25
79,1,2:13.0,,Turnover by O. Casspi (lost ball),24,25
80,1,1:57.0,C. Anthony makes 2-pt jump shot from 16 ft,,26,25
81,1,1:31.0,,B. McLemore misses 2-pt layup from 3 ft,26,25
82,1,1:31.0,Defensive rebound by C. Anthony,,26,25
83,1,1:23.0,C. Lee misses 3-pt jump shot from 23 ft,,26,25
84,1,1:22.0,,Defensive rebound by O. Casspi,26,25
85,1,1:14.0,,D. Cousins makes 2-pt layup from 3 ft (assist by B. McLemore),26,27
86,1,1:14.0,,Shooting foul by K. O'Quinn (drawn by D. Cousins),26,27
87,1,1:14.0,,G. Temple enters the game for B. McLemore,26,27
