,QUARTER,TIME_REMAINING,DALLAS_ACTION,PHOENIX_ACTION,DALLAS_SCORE,PHOENIX_SCORE
0,1,11:42.0,Turnover by W. Matthews (lost ball; steal by T. Warren),,0,0
1,1,11:27.0,,D. Booker misses 2-pt jump shot from 18 ft,0,0
2,1,11:25.0,Defensive rebound by W. Matthews,,0,0
3,1,11:12.0,N. Noel makes 2-pt layup from 3 ft (assist by D. Finney-Smith),,2,0
4,1,11:12.0,Shooting foul by A. Len (drawn by N. Noel),,2,0
5,1,11:12.0,N. Noel makes free throw 1 of 1,,3,0
6,1,10:46.0,,T. Warren makes 2-pt jump shot from 23 ft,3,2
7,1,10:34.0,D. Finney-Smith makes 2-pt layup from 1 ft (assist by N. Noel),,5,2
8,1,10:24.0,,T. Ulis misses 2-pt jump shot from 21 ft,5,2
9,1,10:22.0,,Offensive rebound by A. Len,5,2
10,1,10:15.0,,D. Booker makes 3-pt jump shot from 26 ft,5,5
11,1,10:02.0,D. Nowitzki misses 2-pt jump shot from 20 ft,,5,5
12,1,10:02.0,Offensive rebound by Team,,5,5
13,1,9:43.0,W. Matthews makes 3-pt jump shot from 23 ft (assist by D. Finney-Smith),,8,5
14,1,9:30.0,,Turnover by D. Booker (bad pass),8,5
15,1,9:14.0,D. Nowitzki makes 2-pt layup from 1 ft,,10,5
16,1,9:14.0,Shooting foul by T. Warren (drawn by D. Nowitzki),,10,5
17,1,9:14.0,D. Nowitzki makes free throw 1 of 1,,11,5
18,1,9:05.0,,Shooting foul by D. Finney-Smith (drawn by D. Booker),11,5
19,1,9:05.0,,D. Booker makes free throw 1 of 2,11,6
20,1,9:05.0,,D. Booker makes free throw 2 of 2,11,7
21,1,8:56.0,D. Nowitzki makes 3-pt jump shot from 26 ft (assist by W. Matthews),,14,7
22,1,8:42.0,,M. Chriss makes 3-pt jump shot from 25 ft (assist by T. Ulis),14,10
23,1,8:27.0,W. Matthews misses 3-pt jump shot from 24 ft,,14,10
24,1,8:27.0,,Defensive rebound by D. Booker,14,10
25,1,8:23.0,,T. Warren makes 2-pt dunk at rim (assist by D. Booker),14,12
26,1,8:23.0,,Shooting foul by D. Nowitzki (drawn by T. Warren),14,12
27,1,8:23.0,,T. Warren makes free throw 1 of 1,14,13
28,1,8:11.0,D. Nowitzki misses 2-pt jump shot from 13 ft,,14,13
29,1,8:10.0,,Defensive rebound by A. Len,14,13
30,1,7:56.0,,A. Len makes 2-pt layup from 1 ft (assist by M. Chriss),14,15
31,1,7:38.0,W. Matthews misses 3-pt jump shot from 25 ft,,14,15
32,1,7:38.0,,Defensive rebound by Team,14,15
33,1,7:30.0,,D. Booker misses 2-pt jump shot from 22 ft,14,15
34,1,7:28.0,,Offensive rebound by A. Len,14,15
35,1,7:28.0,,A. Len makes 2-pt dunk at rim,14,17
36,1,7:03.0,Y. Ferrell misses 3-pt jump shot from 24 ft,,14,17
37,1,7:02.0,,Defensive rebound by M. Chriss,14,17
38,1,7:00.0,,Shooting foul by D. Finney-Smith (drawn by M. Chriss),14,17
39,1,7:00.0,,M. Chriss makes free throw 1 of 2,14,18
40,1,7:00.0,Violation by D. Nowitzki (lane),,14,18
41,1,7:00.0,N. Brussino enters the game for D. Finney-Smith,,14,18
42,1,7:00.0,,M. Chriss makes free throw 2 of 2,14,19
43,1,6:45.0,D. Nowitzki misses 2-pt jump shot from 15 ft,,14,19
44,1,6:44.0,,Defensive rebound by T. Warren,14,19
45,1,6:27.0,,T. Warren makes 3-pt jump shot from 23 ft (assist by T. Ulis),14,22
46,1,6:27.0,Dallas full timeout,,14,22
47,1,6:11.0,D. Nowitzki misses 2-pt jump shot from 16 ft,,14,22
48,1,6:10.0,Offensive rebound by N. Noel,,14,22
49,1,6:06.0,N. Brussino misses 3-pt jump shot from 26 ft,,14,22
50,1,6:05.0,,Defensive rebound by D. Booker,14,22
51,1,5:50.0,,M. Chriss makes 2-pt dunk at rim (assist by T. Ulis),14,24
52,1,5:26.0,D. Nowitzki misses 2-pt jump shot from 19 ft,,14,24
53,1,5:26.0,,Defensive rebound by M. Chriss,14,24
54,1,5:05.0,,D. Booker misses 3-pt jump shot from 26 ft,14,24
55,1,5:05.0,Defensive rebound by Y. Ferrell,,14,24
56,1,4:56.0,W. Matthews makes 2-pt jump shot from 19 ft,,16,24
57,1,4:35.0,,M. Chriss makes 2-pt jump shot from 5 ft (assist by D. Booker),16,26
58,1,4:15.0,W. Matthews misses 3-pt jump shot from 26 ft,,16,26
59,1,4:13.0,,Defensive rebound by T. Warren,16,26
60,1,4:06.0,,T. Warren makes 2-pt jump shot from 21 ft,16,28
61,1,3:50.0,Y. Ferrell makes 3-pt jump shot from 24 ft,,19,28
62,1,3:41.0,,M. Chriss misses 2-pt jump shot from 21 ft,19,28
63,1,3:40.0,Defensive rebound by D. Nowitzki,,19,28
64,1,3:38.0,Turnover by D. Nowitzki (bad pass; steal by T. Warren),,19,28
65,1,3:35.0,,Shooting foul by N. Noel (drawn by A. Len),19,28
66,1,3:35.0,,A. Len misses free throw 1 of 2,19,28
67,1,3:35.0,,Offensive rebound by Team,19,28
68,1,3:35.0,,A. Len makes free throw 2 of 2,19,29
69,1,3:19.0,Y. Ferrell makes 2-pt jump shot from 8 ft (assist by N. Brussino),,21,29
70,1,3:07.0,,Turnover by T. Ulis (lost ball),21,29
71,1,3:07.0,,D. Bender enters the game for A. Len,21,29
72,1,2:53.0,N. Noel misses 2-pt layup from 3 ft,,21,29
73,1,2:53.0,Offensive rebound by Y. Ferrell,,21,29
74,1,2:49.0,Y. Ferrell makes 3-pt jump shot from 22 ft,,24,29
75,1,2:38.0,,Turnover by D. Booker (bad pass; steal by N. Noel),24,29
76,1,2:33.0,N. Brussino makes 2-pt layup from 1 ft (assist by N. Noel),,26,29
77,1,2:33.0,,Phoenix full timeout,26,29
78,1,2:33.0,,J. Dudley enters the game for M. Chriss,26,29
79,1,2:33.0,,D. Jones enters the game for T. Ulis,26,29
80,1,2:33.0,S. Mejri enters the game for N. Noel,,26,29
81,1,2:33.0,D. Harris enters the game for Y. Ferrell,,26,29
82,1,2:17.0,,Shooting block foul by S. Mejri (drawn by T. Warren),26,29
83,1,2:17.0,,T. Warren makes free throw 1 of 2,26,30
