,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,OKLAHOMA CITY_ACTION,MEMPHIS_SCORE,OKLAHOMA CITY_SCORE
0,1,11:37.0,C. Parsons misses 3-pt jump shot from 26 ft,,0,0
1,1,11:37.0,,Defensive rebound by V. Oladipo,0,0
2,1,11:18.0,,V. Oladipo makes 3-pt jump shot from 23 ft (assist by S. Adams),0,3
3,1,11:07.0,T. Allen misses 2-pt jump shot from 4 ft,,0,3
4,1,11:06.0,,Defensive rebound by V. Oladipo,0,3
5,1,10:57.0,Violation by M. Gasol (kicked ball),,0,3
6,1,10:50.0,,R. Westbrook makes 2-pt jump shot from 14 ft (assist by D. Sabonis),0,5
7,1,10:26.0,C. Parsons makes 2-pt jump shot from 18 ft,,2,5
8,1,10:04.0,,S. Adams makes 2-pt layup from 3 ft,2,7
9,1,9:54.0,M. Gasol misses 2-pt jump shot from 18 ft,,2,7
10,1,9:54.0,,Defensive rebound by R. Westbrook,2,7
11,1,9:51.0,,Personal foul by M. Gasol (drawn by S. Adams),2,7
12,1,9:42.0,,A. Roberson misses 3-pt jump shot from 25 ft,2,7
13,1,9:41.0,,Offensive rebound by S. Adams,2,7
14,1,9:39.0,,S. Adams misses 2-pt layup from 2 ft,2,7
15,1,9:38.0,Defensive rebound by J. Green,,2,7
16,1,9:27.0,C. Parsons makes 2-pt layup from 1 ft,,4,7
17,1,9:12.0,,Turnover by D. Sabonis (bad pass; steal by C. Parsons),4,7
18,1,8:58.0,T. Allen makes 2-pt layup from 1 ft (assist by M. Gasol),,6,7
19,1,8:41.0,,A. Roberson makes 2-pt layup at rim (assist by R. Westbrook),6,9
20,1,8:30.0,C. Parsons misses 3-pt jump shot from 23 ft,,6,9
21,1,8:30.0,,Defensive rebound by D. Sabonis,6,9
22,1,8:14.0,,Turnover by D. Sabonis (traveling),6,9
23,1,7:59.0,M. Gasol makes 2-pt hook shot from 5 ft,,8,9
24,1,7:51.0,,R. Westbrook makes 2-pt jump shot from 13 ft,8,11
25,1,7:34.0,C. Parsons makes 2-pt jump shot from 12 ft (assist by M. Conley),,10,11
26,1,7:23.0,,Personal block foul by M. Gasol (drawn by D. Sabonis),10,11
27,1,7:12.0,,S. Adams makes 2-pt hook shot from 5 ft,10,13
28,1,6:49.0,M. Gasol misses 2-pt jump shot from 13 ft,,10,13
29,1,6:49.0,,Defensive rebound by R. Westbrook,10,13
30,1,6:43.0,,S. Adams makes 2-pt layup from 1 ft (assist by R. Westbrook),10,15
31,1,6:34.0,Memphis full timeout,,10,15
32,1,6:34.0,Z. Randolph enters the game for M. Gasol,,10,15
33,1,6:17.0,Z. Randolph misses 2-pt jump shot from 14 ft,,10,15
34,1,6:17.0,Offensive rebound by Team,,10,15
35,1,6:17.0,,Loose ball foul by D. Sabonis (drawn by J. Green),10,15
36,1,6:09.0,M. Conley misses 2-pt jump shot from 8 ft,,10,15
37,1,6:08.0,Offensive rebound by Z. Randolph,,10,15
38,1,6:08.0,Z. Randolph makes 2-pt layup from 1 ft,,12,15
39,1,5:43.0,,Turnover by V. Oladipo (step out of bounds),12,15
40,1,5:43.0,,E. Freedom enters the game for D. Sabonis,12,15
41,1,5:43.0,,Á. Abrines enters the game for V. Oladipo,12,15
42,1,5:37.0,M. Conley misses 2-pt layup from 2 ft (block by R. Westbrook),,12,15
43,1,5:35.0,,Defensive rebound by A. Roberson,12,15
44,1,5:31.0,,E. Freedom misses 2-pt layup from 2 ft (block by J. Green),12,15
45,1,5:29.0,,Offensive rebound by R. Westbrook,12,15
46,1,5:28.0,,R. Westbrook misses 3-pt jump shot from 24 ft,12,15
47,1,5:28.0,Defensive rebound by J. Green,,12,15
48,1,5:28.0,Personal foul by E. Freedom (drawn by J. Green),,12,15
49,1,5:28.0,,Personal foul by J. Green,12,15
50,1,5:26.0,Turnover by J. Green (double personal),,12,15
51,1,5:26.0,V. Carter enters the game for T. Allen,,12,15
52,1,5:14.0,,A. Roberson makes 2-pt dunk at rim (assist by R. Westbrook),12,17
53,1,4:54.0,M. Conley misses 3-pt jump shot from 25 ft,,12,17
54,1,4:53.0,,Defensive rebound by E. Freedom,12,17
55,1,4:45.0,,R. Westbrook misses 2-pt jump shot from 14 ft,12,17
56,1,4:44.0,Defensive rebound by Z. Randolph,,12,17
57,1,4:33.0,C. Parsons misses 2-pt layup from 1 ft,,12,17
58,1,4:32.0,,Defensive rebound by A. Roberson,12,17
59,1,4:26.0,,E. Freedom misses 2-pt jump shot from 5 ft,12,17
60,1,4:26.0,Defensive rebound by J. Green,,12,17
61,1,4:20.0,C. Parsons makes 2-pt layup from 1 ft (assist by J. Green),,14,17
62,1,3:59.0,,R. Westbrook misses 3-pt jump shot from 26 ft,14,17
63,1,3:58.0,Defensive rebound by V. Carter,,14,17
64,1,3:46.0,C. Parsons misses 2-pt layup from 2 ft (block by A. Roberson),,14,17
65,1,3:45.0,Offensive rebound by M. Conley,,14,17
66,1,3:42.0,M. Conley misses 2-pt jump shot from 18 ft,,14,17
67,1,3:42.0,,Defensive rebound by E. Freedom,14,17
68,1,3:36.0,,E. Freedom makes 2-pt layup from 1 ft (assist by R. Westbrook),14,19
69,1,3:10.0,V. Carter makes 3-pt jump shot from 25 ft (assist by Z. Randolph),,17,19
70,1,2:55.0,,A. Roberson makes 3-pt jump shot from 22 ft (assist by R. Westbrook),17,22
71,1,2:37.0,J. Green misses 3-pt jump shot from 25 ft,,17,22
72,1,2:37.0,,Defensive rebound by A. Roberson,17,22
73,1,2:29.0,,R. Westbrook makes 2-pt jump shot from 13 ft,17,24
74,1,2:22.0,Memphis full timeout,,17,24
75,1,2:22.0,,Oklahoma City full timeout,17,24
76,1,2:22.0,A. Harrison enters the game for C. Parsons,,17,24
77,1,2:22.0,J. Ennis enters the game for J. Green,,17,24
78,1,2:22.0,M. Gasol enters the game for M. Conley,,17,24
79,1,2:22.0,,J. Grant enters the game for A. Roberson,17,24
80,1,2:22.0,,C. Payne enters the game for R. Westbrook,17,24
81,1,2:06.0,V. Carter makes 3-pt jump shot from 24 ft (assist by M. Gasol),,20,24
82,1,1:40.0,,Turnover by E. Freedom (bad pass; steal by V. Carter),20,24
83,1,1:37.0,Personal block foul by Á. Abrines (drawn by J. Ennis),,20,24
84,1,1:27.0,Z. Randolph misses 2-pt jump shot from 3 ft,,20,24
85,1,1:27.0,,Defensive rebound by E. Freedom,20,24
86,1,1:14.0,,N. Collison enters the game for S. Adams,20,24
87,1,1:08.0,,Turnover by J. Grant (bad pass; steal by A. Harrison),20,24
88,1,0:55.0,M. Gasol misses 2-pt jump shot from 12 ft,,20,24
89,1,0:55.0,,Defensive rebound by E. Freedom,20,24
90,1,0:36.0,,E. Freedom misses 2-pt layup from 1 ft (block by M. Gasol),20,24
91,1,0:36.0,,Offensive rebound by Team,20,24
92,1,0:36.0,,Oklahoma City full timeout,20,24
93,1,0:34.0,,E. Freedom makes 2-pt jump shot from 17 ft (assist by C. Payne),20,26
94,1,0:17.0,M. Gasol makes 2-pt layup from 2 ft,,22,26
95,1,0:17.0,A. Harrison misses 2-pt jump shot from 11 ft,,22,26
96,1,0:17.0,Offensive rebound by M. Gasol,,22,26
97,1,0:01.0,,C. Payne makes 2-pt jump shot from 13 ft,22,28
98,1,0:00.0,A. Harrison misses 3-pt jump shot from 53 ft,,22,28
99,1,0:00.0,Offensive rebound by Team,,22,28
100,2,11:43.0,,Á. Abrines makes 3-pt jump shot from 25 ft (assist by E. Freedom),22,31
101,2,11:22.0,Shooting foul by C. Payne (drawn by A. Harrison),,22,31
102,2,11:22.0,A. Harrison makes free throw 1 of 2,,23,31
103,2,11:22.0,A. Harrison makes free throw 2 of 2,,24,31
104,2,11:07.0,,E. Freedom makes 2-pt layup from 1 ft,24,33
105,2,10:50.0,M. Gasol makes 2-pt hook shot from 9 ft (assist by V. Carter),,26,33
106,2,10:29.0,,Turnover by N. Collison (bad pass; steal by M. Gasol),26,33
107,2,10:19.0,Personal foul by J. Grant (drawn by M. Gasol),,26,33
108,2,10:06.0,A. Harrison misses 2-pt jump shot from 4 ft,,26,33
109,2,10:05.0,Offensive rebound by Z. Randolph,,26,33
110,2,9:52.0,Shooting block foul by C. Payne (drawn by V. Carter),,26,33
111,2,9:52.0,V. Carter makes free throw 1 of 2,,27,33
112,2,9:52.0,V. Carter makes free throw 2 of 2,,28,33
113,2,9:29.0,,E. Freedom misses 2-pt jump shot from 13 ft,28,33
114,2,9:28.0,Defensive rebound by M. Gasol,,28,33
115,2,9:24.0,Offensive foul by J. Ennis (drawn by J. Grant),,28,33
116,2,9:24.0,Turnover by J. Ennis (offensive foul),,28,33
117,2,9:11.0,,J. Grant makes 2-pt dunk at rim (assist by E. Freedom),28,35
118,2,8:51.0,Def 3 sec tech foul by C. Payne,,28,35
119,2,8:51.0,Official timeout,,28,35
120,2,8:51.0,,S. Adams enters the game for C. Payne,28,35
121,2,8:51.0,,R. Westbrook enters the game for N. Collison,28,35
122,2,8:51.0,M. Gasol makes technical free throw,,29,35
123,2,8:47.0,Shooting foul by Á. Abrines (drawn by J. Ennis),,29,35
124,2,8:47.0,J. Ennis makes free throw 1 of 2,,30,35
125,2,8:47.0,J. Ennis misses free throw 2 of 2,,30,35
126,2,8:47.0,,V. Oladipo enters the game for Á. Abrines,30,35
127,2,8:46.0,,Defensive rebound by R. Westbrook,30,35
128,2,8:24.0,,E. Freedom makes 2-pt layup from 1 ft (assist by R. Westbrook),30,37
129,2,8:06.0,V. Carter misses 2-pt layup from 1 ft,,30,37
130,2,8:05.0,,Defensive rebound by E. Freedom,30,37
131,2,7:59.0,,Turnover by R. Westbrook (bad pass; steal by J. Ennis),30,37
132,2,7:46.0,Z. Randolph misses 2-pt layup from 1 ft,,30,37
133,2,7:45.0,,Defensive rebound by S. Adams,30,37
134,2,7:40.0,,R. Westbrook misses 2-pt jump shot from 19 ft,30,37
135,2,7:39.0,Defensive rebound by M. Gasol,,30,37
136,2,7:28.0,A. Harrison makes 2-pt dunk at rim,,32,37
137,2,7:13.0,,J. Grant misses 3-pt jump shot from 24 ft,32,37
138,2,7:12.0,,Offensive rebound by E. Freedom,32,37
139,2,7:10.0,,E. Freedom misses 2-pt jump shot from 3 ft,32,37
140,2,7:09.0,Defensive rebound by Z. Randolph,,32,37
141,2,6:57.0,Turnover by Z. Randolph (traveling),,32,37
142,2,6:57.0,J. Green enters the game for Z. Randolph,,32,37
143,2,6:57.0,M. Conley enters the game for A. Harrison,,32,37
144,2,6:41.0,,R. Westbrook makes 2-pt layup from 2 ft,32,39
145,2,6:07.0,M. Conley misses 2-pt layup from 2 ft,,32,39
146,2,6:06.0,,Defensive rebound by J. Grant,32,39
