,QUARTER,TIME_REMAINING,UTAH_ACTION,GOLDEN STATE_ACTION,UTAH_SCORE,GOLDEN STATE_SCORE
0,1,11:39.0,Shooting foul by P. McCaw (drawn by B. Diaw),,0,0
1,1,11:39.0,B. Diaw makes free throw 1 of 2,,1,0
2,1,11:39.0,B. Diaw makes free throw 2 of 2,,2,0
3,1,11:29.0,,Turnover by D. Green (bad pass; steal by B. Diaw),2,0
4,1,11:16.0,,Violation by Z. Pachulia (def goaltending),2,0
5,1,11:16.0,R. Gobert makes 2-pt hook shot from 3 ft (assist by G. Hill),,4,0
6,1,11:04.0,,K. Durant makes 2-pt jump shot from 20 ft (assist by S. Curry),4,2
7,1,10:44.0,D. Exum misses 2-pt jump shot from 21 ft (block by D. Green),,4,2
8,1,10:42.0,Offensive rebound by D. Exum,,4,2
9,1,10:40.0,G. Hill makes 3-pt jump shot from 27 ft (assist by D. Exum),,7,2
10,1,10:27.0,,S. Curry misses 2-pt jump shot from 15 ft,7,2
11,1,10:27.0,Defensive rebound by R. Gobert,,7,2
12,1,10:22.0,B. Diaw makes 2-pt layup from 3 ft (assist by G. Hill),,9,2
13,1,10:10.0,,Z. Pachulia makes 2-pt layup from 2 ft (assist by S. Curry),9,4
14,1,9:59.0,G. Hill makes 2-pt layup from 2 ft (assist by J. Ingles),,11,4
15,1,9:42.0,,P. McCaw makes 3-pt jump shot from 25 ft (assist by D. Green),11,7
16,1,9:23.0,Shooting foul by K. Durant (drawn by B. Diaw),,11,7
17,1,9:23.0,B. Diaw makes free throw 1 of 2,,12,7
18,1,9:23.0,B. Diaw makes free throw 2 of 2,,13,7
19,1,9:04.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by K. Durant),13,10
20,1,8:42.0,J. Ingles makes 3-pt jump shot from 25 ft,,16,10
21,1,8:29.0,,D. Green makes 3-pt jump shot from 27 ft (assist by Z. Pachulia),16,13
22,1,8:12.0,J. Ingles misses 3-pt jump shot from 26 ft (block by K. Durant),,16,13
23,1,8:11.0,Offensive rebound by R. Gobert,,16,13
24,1,8:09.0,J. Ingles misses 3-pt jump shot from 26 ft,,16,13
25,1,8:07.0,,Defensive rebound by Z. Pachulia,16,13
26,1,8:00.0,,Turnover by K. Durant (bad pass; steal by G. Hill),16,13
27,1,7:53.0,G. Hill makes 2-pt layup from 2 ft,,18,13
28,1,7:45.0,,Shooting foul by G. Hill (drawn by S. Curry),18,13
29,1,7:45.0,,S. Curry makes free throw 1 of 3,18,14
30,1,7:45.0,,S. Curry makes free throw 2 of 3,18,15
31,1,7:45.0,,S. Curry misses free throw 3 of 3,18,15
32,1,7:44.0,Defensive rebound by R. Gobert,,18,15
33,1,7:24.0,G. Hill misses 3-pt jump shot from 25 ft,,18,15
34,1,7:24.0,,Defensive rebound by Z. Pachulia,18,15
35,1,7:19.0,Offensive charge foul by Z. Pachulia (drawn by G. Hill),,18,15
36,1,7:19.0,,Turnover by Z. Pachulia (offensive foul),18,15
37,1,6:55.0,D. Exum misses 3-pt jump shot from 24 ft,,18,15
38,1,6:55.0,,Defensive rebound by Z. Pachulia,18,15
39,1,6:54.0,,Personal foul by J. Ingles (drawn by S. Curry),18,15
40,1,6:42.0,,P. McCaw misses 2-pt layup from 1 ft (block by R. Gobert),18,15
41,1,6:41.0,Defensive rebound by G. Hill,,18,15
42,1,6:25.0,G. Hill makes 3-pt jump shot from 26 ft (assist by B. Diaw),,21,15
43,1,6:25.0,,Golden State full timeout,21,15
44,1,6:25.0,S. Mack enters the game for G. Hill,,21,15
45,1,6:15.0,,Z. Pachulia makes 2-pt layup from 2 ft (assist by K. Durant),21,17
46,1,6:03.0,S. Mack misses 3-pt jump shot from 26 ft,,21,17
47,1,6:03.0,,Defensive rebound by D. Green,21,17
48,1,5:53.0,,K. Durant misses 3-pt jump shot from 25 ft,21,17
49,1,5:52.0,Defensive rebound by S. Mack,,21,17
50,1,5:31.0,S. Mack makes 2-pt jump shot from 11 ft,,23,17
51,1,5:19.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by Z. Pachulia),23,20
52,1,5:02.0,D. Exum misses 2-pt layup from 3 ft,,23,20
53,1,5:01.0,Offensive rebound by D. Exum,,23,20
54,1,4:52.0,D. Exum makes 2-pt dunk at rim (assist by S. Mack),,25,20
55,1,4:41.0,,S. Curry makes 2-pt jump shot from 18 ft (assist by Z. Pachulia),25,22
56,1,4:31.0,J. Johnson enters the game for B. Diaw,,25,22
57,1,4:31.0,,A. Iguodala enters the game for P. McCaw,25,22
58,1,4:31.0,,J. McGee enters the game for Z. Pachulia,25,22
59,1,4:28.0,Turnover by S. Mack (bad pass; steal by S. Curry),,25,22
60,1,4:23.0,,D. Green makes 2-pt dunk at rim (assist by K. Durant),25,24
61,1,4:05.0,,Violation by J. McGee (def goaltending),25,24
62,1,4:05.0,S. Mack makes 2-pt layup from 2 ft,,27,24
63,1,3:55.0,,J. McGee makes 2-pt dunk at rim (assist by D. Green),27,26
64,1,3:26.0,D. Exum misses 2-pt layup from 2 ft (block by J. McGee),,27,26
65,1,3:25.0,,Defensive rebound by K. Durant,27,26
66,1,3:23.0,,Personal foul by S. Mack (drawn by K. Durant),27,26
67,1,3:23.0,,S. Livingston enters the game for D. Green,27,26
68,1,3:23.0,A. Burks enters the game for D. Exum,,27,26
69,1,3:10.0,,S. Curry makes 2-pt layup from 2 ft (assist by S. Livingston),27,28
70,1,2:46.0,,Violation by J. McGee (def goaltending),27,28
71,1,2:46.0,S. Mack makes 2-pt layup from 3 ft,,29,28
72,1,2:25.0,,A. Iguodala misses 2-pt jump shot from 19 ft,29,28
73,1,2:24.0,Defensive rebound by J. Johnson,,29,28
74,1,2:14.0,J. Ingles misses 2-pt jump shot from 20 ft,,29,28
75,1,2:14.0,,Defensive rebound by S. Curry,29,28
76,1,2:08.0,,Turnover by S. Curry (bad pass),29,28
77,1,2:08.0,Utah full timeout,,29,28
78,1,2:08.0,,I. Clark enters the game for K. Durant,29,28
79,1,2:08.0,G. Hill enters the game for J. Ingles,,29,28
80,1,2:08.0,J. Bolomboy enters the game for R. Gobert,,29,28
81,1,1:54.0,J. Johnson makes 3-pt jump shot from 26 ft (assist by G. Hill),,32,28
82,1,1:37.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by S. Livingston),32,31
83,1,1:14.0,S. Mack misses 2-pt jump shot from 9 ft,,32,31
84,1,1:14.0,,Defensive rebound by J. McGee,32,31
85,1,1:03.0,,S. Livingston makes 2-pt jump shot from 14 ft,32,33
86,1,0:44.0,J. Johnson misses 2-pt jump shot from 11 ft,,32,33
87,1,0:43.0,,Defensive rebound by J. McGee,32,33
88,1,0:38.0,,Turnover by A. Iguodala (lost ball; steal by J. Johnson),32,33
89,1,0:22.0,A. Burks misses 2-pt jump shot from 6 ft (block by A. Iguodala),,32,33
90,1,0:21.0,Offensive rebound by A. Burks,,32,33
91,1,0:21.0,Turnover by A. Burks (bad pass),,32,33
92,1,0:21.0,,K. Durant enters the game for S. Livingston,32,33
93,2,11:45.0,,D. West makes 2-pt jump shot from 19 ft (assist by S. Livingston),32,35
94,2,11:26.0,J. Johnson makes 3-pt jump shot from 27 ft (assist by G. Hill),,35,35
95,2,11:13.0,,D. West misses 2-pt hook shot from 8 ft,35,35
96,2,11:12.0,Defensive rebound by J. Bolomboy,,35,35
97,2,11:03.0,G. Hill makes 3-pt jump shot from 28 ft,,38,35
98,2,10:56.0,,Turnover by I. Clark (back court),38,35
99,2,10:41.0,J. Johnson misses 2-pt jump shot from 17 ft,,38,35
100,2,10:41.0,,Defensive rebound by A. Iguodala,38,35
101,2,10:24.0,,D. Green misses 2-pt jump shot from 11 ft,38,35
102,2,10:24.0,Defensive rebound by A. Burks,,38,35
103,2,10:16.0,D. Exum misses 3-pt jump shot from 23 ft,,38,35
104,2,10:16.0,,Defensive rebound by D. West,38,35
105,2,10:07.0,,D. Green misses 3-pt jump shot from 26 ft,38,35
106,2,10:07.0,Defensive rebound by J. Johnson,,38,35
107,2,9:56.0,G. Hill makes 3-pt jump shot from 28 ft (assist by J. Johnson),,41,35
108,2,9:37.0,,Turnover by D. West (bad pass; steal by D. Exum),41,35
109,2,9:24.0,Turnover by D. Exum (bad pass),,41,35
110,2,9:06.0,,D. West misses 2-pt jump shot from 15 ft,41,35
111,2,9:06.0,Defensive rebound by A. Burks,,41,35
112,2,8:54.0,A. Burks misses 2-pt jump shot from 9 ft (block by A. Iguodala),,41,35
