,QUARTER,TIME_REMAINING,PHOENIX_ACTION,PORTLAND_ACTION,PHOENIX_SCORE,PORTLAND_SCORE
0,1,11:44.0,D. Booker makes 2-pt layup from 2 ft,,2,0
1,1,11:25.0,,N. Vonleh makes 2-pt jump shot from 3 ft (assist by C. McCollum),2,2
2,1,11:19.0,M. Chriss misses 2-pt dunk at rim,,2,2
3,1,11:18.0,,Defensive rebound by D. Lillard,2,2
4,1,11:10.0,,M. Leonard misses 3-pt jump shot from 25 ft,2,2
5,1,11:08.0,,Offensive rebound by N. Vonleh,2,2
6,1,11:02.0,,C. McCollum misses 2-pt jump shot from 20 ft,2,2
7,1,11:01.0,Defensive rebound by T. Warren,,2,2
8,1,10:52.0,T. Warren makes 2-pt jump shot from 8 ft,,4,2
9,1,10:28.0,,Shooting foul by A. Len (drawn by M. Leonard),4,2
10,1,10:28.0,,M. Leonard makes free throw 1 of 2,4,3
11,1,10:28.0,,M. Leonard makes free throw 2 of 2,4,4
12,1,10:13.0,D. Booker misses 2-pt jump shot from 6 ft,,4,4
13,1,10:12.0,,Defensive rebound by N. Vonleh,4,4
14,1,10:00.0,,M. Harkless misses 3-pt jump shot from 23 ft,4,4
15,1,10:00.0,Defensive rebound by A. Len,,4,4
16,1,9:53.0,T. Warren misses 2-pt jump shot from 22 ft,,4,4
17,1,9:51.0,,Defensive rebound by M. Leonard,4,4
18,1,9:37.0,,Turnover by D. Lillard (bad pass; steal by M. Chriss),4,4
19,1,9:31.0,D. Booker misses 3-pt jump shot from 25 ft,,4,4
20,1,9:31.0,,Defensive rebound by N. Vonleh,4,4
21,1,9:27.0,,M. Harkless makes 2-pt layup from 1 ft (assist by D. Lillard),4,6
22,1,9:27.0,,Shooting foul by A. Len (drawn by M. Harkless),4,6
23,1,9:27.0,,M. Harkless makes free throw 1 of 1,4,7
24,1,9:09.0,T. Warren misses 2-pt jump shot from 21 ft,,4,7
25,1,9:08.0,Offensive rebound by A. Len,,4,7
26,1,9:05.0,T. Ulis misses 2-pt jump shot from 18 ft,,4,7
27,1,9:05.0,,Defensive rebound by D. Lillard,4,7
28,1,8:55.0,,D. Lillard makes 2-pt layup at rim,4,9
29,1,8:55.0,Phoenix full timeout,,4,9
30,1,8:55.0,A. Williams enters the game for A. Len,,4,9
31,1,8:40.0,T. Warren makes 2-pt layup from 1 ft (assist by M. Chriss),,6,9
32,1,8:22.0,,N. Vonleh misses 2-pt layup from 2 ft,6,9
33,1,8:22.0,,Offensive rebound by M. Harkless,6,9
34,1,8:17.0,,M. Harkless makes 2-pt jump shot from 5 ft,6,11
35,1,8:05.0,D. Booker misses 2-pt jump shot from 20 ft,,6,11
36,1,8:04.0,,Defensive rebound by D. Lillard,6,11
37,1,7:55.0,,C. McCollum makes 2-pt jump shot from 13 ft,6,13
38,1,7:47.0,D. Booker misses 2-pt jump shot from 5 ft,,6,13
39,1,7:47.0,,Defensive rebound by N. Vonleh,6,13
40,1,7:36.0,,N. Vonleh makes 2-pt layup from 2 ft (assist by D. Lillard),6,15
41,1,7:22.0,Turnover by M. Chriss (bad pass; steal by C. McCollum),,6,15
42,1,7:18.0,,C. McCollum makes 2-pt dunk at rim,6,17
43,1,7:18.0,Phoenix full timeout,,6,17
44,1,7:03.0,T. Warren misses 2-pt jump shot from 12 ft,,6,17
45,1,7:02.0,,Defensive rebound by N. Vonleh,6,17
46,1,6:54.0,,C. McCollum makes 3-pt jump shot from 25 ft,6,20
47,1,6:45.0,T. Ulis misses 2-pt jump shot from 13 ft,,6,20
48,1,6:42.0,Offensive rebound by A. Williams,,6,20
49,1,6:42.0,A. Williams misses 2-pt layup from 2 ft,,6,20
50,1,6:42.0,,Defensive rebound by M. Leonard,6,20
51,1,6:34.0,,N. Vonleh makes 2-pt dunk at rim (assist by C. McCollum),6,22
52,1,6:20.0,Personal foul by C. McCollum,,6,22
53,1,6:20.0,J. Dudley enters the game for M. Chriss,,6,22
54,1,6:10.0,Turnover by J. Dudley (lost ball; steal by M. Leonard),,6,22
55,1,6:02.0,,M. Harkless makes 2-pt layup from 1 ft (assist by D. Lillard),6,24
56,1,5:52.0,T. Ulis makes 2-pt jump shot from 18 ft,,8,24
57,1,5:32.0,,Turnover by N. Vonleh (step out of bounds),8,24
58,1,5:32.0,,A. Crabbe enters the game for C. McCollum,8,24
59,1,5:32.0,,A. Aminu enters the game for N. Vonleh,8,24
60,1,5:15.0,D. Booker misses 2-pt jump shot from 15 ft,,8,24
61,1,5:13.0,,Defensive rebound by M. Harkless,8,24
62,1,5:04.0,,D. Lillard makes 3-pt jump shot from 27 ft (assist by A. Crabbe),8,27
63,1,4:48.0,T. Warren misses 2-pt jump shot from 21 ft,,8,27
64,1,4:47.0,Offensive rebound by A. Williams,,8,27
65,1,4:46.0,A. Williams makes 2-pt jump shot from 6 ft,,10,27
66,1,4:46.0,Shooting foul by M. Leonard (drawn by A. Williams),,10,27
67,1,4:46.0,,E. Turner enters the game for M. Harkless,10,27
68,1,4:46.0,A. Williams makes free throw 1 of 1,,11,27
69,1,4:30.0,,A. Aminu misses 2-pt hook shot from 4 ft,11,27
70,1,4:30.0,Defensive rebound by A. Williams,,11,27
71,1,4:16.0,Turnover by T. Ulis (bad pass; steal by D. Lillard),,11,27
72,1,4:08.0,,A. Crabbe misses 3-pt jump shot from 26 ft,11,27
73,1,4:08.0,Defensive rebound by Team,,11,27
74,1,4:08.0,,Loose ball foul by A. Aminu (drawn by A. Williams),11,27
75,1,3:58.0,A. Williams makes 2-pt jump shot from 5 ft (assist by D. Booker),,13,27
76,1,3:38.0,,A. Aminu makes 2-pt dunk at rim,13,29
77,1,3:27.0,Shooting foul by D. Lillard (drawn by J. Dudley),,13,29
78,1,3:27.0,J. Dudley makes free throw 1 of 2,,14,29
79,1,3:27.0,,N. Vonleh enters the game for M. Leonard,14,29
80,1,3:27.0,D. Jones enters the game for T. Ulis,,14,29
81,1,3:27.0,J. Dudley makes free throw 2 of 2,,15,29
82,1,3:12.0,,A. Aminu makes 3-pt jump shot from 25 ft (assist by D. Lillard),15,32
83,1,2:53.0,A. Williams makes 2-pt jump shot from 4 ft (assist by J. Dudley),,17,32
84,1,2:53.0,Shooting foul by N. Vonleh (drawn by A. Williams),,17,32
85,1,2:53.0,,Portland full timeout,17,32
86,1,2:53.0,A. Williams misses free throw 1 of 1,,17,32
87,1,2:53.0,,C. McCollum enters the game for D. Lillard,17,32
88,1,2:51.0,,Defensive rebound by N. Vonleh,17,32
89,1,2:30.0,,A. Aminu makes 2-pt jump shot from 21 ft (assist by C. McCollum),17,34
90,1,2:11.0,D. Booker makes 2-pt jump shot from 8 ft,,19,34
91,1,1:50.0,,C. McCollum makes 3-pt jump shot from 25 ft (assist by N. Vonleh),19,37
92,1,1:24.0,Turnover by J. Dudley (bad pass; steal by A. Aminu),,19,37
93,1,1:17.0,,Personal foul by T. Warren,19,37
94,1,1:13.0,,C. McCollum misses 2-pt layup from 2 ft (block by A. Williams),19,37
95,1,1:13.0,,Offensive rebound by Team,19,37
96,1,1:06.0,,Turnover by E. Turner (bad pass; steal by J. Dudley),19,37
97,1,0:57.0,T. Warren makes 2-pt jump shot from 6 ft,,21,37
98,1,0:38.0,,E. Turner misses 2-pt jump shot from 15 ft,21,37
99,1,0:38.0,,Offensive rebound by N. Vonleh,21,37
100,1,0:33.0,,Turnover by N. Vonleh (lost ball; steal by D. Booker),21,37
101,1,0:25.0,A. Williams misses 2-pt jump shot from 4 ft (block by A. Crabbe),,21,37
102,1,0:22.0,Offensive rebound by A. Williams,,21,37
103,1,0:04.0,Shooting foul by A. Aminu (drawn by D. Booker),,21,37
104,1,0:04.0,D. Booker misses free throw 1 of 2,,21,37
105,1,0:04.0,Offensive rebound by Team,,21,37
106,1,0:04.0,D. Booker misses free throw 2 of 2,,21,37
107,1,0:04.0,,Defensive rebound by C. McCollum,21,37
108,1,0:00.0,,C. McCollum misses 2-pt jump shot from 6 ft,21,37
109,1,0:00.0,,Offensive rebound by Team,21,37
