,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,PORTLAND_ACTION,CLEVELAND_SCORE,PORTLAND_SCORE
0,1,11:41.0,K. Love misses 2-pt layup from 2 ft (block by M. Plumlee),,0,0
1,1,11:40.0,,Defensive rebound by A. Aminu,0,0
2,1,11:33.0,,Turnover by A. Aminu (lost ball),0,0
3,1,11:18.0,K. Love misses 3-pt jump shot from 23 ft,,0,0
4,1,11:16.0,,Defensive rebound by Team,0,0
5,1,11:02.0,,D. Lillard makes 3-pt jump shot from 25 ft,0,3
6,1,10:50.0,T. Thompson makes 2-pt hook shot from 8 ft,,2,3
7,1,10:31.0,,M. Plumlee misses 2-pt layup from 2 ft,2,3
8,1,10:31.0,Defensive rebound by T. Thompson,,2,3
9,1,10:24.0,K. Love misses 3-pt jump shot from 23 ft,,2,3
10,1,10:22.0,Offensive rebound by K. Irving,,2,3
11,1,10:19.0,K. Love makes 3-pt jump shot from 25 ft (assist by K. Irving),,5,3
12,1,10:08.0,,C. McCollum makes 2-pt jump shot from 10 ft,5,5
13,1,9:53.0,L. James makes 2-pt jump shot from 14 ft,,7,5
14,1,9:47.0,,C. McCollum misses 3-pt jump shot from 25 ft,7,5
15,1,9:46.0,Defensive rebound by L. James,,7,5
16,1,9:33.0,L. James misses 2-pt hook shot from 5 ft,,7,5
17,1,9:33.0,,Defensive rebound by M. Plumlee,7,5
18,1,9:17.0,,A. Aminu makes 2-pt layup from 2 ft (assist by D. Lillard),7,7
19,1,8:56.0,D. Liggins misses 3-pt jump shot from 24 ft,,7,7
20,1,8:55.0,,Defensive rebound by A. Aminu,7,7
21,1,8:47.0,,A. Aminu makes 2-pt jump shot from 4 ft,7,9
22,1,8:22.0,K. Irving misses 2-pt jump shot from 20 ft,,7,9
23,1,8:22.0,,Defensive rebound by C. McCollum,7,9
24,1,8:12.0,,A. Aminu makes 2-pt jump shot from 4 ft (assist by C. McCollum),7,11
25,1,7:51.0,K. Love makes 2-pt jump shot from 16 ft,,9,11
26,1,7:40.0,,D. Lillard misses 2-pt jump shot from 8 ft (block by D. Liggins),9,11
27,1,7:40.0,,Offensive rebound by Team,9,11
28,1,7:30.0,,A. Aminu makes 2-pt layup from 1 ft (assist by D. Lillard),9,13
29,1,7:11.0,K. Irving misses 2-pt jump shot from 19 ft,,9,13
30,1,7:10.0,Offensive rebound by Team,,9,13
31,1,7:03.0,K. Love misses 2-pt layup from 2 ft (block by M. Plumlee),,9,13
32,1,7:03.0,,Defensive rebound by D. Lillard,9,13
33,1,6:59.0,,M. Harkless misses 2-pt layup from 2 ft (block by T. Thompson),9,13
34,1,6:58.0,,Offensive rebound by M. Harkless,9,13
35,1,6:56.0,,M. Harkless misses 2-pt layup at rim,9,13
36,1,6:55.0,Defensive rebound by L. James,,9,13
37,1,6:49.0,K. Love makes 3-pt jump shot from 23 ft (assist by L. James),,12,13
38,1,6:30.0,,M. Harkless makes 2-pt layup from 2 ft (assist by M. Plumlee),12,15
39,1,6:24.0,Turnover by K. Irving (lost ball),,12,15
40,1,6:06.0,,A. Aminu misses 2-pt jump shot from 11 ft,12,15
41,1,6:05.0,Defensive rebound by T. Thompson,,12,15
42,1,6:03.0,Turnover by T. Thompson (lost ball; steal by M. Plumlee),,12,15
43,1,5:48.0,,M. Plumlee misses 2-pt layup from 1 ft (block by L. James),12,15
44,1,5:47.0,Defensive rebound by K. Love,,12,15
45,1,5:47.0,Shooting foul by A. Aminu (drawn by L. James),,12,15
46,1,5:47.0,,Portland full timeout,12,15
47,1,5:47.0,L. James makes free throw 1 of 2,,13,15
48,1,5:47.0,L. James makes free throw 2 of 2,,14,15
49,1,5:32.0,,C. McCollum misses 3-pt jump shot from 25 ft,14,15
50,1,5:32.0,Defensive rebound by L. James,,14,15
51,1,5:29.0,Shooting foul by C. McCollum (drawn by L. James),,14,15
52,1,5:29.0,L. James makes free throw 1 of 2,,15,15
53,1,5:29.0,,E. Turner enters the game for M. Harkless,15,15
54,1,5:29.0,,A. Crabbe enters the game for C. McCollum,15,15
55,1,5:29.0,L. James makes free throw 2 of 2,,16,15
56,1,5:14.0,,M. Plumlee misses 2-pt jump shot from 18 ft,16,15
57,1,5:14.0,Defensive rebound by K. Love,,16,15
58,1,5:03.0,K. Korver enters the game for D. Liggins,,16,15
59,1,4:53.0,L. James misses 2-pt jump shot from 16 ft,,16,15
60,1,4:52.0,Offensive rebound by T. Thompson,,16,15
61,1,4:46.0,K. Irving makes 2-pt jump shot from 5 ft (assist by L. James),,18,15
62,1,4:30.0,,A. Crabbe makes 2-pt jump shot from 12 ft (assist by D. Lillard),18,17
63,1,4:18.0,K. Love misses 3-pt jump shot from 23 ft,,18,17
64,1,4:17.0,,Defensive rebound by A. Crabbe,18,17
65,1,4:02.0,,D. Lillard makes 2-pt layup from 1 ft (assist by M. Plumlee),18,19
66,1,3:46.0,Turnover by K. Irving (bad pass),,18,19
67,1,3:46.0,,E. Davis enters the game for M. Plumlee,18,19
68,1,3:34.0,,Turnover by A. Aminu (step out of bounds),18,19
69,1,3:22.0,K. Korver misses 2-pt jump shot from 20 ft,,18,19
70,1,3:21.0,,Defensive rebound by A. Aminu,18,19
71,1,3:07.0,,E. Turner makes 2-pt jump shot from 14 ft,18,21
72,1,2:53.0,K. Irving makes 2-pt layup from 1 ft,,20,21
73,1,2:30.0,,A. Crabbe makes 2-pt jump shot from 5 ft (assist by E. Davis),20,23
74,1,2:21.0,T. Thompson misses 2-pt jump shot from 3 ft,,20,23
75,1,2:18.0,,Defensive rebound by E. Davis,20,23
76,1,2:10.0,,Shooting foul by K. Korver (drawn by A. Crabbe),20,23
77,1,2:10.0,Cleveland full timeout,,20,23
78,1,2:10.0,,A. Crabbe misses free throw 1 of 3,20,23
79,1,2:10.0,,Offensive rebound by Team,20,23
80,1,2:10.0,,A. Crabbe makes free throw 2 of 3,20,24
81,1,2:10.0,R. Jefferson enters the game for L. James,,20,23
82,1,2:10.0,K. Felder enters the game for K. Irving,,20,23
83,1,2:10.0,,A. Crabbe makes free throw 3 of 3,20,25
84,1,1:52.0,Offensive foul by T. Thompson (drawn by D. Lillard),,20,25
85,1,1:52.0,Turnover by T. Thompson (offensive foul),,20,25
86,1,1:34.0,,D. Lillard misses 3-pt jump shot from 27 ft,20,25
87,1,1:33.0,Defensive rebound by K. Korver,,20,25
88,1,1:21.0,Cleveland full timeout,,20,25
89,1,1:21.0,C. Frye enters the game for K. Love,,20,25
90,1,1:21.0,,C. McCollum enters the game for D. Lillard,20,25
91,1,1:11.0,K. Felder misses 2-pt jump shot from 7 ft (block by C. McCollum),,20,25
92,1,1:09.0,Offensive rebound by C. Frye,,20,25
93,1,1:09.0,Turnover by Team (shot clock),,20,25
94,1,0:51.0,,E. Turner misses 2-pt jump shot from 13 ft,20,25
95,1,0:50.0,,Offensive rebound by E. Davis,20,25
96,1,0:49.0,,E. Davis makes 2-pt hook shot from 4 ft,20,27
97,1,0:40.0,K. Felder misses 2-pt jump shot from 9 ft,,20,27
98,1,0:40.0,,Defensive rebound by E. Turner,20,27
99,1,0:30.0,,C. McCollum misses 2-pt jump shot from 22 ft,20,27
100,1,0:30.0,,Offensive rebound by Team,20,27
101,1,0:30.0,Loose ball foul by C. Frye (drawn by E. Davis),,20,27
102,1,0:30.0,,M. Harkless enters the game for A. Aminu,20,27
103,1,0:21.0,,Turnover by E. Turner (bad pass; steal by K. Felder),20,27
104,1,0:02.0,K. Felder misses 2-pt jump shot from 19 ft,,20,27
105,1,0:02.0,,Defensive rebound by C. McCollum,20,27
106,1,0:00.0,,C. McCollum misses 3-pt jump shot from 49 ft,20,27
107,1,0:00.0,,Offensive rebound by Team,20,27
108,2,11:49.0,,Offensive foul by E. Davis (drawn by K. Korver),20,27
109,2,11:49.0,,Turnover by E. Davis (offensive foul),20,27
110,2,11:34.0,Personal foul by A. Crabbe (drawn by C. Frye),,20,27
111,2,11:29.0,C. Frye makes 3-pt jump shot from 24 ft (assist by I. Shumpert),,23,27
112,2,11:08.0,,E. Turner misses 2-pt jump shot from 15 ft,23,27
113,2,11:07.0,Defensive rebound by I. Shumpert,,23,27
114,2,10:52.0,C. Frye misses 2-pt hook shot from 6 ft,,23,27
115,2,10:51.0,,Defensive rebound by Team,23,27
116,2,10:34.0,,C. McCollum makes 2-pt jump shot from 6 ft (assist by E. Turner),23,29
117,2,10:23.0,Shooting foul by C. McCollum (drawn by K. Felder),,23,29
118,2,10:23.0,K. Felder makes free throw 1 of 2,,24,29
119,2,10:23.0,K. Felder misses free throw 2 of 2,,24,29
120,2,10:22.0,,Defensive rebound by M. Harkless,24,29
121,2,10:11.0,,C. McCollum misses 2-pt jump shot from 19 ft,24,29
122,2,10:10.0,Defensive rebound by I. Shumpert,,24,29
123,2,10:01.0,C. Frye misses 2-pt jump shot from 9 ft,,24,29
124,2,9:58.0,,Defensive rebound by A. Crabbe,24,29
