,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,BOSTON_ACTION,WASHINGTON_SCORE,BOSTON_SCORE
0,1,11:48.0,,Shooting foul by O. Porter (drawn by J. Crowder),0,0
1,1,11:48.0,,J. Crowder makes free throw 1 of 2,0,1
2,1,11:48.0,,J. Crowder makes free throw 2 of 2,0,2
3,1,11:27.0,M. Gortat misses 2-pt jump shot from 12 ft,,0,2
4,1,11:26.0,,Defensive rebound by A. Horford,0,2
5,1,11:18.0,,M. Smart misses 3-pt jump shot from 26 ft,0,2
6,1,11:17.0,Defensive rebound by M. Morris,,0,2
7,1,11:06.0,J. Wall misses 2-pt jump shot from 12 ft,,0,2
8,1,11:05.0,,Defensive rebound by A. Horford,0,2
9,1,10:58.0,,Turnover by I. Thomas (lost ball; steal by B. Beal),0,2
10,1,10:53.0,Turnover by J. Wall (bad pass; steal by A. Horford),,0,2
11,1,10:47.0,,I. Thomas makes 3-pt jump shot from 27 ft (assist by M. Smart),0,5
12,1,10:34.0,B. Beal makes 2-pt jump shot from 9 ft (assist by J. Wall),,2,5
13,1,10:16.0,,Turnover by J. Mickey (lost ball; steal by J. Wall),2,5
14,1,10:04.0,M. Morris misses 2-pt hook shot from 6 ft,,2,5
15,1,10:03.0,,Defensive rebound by A. Horford,2,5
16,1,9:53.0,,I. Thomas makes 3-pt jump shot from 24 ft,2,8
17,1,9:34.0,M. Morris misses 3-pt jump shot from 24 ft,,2,8
18,1,9:33.0,Offensive rebound by M. Gortat,,2,8
19,1,9:30.0,M. Gortat makes 2-pt layup from 1 ft,,4,8
20,1,9:12.0,,J. Crowder makes 3-pt jump shot from 25 ft (assist by J. Mickey),4,11
21,1,8:58.0,B. Beal makes 3-pt jump shot from 26 ft (assist by J. Wall),,7,11
22,1,8:41.0,,I. Thomas makes 2-pt jump shot from 8 ft (assist by A. Horford),7,13
23,1,8:29.0,O. Porter makes 2-pt jump shot from 21 ft (assist by M. Morris),,9,13
24,1,8:03.0,,Turnover by I. Thomas (lost ball; steal by M. Morris),9,13
25,1,7:59.0,J. Wall misses 2-pt layup from 2 ft,,9,13
26,1,7:58.0,,Defensive rebound by J. Crowder,9,13
27,1,7:53.0,,I. Thomas misses 3-pt jump shot from 27 ft,9,13
28,1,7:52.0,,Offensive rebound by M. Smart,9,13
29,1,7:48.0,,I. Thomas misses 2-pt layup from 3 ft,9,13
30,1,7:47.0,,Offensive rebound by M. Smart,9,13
31,1,7:47.0,,M. Smart makes 2-pt layup from 2 ft,9,15
32,1,7:33.0,Def 3 sec tech foul by J. Crowder,,9,15
33,1,7:33.0,B. Beal makes technical free throw,,10,15
34,1,7:26.0,B. Beal makes 3-pt jump shot from 25 ft (assist by O. Porter),,13,15
35,1,7:06.0,,J. Crowder makes 3-pt jump shot from 26 ft (assist by A. Horford),13,18
36,1,6:51.0,M. Gortat makes 2-pt jump shot from 9 ft (assist by B. Beal),,15,18
37,1,6:33.0,,Turnover by J. Mickey (bad pass),15,18
38,1,6:30.0,Shooting foul by A. Horford (drawn by B. Beal),,15,18
39,1,6:30.0,B. Beal makes free throw 1 of 2,,16,18
40,1,6:30.0,B. Beal misses free throw 2 of 2,,16,18
41,1,6:30.0,,Defensive rebound by J. Crowder,16,18
42,1,6:14.0,,Turnover by A. Horford (lost ball; steal by J. Wall),16,18
43,1,6:08.0,O. Porter makes 3-pt jump shot from 24 ft (assist by J. Wall),,19,18
44,1,6:02.0,,Turnover by I. Thomas (lost ball; steal by O. Porter),19,18
45,1,5:58.0,M. Morris makes 2-pt layup from 1 ft (assist by O. Porter),,21,18
46,1,5:58.0,,Boston full timeout,21,18
47,1,5:58.0,,K. Olynyk enters the game for J. Mickey,21,18
48,1,5:58.0,,G. Green enters the game for M. Smart,21,18
49,1,5:40.0,,J. Crowder makes 3-pt jump shot from 23 ft (assist by A. Horford),21,21
50,1,5:28.0,M. Gortat misses 2-pt jump shot from 13 ft,,21,21
51,1,5:27.0,Offensive rebound by M. Morris,,21,21
52,1,5:26.0,M. Morris misses 2-pt layup from 1 ft (block by J. Crowder),,21,21
53,1,5:25.0,Offensive rebound by Team,,21,21
54,1,5:25.0,J. Smith enters the game for M. Morris,,21,21
55,1,5:21.0,Turnover by B. Beal (bad pass; steal by G. Green),,21,21
56,1,5:12.0,,Turnover by A. Horford (traveling),21,21
57,1,4:57.0,J. Smith makes 2-pt jump shot from 19 ft (assist by O. Porter),,23,21
58,1,4:42.0,,A. Horford makes 2-pt jump shot from 18 ft (assist by I. Thomas),23,23
59,1,4:22.0,J. Wall misses 3-pt jump shot from 25 ft,,23,23
60,1,4:21.0,Offensive rebound by M. Gortat,,23,23
61,1,4:08.0,J. Wall misses 2-pt jump shot from 16 ft,,23,23
62,1,4:07.0,,Defensive rebound by G. Green,23,23
63,1,3:57.0,,A. Horford misses 3-pt jump shot from 26 ft,23,23
64,1,3:56.0,Defensive rebound by O. Porter,,23,23
65,1,3:49.0,B. Beal misses 2-pt jump shot from 6 ft,,23,23
66,1,3:49.0,Offensive rebound by Team,,23,23
67,1,3:44.0,B. Beal makes 3-pt jump shot from 25 ft (assist by O. Porter),,26,23
68,1,3:25.0,,A. Horford makes 2-pt layup from 2 ft,26,25
69,1,3:16.0,B. Beal makes 3-pt jump shot from 27 ft (assist by J. Wall),,29,25
70,1,2:56.0,,A. Horford misses 2-pt layup from 2 ft,29,25
71,1,2:55.0,Defensive rebound by Team,,29,25
72,1,2:55.0,,Loose ball foul by K. Olynyk (drawn by O. Porter),29,25
73,1,2:55.0,Washington full timeout,,29,25
74,1,2:55.0,,J. Jerebko enters the game for A. Horford,29,25
75,1,2:55.0,,T. Rozier enters the game for I. Thomas,29,25
76,1,2:40.0,M. Gortat makes 2-pt layup from 2 ft (assist by J. Wall),,31,25
77,1,2:22.0,,Turnover by K. Olynyk (bad pass; steal by O. Porter),31,25
78,1,2:17.0,O. Porter makes 2-pt layup at rim (assist by J. Wall),,33,25
79,1,1:58.0,,J. Jerebko makes 2-pt layup from 2 ft (assist by G. Green),33,27
80,1,1:41.0,J. Wall makes 2-pt jump shot from 17 ft (assist by M. Gortat),,35,27
81,1,1:30.0,,G. Green makes 3-pt jump shot from 25 ft (assist by K. Olynyk),35,30
82,1,1:16.0,J. Smith misses 2-pt jump shot from 20 ft,,35,30
83,1,1:15.0,,Defensive rebound by J. Jerebko,35,30
84,1,1:04.0,,T. Rozier makes 3-pt jump shot from 26 ft,35,33
85,1,0:38.0,J. Wall misses 2-pt jump shot from 17 ft,,35,33
86,1,0:36.0,,Defensive rebound by K. Olynyk,35,33
87,1,0:21.0,,J. Crowder makes 3-pt jump shot from 25 ft (assist by T. Rozier),35,36
88,1,0:00.0,B. Beal misses 2-pt jump shot from 9 ft,,35,36
89,1,0:00.0,Offensive rebound by Team,,35,36
90,2,11:43.0,M. Morris misses 2-pt layup from 1 ft (block by J. Jerebko),,35,36
91,2,11:43.0,Offensive rebound by Team,,35,36
92,2,11:43.0,Technical foul by M. Morris,,35,36
93,2,11:43.0,,G. Green misses technical free throw,35,36
94,2,11:43.0,Offensive rebound by Team,,35,36
95,2,11:37.0,J. Smith misses 2-pt jump shot from 13 ft (block by K. Olynyk),,35,36
96,2,11:36.0,Offensive rebound by Team,,35,36
97,2,11:33.0,M. Morris misses 2-pt jump shot from 19 ft,,35,36
98,2,11:32.0,Offensive rebound by J. Smith,,35,36
99,2,11:32.0,J. Smith makes 2-pt layup at rim,,37,36
100,2,11:10.0,,J. Jerebko misses 3-pt jump shot from 25 ft,37,36
101,2,11:09.0,Defensive rebound by S. Mac,,37,36
102,2,10:59.0,M. Morris misses 3-pt jump shot from 26 ft,,37,36
103,2,10:58.0,,Defensive rebound by T. Rozier,37,36
104,2,10:51.0,,K. Olynyk misses 2-pt layup from 1 ft,37,36
105,2,10:50.0,,Offensive rebound by J. Jerebko,37,36
106,2,10:50.0,,Shooting foul by M. Morris (drawn by J. Jerebko),37,36
107,2,10:50.0,,J. Jerebko makes free throw 1 of 2,37,37
108,2,10:50.0,,J. Jerebko misses free throw 2 of 2,37,37
109,2,10:50.0,Defensive rebound by M. Morris,,37,37
110,2,10:37.0,T. Burke makes 2-pt jump shot from 15 ft,,39,37
111,2,10:17.0,,Turnover by J. Jerebko (bad pass; steal by M. Morris),39,37
112,2,10:13.0,Offensive foul by K. Oubre (drawn by J. Jerebko),,39,37
113,2,10:13.0,Turnover by K. Oubre (offensive foul),,39,37
114,2,10:03.0,,K. Olynyk misses 2-pt jump shot from 19 ft,39,37
115,2,10:03.0,Defensive rebound by S. Mac,,39,37
116,2,9:52.0,S. Mac makes 2-pt jump shot from 16 ft (assist by J. Smith),,41,37
117,2,9:33.0,,G. Green misses 2-pt jump shot from 21 ft,41,37
118,2,9:32.0,Defensive rebound by K. Oubre,,41,37
119,2,9:25.0,T. Burke misses 2-pt layup from 1 ft,,41,37
120,2,9:24.0,,Defensive rebound by J. Jerebko,41,37
121,2,9:19.0,,T. Rozier makes 2-pt layup from 1 ft,41,39
122,2,9:19.0,,Shooting foul by J. Smith (drawn by T. Rozier),41,39
123,2,9:19.0,,I. Thomas enters the game for G. Green,41,39
124,2,9:19.0,,J. Mickey enters the game for K. Olynyk,41,39
125,2,9:19.0,,T. Rozier makes free throw 1 of 1,41,40
126,2,8:58.0,J. Smith makes 2-pt layup from 3 ft (assist by T. Burke),,43,40
127,2,8:48.0,Official timeout,,43,40
