,QUARTER,TIME_REMAINING,ORLANDO_ACTION,MIAMI_ACTION,ORLANDO_SCORE,MIAMI_SCORE
0,1,11:42.0,,R. McGruder makes 2-pt jump shot from 9 ft,0,2
1,1,11:26.0,N. Vučević misses 2-pt jump shot from 15 ft,,0,2
2,1,11:25.0,Offensive rebound by S. Ibaka,,0,2
3,1,11:21.0,S. Ibaka makes 2-pt hook shot from 8 ft,,2,2
4,1,11:06.0,,D. Waiters misses 2-pt layup from 2 ft (block by A. Gordon),2,2
5,1,11:05.0,Defensive rebound by A. Gordon,,2,2
6,1,10:58.0,N. Vučević makes 2-pt layup from 2 ft (assist by E. Fournier),,4,2
7,1,10:47.0,,R. McGruder misses 2-pt jump shot from 9 ft,4,2
8,1,10:46.0,Defensive rebound by N. Vučević,,4,2
9,1,10:36.0,A. Gordon misses 2-pt layup from 1 ft,,4,2
10,1,10:35.0,Offensive rebound by A. Gordon,,4,2
11,1,10:34.0,A. Gordon makes 2-pt layup at rim,,6,2
12,1,10:21.0,,R. McGruder misses 3-pt jump shot from 24 ft,6,2
13,1,10:20.0,Defensive rebound by A. Gordon,,6,2
14,1,10:09.0,C. Watson misses 2-pt jump shot from 18 ft,,6,2
15,1,10:08.0,Offensive rebound by N. Vučević,,6,2
16,1,10:05.0,N. Vučević misses 2-pt hook shot from 7 ft,,6,2
17,1,10:04.0,,Defensive rebound by H. Whiteside,6,2
18,1,9:51.0,,R. McGruder misses 3-pt jump shot from 24 ft,6,2
19,1,9:50.0,Defensive rebound by A. Gordon,,6,2
20,1,9:44.0,E. Fournier makes 2-pt layup from 2 ft (assist by A. Gordon),,8,2
21,1,9:32.0,,G. Dragić misses 2-pt jump shot from 16 ft,8,2
22,1,9:31.0,Defensive rebound by S. Ibaka,,8,2
23,1,9:23.0,E. Fournier misses 2-pt jump shot from 19 ft,,8,2
24,1,9:22.0,Offensive rebound by N. Vučević,,8,2
25,1,9:16.0,A. Gordon makes 2-pt jump shot from 18 ft (assist by C. Watson),,10,2
26,1,9:15.0,,Miami full timeout,10,2
27,1,9:15.0,,W. Reed enters the game for H. Whiteside,10,2
28,1,9:00.0,,D. Waiters makes 2-pt layup from 2 ft,10,4
29,1,8:41.0,E. Fournier makes 2-pt jump shot from 13 ft,,12,4
30,1,8:28.0,,R. McGruder makes 3-pt jump shot from 24 ft (assist by D. Waiters),12,7
31,1,8:13.0,Turnover by A. Gordon (lost ball; steal by G. Dragić),,12,7
