,QUARTER,TIME_REMAINING,CHICAGO_ACTION,UTAH_ACTION,CHICAGO_SCORE,UTAH_SCORE
0,1,11:39.0,R. Lopez misses 2-pt hook shot from 5 ft,,0,0
1,1,11:38.0,Offensive rebound by R. Lopez,,0,0
2,1,11:34.0,R. Lopez makes 2-pt layup from 3 ft,,2,0
3,1,11:16.0,,B. Diaw misses 3-pt jump shot from 24 ft,2,0
4,1,11:15.0,Defensive rebound by Team,,2,0
5,1,10:56.0,D. Wade misses 3-pt jump shot from 24 ft,,2,0
6,1,10:55.0,,Defensive rebound by R. Gobert,2,0
7,1,10:46.0,,B. Diaw makes 3-pt jump shot from 24 ft (assist by D. Exum),2,3
8,1,10:36.0,J. Grant makes 2-pt jump shot from 16 ft,,4,3
9,1,10:17.0,,B. Diaw misses 3-pt jump shot from 25 ft,4,3
10,1,10:16.0,Defensive rebound by J. Butler,,4,3
11,1,9:59.0,T. Gibson makes 2-pt layup from 2 ft,,6,3
12,1,9:30.0,,G. Hayward misses 2-pt jump shot from 22 ft,6,3
13,1,9:30.0,Defensive rebound by T. Gibson,,6,3
14,1,9:16.0,T. Gibson misses 2-pt jump shot from 12 ft (block by R. Gobert),,6,3
15,1,9:16.0,Offensive rebound by T. Gibson,,6,3
16,1,9:12.0,D. Wade misses 2-pt layup from 1 ft,,6,3
17,1,9:11.0,Offensive rebound by D. Wade,,6,3
18,1,9:11.0,Shooting foul by R. Hood (drawn by D. Wade),,6,3
19,1,9:11.0,D. Wade makes free throw 1 of 2,,7,3
20,1,9:11.0,D. Wade makes free throw 2 of 2,,8,3
21,1,9:00.0,,G. Hayward misses 2-pt jump shot from 6 ft,8,3
22,1,9:00.0,,Offensive rebound by R. Gobert,8,3
23,1,8:57.0,,R. Gobert makes 2-pt layup from 3 ft,8,5
24,1,8:41.0,Shooting foul by D. Exum (drawn by J. Grant),,8,5
25,1,8:41.0,J. Grant makes free throw 1 of 2,,9,5
26,1,8:41.0,J. Grant makes free throw 2 of 2,,10,5
27,1,8:26.0,,R. Hood misses 3-pt jump shot from 24 ft,10,5
28,1,8:26.0,Defensive rebound by J. Butler,,10,5
29,1,8:16.0,J. Butler makes 2-pt jump shot from 21 ft,,12,5
30,1,7:57.0,,D. Exum makes 2-pt layup from 2 ft,12,7
31,1,7:42.0,R. Lopez makes 2-pt jump shot from 16 ft (assist by J. Butler),,14,7
32,1,7:29.0,,D. Exum makes 2-pt layup from 2 ft,14,9
33,1,7:12.0,J. Butler misses 3-pt jump shot from 24 ft,,14,9
34,1,7:12.0,,Defensive rebound by R. Gobert,14,9
35,1,6:57.0,,R. Hood makes 3-pt jump shot from 25 ft,14,12
36,1,6:45.0,J. Grant misses 2-pt jump shot from 11 ft,,14,12
37,1,6:45.0,,Defensive rebound by R. Hood,14,12
38,1,6:28.0,,Turnover by R. Gobert (traveling),14,12
39,1,6:10.0,R. Lopez misses 2-pt jump shot from 20 ft,,14,12
40,1,6:10.0,,Defensive rebound by R. Gobert,14,12
41,1,6:01.0,,G. Hayward makes 2-pt jump shot from 3 ft,14,14
42,1,6:01.0,,Shooting foul by R. Lopez (drawn by G. Hayward),14,14
43,1,6:01.0,N. Mirotić enters the game for T. Gibson,,14,14
44,1,6:01.0,I. Canaan enters the game for D. Wade,,14,14
45,1,6:01.0,,G. Hayward makes free throw 1 of 1,14,15
46,1,5:44.0,J. Butler makes 2-pt jump shot from 20 ft,,16,15
47,1,5:37.0,,Utah full timeout,16,15
