,QUARTER,TIME_REMAINING,HOUSTON_ACTION,GOLDEN STATE_ACTION,HOUSTON_SCORE,GOLDEN STATE_SCORE
0,1,11:42.0,,K. Thompson makes 2-pt jump shot from 15 ft (assist by M. Barnes),0,2
1,1,11:36.0,T. Ariza makes 2-pt layup at rim (assist by J. Harden),,2,2
2,1,11:21.0,,Shooting foul by C. Capela (drawn by D. Green),2,2
3,1,11:21.0,,D. Green makes free throw 1 of 2,2,3
4,1,11:21.0,,D. Green makes free throw 2 of 2,2,4
5,1,10:54.0,P. Beverley misses 3-pt jump shot from 25 ft,,2,4
6,1,10:53.0,Offensive rebound by J. Harden,,2,4
7,1,10:48.0,Turnover by T. Ariza (bad pass; steal by K. Thompson),,2,4
8,1,10:41.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by D. Green),2,7
9,1,10:26.0,T. Ariza misses 3-pt jump shot from 25 ft,,2,7
10,1,10:26.0,,Defensive rebound by S. Curry,2,7
11,1,10:16.0,,K. Thompson makes 3-pt jump shot from 26 ft (assist by D. Green),2,10
12,1,9:48.0,J. Harden makes 2-pt layup from 3 ft,,4,10
13,1,9:32.0,,Z. Pachulia makes 2-pt layup from 2 ft,4,12
14,1,9:22.0,E. Gordon makes 2-pt layup from 2 ft (assist by J. Harden),,6,12
15,1,9:11.0,,K. Thompson misses 3-pt jump shot from 24 ft,6,12
16,1,9:11.0,Defensive rebound by P. Beverley,,6,12
17,1,9:03.0,P. Beverley makes 3-pt jump shot from 25 ft,,9,12
18,1,8:44.0,,Turnover by S. Curry (bad pass; steal by T. Ariza),9,12
19,1,8:40.0,T. Ariza makes 2-pt layup from 1 ft,,11,12
20,1,8:40.0,Shooting foul by M. Barnes (drawn by T. Ariza),,11,12
21,1,8:40.0,T. Ariza makes free throw 1 of 1,,12,12
22,1,8:30.0,,S. Curry misses 2-pt jump shot from 17 ft,12,12
23,1,8:26.0,Defensive rebound by Team,,12,12
24,1,8:15.0,E. Gordon makes 3-pt jump shot from 24 ft (assist by C. Capela),,15,12
25,1,8:02.0,,Turnover by K. Thompson (lost ball; steal by T. Ariza),15,12
26,1,8:02.0,Personal foul by K. Thompson (drawn by T. Ariza),,15,12
27,1,7:47.0,T. Ariza misses 3-pt jump shot from 23 ft,,15,12
28,1,7:46.0,,Defensive rebound by K. Thompson,15,12
29,1,7:29.0,,Z. Pachulia misses 2-pt layup from 3 ft,15,12
30,1,7:29.0,Defensive rebound by C. Capela,,15,12
31,1,7:18.0,E. Gordon misses 3-pt jump shot from 27 ft,,15,12
32,1,7:18.0,,Defensive rebound by Team,15,12
33,1,7:18.0,Loose ball foul by J. Harden (drawn by M. Barnes),,15,12
34,1,7:07.0,,D. Green makes 2-pt dunk at rim (assist by S. Curry),15,14
35,1,6:49.0,C. Capela misses 2-pt dunk at rim,,15,14
36,1,6:49.0,,Defensive rebound by K. Thompson,15,14
37,1,6:43.0,,K. Thompson misses 3-pt jump shot from 27 ft,15,14
38,1,6:43.0,Defensive rebound by Team,,15,14
39,1,6:30.0,C. Capela makes 2-pt layup from 2 ft (assist by J. Harden),,17,14
40,1,6:16.0,,D. Green misses 2-pt jump shot from 12 ft,17,14
41,1,6:15.0,Defensive rebound by Team,,17,14
42,1,5:56.0,E. Gordon misses 3-pt jump shot from 25 ft,,17,14
43,1,5:55.0,Offensive rebound by C. Capela,,17,14
44,1,5:51.0,,Golden State full timeout,17,14
45,1,5:51.0,,A. Iguodala enters the game for M. Barnes,17,14
46,1,5:51.0,,S. Livingston enters the game for D. Green,17,14
47,1,5:50.0,M. Harrell enters the game for P. Beverley,,17,14
48,1,5:49.0,L. Williams enters the game for C. Capela,,17,14
49,1,5:40.0,Turnover by J. Harden (bad pass; steal by S. Curry),,17,14
50,1,5:35.0,,S. Curry misses 2-pt jump shot from 15 ft,17,14
51,1,5:34.0,Defensive rebound by J. Harden,,17,14
52,1,5:27.0,T. Ariza misses 3-pt jump shot from 24 ft,,17,14
53,1,5:23.0,,Defensive rebound by Z. Pachulia,17,14
54,1,5:00.0,,A. Iguodala misses 2-pt jump shot from 19 ft,17,14
55,1,5:00.0,Defensive rebound by L. Williams,,17,14
56,1,4:49.0,M. Harrell misses 2-pt jump shot from 5 ft,,17,14
57,1,4:48.0,,Defensive rebound by S. Curry,17,14
58,1,4:48.0,,Offensive foul by S. Curry (drawn by M. Harrell),17,14
59,1,4:48.0,,Turnover by S. Curry (offensive foul),17,14
60,1,4:48.0,,J. McAdoo enters the game for Z. Pachulia,17,14
61,1,4:34.0,T. Ariza misses 2-pt layup from 2 ft,,17,14
62,1,4:34.0,,Defensive rebound by Team,17,14
63,1,4:09.0,,A. Iguodala makes 2-pt jump shot from 20 ft,17,16
64,1,3:55.0,J. Harden misses 2-pt jump shot from 13 ft,,17,16
65,1,3:55.0,Offensive rebound by J. Harden,,17,16
66,1,3:54.0,J. Harden misses 2-pt jump shot from 4 ft (block by K. Thompson),,17,16
67,1,3:53.0,Offensive rebound by Team,,17,16
68,1,3:49.0,S. Dekker enters the game for E. Gordon,,17,16
69,1,3:49.0,Turnover by J. Harden (lost ball; steal by K. Thompson),,17,16
70,1,3:43.0,,S. Curry misses 2-pt layup from 2 ft (block by M. Harrell),17,16
71,1,3:41.0,Defensive rebound by S. Dekker,,17,16
72,1,3:38.0,L. Williams makes 2-pt layup from 2 ft,,19,16
73,1,3:38.0,Shooting foul by S. Livingston (drawn by L. Williams),,19,16
74,1,3:38.0,,D. Green enters the game for K. Thompson,19,16
75,1,3:38.0,L. Williams makes free throw 1 of 1,,20,16
76,1,3:25.0,,S. Curry makes 2-pt jump shot from 19 ft,20,18
77,1,3:13.0,Turnover by J. Harden (bad pass; steal by A. Iguodala),,20,18
78,1,3:05.0,,D. Green misses 2-pt jump shot from 17 ft,20,18
79,1,3:04.0,Defensive rebound by L. Williams,,20,18
80,1,2:54.0,J. Harden misses 3-pt jump shot from 23 ft,,20,18
81,1,2:53.0,,Defensive rebound by D. Green,20,18
82,1,2:53.0,,Turnover by D. Green (bad pass),20,18
83,1,2:53.0,Houston full timeout,,20,18
84,1,2:32.0,S. Dekker makes 3-pt jump shot from 24 ft (assist by J. Harden),,23,18
85,1,2:17.0,,S. Curry misses 3-pt jump shot from 26 ft,23,18
86,1,2:16.0,,Offensive rebound by J. McAdoo,23,18
87,1,2:11.0,,S. Curry misses 2-pt jump shot from 13 ft,23,18
88,1,2:09.0,,Offensive rebound by J. McAdoo,23,18
89,1,2:02.0,,A. Iguodala makes 3-pt jump shot from 27 ft (assist by S. Livingston),23,21
90,1,1:44.0,Turnover by T. Ariza (bad pass),,23,21
91,1,1:29.0,,A. Iguodala misses 3-pt jump shot from 26 ft,23,21
92,1,1:29.0,Defensive rebound by L. Williams,,23,21
93,1,1:19.0,L. Williams misses 2-pt layup from 2 ft,,23,21
94,1,1:19.0,Offensive rebound by S. Dekker,,23,21
95,1,1:07.0,Personal foul by A. Iguodala (drawn by S. Dekker),,23,21
96,1,0:55.0,Turnover by J. Harden (lost ball; steal by S. Curry),,23,21
97,1,0:50.0,,J. McAdoo makes 2-pt dunk at rim (assist by S. Curry),23,23
98,1,0:33.0,J. Harden misses 3-pt jump shot from 27 ft,,23,23
