,QUARTER,TIME_REMAINING,ATLANTA_ACTION,GOLDEN STATE_ACTION,ATLANTA_SCORE,GOLDEN STATE_SCORE
0,1,11:46.0,,K. Thompson misses 2-pt jump shot from 18 ft,0,0
1,1,11:46.0,Defensive rebound by D. Howard,,0,0
2,1,11:28.0,Turnover by K. Korver (lost ball),,0,0
3,1,11:14.0,,D. Green misses 3-pt jump shot from 25 ft,0,0
4,1,11:13.0,Defensive rebound by K. Bazemore,,0,0
5,1,10:53.0,K. Bazemore misses 3-pt jump shot from 28 ft,,0,0
6,1,10:53.0,Offensive rebound by P. Millsap,,0,0
7,1,10:43.0,D. Schröder makes 2-pt layup from 2 ft,,2,0
8,1,10:32.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by Z. Pachulia),2,3
9,1,10:10.0,P. Millsap misses 2-pt jump shot from 6 ft,,2,3
10,1,10:10.0,Offensive rebound by D. Howard,,2,3
11,1,9:56.0,D. Howard misses 2-pt jump shot from 8 ft,,2,3
12,1,9:56.0,,Defensive rebound by K. Durant,2,3
13,1,9:53.0,,Turnover by K. Durant (bad pass; steal by D. Schröder),2,3
14,1,9:44.0,Turnover by K. Korver (bad pass),,2,3
15,1,9:30.0,,Turnover by K. Durant (lost ball; steal by K. Bazemore),2,3
16,1,9:23.0,K. Bazemore misses 2-pt layup from 2 ft,,2,3
17,1,9:22.0,,Defensive rebound by K. Durant,2,3
18,1,9:15.0,,K. Thompson makes 3-pt jump shot from 26 ft (assist by K. Durant),2,6
19,1,8:57.0,D. Schröder makes 2-pt jump shot from 16 ft (assist by K. Korver),,4,6
20,1,8:45.0,,Turnover by Z. Pachulia (lost ball; steal by D. Schröder),4,6
21,1,8:37.0,P. Millsap makes 3-pt jump shot from 24 ft (assist by D. Schröder),,7,6
22,1,8:37.0,,Golden State full timeout,7,6
23,1,8:24.0,,K. Durant misses 2-pt jump shot from 18 ft (block by K. Bazemore),7,6
24,1,8:23.0,Defensive rebound by P. Millsap,,7,6
25,1,8:13.0,Turnover by K. Bazemore (bad pass),,7,6
26,1,8:01.0,,K. Thompson misses 3-pt jump shot from 25 ft,7,6
27,1,8:01.0,Defensive rebound by K. Bazemore,,7,6
28,1,7:55.0,K. Korver misses 3-pt jump shot from 26 ft,,7,6
29,1,7:54.0,,Defensive rebound by S. Curry,7,6
30,1,7:45.0,,D. Green misses 2-pt jump shot from 13 ft,7,6
