,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,CHARLOTTE_ACTION,OKLAHOMA CITY_SCORE,CHARLOTTE_SCORE
0,1,11:43.0,S. Adams makes 2-pt hook shot from 7 ft,,2,0
1,1,11:25.0,,M. Williams misses 2-pt layup from 1 ft (block by S. Adams),2,0
2,1,11:22.0,Defensive rebound by R. Westbrook,,2,0
3,1,11:17.0,V. Oladipo misses 3-pt jump shot from 24 ft,,2,0
4,1,11:15.0,,Defensive rebound by M. Kidd-Gilchrist,2,0
5,1,11:06.0,,M. Kidd-Gilchrist makes 2-pt hook shot from 8 ft (assist by M. Williams),2,2
6,1,10:53.0,A. Roberson makes 2-pt layup from 3 ft (assist by R. Westbrook),,4,2
7,1,10:34.0,,M. Williams misses 3-pt jump shot from 25 ft,4,2
8,1,10:33.0,Defensive rebound by R. Westbrook,,4,2
9,1,10:19.0,V. Oladipo makes 2-pt jump shot from 12 ft,,6,2
10,1,10:13.0,Offensive charge foul by M. Williams (drawn by D. Sabonis),,6,2
11,1,10:13.0,,Turnover by M. Williams (offensive foul),6,2
12,1,9:48.0,V. Oladipo misses 2-pt layup from 1 ft,,6,2
13,1,9:46.0,Offensive rebound by Team,,6,2
14,1,9:35.0,R. Westbrook misses 3-pt jump shot from 25 ft,,6,2
15,1,9:34.0,,Defensive rebound by N. Batum,6,2
16,1,9:22.0,,K. Walker makes 3-pt jump shot from 24 ft,6,5
17,1,9:05.0,Turnover by V. Oladipo (bad pass; steal by K. Walker),,6,5
18,1,8:59.0,,N. Batum misses 2-pt layup from 1 ft,6,5
19,1,8:59.0,,Offensive rebound by Team,6,5
20,1,8:55.0,,Turnover by K. Walker (bad pass),6,5
21,1,8:40.0,R. Westbrook misses 2-pt layup from 2 ft,,6,5
22,1,8:38.0,,Defensive rebound by K. Walker,6,5
23,1,8:34.0,,M. Kidd-Gilchrist misses 2-pt layup from 3 ft,6,5
24,1,8:33.0,Defensive rebound by S. Adams,,6,5
25,1,8:30.0,R. Westbrook makes 2-pt layup from 2 ft (assist by S. Adams),,8,5
26,1,8:15.0,,N. Batum misses 3-pt jump shot from 24 ft,8,5
27,1,8:14.0,Defensive rebound by R. Westbrook,,8,5
28,1,8:10.0,V. Oladipo makes 2-pt jump shot from 13 ft (assist by R. Westbrook),,10,5
29,1,7:57.0,,Personal block foul by D. Sabonis (drawn by M. Kidd-Gilchrist),10,5
30,1,7:49.0,,K. Walker makes 2-pt layup from 1 ft,10,7
31,1,7:31.0,A. Roberson misses 2-pt jump shot from 6 ft,,10,7
32,1,7:30.0,Offensive rebound by S. Adams,,10,7
33,1,7:21.0,V. Oladipo misses 2-pt layup at rim,,10,7
34,1,7:20.0,,Defensive rebound by M. Kidd-Gilchrist,10,7
35,1,7:12.0,,M. Williams misses 3-pt jump shot from 24 ft,10,7
36,1,7:11.0,Defensive rebound by R. Westbrook,,10,7
37,1,7:06.0,R. Westbrook makes 2-pt jump shot from 17 ft,,12,7
38,1,6:42.0,,M. Williams misses 2-pt jump shot from 12 ft,12,7
39,1,6:40.0,,Offensive rebound by M. Williams,12,7
40,1,6:35.0,,N. Batum misses 3-pt jump shot from 25 ft,12,7
41,1,6:34.0,Defensive rebound by S. Adams,,12,7
42,1,6:28.0,R. Westbrook misses 2-pt jump shot from 10 ft (block by R. Hibbert),,12,7
43,1,6:25.0,,Defensive rebound by M. Williams,12,7
44,1,6:15.0,,R. Hibbert misses 2-pt jump shot from 17 ft,12,7
45,1,6:12.0,,Offensive rebound by N. Batum,12,7
46,1,6:12.0,,N. Batum makes 2-pt layup from 1 ft,12,9
47,1,6:10.0,Oklahoma City full timeout,,12,9
48,1,5:50.0,R. Westbrook misses 3-pt jump shot from 25 ft,,12,9
49,1,5:49.0,Offensive rebound by D. Sabonis,,12,9
50,1,5:39.0,D. Sabonis makes 2-pt hook shot from 6 ft,,14,9
51,1,5:25.0,,N. Batum makes 2-pt jump shot from 9 ft (assist by K. Walker),14,11
52,1,5:19.0,Personal foul by R. Hibbert (drawn by S. Adams),,14,11
53,1,5:19.0,,J. Lamb enters the game for N. Batum,14,11
54,1,5:19.0,Á. Abrines enters the game for V. Oladipo,,14,11
55,1,5:12.0,R. Westbrook misses 2-pt jump shot from 17 ft,,14,11
56,1,5:11.0,,Defensive rebound by M. Williams,14,11
57,1,5:00.0,,M. Williams misses 2-pt jump shot from 11 ft,14,11
58,1,4:59.0,Defensive rebound by D. Sabonis,,14,11
59,1,4:56.0,Shooting foul by R. Hibbert (drawn by R. Westbrook),,14,11
60,1,4:56.0,R. Westbrook makes free throw 1 of 2,,15,11
61,1,4:56.0,,F. Kaminsky enters the game for R. Hibbert,15,11
