,QUARTER,TIME_REMAINING,ATLANTA_ACTION,MIAMI_ACTION,ATLANTA_SCORE,MIAMI_SCORE
0,1,11:46.0,Turnover by D. Howard (offensive goaltending),,0,0
1,1,11:32.0,,D. Waiters misses 3-pt jump shot from 25 ft,0,0
2,1,11:31.0,,Offensive rebound by H. Whiteside,0,0
3,1,11:30.0,,H. Whiteside makes 2-pt jump shot from 12 ft,0,2
4,1,11:18.0,Turnover by K. Korver (bad pass; steal by D. Waiters),,0,2
5,1,11:14.0,,D. Waiters makes 2-pt layup from 1 ft,0,4
6,1,10:57.0,Turnover by D. Schröder (lost ball),,0,4
7,1,10:39.0,,D. Williams makes 2-pt jump shot from 12 ft,0,6
8,1,10:21.0,D. Schröder makes 2-pt layup from 1 ft,,2,6
9,1,10:05.0,,D. Waiters makes 3-pt jump shot from 23 ft (assist by D. Williams),2,9
10,1,9:55.0,D. Howard makes 2-pt layup from 1 ft (assist by D. Schröder),,4,9
11,1,9:31.0,,H. Whiteside misses 2-pt jump shot from 12 ft,4,9
12,1,9:30.0,Defensive rebound by D. Howard,,4,9
13,1,9:18.0,K. Bazemore misses 2-pt jump shot from 12 ft,,4,9
14,1,9:17.0,,Defensive rebound by H. Whiteside,4,9
15,1,9:06.0,,J. Richardson makes 2-pt jump shot from 19 ft,4,11
16,1,8:58.0,Shooting foul by D. Waiters (drawn by K. Bazemore),,4,11
17,1,8:58.0,K. Bazemore misses free throw 1 of 2,,4,11
18,1,8:58.0,Offensive rebound by Team,,4,11
19,1,8:58.0,K. Bazemore makes free throw 2 of 2,,5,11
20,1,8:48.0,,Offensive foul by H. Whiteside (drawn by D. Schröder),5,11
21,1,8:48.0,,Turnover by H. Whiteside (offensive foul),5,11
22,1,8:30.0,Personal foul by D. Williams (drawn by P. Millsap),,5,11
23,1,8:24.0,D. Schröder makes 2-pt jump shot from 17 ft,,7,11
24,1,8:10.0,,D. Waiters misses 2-pt layup from 1 ft,7,11
25,1,8:09.0,,Offensive rebound by H. Whiteside,7,11
26,1,8:08.0,,H. Whiteside misses 2-pt layup at rim,7,11
27,1,8:07.0,Defensive rebound by P. Millsap,,7,11
28,1,7:51.0,P. Millsap makes 2-pt jump shot from 9 ft,,9,11
29,1,7:33.0,,D. Williams misses 3-pt jump shot from 25 ft,9,11
30,1,7:32.0,Defensive rebound by K. Bazemore,,9,11
