,QUARTER,TIME_REMAINING,UTAH_ACTION,PHOENIX_ACTION,UTAH_SCORE,PHOENIX_SCORE
0,1,11:36.0,Turnover by G. Hill (bad pass),,0,0
1,1,11:19.0,,D. Booker misses 2-pt jump shot from 15 ft,0,0
2,1,11:17.0,Defensive rebound by G. Hill,,0,0
3,1,11:09.0,Turnover by J. Ingles (bad pass),,0,0
4,1,10:55.0,,D. Booker misses 3-pt jump shot from 23 ft,0,0
5,1,10:53.0,Defensive rebound by G. Hill,,0,0
6,1,10:47.0,G. Hill makes 2-pt jump shot from 16 ft,,2,0
7,1,10:39.0,,E. Bledsoe makes 2-pt layup from 1 ft,2,2
8,1,10:22.0,D. Favors misses 2-pt jump shot from 16 ft,,2,2
9,1,10:21.0,,Defensive rebound by M. Chriss,2,2
10,1,10:10.0,,E. Bledsoe misses 2-pt jump shot from 17 ft,2,2
11,1,10:07.0,Defensive rebound by G. Hayward,,2,2
12,1,10:00.0,R. Gobert makes 2-pt jump shot from 10 ft (assist by G. Hayward),,4,2
13,1,10:00.0,Shooting foul by M. Chriss (drawn by R. Gobert),,4,2
14,1,10:00.0,R. Gobert misses free throw 1 of 1,,4,2
15,1,9:59.0,Offensive rebound by R. Gobert,,4,2
16,1,9:54.0,G. Hill misses 3-pt jump shot from 26 ft,,4,2
17,1,9:51.0,Offensive rebound by R. Gobert,,4,2
18,1,9:51.0,R. Gobert misses 2-pt dunk at rim,,4,2
19,1,9:51.0,,Defensive rebound by Team,4,2
20,1,9:34.0,,E. Bledsoe misses 3-pt jump shot from 24 ft,4,2
21,1,9:32.0,Defensive rebound by R. Gobert,,4,2
22,1,9:30.0,Turnover by R. Gobert (bad pass),,4,2
23,1,9:21.0,,T. Warren misses 2-pt jump shot from 14 ft,4,2
24,1,9:20.0,,Offensive rebound by E. Bledsoe,4,2
25,1,9:16.0,,M. Chriss misses 3-pt jump shot from 24 ft,4,2
26,1,9:15.0,Defensive rebound by G. Hayward,,4,2
27,1,9:04.0,D. Favors makes 2-pt dunk at rim (assist by R. Gobert),,6,2
28,1,8:49.0,,Offensive foul by A. Len (drawn by J. Ingles),6,2
29,1,8:49.0,,Turnover by A. Len (offensive foul),6,2
30,1,8:31.0,Shooting foul by M. Chriss (drawn by G. Hayward),,6,2
31,1,8:31.0,G. Hayward makes free throw 1 of 2,,7,2
32,1,8:31.0,,D. Bender enters the game for M. Chriss,7,2
33,1,8:31.0,G. Hayward makes free throw 2 of 2,,8,2
34,1,8:13.0,,Turnover by D. Bender (lost ball; steal by J. Ingles),8,2
35,1,8:10.0,G. Hayward makes 2-pt dunk at rim (assist by J. Ingles),,10,2
36,1,8:09.0,,Phoenix full timeout,10,2
37,1,8:03.0,,Personal foul by J. Ingles (drawn by D. Booker),10,2
38,1,7:52.0,,E. Bledsoe makes 2-pt jump shot from 4 ft,10,4
39,1,7:29.0,D. Favors misses 2-pt jump shot from 18 ft,,10,4
40,1,7:27.0,Offensive rebound by R. Gobert,,10,4
41,1,7:27.0,R. Gobert misses 2-pt layup from 2 ft,,10,4
42,1,7:27.0,Offensive rebound by R. Gobert,,10,4
43,1,7:18.0,G. Hill misses 3-pt jump shot from 25 ft,,10,4
44,1,7:16.0,,Defensive rebound by A. Len,10,4
45,1,7:05.0,,E. Bledsoe misses 3-pt jump shot from 25 ft,10,4
46,1,7:03.0,Defensive rebound by R. Gobert,,10,4
47,1,6:42.0,D. Favors makes 2-pt hook shot from 4 ft (assist by G. Hayward),,12,4
48,1,6:17.0,,E. Bledsoe makes 3-pt jump shot from 24 ft,12,7
49,1,6:00.0,G. Hayward makes 3-pt jump shot from 23 ft,,15,7
50,1,5:43.0,,D. Booker makes 2-pt jump shot from 9 ft,15,9
51,1,5:29.0,Personal foul by T. Warren,,15,9
52,1,5:29.0,D. Exum enters the game for G. Hill,,15,9
53,1,5:29.0,T. Lyles enters the game for D. Favors,,15,9
54,1,5:19.0,R. Gobert misses 2-pt hook shot from 7 ft,,15,9
55,1,5:15.0,,Defensive rebound by D. Bender,15,9
56,1,5:11.0,,D. Bender makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),15,12
57,1,4:45.0,G. Hayward misses 2-pt jump shot from 18 ft,,15,12
58,1,4:42.0,,Defensive rebound by D. Bender,15,12
59,1,4:35.0,,A. Len makes 2-pt dunk at rim (assist by E. Bledsoe),15,14
60,1,4:34.0,Utah full timeout,,15,14
