,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,GOLDEN STATE_ACTION,MEMPHIS_SCORE,GOLDEN STATE_SCORE
0,1,11:44.0,,K. Durant makes 2-pt dunk at rim,0,2
1,1,11:28.0,Turnover by C. Parsons (bad pass),,0,2
2,1,11:15.0,,K. Thompson misses 2-pt jump shot from 4 ft,0,2
3,1,11:15.0,Defensive rebound by M. Conley,,0,2
4,1,11:08.0,T. Allen makes 2-pt layup from 2 ft (assist by M. Conley),,2,2
5,1,10:56.0,,S. Curry makes 2-pt hook shot from 4 ft,2,4
6,1,10:48.0,M. Gasol misses 3-pt jump shot from 26 ft,,2,4
7,1,10:48.0,,Defensive rebound by K. Thompson,2,4
8,1,10:35.0,,K. Durant misses 2-pt jump shot from 21 ft,2,4
9,1,10:34.0,Defensive rebound by J. Green,,2,4
10,1,10:19.0,C. Parsons misses 3-pt jump shot from 23 ft,,2,4
11,1,10:18.0,,Defensive rebound by S. Curry,2,4
12,1,10:11.0,,S. Curry misses 3-pt jump shot from 25 ft,2,4
13,1,10:11.0,Defensive rebound by M. Conley,,2,4
14,1,9:59.0,M. Conley makes 2-pt jump shot from 20 ft,,4,4
15,1,9:48.0,,K. Thompson misses 3-pt jump shot from 29 ft,4,4
16,1,9:48.0,Defensive rebound by M. Conley,,4,4
17,1,9:30.0,M. Conley misses 3-pt jump shot from 26 ft,,4,4
18,1,9:30.0,,Defensive rebound by D. Green,4,4
19,1,9:19.0,,Z. Pachulia makes 2-pt hook shot from 4 ft (assist by K. Thompson),4,6
20,1,9:02.0,M. Gasol makes 2-pt hook shot from 7 ft (assist by M. Conley),,6,6
21,1,8:44.0,,Personal foul by M. Gasol (drawn by Z. Pachulia),6,6
22,1,8:39.0,,S. Curry makes 2-pt layup from 1 ft (assist by Z. Pachulia),6,8
23,1,8:21.0,Turnover by M. Conley (bad pass),,6,8
24,1,8:06.0,,K. Thompson misses 2-pt jump shot from 5 ft,6,8
25,1,8:05.0,,Offensive rebound by K. Thompson,6,8
26,1,8:04.0,,K. Thompson misses 2-pt layup from 2 ft,6,8
27,1,8:04.0,,Offensive rebound by K. Thompson,6,8
28,1,8:02.0,,K. Thompson makes 2-pt jump shot from 4 ft,6,10
29,1,7:46.0,M. Gasol makes 2-pt jump shot from 11 ft (assist by M. Conley),,8,10
30,1,7:36.0,,Shooting block foul by C. Parsons (drawn by K. Durant),8,10
31,1,7:36.0,,K. Durant makes free throw 1 of 2,8,11
32,1,7:36.0,,K. Durant misses free throw 2 of 2,8,11
