,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,GOLDEN STATE_ACTION,NEW ORLEANS_SCORE,GOLDEN STATE_SCORE
0,1,11:45.0,,D. Green misses 2-pt jump shot from 4 ft,0,0
1,1,11:42.0,Defensive rebound by A. Davis,,0,0
2,1,11:29.0,A. Davis makes 2-pt jump shot from 18 ft,,2,0
3,1,11:21.0,,K. Thompson makes 2-pt layup from 1 ft (assist by Z. Pachulia),2,2
4,1,10:59.0,Ö. Aşık makes 2-pt dunk at rim (assist by E. Moore),,4,2
5,1,10:45.0,Violation by T. Frazier (kicked ball),,4,2
6,1,10:30.0,,Z. Pachulia misses 2-pt jump shot from 21 ft,4,2
7,1,10:30.0,Defensive rebound by A. Davis,,4,2
8,1,10:17.0,Shooting foul by D. Green (drawn by A. Davis),,4,2
9,1,10:17.0,A. Davis makes free throw 1 of 2,,5,2
10,1,10:17.0,A. Davis misses free throw 2 of 2,,5,2
11,1,10:15.0,,Defensive rebound by D. Green,5,2
12,1,10:05.0,,K. Thompson misses 3-pt jump shot from 26 ft,5,2
13,1,10:04.0,,Offensive rebound by S. Curry,5,2
14,1,10:04.0,,S. Curry makes 2-pt layup from 1 ft,5,4
15,1,9:58.0,New Orleans full timeout,,5,4
16,1,9:58.0,B. Hield enters the game for E. Moore,,5,4
17,1,9:47.0,S. Hill misses 3-pt jump shot from 24 ft,,5,4
18,1,9:46.0,,Defensive rebound by K. Thompson,5,4
19,1,9:33.0,,Turnover by K. Durant (bad pass),5,4
20,1,9:20.0,A. Davis makes 2-pt hook shot from 9 ft,,7,4
21,1,9:08.0,,K. Durant misses 2-pt jump shot from 17 ft,7,4
22,1,9:08.0,Defensive rebound by A. Davis,,7,4
23,1,9:01.0,S. Hill misses 2-pt jump shot from 18 ft,,7,4
24,1,9:01.0,,Defensive rebound by D. Green,7,4
25,1,8:50.0,,K. Thompson makes 2-pt jump shot from 20 ft (assist by D. Green),7,6
26,1,8:37.0,A. Davis misses 2-pt jump shot from 9 ft,,7,6
27,1,8:37.0,Offensive rebound by Ö. Aşık,,7,6
28,1,8:35.0,Ö. Aşık makes 2-pt dunk at rim,,9,6
29,1,8:23.0,,Turnover by K. Thompson (bad pass; steal by S. Hill),9,6
30,1,8:09.0,A. Davis makes 2-pt jump shot from 10 ft (assist by S. Hill),,11,6
