,QUARTER,TIME_REMAINING,NEW YORK_ACTION,DETROIT_ACTION,NEW YORK_SCORE,DETROIT_SCORE
0,1,11:46.0,,T. Harris misses 3-pt jump shot from 26 ft,0,0
1,1,11:46.0,Defensive rebound by C. Lee,,0,0
2,1,11:33.0,K. Porziņģis misses 2-pt jump shot from 9 ft (block by T. Harris),,0,0
3,1,11:32.0,,Defensive rebound by R. Jackson,0,0
4,1,11:25.0,,T. Harris makes 2-pt jump shot from 13 ft,0,2
5,1,11:03.0,W. Hernangómez makes 2-pt hook shot from 8 ft (assist by C. Lee),,2,2
6,1,10:36.0,,M. Morris misses 2-pt jump shot from 20 ft,2,2
7,1,10:36.0,Defensive rebound by C. Lee,,2,2
8,1,10:28.0,C. Lee misses 2-pt layup from 1 ft,,2,2
9,1,10:26.0,,Defensive rebound by A. Drummond,2,2
10,1,10:21.0,,K. Caldwell-Pope misses 3-pt jump shot from 27 ft,2,2
11,1,10:19.0,Defensive rebound by C. Anthony,,2,2
12,1,10:10.0,W. Hernangómez misses 2-pt layup from 1 ft,,2,2
13,1,10:08.0,Offensive rebound by W. Hernangómez,,2,2
14,1,10:05.0,W. Hernangómez makes 2-pt layup from 1 ft,,4,2
15,1,9:46.0,,A. Drummond makes 2-pt hook shot from 8 ft (assist by M. Morris),4,4
16,1,9:32.0,Turnover by D. Rose (lost ball; steal by K. Caldwell-Pope),,4,4
17,1,9:29.0,,Turnover by R. Jackson (lost ball; steal by D. Rose),4,4
18,1,9:23.0,D. Rose misses 2-pt jump shot from 7 ft,,4,4
19,1,9:23.0,Offensive rebound by D. Rose,,4,4
20,1,9:19.0,C. Lee makes 3-pt jump shot from 23 ft (assist by D. Rose),,7,4
21,1,9:04.0,,R. Jackson makes 3-pt jump shot from 25 ft,7,7
22,1,8:45.0,K. Porziņģis misses 2-pt jump shot from 6 ft (block by M. Morris),,7,7
23,1,8:44.0,,Defensive rebound by T. Harris,7,7
24,1,8:41.0,,K. Caldwell-Pope makes 2-pt layup from 1 ft (assist by T. Harris),7,9
25,1,8:29.0,K. Porziņģis makes 2-pt jump shot from 8 ft (assist by C. Anthony),,9,9
26,1,8:17.0,,T. Harris makes 3-pt jump shot from 26 ft (assist by K. Caldwell-Pope),9,12
27,1,7:57.0,Turnover by C. Lee (lost ball; steal by R. Jackson),,9,12
28,1,7:53.0,,R. Jackson makes 2-pt layup from 1 ft,9,14
29,1,7:53.0,New York full timeout,,9,14
30,1,7:30.0,W. Hernangómez misses 2-pt jump shot from 6 ft (block by A. Drummond),,9,14
31,1,7:30.0,,Defensive rebound by M. Morris,9,14
32,1,7:25.0,,T. Harris misses 2-pt jump shot from 12 ft,9,14
33,1,7:24.0,,Offensive rebound by T. Harris,9,14
34,1,7:21.0,,T. Harris makes 2-pt layup from 1 ft,9,16
35,1,7:10.0,Turnover by C. Anthony (bad pass; steal by A. Drummond),,9,16
36,1,6:49.0,,R. Jackson makes 3-pt jump shot from 26 ft,9,19
37,1,6:33.0,Turnover by D. Rose (bad pass; steal by K. Caldwell-Pope),,9,19
38,1,6:17.0,,T. Harris makes 2-pt jump shot from 17 ft,9,21
39,1,6:05.0,D. Rose makes 2-pt jump shot from 19 ft (assist by C. Anthony),,11,21
40,1,5:53.0,,Offensive foul by A. Drummond (drawn by C. Lee),11,21
41,1,5:53.0,,Turnover by A. Drummond (offensive foul),11,21
42,1,5:53.0,K. O'Quinn enters the game for W. Hernangómez,,11,21
43,1,5:29.0,C. Anthony makes 2-pt jump shot from 15 ft,,13,21
44,1,5:15.0,,R. Jackson misses 2-pt layup at rim,13,21
45,1,5:15.0,,Offensive rebound by A. Drummond,13,21
46,1,5:12.0,,A. Drummond misses 2-pt layup from 1 ft (block by K. Porziņģis),13,21
47,1,5:11.0,Defensive rebound by K. Porziņģis,,13,21
48,1,5:01.0,K. Porziņģis misses 2-pt jump shot from 5 ft,,13,21
49,1,5:01.0,Offensive rebound by K. Porziņģis,,13,21
50,1,5:01.0,Shooting foul by R. Jackson (drawn by K. Porziņģis),,13,21
51,1,5:01.0,K. Porziņģis misses free throw 1 of 2,,13,21
52,1,5:01.0,Offensive rebound by Team,,13,21
53,1,5:01.0,,I. Smith enters the game for R. Jackson,13,21
54,1,5:01.0,K. Porziņģis makes free throw 2 of 2,,14,21
55,1,4:47.0,,Shooting foul by K. Porziņģis (drawn by T. Harris),14,21
