,QUARTER,TIME_REMAINING,DALLAS_ACTION,TORONTO_ACTION,DALLAS_SCORE,TORONTO_SCORE
0,1,11:47.0,,D. DeRozan misses 2-pt jump shot from 16 ft,0,0
1,1,11:47.0,Defensive rebound by D. Nowitzki,,0,0
2,1,11:24.0,D. Nowitzki misses 2-pt jump shot from 15 ft,,0,0
3,1,11:23.0,,Defensive rebound by S. Ibaka,0,0
4,1,11:03.0,,J. Valančiūnas makes 2-pt jump shot from 9 ft,0,2
5,1,10:45.0,H. Barnes makes 2-pt dunk at rim (assist by W. Matthews),,2,2
6,1,10:27.0,,D. DeRozan misses 3-pt jump shot from 25 ft,2,2
7,1,10:26.0,Defensive rebound by Y. Ferrell,,2,2
8,1,10:16.0,D. Nowitzki makes 2-pt jump shot from 22 ft (assist by Y. Ferrell),,4,2
9,1,9:52.0,,S. Ibaka misses 2-pt jump shot from 19 ft,4,2
10,1,9:52.0,Defensive rebound by S. Curry,,4,2
11,1,9:40.0,Y. Ferrell misses 2-pt jump shot from 7 ft,,4,2
12,1,9:40.0,,Defensive rebound by S. Ibaka,4,2
13,1,9:33.0,,Personal foul by Y. Ferrell (drawn by D. DeRozan),4,2
14,1,9:20.0,,S. Ibaka misses 3-pt jump shot from 23 ft,4,2
15,1,9:20.0,,Offensive rebound by J. Valančiūnas,4,2
16,1,9:16.0,,J. Valančiūnas misses 2-pt layup from 2 ft,4,2
17,1,9:15.0,,Offensive rebound by J. Valančiūnas,4,2
18,1,9:14.0,,J. Valančiūnas misses 2-pt layup from 2 ft (block by D. Nowitzki),4,2
19,1,9:12.0,Defensive rebound by S. Curry,,4,2
20,1,9:04.0,H. Barnes makes 2-pt hook shot from 5 ft (assist by D. Nowitzki),,6,2
21,1,8:49.0,,D. DeRozan makes 2-pt jump shot from 8 ft (assist by N. Powell),6,4
22,1,8:36.0,D. Nowitzki makes 2-pt jump shot from 16 ft (assist by W. Matthews),,8,4
23,1,8:23.0,,C. Joseph makes 2-pt jump shot from 15 ft (assist by J. Valančiūnas),8,6
24,1,8:05.0,W. Matthews makes 2-pt jump shot from 7 ft,,10,6
25,1,7:52.0,,J. Valančiūnas misses 2-pt jump shot from 18 ft,10,6
26,1,7:52.0,,Offensive rebound by S. Ibaka,10,6
27,1,7:52.0,,Personal foul by H. Barnes (drawn by S. Ibaka),10,6
28,1,7:41.0,,Shooting foul by D. Nowitzki (drawn by J. Valančiūnas),10,6
29,1,7:41.0,,J. Valančiūnas misses free throw 1 of 2,10,6
30,1,7:41.0,,Offensive rebound by Team,10,6
31,1,7:41.0,,J. Valančiūnas makes free throw 2 of 2,10,7
32,1,7:26.0,H. Barnes misses 2-pt jump shot from 4 ft (block by S. Ibaka),,10,7
33,1,7:25.0,,Defensive rebound by N. Powell,10,7
34,1,7:20.0,,N. Powell makes 2-pt layup from 2 ft,10,9
35,1,7:20.0,Dallas full timeout,,10,9
36,1,7:02.0,D. Nowitzki makes 3-pt jump shot from 26 ft (assist by H. Barnes),,13,9
37,1,6:37.0,,J. Valančiūnas makes 2-pt dunk at rim (assist by C. Joseph),13,11
