,QUARTER,TIME_REMAINING,INDIANA_ACTION,DETROIT_ACTION,INDIANA_SCORE,DETROIT_SCORE
0,1,11:36.0,,T. Harris misses 2-pt jump shot from 19 ft,0,0
1,1,11:36.0,Defensive rebound by G. Robinson,,0,0
2,1,11:22.0,T. Young makes 2-pt layup from 1 ft (assist by P. George),,2,0
3,1,11:10.0,,T. Harris misses 3-pt jump shot from 26 ft,2,0
4,1,11:10.0,Defensive rebound by G. Robinson,,2,0
5,1,10:47.0,P. George misses 3-pt jump shot from 26 ft,,2,0
6,1,10:46.0,Offensive rebound by M. Turner,,2,0
7,1,10:32.0,J. Teague makes 2-pt jump shot from 7 ft,,4,0
8,1,10:09.0,,R. Jackson makes 3-pt jump shot from 23 ft (assist by T. Harris),4,3
9,1,9:54.0,G. Robinson makes 2-pt jump shot from 15 ft (assist by P. George),,6,3
10,1,9:35.0,,A. Drummond makes 2-pt hook shot from 7 ft (assist by M. Morris),6,5
11,1,9:24.0,Turnover by T. Young (bad pass; steal by K. Caldwell-Pope),,6,5
12,1,9:12.0,,A. Drummond makes 2-pt hook shot from 9 ft (assist by K. Caldwell-Pope),6,7
13,1,8:51.0,J. Teague misses 3-pt jump shot from 27 ft,,6,7
14,1,8:51.0,,Defensive rebound by A. Drummond,6,7
15,1,8:39.0,,T. Harris misses 2-pt jump shot from 12 ft,6,7
16,1,8:39.0,Defensive rebound by J. Teague,,6,7
17,1,8:36.0,Shooting foul by T. Harris (drawn by J. Teague),,6,7
18,1,8:36.0,J. Teague misses free throw 1 of 2,,6,7
19,1,8:36.0,Offensive rebound by Team,,6,7
20,1,8:36.0,J. Teague makes free throw 2 of 2,,7,7
21,1,8:21.0,,T. Harris makes 3-pt jump shot from 26 ft (assist by K. Caldwell-Pope),7,10
22,1,8:07.0,P. George misses 2-pt jump shot from 7 ft,,7,10
23,1,8:07.0,,Defensive rebound by T. Harris,7,10
24,1,8:00.0,,K. Caldwell-Pope makes 3-pt jump shot from 26 ft (assist by R. Jackson),7,13
25,1,7:54.0,Turnover by J. Teague (bad pass; steal by A. Drummond),,7,13
26,1,7:47.0,,K. Caldwell-Pope makes 3-pt jump shot from 25 ft,7,16
27,1,7:29.0,M. Turner makes 2-pt jump shot from 9 ft (assist by J. Teague),,9,16
28,1,7:14.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,9,16
29,1,7:13.0,Defensive rebound by M. Turner,,9,16
30,1,7:06.0,M. Turner makes 3-pt jump shot from 26 ft (assist by J. Teague),,12,16
31,1,6:45.0,,T. Harris misses 3-pt jump shot from 23 ft,12,16
32,1,6:44.0,Defensive rebound by P. George,,12,16
33,1,6:24.0,P. George makes 2-pt layup at rim,,14,16
34,1,6:12.0,,R. Jackson misses 2-pt layup at rim,14,16
35,1,6:12.0,,Offensive rebound by A. Drummond,14,16
36,1,6:12.0,,A. Drummond misses 2-pt layup at rim,14,16
37,1,6:12.0,,Offensive rebound by A. Drummond,14,16
38,1,5:58.0,,T. Harris makes 2-pt layup from 1 ft (assist by R. Jackson),14,18
39,1,5:49.0,J. Teague makes 2-pt layup from 1 ft,,16,18
40,1,5:41.0,,Shooting foul by J. Teague (drawn by R. Jackson),16,18
41,1,5:41.0,,Detroit full timeout,16,18
42,1,5:41.0,,R. Jackson makes free throw 1 of 2,16,19
43,1,5:41.0,,R. Jackson makes free throw 2 of 2,16,20
44,1,5:25.0,M. Turner misses 2-pt jump shot from 21 ft,,16,20
45,1,5:25.0,,Defensive rebound by R. Jackson,16,20
46,1,5:18.0,,A. Drummond misses 2-pt hook shot from 6 ft,16,20
47,1,5:16.0,Defensive rebound by G. Robinson,,16,20
48,1,5:04.0,P. George misses 2-pt jump shot from 17 ft,,16,20
49,1,5:04.0,,Defensive rebound by A. Drummond,16,20
50,1,4:59.0,,A. Drummond makes 2-pt layup from 1 ft (assist by R. Jackson),16,22
51,1,4:46.0,J. Teague misses 2-pt jump shot from 8 ft,,16,22
52,1,4:46.0,,Defensive rebound by K. Caldwell-Pope,16,22
53,1,4:18.0,,A. Drummond misses 2-pt jump shot from 21 ft,16,22
54,1,4:18.0,Defensive rebound by J. Teague,,16,22
55,1,4:08.0,T. Young makes 2-pt layup at rim (assist by J. Teague),,18,22
56,1,3:44.0,,R. Jackson makes 2-pt layup from 1 ft,18,24
57,1,3:34.0,J. Teague makes 2-pt layup at rim,,20,24
58,1,3:25.0,,R. Jackson misses 2-pt jump shot from 16 ft,20,24
59,1,3:25.0,Defensive rebound by M. Turner,,20,24
60,1,3:11.0,G. Robinson misses 3-pt jump shot from 25 ft,,20,24
61,1,3:11.0,,Defensive rebound by R. Jackson,20,24
62,1,3:00.0,,K. Caldwell-Pope misses 3-pt jump shot from 27 ft,20,24
63,1,2:59.0,Defensive rebound by J. Teague,,20,24
64,1,2:54.0,Indiana full timeout,,20,24
65,1,2:54.0,C. Miles enters the game for M. Turner,,20,24
66,1,2:54.0,A. Jefferson enters the game for G. Robinson,,20,24
67,1,2:54.0,,S. Johnson enters the game for M. Morris,20,24
68,1,2:54.0,,I. Smith enters the game for R. Jackson,20,24
69,1,2:44.0,A. Jefferson misses 2-pt jump shot from 7 ft (block by A. Drummond),,20,24
