,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,GOLDEN STATE_ACTION,SACRAMENTO_SCORE,GOLDEN STATE_SCORE
0,1,11:45.0,A. Afflalo makes 3-pt jump shot from 25 ft (assist by D. Collison),,3,0
1,1,11:27.0,,J. McGee makes 2-pt layup from 1 ft (assist by K. Durant),3,2
2,1,11:09.0,D. Cousins misses 2-pt jump shot from 19 ft,,3,2
3,1,11:08.0,,Defensive rebound by K. Durant,3,2
4,1,11:00.0,,J. McGee makes 2-pt layup from 1 ft (assist by K. Durant),3,4
5,1,10:40.0,K. Koufos misses 2-pt jump shot from 3 ft,,3,4
6,1,10:40.0,Offensive rebound by Team,,3,4
7,1,10:33.0,D. Cousins makes 2-pt hook shot from 8 ft,,5,4
8,1,10:23.0,,S. Curry misses 2-pt jump shot from 8 ft (block by D. Collison),5,4
9,1,10:21.0,Defensive rebound by K. Koufos,,5,4
10,1,10:16.0,Shooting foul by D. Green (drawn by K. Koufos),,5,4
11,1,10:16.0,K. Koufos misses free throw 1 of 2,,5,4
12,1,10:16.0,Offensive rebound by Team,,5,4
13,1,10:16.0,K. Koufos makes free throw 2 of 2,,6,4
14,1,10:00.0,,Turnover by D. Green (bad pass),6,4
15,1,9:43.0,K. Koufos misses 2-pt jump shot from 3 ft,,6,4
16,1,9:43.0,,Defensive rebound by K. Thompson,6,4
17,1,9:28.0,,S. Curry makes 2-pt layup from 2 ft (assist by K. Durant),6,6
18,1,9:08.0,B. McLemore misses 3-pt jump shot from 26 ft,,6,6
19,1,9:08.0,,Defensive rebound by D. Green,6,6
20,1,9:01.0,Violation by D. Cousins (kicked ball),,6,6
21,1,8:58.0,,K. Thompson makes 2-pt jump shot from 19 ft (assist by K. Durant),6,8
22,1,8:43.0,B. McLemore makes 3-pt jump shot from 23 ft (assist by A. Afflalo),,9,8
23,1,8:34.0,,S. Curry makes 2-pt jump shot from 10 ft,9,10
24,1,8:12.0,D. Cousins misses 2-pt jump shot from 16 ft,,9,10
25,1,8:12.0,Offensive rebound by Team,,9,10
26,1,8:06.0,D. Collison misses 2-pt jump shot from 6 ft,,9,10
27,1,8:05.0,Offensive rebound by Team,,9,10
28,1,7:56.0,B. McLemore misses 2-pt jump shot from 11 ft,,9,10
29,1,7:56.0,,Defensive rebound by J. McGee,9,10
30,1,7:52.0,,Shooting foul by K. Koufos (drawn by D. Green),9,10
31,1,7:52.0,,D. Green makes free throw 1 of 2,9,11
32,1,7:52.0,,D. Green makes free throw 2 of 2,9,12
33,1,7:35.0,Turnover by A. Afflalo (bad pass; steal by D. Green),,9,12
34,1,7:35.0,,Personal foul by B. McLemore (drawn by S. Curry),9,12
35,1,7:25.0,,S. Curry misses 2-pt jump shot from 18 ft,9,12
36,1,7:24.0,Defensive rebound by D. Cousins,,9,12
37,1,7:17.0,Turnover by D. Cousins (bad pass),,9,12
38,1,7:12.0,,K. Thompson makes 3-pt jump shot from 25 ft (assist by K. Durant),9,15
39,1,6:57.0,Turnover by D. Collison (lost ball; steal by K. Durant),,9,15
40,1,6:52.0,,K. Durant makes 2-pt dunk at rim (assist by K. Thompson),9,17
41,1,6:51.0,Sacramento full timeout,,9,17
42,1,6:31.0,A. Afflalo misses 3-pt jump shot from 25 ft,,9,17
43,1,6:30.0,,Defensive rebound by J. McGee,9,17
44,1,6:13.0,,K. Thompson makes 2-pt layup from 2 ft (assist by S. Curry),9,19
45,1,5:51.0,B. McLemore makes 3-pt jump shot from 24 ft (assist by D. Cousins),,12,19
46,1,5:35.0,,K. Durant misses 2-pt jump shot from 5 ft,12,19
47,1,5:34.0,,Offensive rebound by J. McGee,12,19
48,1,5:32.0,,K. Durant makes 2-pt jump shot from 19 ft (assist by J. McGee),12,21
49,1,5:19.0,Turnover by D. Cousins (traveling),,12,21
50,1,5:19.0,M. Richardson enters the game for A. Afflalo,,12,21
51,1,5:03.0,,J. McGee misses 2-pt layup from 3 ft,12,21
52,1,5:02.0,Defensive rebound by D. Cousins,,12,21
53,1,4:57.0,Personal foul by J. McGee (drawn by D. Cousins),,12,21
54,1,4:57.0,A. Tolliver enters the game for K. Koufos,,12,21
55,1,4:57.0,,A. Iguodala enters the game for D. Green,12,21
56,1,4:48.0,Shooting foul by A. Iguodala (drawn by A. Tolliver),,12,21
57,1,4:48.0,A. Tolliver makes free throw 1 of 2,,13,21
58,1,4:48.0,A. Tolliver misses free throw 2 of 2,,13,21
59,1,4:47.0,,Defensive rebound by J. McGee,13,21
60,1,4:39.0,,K. Durant misses 3-pt jump shot from 26 ft,13,21
61,1,4:38.0,Defensive rebound by B. McLemore,,13,21
62,1,4:30.0,D. Collison makes 2-pt layup from 2 ft (assist by A. Tolliver),,15,21
63,1,4:11.0,,K. Durant makes 3-pt jump shot from 25 ft (assist by A. Iguodala),15,24
64,1,3:52.0,D. Collison makes 2-pt layup from 1 ft (assist by D. Cousins),,17,24
65,1,3:43.0,,Turnover by S. Curry (lost ball),17,24
66,1,3:43.0,,K. Looney enters the game for J. McGee,17,24
67,1,3:43.0,,I. Clark enters the game for K. Thompson,17,24
