,QUARTER,TIME_REMAINING,UTAH_ACTION,MILWAUKEE_ACTION,UTAH_SCORE,MILWAUKEE_SCORE
0,1,11:47.0,D. Favors misses 2-pt layup from 3 ft,,0,0
1,1,11:46.0,,Defensive rebound by G. Antetokounmpo,0,0
2,1,11:24.0,,G. Antetokounmpo misses 2-pt jump shot from 21 ft,0,0
3,1,11:23.0,Defensive rebound by G. Hayward,,0,0
4,1,11:17.0,Shooting foul by M. Beasley (drawn by G. Hayward),,0,0
5,1,11:17.0,G. Hayward makes free throw 1 of 2,,1,0
6,1,11:17.0,G. Hayward misses free throw 2 of 2,,1,0
7,1,11:16.0,,Defensive rebound by Team,1,0
8,1,11:03.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,1,2
9,1,10:50.0,Turnover by D. Favors (traveling),,1,2
10,1,10:37.0,,M. Dellavedova misses 2-pt jump shot from 19 ft,1,2
11,1,10:35.0,,Offensive rebound by G. Antetokounmpo,1,2
12,1,10:35.0,,G. Antetokounmpo makes 2-pt dunk at rim,1,4
13,1,10:21.0,G. Hayward misses 3-pt jump shot from 27 ft,,1,4
14,1,10:19.0,,Defensive rebound by G. Antetokounmpo,1,4
15,1,10:15.0,,Shooting foul by G. Hayward (drawn by G. Antetokounmpo),1,4
16,1,10:15.0,,G. Antetokounmpo makes free throw 1 of 2,1,5
17,1,10:15.0,,G. Antetokounmpo misses free throw 2 of 2,1,5
18,1,10:14.0,Defensive rebound by R. Gobert,,1,5
19,1,9:56.0,R. Hood misses 3-pt jump shot from 25 ft,,1,5
20,1,9:54.0,,Defensive rebound by G. Antetokounmpo,1,5
21,1,9:45.0,,M. Beasley makes 2-pt jump shot from 11 ft,1,7
22,1,9:30.0,Shooting foul by T. Maker (drawn by R. Gobert),,1,7
23,1,9:30.0,R. Gobert makes free throw 1 of 2,,2,7
24,1,9:30.0,R. Gobert makes free throw 2 of 2,,3,7
25,1,9:18.0,,M. Beasley makes 2-pt layup from 1 ft,3,9
26,1,8:54.0,Turnover by G. Hayward (bad pass; steal by G. Antetokounmpo),,3,9
27,1,8:47.0,,M. Beasley makes 2-pt dunk at rim (assist by M. Dellavedova),3,11
28,1,8:47.0,Utah full timeout,,3,11
29,1,8:38.0,R. Hood misses 2-pt layup from 1 ft,,3,11
30,1,8:36.0,Offensive rebound by R. Gobert,,3,11
31,1,8:34.0,Turnover by R. Gobert (lost ball; steal by G. Antetokounmpo),,3,11
32,1,8:25.0,,G. Antetokounmpo misses 2-pt jump shot from 6 ft,3,11
33,1,8:24.0,,Offensive rebound by G. Antetokounmpo,3,11
34,1,8:21.0,,T. Maker misses 2-pt layup from 2 ft,3,11
35,1,8:19.0,Defensive rebound by D. Favors,,3,11
36,1,8:06.0,G. Hayward makes 2-pt dunk at rim,,5,11
37,1,7:43.0,,M. Beasley misses 3-pt jump shot from 23 ft,5,11
38,1,7:41.0,Defensive rebound by R. Gobert,,5,11
39,1,7:31.0,Personal foul by T. Maker (drawn by D. Favors),,5,11
40,1,7:31.0,,G. Monroe enters the game for T. Maker,5,11
41,1,7:31.0,,K. Middleton enters the game for M. Beasley,5,11
42,1,7:21.0,G. Hill makes 3-pt jump shot from 28 ft (assist by G. Hayward),,8,11
43,1,7:09.0,,K. Middleton misses 2-pt layup from 1 ft,8,11
44,1,7:07.0,Defensive rebound by D. Favors,,8,11
45,1,6:49.0,D. Favors makes 2-pt layup from 1 ft (assist by R. Gobert),,10,11
46,1,6:29.0,,Personal foul by R. Hood (drawn by G. Monroe),10,11
47,1,6:29.0,J. Johnson enters the game for D. Favors,,10,11
48,1,6:29.0,D. Exum enters the game for G. Hill,,10,11
49,1,6:25.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,10,11
50,1,6:23.0,Defensive rebound by R. Hood,,10,11
51,1,6:18.0,Shooting foul by T. Snell (drawn by G. Hayward),,10,11
52,1,6:18.0,G. Hayward makes free throw 1 of 2,,11,11
53,1,6:18.0,G. Hayward makes free throw 2 of 2,,12,11
54,1,6:10.0,,Def 3 sec tech foul by R. Gobert,12,11
55,1,6:10.0,,M. Dellavedova makes technical free throw,12,12
56,1,5:56.0,,Turnover by G. Antetokounmpo (lost ball),12,12
57,1,5:43.0,R. Gobert makes 2-pt dunk at rim (assist by J. Johnson),,14,12
58,1,5:26.0,,K. Middleton misses 2-pt jump shot from 7 ft,14,12
59,1,5:26.0,,Offensive rebound by G. Antetokounmpo,14,12
60,1,5:26.0,,Shooting foul by R. Hood (drawn by G. Antetokounmpo),14,12
61,1,5:26.0,,G. Antetokounmpo makes free throw 1 of 2,14,13
62,1,5:26.0,,G. Antetokounmpo misses free throw 2 of 2,14,13
63,1,5:26.0,J. Ingles enters the game for R. Hood,,14,13
64,1,5:26.0,,M. Brogdon enters the game for M. Dellavedova,14,13
65,1,5:25.0,Defensive rebound by R. Gobert,,14,13
66,1,5:11.0,Shooting foul by G. Monroe (drawn by R. Gobert),,14,13
67,1,5:11.0,R. Gobert makes free throw 1 of 2,,15,13
68,1,5:11.0,R. Gobert makes free throw 2 of 2,,16,13
69,1,5:01.0,,T. Snell misses 3-pt jump shot from 25 ft,16,13
70,1,5:00.0,Defensive rebound by R. Gobert,,16,13
71,1,4:49.0,R. Gobert makes 2-pt dunk at rim (assist by D. Exum),,18,13
72,1,4:49.0,,Milwaukee full timeout,18,13
73,1,4:49.0,,R. Vaughn enters the game for T. Snell,18,13
74,1,4:36.0,,Turnover by G. Antetokounmpo (bad pass),18,13
75,1,4:23.0,G. Hayward makes 2-pt layup from 1 ft (assist by R. Gobert),,20,13
76,1,4:23.0,Shooting foul by G. Antetokounmpo (drawn by G. Hayward),,20,13
77,1,4:23.0,G. Hayward makes free throw 1 of 1,,21,13
