,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,TORONTO_ACTION,CLEVELAND_SCORE,TORONTO_SCORE
0,1,11:38.0,,D. Carroll misses 3-pt jump shot from 25 ft,0,0
1,1,11:37.0,,Offensive rebound by J. Valančiūnas,0,0
2,1,11:37.0,,J. Valančiūnas misses 2-pt layup from 3 ft,0,0
3,1,11:35.0,Defensive rebound by Team,,0,0
4,1,11:23.0,K. Love makes 2-pt jump shot from 14 ft (assist by L. James),,2,0
5,1,11:04.0,,J. Valančiūnas misses 2-pt jump shot from 13 ft,2,0
6,1,11:04.0,Defensive rebound by L. James,,2,0
7,1,10:55.0,L. James misses 2-pt jump shot from 5 ft,,2,0
8,1,10:55.0,Offensive rebound by Team,,2,0
9,1,10:50.0,K. Irving makes 2-pt jump shot from 5 ft,,4,0
10,1,10:36.0,,Turnover by K. Lowry (bad pass; steal by J. Smith),4,0
11,1,10:31.0,L. James makes 2-pt dunk at rim (assist by K. Irving),,6,0
12,1,10:23.0,,K. Lowry makes 3-pt jump shot from 27 ft,6,3
13,1,10:21.0,Cleveland full timeout,,6,3
14,1,10:04.0,T. Thompson makes 2-pt hook shot from 8 ft,,8,3
15,1,9:44.0,,P. Siakam makes 2-pt jump shot from 17 ft (assist by D. Carroll),8,5
16,1,9:33.0,L. James misses 2-pt jump shot from 20 ft,,8,5
17,1,9:32.0,,Defensive rebound by P. Siakam,8,5
18,1,9:21.0,,D. DeRozan makes 2-pt jump shot from 20 ft (assist by K. Lowry),8,7
19,1,9:05.0,K. Irving makes 3-pt jump shot from 25 ft,,11,7
20,1,8:54.0,,D. DeRozan misses 2-pt jump shot from 19 ft,11,7
21,1,8:54.0,Defensive rebound by K. Love,,11,7
22,1,8:44.0,Turnover by J. Smith (lost ball; steal by K. Lowry),,11,7
23,1,8:38.0,,K. Lowry makes 2-pt layup from 1 ft,11,9
24,1,8:23.0,K. Love misses 3-pt jump shot from 24 ft,,11,9
25,1,8:22.0,,Defensive rebound by J. Valančiūnas,11,9
26,1,8:09.0,,P. Siakam makes 2-pt jump shot from 17 ft (assist by D. DeRozan),11,11
27,1,7:48.0,K. Love makes 2-pt jump shot from 19 ft (assist by T. Thompson),,13,11
28,1,7:23.0,,K. Lowry makes 3-pt jump shot from 30 ft (assist by D. Carroll),13,14
29,1,7:09.0,J. Smith misses 3-pt jump shot from 26 ft,,13,14
30,1,7:08.0,,Defensive rebound by K. Lowry,13,14
31,1,6:57.0,,P. Siakam misses 2-pt layup from 3 ft (block by T. Thompson),13,14
32,1,6:56.0,Defensive rebound by K. Love,,13,14
33,1,6:55.0,Personal foul by D. DeRozan (drawn by L. James),,13,14
34,1,6:46.0,Turnover by K. Irving (bad pass; steal by D. DeRozan),,13,14
35,1,6:42.0,,D. DeRozan makes 2-pt layup at rim,13,16
36,1,6:27.0,Turnover by K. Irving (bad pass; steal by P. Siakam),,13,16
37,1,6:24.0,,Personal block foul by K. Irving (drawn by K. Lowry),13,16
38,1,6:17.0,,Turnover by D. Carroll (lost ball; steal by L. James),13,16
39,1,6:02.0,L. James makes 2-pt jump shot from 11 ft,,15,16
40,1,5:43.0,,J. Valančiūnas misses 2-pt jump shot from 16 ft,15,16
41,1,5:43.0,Defensive rebound by L. James,,15,16
42,1,5:33.0,K. Love makes 3-pt jump shot from 27 ft (assist by K. Irving),,18,16
43,1,5:22.0,,Toronto full timeout,18,16
44,1,5:22.0,,C. Joseph enters the game for K. Lowry,18,16
45,1,5:06.0,,D. Carroll misses 2-pt jump shot from 6 ft,18,16
46,1,5:05.0,Defensive rebound by T. Thompson,,18,16
47,1,4:53.0,K. Love makes 3-pt jump shot from 25 ft (assist by K. Irving),,21,16
48,1,4:36.0,,C. Joseph makes 2-pt jump shot from 13 ft,21,18
49,1,4:21.0,K. Love makes 3-pt jump shot from 26 ft (assist by L. James),,24,18
50,1,4:01.0,,D. Carroll misses 3-pt jump shot from 24 ft,24,18
51,1,4:00.0,,Offensive rebound by Team,24,18
52,1,4:00.0,Loose ball foul by K. Love (drawn by J. Valančiūnas),,24,18
53,1,4:00.0,,P. Patterson enters the game for P. Siakam,24,18
54,1,3:54.0,,D. DeRozan makes 2-pt jump shot from 19 ft (assist by C. Joseph),24,20
55,1,3:28.0,K. Love misses 2-pt jump shot from 9 ft,,24,20
56,1,3:27.0,Offensive rebound by T. Thompson,,24,20
57,1,3:26.0,T. Thompson makes 2-pt dunk at rim,,26,20
58,1,3:10.0,,D. Carroll misses 3-pt jump shot from 24 ft,26,20
59,1,3:10.0,Defensive rebound by K. Love,,26,20
60,1,3:00.0,Personal foul by C. Joseph (drawn by K. Love),,26,20
61,1,3:00.0,R. Jefferson enters the game for L. James,,26,20
62,1,3:00.0,I. Shumpert enters the game for K. Irving,,26,20
63,1,3:00.0,,T. Ross enters the game for D. Carroll,26,20
64,1,2:52.0,Personal foul by C. Joseph (drawn by I. Shumpert),,26,20
65,1,2:42.0,K. Love misses 2-pt jump shot from 17 ft,,26,20
66,1,2:41.0,,Defensive rebound by J. Valančiūnas,26,20
67,1,2:31.0,,J. Valančiūnas misses 2-pt layup from 2 ft (block by R. Jefferson),26,20
68,1,2:31.0,,Offensive rebound by Team,26,20
69,1,2:19.0,,C. Joseph makes 3-pt jump shot from 25 ft (assist by T. Ross),26,23
