,QUARTER,TIME_REMAINING,NEW YORK_ACTION,MILWAUKEE_ACTION,NEW YORK_SCORE,MILWAUKEE_SCORE
0,1,11:35.0,K. Porziņģis misses 2-pt jump shot from 14 ft,,0,0
1,1,11:33.0,,Defensive rebound by T. Snell,0,0
2,1,11:21.0,,K. Middleton makes 2-pt jump shot from 19 ft (assist by G. Antetokounmpo),0,2
3,1,11:01.0,Turnover by W. Hernangómez (lost ball; steal by K. Middleton),,0,2
4,1,10:56.0,,T. Maker misses 2-pt layup from 1 ft (block by W. Hernangómez),0,2
5,1,10:54.0,Defensive rebound by C. Anthony,,0,2
6,1,10:37.0,C. Lee makes 2-pt jump shot from 14 ft (assist by C. Anthony),,2,2
7,1,10:16.0,,T. Maker misses 3-pt jump shot from 27 ft,2,2
8,1,10:16.0,Defensive rebound by Team,,2,2
9,1,10:00.0,Turnover by K. Porziņģis (lost ball; steal by G. Antetokounmpo),,2,2
10,1,9:57.0,,T. Maker makes 2-pt dunk at rim (assist by K. Middleton),2,4
11,1,9:40.0,Turnover by D. Rose (lost ball; steal by G. Antetokounmpo),,2,4
12,1,9:27.0,,G. Antetokounmpo misses 2-pt jump shot from 21 ft,2,4
13,1,9:26.0,Defensive rebound by C. Lee,,2,4
14,1,9:17.0,Turnover by W. Hernangómez (bad pass; steal by G. Antetokounmpo),,2,4
15,1,9:12.0,,T. Maker makes 2-pt dunk at rim (assist by G. Antetokounmpo),2,6
16,1,8:54.0,K. Porziņģis misses 2-pt jump shot from 13 ft,,2,6
17,1,8:53.0,,Defensive rebound by T. Maker,2,6
18,1,8:40.0,,K. Middleton makes 3-pt jump shot from 25 ft (assist by M. Brogdon),2,9
19,1,8:22.0,Turnover by K. Porziņģis (lost ball; steal by G. Antetokounmpo),,2,9
20,1,8:19.0,,T. Snell makes 2-pt dunk at rim (assist by G. Antetokounmpo),2,11
21,1,8:19.0,New York full timeout,,2,11
