,QUARTER,TIME_REMAINING,INDIANA_ACTION,OKLAHOMA CITY_ACTION,INDIANA_SCORE,OKLAHOMA CITY_SCORE
0,1,11:45.0,,Turnover by S. Adams (lost ball),0,0
1,1,11:26.0,J. Teague makes 2-pt layup from 1 ft (assist by T. Young),,2,0
2,1,11:12.0,,S. Adams misses 2-pt hook shot from 4 ft,2,0
3,1,11:09.0,,Offensive rebound by D. Sabonis,2,0
4,1,11:08.0,,D. Sabonis misses 2-pt hook shot from 3 ft,2,0
5,1,11:07.0,Defensive rebound by M. Turner,,2,0
6,1,10:57.0,J. Teague misses 2-pt jump shot from 4 ft,,2,0
7,1,10:57.0,,Defensive rebound by S. Adams,2,0
8,1,10:55.0,,Turnover by S. Adams (lost ball; steal by J. Teague),2,0
9,1,10:46.0,J. Teague makes 2-pt layup at rim,,4,0
10,1,10:34.0,,R. Westbrook makes 2-pt layup from 1 ft,4,2
11,1,10:24.0,Turnover by T. Young (lost ball; steal by V. Oladipo),,4,2
12,1,10:18.0,,V. Oladipo misses 2-pt layup from 2 ft,4,2
13,1,10:17.0,Defensive rebound by G. Robinson,,4,2
14,1,10:12.0,G. Robinson misses 2-pt layup from 1 ft,,4,2
15,1,10:11.0,,Defensive rebound by V. Oladipo,4,2
16,1,10:06.0,,Turnover by V. Oladipo (lost ball; steal by T. Young),4,2
17,1,10:01.0,G. Robinson makes 2-pt layup from 2 ft (assist by J. Teague),,6,2
18,1,9:49.0,,V. Oladipo misses 2-pt jump shot from 14 ft,6,2
19,1,9:49.0,,Offensive rebound by S. Adams,6,2
20,1,9:41.0,,D. Sabonis makes 3-pt jump shot from 22 ft (assist by R. Westbrook),6,5
21,1,9:26.0,J. Teague makes 3-pt jump shot from 25 ft (assist by M. Ellis),,9,5
22,1,9:06.0,,S. Adams misses 2-pt layup from 1 ft,9,5
23,1,9:05.0,,Offensive rebound by S. Adams,9,5
24,1,9:04.0,,S. Adams makes 2-pt dunk at rim,9,7
25,1,8:46.0,M. Turner misses 2-pt jump shot from 17 ft,,9,7
26,1,8:45.0,,Defensive rebound by A. Roberson,9,7
27,1,8:40.0,,V. Oladipo makes 2-pt layup from 1 ft (assist by R. Westbrook),9,9
28,1,8:22.0,T. Young makes 3-pt jump shot from 24 ft (assist by M. Ellis),,12,9
29,1,8:06.0,,D. Sabonis makes 2-pt jump shot from 19 ft (assist by R. Westbrook),12,11
30,1,7:46.0,Turnover by M. Ellis (bad pass),,12,11
31,1,7:37.0,,A. Roberson makes 3-pt jump shot from 22 ft (assist by R. Westbrook),12,14
