,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,BOSTON_ACTION,GOLDEN STATE_SCORE,BOSTON_SCORE
0,1,11:43.0,,A. Johnson makes 2-pt layup from 1 ft (assist by I. Thomas),0,2
1,1,11:26.0,K. Durant makes 2-pt jump shot from 20 ft (assist by Z. Pachulia),,2,2
2,1,11:10.0,,Turnover by I. Thomas (bad pass; steal by S. Curry),2,2
3,1,11:06.0,S. Curry misses 2-pt layup from 1 ft,,2,2
4,1,11:03.0,,Defensive rebound by A. Bradley,2,2
5,1,10:59.0,,M. Smart makes 3-pt jump shot from 25 ft (assist by A. Bradley),2,5
6,1,10:40.0,,Offensive charge foul by K. Durant (drawn by K. Olynyk),2,5
7,1,10:40.0,Turnover by K. Durant (offensive foul),,2,5
8,1,10:27.0,,K. Olynyk misses 2-pt layup from 1 ft,2,5
9,1,10:26.0,Defensive rebound by Z. Pachulia,,2,5
10,1,10:18.0,Z. Pachulia misses 2-pt layup from 1 ft,,2,5
11,1,10:17.0,,Defensive rebound by K. Olynyk,2,5
12,1,10:04.0,,A. Johnson misses 2-pt layup from 2 ft (block by S. Curry),2,5
13,1,10:03.0,,Offensive rebound by Team,2,5
14,1,9:59.0,,A. Bradley misses 2-pt jump shot from 14 ft,2,5
15,1,9:58.0,Defensive rebound by Z. Pachulia,,2,5
16,1,9:52.0,K. Thompson makes 3-pt jump shot from 26 ft (assist by S. Curry),,5,5
17,1,9:22.0,,M. Smart makes 3-pt jump shot from 25 ft (assist by K. Olynyk),5,8
18,1,9:09.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by D. Green),,8,8
19,1,8:58.0,,K. Olynyk misses 3-pt jump shot from 25 ft,8,8
20,1,8:56.0,,Offensive rebound by A. Bradley,8,8
21,1,8:48.0,,A. Johnson makes 2-pt layup at rim (assist by A. Bradley),8,10
22,1,8:38.0,K. Durant misses 2-pt jump shot from 13 ft,,8,10
23,1,8:37.0,,Defensive rebound by I. Thomas,8,10
24,1,8:25.0,,A. Bradley misses 2-pt layup from 2 ft,8,10
25,1,8:24.0,Defensive rebound by Z. Pachulia,,8,10
26,1,8:17.0,Turnover by S. Curry (bad pass; steal by M. Smart),,8,10
27,1,8:11.0,,M. Smart misses 2-pt jump shot from 22 ft,8,10
28,1,8:10.0,Defensive rebound by Z. Pachulia,,8,10
29,1,7:48.0,D. Green makes 2-pt layup from 2 ft (assist by Z. Pachulia),,10,10
30,1,7:40.0,,Turnover by A. Johnson (bad pass; steal by S. Curry),10,10
31,1,7:35.0,S. Curry misses 2-pt layup from 2 ft (block by A. Johnson),,10,10
32,1,7:33.0,Offensive rebound by Z. Pachulia,,10,10
33,1,7:28.0,S. Curry makes 2-pt hook shot from 6 ft (assist by Z. Pachulia),,12,10
34,1,7:03.0,,M. Smart makes 2-pt jump shot from 14 ft (assist by A. Johnson),12,12
35,1,6:51.0,Shooting foul by K. Olynyk (drawn by K. Durant),,12,12
36,1,6:51.0,K. Durant makes free throw 1 of 2,,13,12
37,1,6:51.0,K. Durant makes free throw 2 of 2,,14,12
38,1,6:38.0,,Turnover by A. Bradley (bad pass; steal by Z. Pachulia),14,12
39,1,6:30.0,K. Thompson misses 2-pt layup from 1 ft,,14,12
40,1,6:29.0,Offensive rebound by Z. Pachulia,,14,12
41,1,6:29.0,Z. Pachulia misses 2-pt layup from 2 ft,,14,12
42,1,6:28.0,Offensive rebound by K. Thompson,,14,12
43,1,6:26.0,K. Thompson misses 2-pt layup from 2 ft,,14,12
44,1,6:25.0,Offensive rebound by Z. Pachulia,,14,12
45,1,6:25.0,Z. Pachulia makes 2-pt layup at rim,,16,12
46,1,6:18.0,,Boston full timeout,16,12
47,1,6:18.0,,J. Jerebko enters the game for K. Olynyk,16,12
48,1,6:06.0,,A. Johnson misses 2-pt hook shot from 8 ft,16,12
49,1,6:05.0,Defensive rebound by K. Durant,,16,12
50,1,5:54.0,K. Thompson makes 2-pt jump shot from 14 ft (assist by D. Green),,18,12
51,1,5:36.0,,M. Smart misses 2-pt jump shot from 7 ft,18,12
52,1,5:35.0,Defensive rebound by Z. Pachulia,,18,12
53,1,5:29.0,K. Durant makes 3-pt jump shot from 25 ft,,21,12
54,1,5:10.0,,I. Thomas makes 2-pt jump shot from 13 ft,21,14
55,1,5:00.0,D. Green misses 3-pt jump shot from 25 ft,,21,14
56,1,4:59.0,,Defensive rebound by A. Bradley,21,14
57,1,4:41.0,,I. Thomas makes 2-pt jump shot from 10 ft,21,16
58,1,4:39.0,Golden State full timeout,,21,16
59,1,4:39.0,,J. Brown enters the game for A. Bradley,21,16
60,1,4:39.0,J. McAdoo enters the game for K. Durant,,21,16
61,1,4:39.0,A. Iguodala enters the game for Z. Pachulia,,21,16
62,1,4:26.0,Turnover by K. Thompson (lost ball; steal by M. Smart),,21,16
63,1,4:10.0,,J. Brown misses 3-pt jump shot from 25 ft,21,16
