,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,MINNESOTA_ACTION,LA LAKERS_SCORE,MINNESOTA_SCORE
0,1,11:40.0,,A. Wiggins makes 2-pt jump shot from 19 ft (assist by G. Dieng),0,2
1,1,11:19.0,L. Deng makes 3-pt jump shot from 25 ft (assist by T. Mozgov),,3,2
2,1,11:00.0,,R. Rubio misses 3-pt jump shot from 24 ft,3,2
3,1,10:59.0,Defensive rebound by J. Randle,,3,2
4,1,10:47.0,N. Young misses 3-pt jump shot from 23 ft,,3,2
5,1,10:46.0,,Defensive rebound by N. Bjelica,3,2
6,1,10:40.0,,R. Rubio makes 2-pt layup from 1 ft,3,4
7,1,10:27.0,N. Young makes 2-pt jump shot from 20 ft (assist by D. Russell),,5,4
8,1,10:04.0,,K. Towns misses 3-pt jump shot from 26 ft,5,4
9,1,10:02.0,,Offensive rebound by N. Bjelica,5,4
10,1,9:51.0,,K. Towns misses 3-pt jump shot from 25 ft,5,4
11,1,9:49.0,Defensive rebound by T. Mozgov,,5,4
12,1,9:39.0,Turnover by J. Randle (bad pass; steal by N. Bjelica),,5,4
13,1,9:37.0,,Turnover by N. Bjelica (bad pass),5,4
14,1,9:21.0,L. Deng misses 3-pt jump shot from 25 ft,,5,4
15,1,9:20.0,,Defensive rebound by G. Dieng,5,4
16,1,9:11.0,,N. Bjelica makes 2-pt layup from 1 ft (assist by G. Dieng),5,6
17,1,9:11.0,,Shooting foul by D. Russell (drawn by N. Bjelica),5,6
18,1,9:11.0,,N. Bjelica makes free throw 1 of 1,5,7
19,1,8:58.0,D. Russell makes 3-pt jump shot from 25 ft (assist by J. Randle),,8,7
20,1,8:47.0,,K. Towns misses 2-pt jump shot from 5 ft,8,7
21,1,8:46.0,Defensive rebound by D. Russell,,8,7
22,1,8:40.0,Shooting foul by G. Dieng (drawn by N. Young),,8,7
23,1,8:40.0,N. Young makes free throw 1 of 2,,9,7
24,1,8:40.0,N. Young makes free throw 2 of 2,,10,7
25,1,8:27.0,,R. Rubio makes 2-pt layup from 1 ft,10,9
26,1,8:17.0,D. Russell misses 3-pt jump shot from 25 ft,,10,9
27,1,8:15.0,Offensive rebound by T. Mozgov,,10,9
28,1,8:15.0,T. Mozgov makes 2-pt dunk at rim,,12,9
29,1,8:04.0,,K. Towns makes 2-pt layup at rim (assist by R. Rubio),12,11
30,1,7:47.0,T. Mozgov makes 2-pt hook shot from 4 ft (assist by D. Russell),,14,11
31,1,7:37.0,,G. Dieng misses 2-pt jump shot from 15 ft,14,11
32,1,7:36.0,Defensive rebound by T. Mozgov,,14,11
33,1,7:33.0,Personal block foul by R. Rubio (drawn by D. Russell),,14,11
34,1,7:16.0,T. Mozgov misses 2-pt jump shot from 16 ft,,14,11
35,1,7:15.0,,Defensive rebound by K. Towns,14,11
36,1,7:04.0,,K. Towns misses 2-pt jump shot from 6 ft (block by T. Mozgov),14,11
37,1,7:01.0,,Offensive rebound by K. Towns,14,11
38,1,7:00.0,,R. Rubio makes 2-pt jump shot from 16 ft (assist by K. Towns),14,13
39,1,6:46.0,Shooting foul by G. Dieng (drawn by L. Deng),,14,13
40,1,6:46.0,L. Deng makes free throw 1 of 2,,15,13
41,1,6:46.0,,C. Aldrich enters the game for G. Dieng,15,13
42,1,6:46.0,L. Deng makes free throw 2 of 2,,16,13
43,1,6:34.0,,A. Wiggins makes 2-pt jump shot from 10 ft,16,15
44,1,6:21.0,Turnover by D. Russell (lost ball; steal by C. Aldrich),,16,15
45,1,6:16.0,,N. Bjelica makes 2-pt layup from 1 ft (assist by R. Rubio),16,17
46,1,6:15.0,LA Lakers full timeout,,16,17
47,1,5:57.0,N. Young misses 3-pt jump shot from 25 ft (block by C. Aldrich),,16,17
48,1,5:56.0,,Defensive rebound by K. Towns,16,17
49,1,5:35.0,,K. Towns misses 2-pt jump shot from 18 ft,16,17
50,1,5:32.0,Defensive rebound by J. Randle,,16,17
51,1,5:25.0,Turnover by J. Randle (lost ball; steal by R. Rubio),,16,17
52,1,5:19.0,,R. Rubio makes 3-pt jump shot from 25 ft (assist by N. Bjelica),16,20
53,1,4:57.0,J. Randle makes 2-pt jump shot from 18 ft (assist by N. Young),,18,20
54,1,4:45.0,,C. Aldrich makes 2-pt dunk at rim (assist by R. Rubio),18,22
55,1,4:18.0,N. Young misses 3-pt jump shot from 26 ft,,18,22
56,1,4:17.0,,Defensive rebound by K. Towns,18,22
57,1,4:11.0,,Shooting foul by J. Randle (drawn by A. Wiggins),18,22
58,1,4:11.0,,A. Wiggins makes free throw 1 of 2,18,23
59,1,4:11.0,L. Williams enters the game for D. Russell,,18,23
60,1,4:11.0,J. Clarkson enters the game for N. Young,,18,23
61,1,4:11.0,B. Ingram enters the game for L. Deng,,18,23
62,1,4:11.0,,K. Dunn enters the game for R. Rubio,18,23
63,1,4:11.0,,A. Wiggins makes free throw 2 of 2,18,24
64,1,3:54.0,Turnover by L. Williams (bad pass; steal by C. Aldrich),,18,24
65,1,3:45.0,,K. Towns misses 2-pt layup at rim (block by T. Mozgov),18,24
66,1,3:43.0,,Offensive rebound by C. Aldrich,18,24
67,1,3:32.0,,A. Wiggins makes 3-pt jump shot from 25 ft (assist by C. Aldrich),18,27
68,1,3:12.0,J. Clarkson makes 2-pt jump shot from 20 ft,,20,27
69,1,2:59.0,,Shooting foul by T. Mozgov (drawn by A. Wiggins),20,27
70,1,2:59.0,,Minnesota full timeout,20,27
71,1,2:59.0,,A. Wiggins makes free throw 1 of 2,20,28
72,1,2:59.0,L. Nance enters the game for J. Randle,,20,27
73,1,2:59.0,T. Black enters the game for T. Mozgov,,20,27
74,1,2:59.0,,A. Wiggins makes free throw 2 of 2,20,29
75,1,2:44.0,T. Black misses 2-pt layup from 1 ft,,20,29
76,1,2:43.0,,Defensive rebound by K. Towns,20,29
77,1,2:21.0,,K. Dunn misses 2-pt jump shot from 6 ft,20,29
78,1,2:20.0,Defensive rebound by L. Nance,,20,29
79,1,2:10.0,B. Ingram misses 2-pt jump shot from 15 ft (block by A. Wiggins),,20,29
80,1,2:08.0,,Defensive rebound by K. Dunn,20,29
81,1,2:04.0,,A. Wiggins makes 2-pt layup from 2 ft (assist by K. Dunn),20,31
82,1,1:42.0,L. Nance misses 3-pt jump shot from 23 ft,,20,31
83,1,1:41.0,,Defensive rebound by C. Aldrich,20,31
84,1,1:35.0,,K. Towns makes 2-pt jump shot from 21 ft (assist by K. Dunn),20,33
85,1,1:19.0,Shooting foul by C. Aldrich (drawn by B. Ingram),,20,33
86,1,1:19.0,B. Ingram misses free throw 1 of 2,,20,33
87,1,1:19.0,Offensive rebound by Team,,20,33
88,1,1:19.0,,T. Jones enters the game for A. Wiggins,20,33
89,1,1:19.0,B. Ingram makes free throw 2 of 2,,21,33
90,1,1:06.0,,C. Aldrich misses 2-pt layup from 2 ft,21,33
91,1,1:04.0,Defensive rebound by L. Nance,,21,33
92,1,0:59.0,Personal foul by K. Dunn (drawn by J. Clarkson),,21,33
93,1,0:59.0,J. Clarkson makes free throw 1 of 2,,22,33
94,1,0:59.0,J. Clarkson makes free throw 2 of 2,,23,33
95,1,0:42.0,,Shooting foul by L. Nance (drawn by K. Towns),23,33
96,1,0:42.0,,K. Towns makes free throw 1 of 2,23,34
97,1,0:42.0,,K. Towns misses free throw 2 of 2,23,34
98,1,0:41.0,Defensive rebound by B. Ingram,,23,34
99,1,0:33.0,L. Williams makes 2-pt jump shot from 22 ft,,25,34
100,1,0:23.0,,K. Towns misses 2-pt jump shot from 19 ft,25,34
101,1,0:22.0,Defensive rebound by L. Nance,,25,34
102,1,0:04.0,L. Williams misses 2-pt jump shot from 8 ft,,25,34
103,1,0:04.0,,Defensive rebound by Team,25,34
104,1,0:04.0,Loose ball foul by L. Nance (drawn by K. Dunn),,25,34
105,1,0:04.0,,K. Dunn makes free throw 1 of 2,25,35
106,1,0:04.0,,K. Dunn makes free throw 2 of 2,25,36
107,1,0:01.0,Personal foul by N. Bjelica (drawn by B. Ingram),,25,36
108,1,0:01.0,B. Ingram makes free throw 1 of 2,,26,36
109,1,0:01.0,B. Ingram makes free throw 2 of 2,,27,36
110,2,11:45.0,B. Ingram makes 2-pt dunk at rim (assist by L. Williams),,29,36
111,2,11:20.0,,T. Jones misses 3-pt jump shot from 25 ft,29,36
112,2,11:19.0,Defensive rebound by J. Clarkson,,29,36
113,2,11:13.0,J. Clarkson makes 2-pt jump shot from 21 ft,,31,36
114,2,11:06.0,,Minnesota full timeout,31,36
115,2,11:06.0,,A. Wiggins enters the game for N. Bjelica,31,36
116,2,11:06.0,,A. Payne enters the game for K. Towns,31,36
117,2,10:51.0,,A. Payne makes 3-pt jump shot from 25 ft (assist by T. Jones),31,39
118,2,10:38.0,Turnover by B. Ingram (bad pass; steal by C. Aldrich),,31,39
119,2,10:34.0,,Shooting foul by T. Black (drawn by K. Dunn),31,39
120,2,10:34.0,,K. Dunn misses free throw 1 of 2,31,39
121,2,10:34.0,,Offensive rebound by Team,31,39
122,2,10:34.0,,K. Dunn makes free throw 2 of 2,31,40
123,2,10:17.0,L. Nance makes 2-pt dunk at rim (assist by J. Clarkson),,33,40
124,2,10:01.0,,Turnover by T. Jones (bad pass; steal by J. Clarkson),33,40
125,2,9:55.0,J. Clarkson makes 2-pt jump shot from 8 ft,,35,40
126,2,9:40.0,,A. Wiggins misses 2-pt jump shot from 21 ft (block by B. Ingram),35,40
127,2,9:38.0,Defensive rebound by L. Williams,,35,40
128,2,9:29.0,L. Nance makes 2-pt jump shot from 3 ft (assist by L. Williams),,37,40
129,2,9:14.0,,Personal foul by T. Black (drawn by A. Wiggins),37,40
130,2,9:01.0,,C. Aldrich misses 2-pt jump shot from 3 ft (block by T. Black),37,40
131,2,8:59.0,Defensive rebound by L. Williams,,37,40
132,2,8:56.0,Shooting foul by T. Jones (drawn by L. Williams),,37,40
133,2,8:56.0,L. Williams makes free throw 1 of 2,,38,40
134,2,8:56.0,,G. Dieng enters the game for C. Aldrich,38,40
135,2,8:56.0,L. Williams makes free throw 2 of 2,,39,40
136,2,8:38.0,,Personal foul by B. Ingram (drawn by K. Dunn),39,40
137,2,8:27.0,,K. Dunn makes 2-pt layup from 1 ft (assist by T. Jones),39,42
138,2,8:27.0,,Shooting foul by L. Williams (drawn by K. Dunn),39,42
139,2,8:27.0,,K. Dunn misses free throw 1 of 1,39,42
140,2,8:25.0,,Offensive rebound by A. Payne,39,42
141,2,8:12.0,,A. Wiggins misses 2-pt layup from 2 ft (block by T. Black),39,42
142,2,8:11.0,,Offensive rebound by A. Wiggins,39,42
143,2,8:11.0,,A. Wiggins makes 2-pt layup from 1 ft,39,44
144,2,8:11.0,,Shooting foul by T. Black (drawn by A. Wiggins),39,44
145,2,8:11.0,T. Robinson enters the game for T. Black,,39,44
146,2,8:11.0,,A. Wiggins makes free throw 1 of 1,39,45
147,2,7:59.0,Turnover by L. Williams (traveling),,39,45
148,2,7:45.0,,A. Wiggins misses 2-pt jump shot from 17 ft,39,45
149,2,7:44.0,Defensive rebound by L. Williams,,39,45
150,2,7:36.0,J. Clarkson makes 2-pt jump shot from 10 ft,,41,45
151,2,7:16.0,,A. Wiggins makes 2-pt layup from 1 ft,41,47
152,2,7:16.0,,Shooting foul by B. Ingram (drawn by A. Wiggins),41,47
153,2,7:16.0,,A. Wiggins misses free throw 1 of 1,41,47
154,2,7:16.0,,R. Rubio enters the game for K. Dunn,41,47
155,2,7:16.0,D. Russell enters the game for L. Williams,,41,47
156,2,7:14.0,Defensive rebound by T. Robinson,,41,47
157,2,6:50.0,D. Russell misses 3-pt jump shot from 25 ft,,41,47
158,2,6:49.0,,Defensive rebound by A. Wiggins,41,47
159,2,6:37.0,,A. Payne makes 3-pt jump shot from 25 ft (assist by A. Wiggins),41,50
160,2,6:36.0,LA Lakers full timeout,,41,50
161,2,6:36.0,N. Young enters the game for J. Clarkson,,41,50
162,2,6:36.0,L. Deng enters the game for B. Ingram,,41,50
163,2,6:36.0,J. Randle enters the game for L. Nance,,41,50
164,2,6:36.0,T. Mozgov enters the game for T. Robinson,,41,50
165,2,6:20.0,J. Randle misses 2-pt jump shot from 8 ft,,41,50
166,2,6:18.0,,Defensive rebound by G. Dieng,41,50
167,2,6:04.0,,A. Payne makes 2-pt jump shot from 20 ft (assist by A. Wiggins),41,52
168,2,5:48.0,Offensive foul by D. Russell (drawn by A. Wiggins),,41,52
169,2,5:48.0,Turnover by D. Russell (offensive foul),,41,52
170,2,5:48.0,,N. Bjelica enters the game for T. Jones,41,52
171,2,5:30.0,,Turnover by R. Rubio (bad pass; steal by D. Russell),41,52
172,2,5:06.0,L. Deng misses 2-pt jump shot from 18 ft,,41,52
173,2,5:05.0,,Defensive rebound by G. Dieng,41,52
174,2,4:50.0,,Turnover by G. Dieng (bad pass),41,52
175,2,4:32.0,D. Russell misses 2-pt layup from 1 ft,,41,52
176,2,4:29.0,Offensive rebound by J. Randle,,41,52
177,2,4:25.0,D. Russell misses 3-pt jump shot from 25 ft,,41,52
178,2,4:23.0,,Defensive rebound by R. Rubio,41,52
179,2,4:15.0,,A. Payne misses 2-pt layup from 2 ft,41,52
180,2,4:14.0,Defensive rebound by T. Mozgov,,41,52
181,2,4:09.0,Shooting foul by A. Payne (drawn by J. Randle),,41,52
182,2,4:09.0,J. Randle makes free throw 1 of 2,,42,52
183,2,4:09.0,J. Randle misses free throw 2 of 2,,42,52
184,2,4:09.0,,K. Towns enters the game for A. Payne,42,52
185,2,4:08.0,,Defensive rebound by K. Towns,42,52
186,2,3:57.0,,Shooting foul by T. Mozgov (drawn by K. Towns),42,52
187,2,3:57.0,,K. Towns makes free throw 1 of 2,42,53
188,2,3:57.0,,K. Towns makes free throw 2 of 2,42,54
189,2,3:43.0,D. Russell makes 2-pt jump shot from 7 ft,,44,54
190,2,3:43.0,Shooting foul by N. Bjelica (drawn by D. Russell),,44,54
191,2,3:43.0,D. Russell misses free throw 1 of 1,,44,54
192,2,3:43.0,,Defensive rebound by G. Dieng,44,54
193,2,3:31.0,,Shooting foul by T. Mozgov (drawn by K. Towns),44,54
