,QUARTER,TIME_REMAINING,HOUSTON_ACTION,DENVER_ACTION,HOUSTON_SCORE,DENVER_SCORE
0,1,11:45.0,,Turnover by D. Gallinari (bad pass; steal by T. Ariza),0,0
1,1,11:40.0,C. Capela makes 2-pt dunk at rim (assist by T. Ariza),,2,0
2,1,11:22.0,,J. Nurkić misses 2-pt layup from 2 ft,2,0
3,1,11:22.0,Defensive rebound by R. Anderson,,2,0
4,1,11:03.0,J. Harden misses 2-pt jump shot from 6 ft (block by J. Nurkić),,2,0
5,1,11:01.0,,Defensive rebound by W. Barton,2,0
6,1,10:56.0,,K. Faried makes 2-pt dunk at rim (assist by W. Barton),2,2
7,1,10:44.0,T. Ariza makes 3-pt jump shot from 23 ft (assist by R. Anderson),,5,2
8,1,10:34.0,,D. Gallinari misses 3-pt jump shot from 26 ft,5,2
9,1,10:33.0,Defensive rebound by C. Capela,,5,2
10,1,10:24.0,Turnover by J. Harden (bad pass; steal by J. Nurkić),,5,2
11,1,10:18.0,,K. Faried makes 2-pt layup from 2 ft (assist by E. Mudiay),5,4
12,1,10:07.0,R. Anderson makes 3-pt jump shot from 28 ft (assist by P. Beverley),,8,4
13,1,9:48.0,,Shooting foul by C. Capela (drawn by D. Gallinari),8,4
14,1,9:48.0,,D. Gallinari makes free throw 1 of 2,8,5
15,1,9:48.0,,D. Gallinari makes free throw 2 of 2,8,6
16,1,9:38.0,T. Ariza makes 3-pt jump shot from 25 ft (assist by J. Harden),,11,6
17,1,9:38.0,,Denver full timeout,11,6
18,1,9:14.0,,J. Nurkić makes 2-pt dunk at rim (assist by D. Gallinari),11,8
19,1,8:54.0,R. Anderson makes 3-pt jump shot from 27 ft (assist by P. Beverley),,14,8
20,1,8:43.0,,J. Nurkić misses 2-pt layup from 3 ft (block by J. Harden),14,8
21,1,8:41.0,,Offensive rebound by J. Nurkić,14,8
22,1,8:40.0,,Turnover by J. Nurkić (lost ball; steal by T. Ariza),14,8
23,1,8:35.0,R. Anderson misses 3-pt jump shot from 26 ft,,14,8
24,1,8:35.0,,Defensive rebound by Team,14,8
25,1,8:32.0,,W. Chandler enters the game for K. Faried,14,8
