,QUARTER,TIME_REMAINING,TORONTO_ACTION,LA LAKERS_ACTION,TORONTO_SCORE,LA LAKERS_SCORE
0,1,11:49.0,Offensive foul by J. Valančiūnas (drawn by N. Young),,0,0
1,1,11:49.0,Turnover by J. Valančiūnas (offensive foul),,0,0
2,1,11:32.0,,D. Russell misses 2-pt jump shot from 11 ft,0,0
3,1,11:30.0,Defensive rebound by J. Valančiūnas,,0,0
4,1,11:22.0,Shooting foul by T. Mozgov (drawn by D. Carroll),,0,0
5,1,11:22.0,D. Carroll makes free throw 1 of 2,,1,0
6,1,11:22.0,D. Carroll makes free throw 2 of 2,,2,0
7,1,11:05.0,,J. Randle misses 2-pt layup from 3 ft (block by P. Siakam),2,0
8,1,11:03.0,Defensive rebound by P. Siakam,,2,0
9,1,10:54.0,D. Carroll makes 3-pt jump shot from 24 ft (assist by K. Lowry),,5,0
10,1,10:37.0,,T. Mozgov misses 2-pt hook shot from 6 ft,5,0
11,1,10:34.0,Defensive rebound by P. Siakam,,5,0
12,1,10:30.0,Turnover by K. Lowry (bad pass; steal by D. Russell),,5,0
13,1,10:24.0,,N. Young makes 3-pt jump shot from 24 ft (assist by D. Russell),5,3
14,1,10:02.0,D. DeRozan makes 2-pt jump shot from 20 ft,,7,3
15,1,9:49.0,,Turnover by N. Young (lost ball; steal by J. Valančiūnas),7,3
16,1,9:44.0,Turnover by D. Carroll (lost ball; steal by N. Young),,7,3
17,1,9:38.0,,N. Young makes 3-pt jump shot from 25 ft,7,6
18,1,9:25.0,Shooting foul by N. Young (drawn by D. DeRozan),,7,6
19,1,9:25.0,D. DeRozan makes free throw 1 of 2,,8,6
20,1,9:25.0,D. DeRozan makes free throw 2 of 2,,9,6
21,1,9:03.0,,Shooting foul by D. Carroll (drawn by J. Randle),9,6
22,1,9:03.0,,J. Randle makes free throw 1 of 2,9,7
23,1,9:03.0,,J. Randle makes free throw 2 of 2,9,8
24,1,8:50.0,D. DeRozan makes 2-pt jump shot from 19 ft (assist by K. Lowry),,11,8
25,1,8:24.0,,T. Mozgov misses 2-pt hook shot from 4 ft,11,8
26,1,8:21.0,Defensive rebound by P. Siakam,,11,8
27,1,8:15.0,D. DeRozan makes 2-pt jump shot from 22 ft,,13,8
28,1,8:07.0,,Shooting foul by D. DeRozan (drawn by T. Mozgov),13,8
29,1,8:07.0,,T. Mozgov makes free throw 1 of 2,13,9
30,1,8:07.0,,T. Mozgov makes free throw 2 of 2,13,10
31,1,7:52.0,D. DeRozan misses 2-pt jump shot from 6 ft,,13,10
32,1,7:52.0,,Defensive rebound by J. Randle,13,10
33,1,7:32.0,,N. Young misses 2-pt jump shot from 22 ft,13,10
34,1,7:28.0,Defensive rebound by J. Valančiūnas,,13,10
35,1,7:19.0,J. Valančiūnas makes 2-pt jump shot from 11 ft (assist by K. Lowry),,15,10
36,1,7:07.0,,L. Deng misses 2-pt jump shot from 22 ft,15,10
37,1,7:06.0,Defensive rebound by J. Valančiūnas,,15,10
38,1,6:56.0,P. Siakam misses 2-pt hook shot from 10 ft,,15,10
39,1,6:53.0,,Defensive rebound by J. Randle,15,10
40,1,6:49.0,,Shooting foul by P. Siakam (drawn by J. Randle),15,10
41,1,6:49.0,,J. Randle makes free throw 1 of 2,15,11
42,1,6:49.0,,J. Randle makes free throw 2 of 2,15,12
43,1,6:34.0,K. Lowry makes 2-pt jump shot from 8 ft,,17,12
44,1,6:22.0,,D. Russell makes 3-pt jump shot from 26 ft,17,15
45,1,6:09.0,Turnover by K. Lowry (bad pass),,17,15
46,1,6:03.0,,N. Young makes 3-pt jump shot from 25 ft (assist by D. Russell),17,18
47,1,5:56.0,Toronto full timeout,,17,18
48,1,5:56.0,T. Ross enters the game for D. Carroll,,17,18
49,1,5:56.0,L. Nogueira enters the game for P. Siakam,,17,18
50,1,5:55.0,Turnover by T. Ross (bad pass),,17,18
51,1,5:35.0,,Shooting foul by T. Ross (drawn by J. Randle),17,18
