,QUARTER,TIME_REMAINING,CHICAGO_ACTION,DENVER_ACTION,CHICAGO_SCORE,DENVER_SCORE
0,1,11:41.0,T. Gibson misses 2-pt jump shot from 7 ft,,0,0
1,1,11:40.0,,Defensive rebound by J. Nurkić,0,0
2,1,11:18.0,,K. Faried misses 2-pt hook shot from 7 ft,0,0
3,1,11:18.0,Defensive rebound by R. Rondo,,0,0
4,1,11:07.0,J. Butler makes 2-pt jump shot from 19 ft (assist by R. Rondo),,2,0
5,1,10:54.0,,W. Barton misses 2-pt jump shot from 20 ft,2,0
6,1,10:53.0,Defensive rebound by J. Butler,,2,0
7,1,10:45.0,Turnover by R. Rondo (bad pass; steal by K. Faried),,2,0
8,1,10:36.0,,D. Gallinari misses 2-pt layup from 2 ft,2,0
9,1,10:34.0,,Offensive rebound by K. Faried,2,0
10,1,10:33.0,,K. Faried makes 2-pt layup from 3 ft,2,2
11,1,10:20.0,T. Gibson makes 2-pt jump shot from 6 ft,,4,2
12,1,10:01.0,,W. Barton misses 2-pt jump shot from 16 ft,4,2
13,1,10:01.0,Defensive rebound by R. Rondo,,4,2
14,1,9:50.0,R. Lopez makes 2-pt jump shot from 17 ft (assist by J. Butler),,6,2
15,1,9:35.0,,W. Barton misses 2-pt jump shot from 3 ft (block by R. Lopez),6,2
16,1,9:34.0,,Offensive rebound by W. Barton,6,2
17,1,9:31.0,,Turnover by W. Barton (bad pass; steal by R. Lopez),6,2
18,1,9:16.0,D. Wade misses 2-pt jump shot from 8 ft,,6,2
19,1,9:15.0,,Defensive rebound by K. Faried,6,2
20,1,9:09.0,,W. Barton misses 2-pt jump shot from 3 ft (block by J. Butler),6,2
21,1,9:07.0,Defensive rebound by R. Rondo,,6,2
22,1,9:01.0,J. Butler makes 3-pt jump shot from 25 ft (assist by R. Rondo),,9,2
23,1,9:01.0,,Denver full timeout,9,2
24,1,8:45.0,,Personal foul by D. Wade (drawn by K. Faried),9,2
25,1,8:36.0,,E. Mudiay makes 3-pt jump shot from 25 ft (assist by J. Nurkić),9,5
26,1,8:24.0,D. Wade misses 2-pt layup from 3 ft (block by J. Nurkić),,9,5
27,1,8:23.0,,Defensive rebound by Team,9,5
28,1,8:08.0,,W. Barton misses 3-pt jump shot from 26 ft,9,5
29,1,8:07.0,Defensive rebound by J. Butler,,9,5
30,1,7:51.0,J. Butler makes 2-pt jump shot from 14 ft,,11,5
31,1,7:38.0,,D. Gallinari makes 2-pt jump shot from 8 ft,11,7
32,1,7:21.0,R. Rondo makes 3-pt jump shot from 23 ft (assist by T. Gibson),,14,7
33,1,7:04.0,,D. Gallinari makes 2-pt dunk at rim (assist by K. Faried),14,9
34,1,6:48.0,R. Lopez misses 2-pt hook shot from 5 ft,,14,9
35,1,6:48.0,,Defensive rebound by K. Faried,14,9
36,1,6:41.0,,Shooting foul by T. Gibson (drawn by K. Faried),14,9
37,1,6:41.0,,K. Faried makes free throw 1 of 2,14,10
38,1,6:41.0,,K. Faried misses free throw 2 of 2,14,10
39,1,6:39.0,,Offensive rebound by Team,14,10
40,1,6:24.0,,J. Nurkić misses 2-pt jump shot from 6 ft,14,10
41,1,6:24.0,Defensive rebound by T. Gibson,,14,10
42,1,6:18.0,R. Rondo misses 2-pt jump shot from 3 ft (block by J. Nurkić),,14,10
43,1,6:18.0,Offensive rebound by Team,,14,10
44,1,6:01.0,D. Wade makes 3-pt jump shot from 23 ft (assist by R. Lopez),,17,10
45,1,5:39.0,,Turnover by E. Mudiay (bad pass; steal by D. Wade),17,10
46,1,5:34.0,D. Wade makes 2-pt dunk at rim,,19,10
47,1,5:10.0,,D. Gallinari makes 2-pt layup from 2 ft,19,12
48,1,4:47.0,R. Rondo makes 2-pt layup from 1 ft,,21,12
49,1,4:31.0,,E. Mudiay misses 3-pt jump shot from 25 ft,21,12
50,1,4:30.0,Defensive rebound by J. Butler,,21,12
51,1,4:13.0,T. Gibson makes 2-pt jump shot from 12 ft (assist by R. Rondo),,23,12
52,1,4:13.0,,Denver full timeout,23,12
53,1,4:13.0,I. Canaan enters the game for T. Gibson,,23,12
54,1,4:13.0,N. Mirotić enters the game for D. Wade,,23,12
55,1,4:13.0,D. Valentine enters the game for R. Rondo,,23,12
56,1,4:13.0,,J. Nelson enters the game for J. Nurkić,23,12
57,1,4:13.0,,N. Jokić enters the game for K. Faried,23,12
58,1,4:13.0,,W. Chandler enters the game for E. Mudiay,23,12
59,1,4:13.0,,J. Murray enters the game for W. Barton,23,12
60,1,3:47.0,,J. Murray makes 2-pt jump shot from 22 ft (assist by J. Nelson),23,14
61,1,3:26.0,Shooting foul by D. Gallinari (drawn by J. Butler),,23,14
62,1,3:26.0,J. Butler misses free throw 1 of 2,,23,14
63,1,3:26.0,Offensive rebound by Team,,23,14
64,1,3:26.0,J. Butler makes free throw 2 of 2,,24,14
65,1,3:08.0,,W. Chandler misses 2-pt jump shot from 6 ft,24,14
66,1,3:07.0,Defensive rebound by N. Mirotić,,24,14
67,1,2:52.0,J. Butler makes 2-pt layup from 3 ft (assist by D. Valentine),,26,14
68,1,2:30.0,,J. Nelson makes 3-pt jump shot from 26 ft (assist by W. Chandler),26,17
69,1,2:03.0,R. Lopez makes 2-pt hook shot from 7 ft,,28,17
70,1,1:43.0,,W. Chandler misses 2-pt jump shot from 5 ft,28,17
71,1,1:42.0,Defensive rebound by R. Lopez,,28,17
72,1,1:29.0,N. Mirotić makes 3-pt jump shot from 28 ft (assist by J. Butler),,31,17
73,1,1:11.0,,N. Jokić makes 2-pt jump shot from 20 ft,31,19
74,1,0:53.0,N. Mirotić misses 2-pt jump shot from 15 ft,,31,19
75,1,0:52.0,,Defensive rebound by W. Chandler,31,19
76,1,0:40.0,,J. Nelson misses 2-pt jump shot from 6 ft,31,19
77,1,0:39.0,Defensive rebound by R. Lopez,,31,19
78,1,0:30.0,R. Lopez misses 2-pt jump shot from 20 ft,,31,19
79,1,0:29.0,,Defensive rebound by J. Nelson,31,19
80,1,0:20.0,,W. Chandler misses 3-pt jump shot from 25 ft,31,19
81,1,0:19.0,Defensive rebound by J. Butler,,31,19
82,1,0:04.0,Personal take foul by J. Murray (drawn by J. Butler),,31,19
83,1,0:04.0,Chicago full timeout,,31,19
84,1,0:04.0,,J. Hernangómez enters the game for D. Gallinari,31,19
85,1,0:01.0,J. Butler misses 3-pt jump shot from 27 ft,,31,19
86,1,0:00.0,Offensive rebound by Team,,31,19
87,2,11:42.0,,J. Murray makes 2-pt layup from 2 ft (assist by N. Jokić),31,21
88,2,11:28.0,B. Portis misses 2-pt layup from 3 ft,,31,21
89,2,11:27.0,,Defensive rebound by N. Jokić,31,21
90,2,11:19.0,,W. Chandler misses 2-pt jump shot from 5 ft,31,21
91,2,11:17.0,,Offensive rebound by W. Chandler,31,21
92,2,11:17.0,,W. Chandler makes 2-pt layup from 2 ft,31,23
93,2,10:56.0,D. Wade misses 2-pt jump shot from 4 ft,,31,23
94,2,10:53.0,,Defensive rebound by J. Nelson,31,23
95,2,10:51.0,,J. Hernangómez makes 2-pt layup from 1 ft (assist by J. Murray),31,25
96,2,10:51.0,,Shooting foul by N. Mirotić (drawn by J. Hernangómez),31,25
97,2,10:51.0,,J. Hernangómez makes free throw 1 of 1,31,26
98,2,10:31.0,D. Wade misses 2-pt jump shot from 16 ft,,31,26
99,2,10:31.0,,Defensive rebound by J. Murray,31,26
100,2,10:21.0,,W. Chandler misses 2-pt jump shot from 20 ft,31,26
101,2,10:20.0,,Offensive rebound by J. Murray,31,26
102,2,10:19.0,,N. Jokić makes 2-pt jump shot from 3 ft (assist by J. Murray),31,28
103,2,10:18.0,Chicago full timeout,,31,28
104,2,10:02.0,I. Canaan misses 3-pt jump shot from 25 ft,,31,28
105,2,10:01.0,,Defensive rebound by W. Chandler,31,28
106,2,9:55.0,,Personal foul by N. Mirotić (drawn by N. Jokić),31,28
107,2,9:55.0,R. Rondo enters the game for D. Valentine,,31,28
108,2,9:46.0,,J. Murray makes 2-pt jump shot from 14 ft (assist by J. Nelson),31,30
109,2,9:37.0,B. Portis misses 2-pt layup from 1 ft (block by J. Nelson),,31,30
110,2,9:35.0,,Defensive rebound by N. Jokić,31,30
