,QUARTER,TIME_REMAINING,HOUSTON_ACTION,DALLAS_ACTION,HOUSTON_SCORE,DALLAS_SCORE
0,1,11:39.0,Turnover by E. Gordon (bad pass; steal by H. Barnes),,0,0
1,1,11:20.0,,A. Bogut misses 2-pt hook shot from 7 ft,0,0
2,1,11:19.0,Defensive rebound by J. Harden,,0,0
3,1,11:10.0,Turnover by J. Harden (bad pass),,0,0
4,1,10:54.0,,Personal foul by E. Gordon,0,0
5,1,10:43.0,,D. Williams makes 2-pt layup from 1 ft,0,2
6,1,10:25.0,T. Ariza makes 3-pt jump shot from 24 ft (assist by E. Gordon),,3,2
7,1,10:12.0,,H. Barnes misses 2-pt jump shot from 6 ft,3,2
8,1,10:11.0,,Offensive rebound by J. Barea,3,2
9,1,10:09.0,,J. Barea makes 2-pt jump shot from 17 ft,3,4
10,1,9:59.0,E. Gordon makes 3-pt jump shot from 24 ft (assist by J. Harden),,6,4
11,1,9:43.0,,H. Barnes makes 2-pt jump shot from 18 ft,6,6
12,1,9:27.0,T. Ariza misses 2-pt jump shot from 15 ft,,6,6
13,1,9:26.0,,Defensive rebound by A. Bogut,6,6
14,1,9:14.0,,W. Matthews misses 3-pt jump shot from 23 ft,6,6
15,1,9:14.0,Defensive rebound by T. Ariza,,6,6
16,1,9:09.0,J. Harden misses 2-pt layup from 1 ft,,6,6
17,1,9:06.0,Offensive rebound by C. Capela,,6,6
18,1,9:06.0,C. Capela misses 2-pt layup from 2 ft,,6,6
19,1,9:05.0,,Defensive rebound by W. Matthews,6,6
20,1,8:53.0,,J. Barea makes 2-pt layup from 1 ft,6,8
21,1,8:28.0,Shooting foul by J. Barea (drawn by T. Ariza),,6,8
22,1,8:28.0,T. Ariza makes free throw 1 of 3,,7,8
23,1,8:28.0,T. Ariza makes free throw 2 of 3,,8,8
24,1,8:28.0,T. Ariza makes free throw 3 of 3,,9,8
25,1,8:09.0,,H. Barnes misses 2-pt jump shot from 19 ft,9,8
26,1,8:08.0,Defensive rebound by R. Anderson,,9,8
27,1,7:54.0,J. Harden misses 3-pt jump shot from 23 ft,,9,8
28,1,7:54.0,,Defensive rebound by J. Barea,9,8
29,1,7:49.0,,J. Barea misses 2-pt layup from 1 ft,9,8
30,1,7:47.0,Defensive rebound by R. Anderson,,9,8
31,1,7:43.0,E. Gordon makes 2-pt layup from 1 ft (assist by J. Harden),,11,8
32,1,7:21.0,,D. Williams makes 2-pt jump shot from 13 ft,11,10
33,1,7:01.0,T. Ariza misses 2-pt jump shot from 10 ft,,11,10
34,1,7:00.0,,Defensive rebound by A. Bogut,11,10
35,1,6:49.0,,W. Matthews makes 2-pt jump shot from 9 ft,11,12
36,1,6:30.0,Turnover by R. Anderson (lost ball; steal by A. Bogut),,11,12
37,1,6:26.0,,Turnover by H. Barnes (bad pass; steal by J. Harden),11,12
38,1,6:20.0,R. Anderson makes 3-pt jump shot from 25 ft (assist by E. Gordon),,14,12
39,1,6:18.0,,Dallas full timeout,14,12
40,1,6:18.0,,S. Curry enters the game for J. Barea,14,12
41,1,5:59.0,,D. Williams misses 2-pt jump shot from 19 ft,14,12
42,1,5:57.0,Defensive rebound by C. Capela,,14,12
43,1,5:47.0,T. Ariza makes 2-pt dunk at rim (assist by E. Gordon),,16,12
44,1,5:34.0,,Offensive foul by A. Bogut (drawn by C. Capela),16,12
45,1,5:34.0,,Turnover by A. Bogut (offensive foul),16,12
46,1,5:34.0,K. McDaniels enters the game for E. Gordon,,16,12
47,1,5:34.0,N. Hilário enters the game for C. Capela,,16,12
48,1,5:14.0,J. Harden misses 2-pt jump shot from 5 ft,,16,12
49,1,5:12.0,,Defensive rebound by A. Bogut,16,12
50,1,5:01.0,,Turnover by D. Williams (bad pass; steal by T. Ariza),16,12
51,1,4:56.0,K. McDaniels makes 2-pt layup from 1 ft (assist by N. Hilário),,18,12
52,1,4:32.0,,W. Matthews misses 2-pt jump shot from 5 ft,18,12
53,1,4:30.0,Defensive rebound by J. Harden,,18,12
54,1,4:18.0,T. Ariza makes 3-pt jump shot from 25 ft (assist by J. Harden),,21,12
55,1,3:54.0,,H. Barnes makes 3-pt jump shot from 24 ft (assist by D. Williams),21,15
56,1,3:33.0,R. Anderson misses 2-pt jump shot from 19 ft,,21,15
57,1,3:32.0,,Defensive rebound by A. Bogut,21,15
58,1,3:19.0,,H. Barnes makes 2-pt jump shot from 14 ft,21,17
59,1,3:00.0,J. Harden misses 3-pt jump shot from 25 ft,,21,17
60,1,2:59.0,,Defensive rebound by H. Barnes,21,17
61,1,2:41.0,,S. Curry makes 2-pt layup from 1 ft (assist by H. Barnes),21,19
62,1,2:41.0,Houston full timeout,,21,19
63,1,2:41.0,S. Dekker enters the game for T. Ariza,,21,19
64,1,2:41.0,C. Brewer enters the game for R. Anderson,,21,19
65,1,2:27.0,K. McDaniels misses 3-pt jump shot from 25 ft,,21,19
66,1,2:26.0,,Defensive rebound by A. Bogut,21,19
67,1,2:15.0,,S. Curry misses 3-pt jump shot from 25 ft,21,19
68,1,2:14.0,Defensive rebound by N. Hilário,,21,19
69,1,2:05.0,,Offensive charge foul by J. Harden (drawn by A. Bogut),21,19
70,1,2:05.0,Turnover by J. Harden (offensive foul),,21,19
71,1,2:05.0,,D. Powell enters the game for A. Bogut,21,19
72,1,2:05.0,,J. Barea enters the game for D. Williams,21,19
73,1,1:51.0,,H. Barnes makes 2-pt jump shot from 6 ft,21,21
74,1,1:25.0,S. Dekker misses 3-pt jump shot from 25 ft,,21,21
75,1,1:24.0,,Defensive rebound by J. Barea,21,21
76,1,1:16.0,,H. Barnes makes 3-pt jump shot from 25 ft (assist by J. Barea),21,24
77,1,0:59.0,C. Brewer makes 3-pt jump shot from 25 ft (assist by N. Hilário),,24,24
78,1,0:47.0,,H. Barnes misses 3-pt jump shot from 24 ft,24,24
79,1,0:46.0,Defensive rebound by S. Dekker,,24,24
80,1,0:39.0,Personal foul by J. Barea,,24,24
81,1,0:35.0,C. Brewer misses 2-pt layup from 2 ft,,24,24
82,1,0:34.0,,Defensive rebound by W. Matthews,24,24
83,1,0:19.0,,W. Matthews misses 3-pt jump shot from 24 ft,24,24
84,1,0:18.0,Defensive rebound by S. Dekker,,24,24
85,1,0:00.0,J. Harden misses 3-pt jump shot from 24 ft,,24,24
86,1,0:00.0,Offensive rebound by Team,,24,24
87,2,11:46.0,,Shooting foul by C. Brewer (drawn by J. Anderson),24,24
88,2,11:46.0,,J. Anderson misses free throw 1 of 2,24,24
89,2,11:46.0,,Offensive rebound by Team,24,24
90,2,11:46.0,,J. Anderson makes free throw 2 of 2,24,25
91,2,11:32.0,C. Capela misses 2-pt hook shot from 5 ft,,24,25
92,2,11:31.0,,Defensive rebound by D. Powell,24,25
93,2,11:20.0,,Q. Acy misses 3-pt jump shot from 25 ft,24,25
94,2,11:19.0,Defensive rebound by C. Brewer,,24,25
95,2,11:02.0,Shooting foul by S. Curry (drawn by E. Gordon),,24,25
96,2,11:02.0,E. Gordon makes free throw 1 of 2,,25,25
97,2,11:02.0,E. Gordon makes free throw 2 of 2,,26,25
98,2,10:49.0,,S. Curry misses 3-pt jump shot from 23 ft,26,25
99,2,10:48.0,Defensive rebound by S. Dekker,,26,25
100,2,10:38.0,S. Dekker makes 2-pt layup from 2 ft (assist by T. Ennis),,28,25
101,2,10:15.0,,Q. Acy makes 3-pt jump shot from 24 ft (assist by J. Barea),28,28
102,2,9:56.0,C. Capela makes 2-pt dunk at rim (assist by T. Ennis),,30,28
103,2,9:41.0,,J. Barea misses 3-pt jump shot from 26 ft,30,28
104,2,9:41.0,Defensive rebound by E. Gordon,,30,28
105,2,9:34.0,E. Gordon misses 2-pt jump shot from 22 ft,,30,28
106,2,9:31.0,,Defensive rebound by Q. Acy,30,28
107,2,9:21.0,,S. Curry misses 3-pt jump shot from 25 ft,30,28
108,2,9:20.0,Defensive rebound by C. Capela,,30,28
109,2,9:14.0,Personal foul by S. Curry (drawn by E. Gordon),,30,28
110,2,9:08.0,S. Dekker misses 3-pt jump shot from 24 ft,,30,28
111,2,9:08.0,Offensive rebound by Team,,30,28
112,2,9:02.0,Turnover by C. Capela (bad pass; steal by D. Powell),,30,28
113,2,8:46.0,,Q. Acy misses 2-pt jump shot from 4 ft,30,28
114,2,8:45.0,Defensive rebound by C. Capela,,30,28
115,2,8:35.0,,Offensive charge foul by S. Dekker (drawn by Q. Acy),30,28
116,2,8:35.0,Turnover by S. Dekker (offensive foul),,30,28
117,2,8:35.0,Official timeout,,30,28
118,2,8:20.0,,Q. Acy misses 3-pt jump shot from 25 ft,30,28
119,2,8:19.0,Defensive rebound by C. Brewer,,30,28
120,2,8:10.0,,Violation by J. Anderson (def goaltending),30,28
121,2,8:10.0,C. Brewer makes 2-pt layup from 2 ft (assist by E. Gordon),,32,28
