,QUARTER,TIME_REMAINING,INDIANA_ACTION,PHOENIX_ACTION,INDIANA_SCORE,PHOENIX_SCORE
0,1,11:46.0,,D. Booker misses 2-pt jump shot from 21 ft,0,0
1,1,11:44.0,,Offensive rebound by T. Chandler,0,0
2,1,11:36.0,,P. Tucker misses 2-pt hook shot from 6 ft,0,0
3,1,11:34.0,Defensive rebound by J. Teague,,0,0
4,1,11:29.0,M. Turner misses 2-pt jump shot from 9 ft,,0,0
5,1,11:27.0,,Defensive rebound by E. Bledsoe,0,0
6,1,11:13.0,,D. Booker misses 3-pt jump shot from 22 ft,0,0
7,1,11:11.0,Defensive rebound by M. Turner,,0,0
8,1,10:48.0,J. Teague makes 2-pt jump shot from 6 ft,,2,0
9,1,10:26.0,,Turnover by E. Bledsoe (bad pass; steal by P. George),2,0
10,1,10:14.0,J. Teague misses 3-pt jump shot from 25 ft,,2,0
11,1,10:12.0,Offensive rebound by T. Young,,2,0
12,1,10:07.0,T. Young misses 2-pt jump shot from 7 ft,,2,0
13,1,10:05.0,,Defensive rebound by T. Chandler,2,0
14,1,10:01.0,,D. Booker makes 2-pt layup from 1 ft (assist by E. Bledsoe),2,2
15,1,9:44.0,P. George misses 2-pt jump shot from 15 ft,,2,2
16,1,9:42.0,,Defensive rebound by M. Chriss,2,2
17,1,9:33.0,,E. Bledsoe makes 2-pt jump shot from 7 ft,2,4
18,1,9:21.0,Turnover by M. Turner (lost ball; steal by T. Chandler),,2,4
19,1,9:17.0,,D. Booker makes 2-pt layup from 1 ft (assist by T. Chandler),2,6
20,1,9:00.0,M. Turner makes 2-pt layup from 2 ft (assist by J. Teague),,4,6
21,1,8:45.0,,T. Chandler misses 2-pt layup from 1 ft,4,6
22,1,8:43.0,Defensive rebound by M. Turner,,4,6
23,1,8:37.0,Turnover by M. Turner (bad pass; steal by M. Chriss),,4,6
24,1,8:31.0,,Turnover by M. Chriss (offensive foul),4,6
25,1,8:31.0,Offensive charge foul by M. Chriss (drawn by T. Young),,4,6
26,1,8:10.0,P. George makes 2-pt jump shot from 19 ft,,6,6
27,1,7:58.0,,T. Chandler makes 2-pt layup from 2 ft (assist by D. Booker),6,8
28,1,7:50.0,Offensive foul by P. George (drawn by P. Tucker),,6,8
29,1,7:50.0,Turnover by P. George (offensive foul),,6,8
30,1,7:33.0,,Shooting foul by M. Turner (drawn by M. Chriss),6,8
31,1,7:33.0,,M. Chriss makes free throw 1 of 2,6,9
32,1,7:33.0,,M. Chriss makes free throw 2 of 2,6,10
33,1,7:26.0,Shooting foul by E. Bledsoe (drawn by J. Teague),,6,10
34,1,7:26.0,J. Teague makes free throw 1 of 2,,7,10
35,1,7:26.0,J. Teague makes free throw 2 of 2,,8,10
36,1,7:20.0,,Personal foul by M. Ellis (drawn by M. Chriss),8,10
37,1,7:01.0,,Turnover by Team (shot clock),8,10
38,1,6:50.0,M. Turner makes 2-pt jump shot from 21 ft (assist by J. Teague),,10,10
39,1,6:43.0,,T. Chandler makes 2-pt dunk at rim (assist by D. Booker),10,12
40,1,6:36.0,Turnover by J. Teague (bad pass; steal by E. Bledsoe),,10,12
41,1,6:34.0,,E. Bledsoe misses 2-pt layup from 2 ft,10,12
42,1,6:32.0,Defensive rebound by T. Young,,10,12
43,1,6:29.0,Turnover by M. Ellis (lost ball),,10,12
44,1,6:17.0,,P. Tucker misses 2-pt jump shot from 3 ft (block by M. Turner),10,12
45,1,6:14.0,Defensive rebound by T. Young,,10,12
46,1,6:10.0,Shooting foul by M. Chriss (drawn by T. Young),,10,12
47,1,6:10.0,T. Young makes free throw 1 of 2,,11,12
48,1,6:10.0,,J. Dudley enters the game for M. Chriss,11,12
49,1,6:10.0,T. Young makes free throw 2 of 2,,12,12
50,1,6:00.0,,J. Dudley misses 2-pt jump shot from 21 ft,12,12
51,1,5:58.0,Defensive rebound by M. Ellis,,12,12
52,1,5:45.0,M. Ellis misses 3-pt jump shot from 27 ft,,12,12
53,1,5:43.0,,Defensive rebound by T. Chandler,12,12
54,1,5:40.0,,Turnover by E. Bledsoe (lost ball; steal by J. Teague),12,12
55,1,5:33.0,Turnover by T. Young (bad pass; steal by P. Tucker),,12,12
56,1,5:30.0,,Turnover by P. Tucker (lost ball),12,12
57,1,5:30.0,,Phoenix full timeout,12,12
58,1,5:30.0,,B. Knight enters the game for E. Bledsoe,12,12
59,1,5:17.0,Turnover by T. Young (lost ball; steal by J. Dudley),,12,12
60,1,4:53.0,,P. Tucker misses 2-pt jump shot from 4 ft (block by T. Young),12,12
61,1,4:51.0,Defensive rebound by T. Young,,12,12
62,1,4:46.0,P. George makes 2-pt layup from 1 ft (assist by J. Teague),,14,12
63,1,4:19.0,,D. Booker makes 3-pt jump shot from 26 ft (assist by B. Knight),14,15
64,1,4:07.0,Turnover by M. Turner (bad pass; steal by T. Chandler),,14,15
65,1,3:51.0,,J. Dudley makes 2-pt jump shot from 6 ft,14,17
66,1,3:42.0,Indiana full timeout,,14,17
67,1,3:42.0,,A. Len enters the game for P. Tucker,14,17
68,1,3:42.0,,D. Bender enters the game for T. Chandler,14,17
69,1,3:42.0,R. Stuckey enters the game for M. Turner,,14,17
70,1,3:42.0,A. Jefferson enters the game for M. Ellis,,14,17
71,1,3:29.0,P. George misses 2-pt jump shot from 18 ft,,14,17
72,1,3:27.0,Offensive rebound by A. Jefferson,,14,17
73,1,3:19.0,Personal foul by A. Len (drawn by A. Jefferson),,14,17
74,1,3:19.0,C. Miles enters the game for T. Young,,14,17
75,1,3:13.0,P. George makes 2-pt jump shot from 18 ft (assist by J. Teague),,16,17
76,1,2:54.0,,B. Knight misses 2-pt jump shot from 21 ft,16,17
77,1,2:52.0,Defensive rebound by C. Miles,,16,17
78,1,2:39.0,P. George misses 2-pt layup from 2 ft (block by A. Len),,16,17
79,1,2:37.0,,Defensive rebound by D. Bender,16,17
80,1,2:30.0,,J. Dudley misses 2-pt jump shot from 17 ft,16,17
81,1,2:29.0,,Offensive rebound by Team,16,17
82,1,2:29.0,A. Brooks enters the game for J. Teague,,16,17
83,1,2:29.0,,E. Bledsoe enters the game for D. Booker,16,17
84,1,2:22.0,,Turnover by J. Dudley (bad pass; steal by A. Jefferson),16,17
85,1,2:15.0,A. Brooks misses 2-pt layup from 2 ft,,16,17
86,1,2:13.0,Offensive rebound by A. Jefferson,,16,17
87,1,2:13.0,A. Jefferson makes 2-pt layup from 2 ft,,18,17
88,1,2:01.0,,B. Knight misses 2-pt jump shot from 16 ft,18,17
89,1,1:59.0,Defensive rebound by P. George,,18,17
90,1,1:51.0,P. George makes 2-pt layup from 1 ft,,20,17
91,1,1:51.0,,Phoenix full timeout,20,17
92,1,1:51.0,G. Robinson enters the game for P. George,,20,17
93,1,1:41.0,,A. Len makes 2-pt layup from 1 ft (assist by E. Bledsoe),20,19
94,1,1:41.0,,Shooting foul by C. Miles (drawn by A. Len),20,19
95,1,1:41.0,,A. Len makes free throw 1 of 1,20,20
96,1,1:25.0,A. Jefferson misses 2-pt jump shot from 11 ft,,20,20
97,1,1:23.0,,Defensive rebound by A. Len,20,20
98,1,1:11.0,,E. Bledsoe misses 3-pt jump shot from 25 ft,20,20
99,1,1:08.0,Defensive rebound by C. Miles,,20,20
100,1,1:03.0,C. Miles misses 3-pt jump shot from 25 ft,,20,20
101,1,1:00.0,,Defensive rebound by D. Bender,20,20
102,1,0:52.0,,B. Knight misses 2-pt jump shot from 8 ft,20,20
103,1,0:49.0,Defensive rebound by A. Jefferson,,20,20
104,1,0:37.0,Turnover by A. Brooks (lost ball; steal by D. Bender),,20,20
105,1,0:31.0,,J. Dudley misses 3-pt jump shot from 24 ft,20,20
106,1,0:27.0,Defensive rebound by A. Jefferson,,20,20
107,1,0:15.0,R. Stuckey makes 2-pt layup from 2 ft,,22,20
108,1,0:15.0,Shooting foul by E. Bledsoe (drawn by R. Stuckey),,22,20
109,1,0:15.0,,D. Booker enters the game for A. Len,22,20
110,1,0:15.0,P. George enters the game for A. Jefferson,,22,20
111,1,0:15.0,R. Stuckey makes free throw 1 of 1,,23,20
112,1,0:02.0,,E. Bledsoe makes 2-pt layup from 1 ft,23,22
113,1,0:00.0,C. Miles misses 3-pt jump shot from 43 ft,,23,22
114,1,0:00.0,Offensive rebound by Team,,23,22
115,2,11:47.0,A. Jefferson makes 2-pt dunk at rim (assist by R. Stuckey),,25,22
116,2,11:30.0,,A. Len makes 2-pt dunk at rim,25,24
117,2,11:13.0,C. Miles misses 3-pt jump shot from 24 ft,,25,24
118,2,11:10.0,,Defensive rebound by J. Dudley,25,24
119,2,11:04.0,,Turnover by B. Knight (lost ball; steal by A. Jefferson),25,24
120,2,11:00.0,C. Miles misses 2-pt layup from 1 ft,,25,24
121,2,10:59.0,,Defensive rebound by Team,25,24
122,2,10:49.0,,L. Barbosa makes 2-pt layup from 2 ft,25,26
123,2,10:34.0,C. Miles makes 2-pt jump shot from 12 ft (assist by A. Brooks),,27,26
124,2,10:20.0,,Personal foul by A. Jefferson (drawn by A. Len),27,26
125,2,10:14.0,,L. Barbosa makes 2-pt jump shot from 16 ft,27,28
126,2,10:01.0,A. Brooks misses 2-pt jump shot from 20 ft,,27,28
127,2,9:59.0,Offensive rebound by G. Robinson,,27,28
128,2,9:50.0,A. Jefferson makes 2-pt jump shot from 7 ft,,29,28
129,2,9:32.0,,Shooting foul by G. Robinson (drawn by B. Knight),29,28
130,2,9:32.0,,B. Knight makes free throw 1 of 2,29,29
131,2,9:32.0,,B. Knight makes free throw 2 of 2,29,30
132,2,9:19.0,Turnover by C. Miles (bad pass; steal by L. Barbosa),,29,30
133,2,9:09.0,,A. Len misses 2-pt jump shot from 17 ft,29,30
