,QUARTER,TIME_REMAINING,PHOENIX_ACTION,PORTLAND_ACTION,PHOENIX_SCORE,PORTLAND_SCORE
0,1,11:47.0,Turnover by T. Warren (lost ball; steal by M. Harkless),,0,0
1,1,11:42.0,,M. Plumlee makes 2-pt layup from 1 ft (assist by M. Harkless),0,2
2,1,11:19.0,D. Booker makes 2-pt jump shot from 19 ft,,2,2
3,1,10:58.0,,C. McCollum makes 2-pt jump shot from 11 ft,2,4
4,1,10:44.0,A. Len misses 2-pt hook shot from 5 ft,,2,4
5,1,10:44.0,,Defensive rebound by M. Plumlee,2,4
6,1,10:35.0,,D. Lillard misses 2-pt jump shot from 7 ft,2,4
7,1,10:35.0,Defensive rebound by A. Len,,2,4
8,1,10:21.0,A. Len misses 2-pt jump shot from 20 ft,,2,4
9,1,10:21.0,,Defensive rebound by D. Lillard,2,4
10,1,10:07.0,,Turnover by C. McCollum (bad pass),2,4
11,1,9:49.0,D. Booker misses 2-pt jump shot from 19 ft (block by C. McCollum),,2,4
12,1,9:48.0,,Defensive rebound by C. McCollum,2,4
13,1,9:42.0,,M. Plumlee makes 2-pt layup at rim (assist by C. McCollum),2,6
14,1,9:31.0,T. Warren misses 2-pt jump shot from 12 ft,,2,6
15,1,9:30.0,Offensive rebound by T. Warren,,2,6
16,1,9:28.0,T. Warren makes 2-pt layup from 1 ft,,4,6
17,1,9:09.0,,M. Plumlee makes 2-pt jump shot from 18 ft (assist by C. McCollum),4,8
18,1,9:00.0,E. Bledsoe makes 2-pt jump shot from 20 ft,,6,8
19,1,8:40.0,,A. Aminu makes 2-pt layup from 2 ft,6,10
20,1,8:30.0,M. Chriss misses 2-pt jump shot from 7 ft,,6,10
21,1,8:29.0,,Defensive rebound by M. Plumlee,6,10
22,1,8:18.0,,D. Lillard makes 2-pt layup from 2 ft,6,12
23,1,8:17.0,Phoenix full timeout,,6,12
24,1,8:04.0,T. Warren misses 2-pt jump shot from 13 ft,,6,12
25,1,8:04.0,,Defensive rebound by M. Harkless,6,12
26,1,7:57.0,,C. McCollum makes 3-pt jump shot from 26 ft (assist by M. Plumlee),6,15
27,1,7:52.0,Turnover by E. Bledsoe (bad pass),,6,15
28,1,7:52.0,,Portland full timeout,6,15
29,1,7:52.0,,E. Turner enters the game for A. Aminu,6,15
30,1,7:39.0,,D. Lillard makes 2-pt jump shot from 18 ft (assist by M. Plumlee),6,17
31,1,7:25.0,D. Booker makes 2-pt jump shot from 14 ft,,8,17
32,1,7:07.0,,C. McCollum makes 2-pt jump shot from 11 ft,8,19
