,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,PORTLAND_ACTION,WASHINGTON_SCORE,PORTLAND_SCORE
0,1,11:44.0,,N. Vonleh makes 2-pt dunk at rim (assist by D. Lillard),0,2
1,1,11:24.0,M. Gortat makes 2-pt hook shot from 5 ft,,2,2
2,1,11:14.0,,C. McCollum misses 3-pt jump shot from 28 ft,2,2
3,1,11:13.0,Defensive rebound by O. Porter,,2,2
4,1,11:08.0,B. Beal makes 2-pt layup from 1 ft (assist by O. Porter),,4,2
5,1,10:59.0,,Offensive foul by J. Nurkić (drawn by M. Gortat),4,2
6,1,10:59.0,,Turnover by J. Nurkić (offensive foul),4,2
7,1,10:45.0,J. Wall makes 3-pt jump shot from 25 ft (assist by O. Porter),,7,2
8,1,10:25.0,,M. Harkless misses 3-pt jump shot from 22 ft,7,2
9,1,10:24.0,Defensive rebound by M. Gortat,,7,2
10,1,10:11.0,M. Morris makes 2-pt jump shot from 22 ft,,9,2
11,1,9:53.0,,N. Vonleh makes 2-pt dunk at rim (assist by D. Lillard),9,4
12,1,9:39.0,Turnover by J. Wall (bad pass),,9,4
13,1,9:25.0,,D. Lillard misses 3-pt jump shot from 25 ft,9,4
14,1,9:24.0,Defensive rebound by M. Morris,,9,4
15,1,9:12.0,M. Gortat makes 2-pt jump shot from 10 ft (assist by B. Beal),,11,4
16,1,8:54.0,,C. McCollum makes 3-pt jump shot from 25 ft (assist by D. Lillard),11,7
17,1,8:45.0,Turnover by J. Wall (bad pass; steal by J. Nurkić),,11,7
18,1,8:44.0,,Personal foul by M. Morris (drawn by D. Lillard),11,7
19,1,8:30.0,,J. Nurkić misses 2-pt jump shot from 9 ft,11,7
20,1,8:29.0,Defensive rebound by M. Gortat,,11,7
21,1,8:21.0,J. Wall misses 3-pt jump shot from 25 ft,,11,7
22,1,8:20.0,,Defensive rebound by N. Vonleh,11,7
23,1,8:11.0,,J. Nurkić makes 2-pt jump shot from 4 ft (assist by C. McCollum),11,9
24,1,7:56.0,B. Beal makes 3-pt jump shot from 25 ft,,14,9
25,1,7:37.0,,J. Nurkić misses 2-pt jump shot from 16 ft,14,9
26,1,7:36.0,,Offensive rebound by N. Vonleh,14,9
27,1,7:31.0,,C. McCollum makes 2-pt jump shot from 16 ft,14,11
28,1,7:31.0,,Shooting foul by B. Beal (drawn by C. McCollum),14,11
29,1,7:31.0,,C. McCollum makes free throw 1 of 1,14,12
