,QUARTER,TIME_REMAINING,PORTLAND_ACTION,BOSTON_ACTION,PORTLAND_SCORE,BOSTON_SCORE
0,1,11:40.0,,A. Horford makes 2-pt jump shot from 13 ft,0,2
1,1,11:40.0,,Shooting foul by N. Vonleh (drawn by A. Horford),0,2
2,1,11:40.0,,A. Horford misses free throw 1 of 1,0,2
3,1,11:39.0,Defensive rebound by N. Vonleh,,0,2
4,1,11:25.0,N. Vonleh misses 2-pt jump shot from 16 ft,,0,2
5,1,11:24.0,Offensive rebound by Team,,0,2
6,1,11:24.0,,Loose ball foul by A. Horford (drawn by M. Plumlee),0,2
7,1,11:11.0,E. Turner misses 2-pt jump shot from 17 ft,,0,2
8,1,11:10.0,,Defensive rebound by A. Horford,0,2
9,1,11:02.0,,Personal foul by D. Lillard (drawn by I. Thomas),0,2
10,1,10:53.0,,M. Smart misses 3-pt jump shot from 24 ft,0,2
11,1,10:52.0,,Offensive rebound by A. Horford,0,2
12,1,10:48.0,,J. Crowder makes 3-pt jump shot from 25 ft (assist by A. Horford),0,5
13,1,10:31.0,C. McCollum makes 2-pt jump shot from 10 ft (assist by D. Lillard),,2,5
14,1,10:20.0,,A. Horford misses 2-pt jump shot from 12 ft,2,5
15,1,10:19.0,Defensive rebound by C. McCollum,,2,5
16,1,10:12.0,,Offensive charge foul by M. Plumlee (drawn by A. Johnson),2,5
17,1,10:12.0,Turnover by M. Plumlee (offensive foul),,2,5
18,1,9:59.0,,J. Crowder makes 3-pt jump shot from 23 ft,2,8
19,1,9:36.0,M. Plumlee makes 2-pt dunk at rim (assist by D. Lillard),,4,8
20,1,9:17.0,,Turnover by M. Smart (bad pass; steal by N. Vonleh),4,8
21,1,9:13.0,Turnover by N. Vonleh (bad pass),,4,8
22,1,8:57.0,,I. Thomas makes 2-pt jump shot from 13 ft (assist by J. Crowder),4,10
23,1,8:38.0,M. Plumlee misses 2-pt layup from 2 ft (block by A. Johnson),,4,10
24,1,8:38.0,Offensive rebound by M. Plumlee,,4,10
25,1,8:38.0,M. Plumlee misses 2-pt layup from 2 ft,,4,10
26,1,8:36.0,Offensive rebound by M. Plumlee,,4,10
27,1,8:35.0,M. Plumlee misses 2-pt jump shot from 6 ft,,4,10
28,1,8:33.0,,Defensive rebound by A. Horford,4,10
29,1,8:17.0,,A. Johnson misses 3-pt jump shot from 25 ft,4,10
30,1,8:16.0,Defensive rebound by M. Plumlee,,4,10
31,1,8:07.0,D. Lillard misses 3-pt jump shot from 25 ft,,4,10
32,1,8:06.0,,Defensive rebound by M. Smart,4,10
33,1,7:59.0,,J. Crowder makes 2-pt layup from 3 ft (assist by M. Smart),4,12
34,1,7:58.0,Portland full timeout,,4,12
35,1,7:58.0,A. Aminu enters the game for N. Vonleh,,4,12
36,1,7:46.0,C. McCollum makes 2-pt jump shot from 5 ft (assist by M. Plumlee),,6,12
37,1,7:31.0,,A. Horford makes 2-pt layup from 1 ft (assist by I. Thomas),6,14
38,1,7:16.0,D. Lillard misses 2-pt hook shot from 8 ft,,6,14
39,1,7:15.0,,Defensive rebound by I. Thomas,6,14
40,1,7:09.0,,I. Thomas misses 3-pt jump shot from 25 ft,6,14
41,1,7:08.0,,Offensive rebound by A. Horford,6,14
42,1,7:06.0,,J. Crowder misses 3-pt jump shot from 26 ft,6,14
43,1,7:04.0,Defensive rebound by Team,,6,14
44,1,7:04.0,,T. Rozier enters the game for M. Smart,6,14
45,1,6:47.0,C. McCollum makes 3-pt jump shot from 24 ft (assist by E. Turner),,9,14
46,1,6:33.0,,T. Rozier misses 3-pt jump shot from 25 ft,9,14
47,1,6:32.0,Defensive rebound by M. Plumlee,,9,14
48,1,6:22.0,D. Lillard makes 2-pt layup from 1 ft (assist by M. Plumlee),,11,14
