,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,TORONTO_ACTION,MILWAUKEE_SCORE,TORONTO_SCORE
0,1,11:40.0,,K. Lowry makes 2-pt layup from 4 ft,0,2
1,1,11:23.0,T. Snell makes 3-pt jump shot from 26 ft (assist by M. Dellavedova),,3,2
2,1,11:12.0,,K. Lowry misses 2-pt hook shot from 5 ft,3,2
3,1,11:11.0,Defensive rebound by J. Parker,,3,2
4,1,11:01.0,G. Antetokounmpo makes 2-pt jump shot from 5 ft,,5,2
5,1,10:45.0,,N. Powell misses 2-pt layup from 3 ft,5,2
6,1,10:45.0,Defensive rebound by Team,,5,2
7,1,10:35.0,M. Plumlee makes 2-pt dunk at rim (assist by G. Antetokounmpo),,7,2
8,1,10:10.0,,D. Carroll makes 3-pt jump shot from 25 ft (assist by K. Lowry),7,5
9,1,9:59.0,J. Parker misses 3-pt jump shot from 26 ft,,7,5
10,1,9:59.0,Offensive rebound by Team,,7,5
11,1,9:59.0,,Loose ball foul by D. Carroll (drawn by G. Antetokounmpo),7,5
12,1,9:47.0,M. Plumlee misses 2-pt hook shot from 6 ft,,7,5
13,1,9:46.0,,Defensive rebound by J. Valančiūnas,7,5
14,1,9:28.0,,Turnover by J. Valančiūnas (traveling),7,5
15,1,9:18.0,G. Antetokounmpo makes 2-pt jump shot from 9 ft,,9,5
16,1,9:12.0,,Personal block foul by G. Antetokounmpo (drawn by K. Lowry),9,5
17,1,9:03.0,,D. Carroll misses 2-pt jump shot from 17 ft,9,5
18,1,9:02.0,Defensive rebound by J. Parker,,9,5
19,1,8:51.0,G. Antetokounmpo makes 2-pt jump shot from 11 ft,,11,5
20,1,8:27.0,,J. Valančiūnas makes 2-pt layup from 3 ft (assist by K. Lowry),11,7
21,1,8:10.0,J. Parker misses 3-pt jump shot from 26 ft,,11,7
22,1,8:10.0,,Defensive rebound by J. Valančiūnas,11,7
23,1,8:03.0,,K. Lowry makes 3-pt jump shot from 25 ft,11,10
24,1,7:51.0,J. Parker makes 2-pt layup from 4 ft (assist by G. Antetokounmpo),,13,10
25,1,7:43.0,,K. Lowry makes 2-pt jump shot at rim,13,12
26,1,7:43.0,,Shooting block foul by M. Dellavedova (drawn by K. Lowry),13,12
27,1,7:43.0,G. Monroe enters the game for M. Plumlee,,13,12
28,1,7:43.0,,K. Lowry makes free throw 1 of 1,13,13
29,1,7:36.0,G. Antetokounmpo misses 2-pt jump shot from 4 ft (block by J. Valančiūnas),,13,13
30,1,7:35.0,,Defensive rebound by N. Powell,13,13
31,1,7:27.0,,Personal foul by M. Dellavedova (drawn by K. Lowry),13,13
32,1,7:27.0,M. Brogdon enters the game for M. Dellavedova,,13,13
33,1,7:11.0,,N. Powell makes 2-pt layup from 1 ft (assist by P. Patterson),13,15
34,1,7:00.0,Turnover by G. Antetokounmpo (bad pass; steal by K. Lowry),,13,15
35,1,6:55.0,,Personal foul by G. Antetokounmpo (drawn by D. Carroll),13,15
36,1,6:55.0,M. Beasley enters the game for G. Antetokounmpo,,13,15
37,1,6:37.0,,N. Powell makes 3-pt jump shot from 26 ft (assist by D. Carroll),13,18
38,1,6:36.0,Milwaukee full timeout,,13,18
39,1,6:24.0,M. Brogdon misses 2-pt jump shot from 8 ft,,13,18
40,1,6:24.0,,Defensive rebound by J. Valančiūnas,13,18
41,1,6:11.0,,Personal block foul by M. Brogdon (drawn by K. Lowry),13,18
42,1,6:11.0,,K. Lowry makes free throw 1 of 2,13,19
43,1,6:11.0,,K. Lowry makes free throw 2 of 2,13,20
44,1,6:04.0,Turnover by M. Brogdon (lost ball),,13,20
45,1,6:04.0,Loose ball foul by M. Brogdon (drawn by K. Lowry),,13,20
46,1,6:04.0,,K. Lowry makes free throw 1 of 2,13,21
47,1,6:04.0,,K. Lowry makes free throw 2 of 2,13,22
48,1,5:52.0,G. Monroe misses 2-pt hook shot from 5 ft,,13,22
49,1,5:52.0,,Defensive rebound by P. Patterson,13,22
50,1,5:45.0,,J. Valančiūnas makes 2-pt layup from 2 ft (assist by K. Lowry),13,24
51,1,5:33.0,Turnover by M. Brogdon (bad pass; steal by J. Valančiūnas),,13,24
52,1,5:23.0,,N. Powell misses 2-pt layup from 3 ft (block by T. Snell),13,24
53,1,5:22.0,Defensive rebound by T. Snell,,13,24
54,1,5:19.0,Turnover by T. Snell (bad pass),,13,24
55,1,5:03.0,,N. Powell misses 2-pt layup from 2 ft (block by T. Snell),13,24
56,1,5:02.0,,Offensive rebound by J. Valančiūnas,13,24
57,1,4:58.0,,P. Patterson makes 3-pt jump shot from 24 ft (assist by J. Valančiūnas),13,27
58,1,4:37.0,M. Beasley misses 3-pt jump shot from 24 ft,,13,27
59,1,4:37.0,,Defensive rebound by P. Patterson,13,27
60,1,4:31.0,,D. Carroll misses 3-pt jump shot from 24 ft,13,27
61,1,4:31.0,Defensive rebound by G. Monroe,,13,27
62,1,4:30.0,,C. Joseph enters the game for K. Lowry,13,27
63,1,4:14.0,Turnover by M. Beasley (traveling),,13,27
64,1,4:14.0,,P. Siakam enters the game for P. Patterson,13,27
65,1,4:00.0,,J. Valančiūnas misses 2-pt layup from 4 ft,13,27
66,1,4:00.0,Defensive rebound by M. Beasley,,13,27
67,1,3:47.0,J. Parker makes 2-pt dunk at rim,,15,27
68,1,3:29.0,,N. Powell makes 2-pt layup from 1 ft (assist by C. Joseph),15,29
69,1,3:10.0,M. Beasley misses 2-pt jump shot from 19 ft,,15,29
70,1,3:10.0,,Defensive rebound by C. Joseph,15,29
71,1,2:57.0,Offensive charge foul by D. Carroll (drawn by G. Monroe),,15,29
72,1,2:57.0,,Turnover by D. Carroll (offensive foul),15,29
73,1,2:57.0,,Toronto full timeout,15,29
74,1,2:57.0,,L. Nogueira enters the game for D. Carroll,15,29
75,1,2:57.0,,T. Ross enters the game for J. Valančiūnas,15,29
76,1,2:46.0,Personal foul by C. Joseph (drawn by G. Monroe),,15,29
77,1,2:40.0,M. Brogdon makes 2-pt layup from 4 ft (assist by G. Monroe),,17,29
78,1,2:24.0,,T. Ross misses 3-pt jump shot from 24 ft,17,29
79,1,2:24.0,Defensive rebound by T. Snell,,17,29
80,1,2:11.0,Turnover by M. Beasley (bad pass),,17,29
81,1,2:11.0,,K. Lowry enters the game for N. Powell,17,29
82,1,1:59.0,,L. Nogueira makes 2-pt dunk at rim (assist by K. Lowry),17,31
83,1,1:42.0,J. Parker misses 2-pt layup from 1 ft (block by L. Nogueira),,17,31
84,1,1:42.0,,Defensive rebound by P. Siakam,17,31
85,1,1:26.0,,T. Ross makes 3-pt jump shot from 23 ft (assist by K. Lowry),17,34
86,1,1:09.0,Turnover by G. Monroe (bad pass),,17,34
87,1,0:50.0,,P. Siakam misses 2-pt hook shot from 4 ft,17,34
88,1,0:50.0,Defensive rebound by J. Parker,,17,34
89,1,0:45.0,,Offensive charge foul by J. Parker (drawn by K. Lowry),17,34
90,1,0:45.0,Turnover by J. Parker (offensive foul),,17,34
91,1,0:32.0,,L. Nogueira makes 2-pt dunk at rim (assist by C. Joseph),17,36
92,1,0:13.0,T. Snell misses 3-pt jump shot from 24 ft,,17,36
93,1,0:12.0,Offensive rebound by G. Monroe,,17,36
94,1,0:11.0,G. Monroe makes 2-pt jump shot from 4 ft,,19,36
95,1,0:00.0,,K. Lowry misses 2-pt jump shot from 19 ft,19,36
96,1,0:00.0,,Offensive rebound by Team,19,36
97,2,11:38.0,J. Terry misses 2-pt jump shot from 14 ft,,19,36
98,2,11:38.0,,Defensive rebound by P. Patterson,19,36
99,2,11:23.0,,Turnover by K. Lowry (bad pass; steal by J. Terry),19,36
100,2,11:18.0,Turnover by R. Vaughn (bad pass; steal by T. Ross),,19,36
101,2,11:14.0,,Turnover by T. Ross (lost ball),19,36
102,2,11:03.0,Shooting foul by L. Nogueira (drawn by T. Maker),,19,36
103,2,11:03.0,T. Maker makes free throw 1 of 2,,20,36
104,2,11:03.0,T. Maker makes free throw 2 of 2,,21,36
105,2,10:40.0,,L. Nogueira misses 2-pt layup from 4 ft (block by T. Maker),21,36
106,2,10:39.0,,Offensive rebound by Team,21,36
107,2,10:38.0,,Turnover by Team (shot clock),21,36
108,2,10:19.0,T. Maker makes 2-pt dunk at rim (assist by M. Brogdon),,23,36
109,2,10:04.0,,C. Joseph misses 2-pt jump shot from 7 ft,23,36
110,2,10:04.0,Defensive rebound by R. Vaughn,,23,36
111,2,9:46.0,T. Maker misses 2-pt jump shot from 12 ft (block by L. Nogueira),,23,36
112,2,9:45.0,Offensive rebound by J. Terry,,23,36
113,2,9:41.0,J. Terry makes 3-pt jump shot from 23 ft,,26,36
114,2,9:36.0,,Toronto full timeout,26,36
115,2,9:16.0,,K. Lowry misses 2-pt layup from 5 ft,26,36
116,2,9:15.0,Defensive rebound by M. Brogdon,,26,36
117,2,9:09.0,R. Vaughn misses 3-pt jump shot from 27 ft,,26,36
118,2,9:09.0,,Defensive rebound by P. Patterson,26,36
119,2,8:53.0,,T. Ross misses 2-pt jump shot from 4 ft,26,36
120,2,8:53.0,,Offensive rebound by L. Nogueira,26,36
121,2,8:48.0,,T. Ross misses 3-pt jump shot from 24 ft,26,36
122,2,8:47.0,Defensive rebound by R. Vaughn,,26,36
123,2,8:37.0,,Violation by P. Patterson (kicked ball),26,36
124,2,8:27.0,Shooting foul by L. Nogueira (drawn by J. Terry),,26,36
125,2,8:27.0,J. Terry makes free throw 1 of 2,,27,36
126,2,8:27.0,J. Terry makes free throw 2 of 2,,28,36
127,2,8:18.0,,C. Joseph makes 2-pt layup from 1 ft,28,38
128,2,7:59.0,R. Vaughn misses 2-pt jump shot from 4 ft,,28,38
129,2,7:59.0,,Defensive rebound by T. Ross,28,38
130,2,7:57.0,,Personal foul by J. Terry (drawn by T. Ross),28,38
131,2,7:51.0,,Turnover by C. Joseph (kicked ball),28,38
132,2,7:38.0,T. Maker makes 2-pt dunk at rim (assist by J. Terry),,30,38
133,2,7:19.0,,Def 3 sec tech foul by M. Teletović,30,38
134,2,7:19.0,,K. Lowry makes technical free throw,30,39
135,2,7:19.0,,N. Powell enters the game for T. Ross,30,39
136,2,7:13.0,,Turnover by L. Nogueira (bad pass),30,39
137,2,7:07.0,J. Terry misses 3-pt jump shot from 25 ft,,30,39
138,2,7:06.0,,Defensive rebound by N. Powell,30,39
139,2,6:57.0,,N. Powell misses 2-pt layup from 2 ft,30,39
140,2,6:57.0,Defensive rebound by R. Vaughn,,30,39
141,2,6:49.0,M. Teletović misses 3-pt jump shot from 24 ft,,30,39
142,2,6:48.0,Offensive rebound by M. Teletović,,30,39
143,2,6:44.0,M. Teletović misses 2-pt jump shot from 2 ft,,30,39
144,2,6:43.0,Offensive rebound by T. Maker,,30,39
145,2,6:42.0,T. Maker makes 2-pt hook shot from 3 ft,,32,39
146,2,6:23.0,,Personal foul by T. Maker (drawn by K. Lowry),32,39
147,2,6:23.0,,J. Valančiūnas enters the game for L. Nogueira,32,39
148,2,6:23.0,M. Dellavedova enters the game for M. Brogdon,,32,39
149,2,6:23.0,,D. Carroll enters the game for P. Patterson,32,39
150,2,6:12.0,,Turnover by J. Valančiūnas (bad pass; steal by M. Dellavedova),32,39
151,2,6:11.0,Milwaukee full timeout,,32,39
152,2,6:11.0,,F. VanVleet enters the game for K. Lowry,32,39
153,2,6:02.0,Offensive foul by T. Maker (drawn by F. VanVleet),,32,39
154,2,6:02.0,Turnover by T. Maker (offensive foul),,32,39
155,2,5:46.0,,F. VanVleet misses 2-pt jump shot from 5 ft,32,39
156,2,5:46.0,,Offensive rebound by F. VanVleet,32,39
157,2,5:36.0,,Shooting foul by T. Maker (drawn by D. Carroll),32,39
158,2,5:36.0,,D. Carroll makes free throw 1 of 3,32,40
159,2,5:36.0,,D. Carroll misses free throw 2 of 3,32,40
160,2,5:36.0,,Offensive rebound by Team,32,40
161,2,5:36.0,M. Plumlee enters the game for M. Teletović,,32,40
162,2,5:36.0,G. Antetokounmpo enters the game for T. Maker,,32,40
163,2,5:36.0,,D. Carroll makes free throw 3 of 3,32,41
164,2,5:23.0,Turnover by R. Vaughn (lost ball; steal by F. VanVleet),,32,41
