,QUARTER,TIME_REMAINING,UTAH_ACTION,SACRAMENTO_ACTION,UTAH_SCORE,SACRAMENTO_SCORE
0,1,11:40.0,B. Diaw misses 2-pt hook shot from 8 ft,,0,0
1,1,11:39.0,,Defensive rebound by S. Labissière,0,0
2,1,11:26.0,,T. Evans misses 2-pt jump shot from 6 ft,0,0
3,1,11:25.0,Defensive rebound by R. Gobert,,0,0
4,1,11:21.0,R. Gobert makes 2-pt jump shot from 4 ft (assist by B. Diaw),,2,0
5,1,11:21.0,Shooting foul by S. Labissière (drawn by R. Gobert),,2,0
6,1,11:21.0,R. Gobert makes free throw 1 of 1,,3,0
7,1,11:06.0,,W. Cauley-Stein misses 2-pt hook shot from 8 ft,3,0
8,1,11:05.0,Defensive rebound by B. Diaw,,3,0
9,1,10:58.0,Turnover by D. Exum (bad pass; steal by D. Collison),,3,0
10,1,10:53.0,,B. Hield misses 2-pt layup from 1 ft,3,0
11,1,10:52.0,Defensive rebound by G. Hayward,,3,0
12,1,10:36.0,G. Hayward makes 3-pt jump shot from 23 ft (assist by B. Diaw),,6,0
13,1,10:23.0,,D. Collison misses 2-pt jump shot from 16 ft,6,0
14,1,10:22.0,Defensive rebound by G. Hayward,,6,0
15,1,10:18.0,G. Hayward misses 2-pt layup from 1 ft,,6,0
16,1,10:17.0,,Defensive rebound by W. Cauley-Stein,6,0
17,1,9:58.0,,W. Cauley-Stein misses 2-pt jump shot from 17 ft,6,0
18,1,9:58.0,,Offensive rebound by Team,6,0
19,1,9:58.0,Loose ball foul by G. Hayward (drawn by S. Labissière),,6,0
20,1,9:58.0,S. Mack enters the game for D. Exum,,6,0
21,1,9:46.0,,T. Evans misses 3-pt jump shot from 25 ft,6,0
22,1,9:46.0,Defensive rebound by S. Mack,,6,0
23,1,9:26.0,B. Diaw misses 3-pt jump shot from 25 ft,,6,0
24,1,9:24.0,,Defensive rebound by W. Cauley-Stein,6,0
