,QUARTER,TIME_REMAINING,DENVER_ACTION,SACRAMENTO_ACTION,DENVER_SCORE,SACRAMENTO_SCORE
0,1,11:43.0,,K. Koufos makes 2-pt hook shot from 6 ft (assist by T. Lawson),0,2
1,1,11:31.0,D. Gallinari makes 2-pt jump shot from 7 ft,,2,2
2,1,11:31.0,Shooting foul by B. McLemore (drawn by D. Gallinari),,2,2
3,1,11:31.0,D. Gallinari makes free throw 1 of 1,,3,2
4,1,11:16.0,,T. Lawson makes 2-pt jump shot from 19 ft (assist by D. Collison),3,4
5,1,11:06.0,G. Harris misses 3-pt jump shot from 25 ft,,3,4
6,1,11:05.0,,Defensive rebound by B. McLemore,3,4
7,1,10:48.0,,K. Koufos misses 2-pt jump shot from 4 ft,3,4
8,1,10:47.0,Defensive rebound by G. Harris,,3,4
9,1,10:39.0,G. Harris makes 3-pt jump shot from 24 ft (assist by J. Nelson),,6,4
10,1,10:20.0,,A. Tolliver misses 2-pt jump shot from 16 ft,6,4
11,1,10:19.0,Defensive rebound by D. Gallinari,,6,4
12,1,10:06.0,J. Nelson makes 3-pt jump shot from 23 ft (assist by D. Gallinari),,9,4
13,1,9:40.0,,T. Lawson misses 2-pt jump shot from 17 ft,9,4
14,1,9:39.0,Defensive rebound by N. Jokić,,9,4
15,1,9:33.0,K. Faried misses 2-pt layup from 4 ft,,9,4
16,1,9:31.0,,Defensive rebound by A. Tolliver,9,4
17,1,9:25.0,,K. Koufos makes 2-pt layup from 2 ft (assist by D. Collison),9,6
18,1,9:04.0,D. Gallinari misses 2-pt layup from 3 ft,,9,6
19,1,9:03.0,,Defensive rebound by K. Koufos,9,6
20,1,8:55.0,,B. McLemore misses 2-pt jump shot from 17 ft,9,6
21,1,8:54.0,Defensive rebound by J. Nelson,,9,6
22,1,8:45.0,D. Gallinari makes 2-pt layup from 3 ft (assist by J. Nelson),,11,6
23,1,8:31.0,,D. Collison misses 2-pt jump shot from 15 ft,11,6
24,1,8:30.0,Defensive rebound by N. Jokić,,11,6
25,1,8:21.0,J. Nelson misses 3-pt jump shot from 25 ft,,11,6
26,1,8:20.0,Offensive rebound by K. Faried,,11,6
27,1,8:16.0,K. Faried misses 2-pt layup from 2 ft,,11,6
28,1,8:15.0,,Defensive rebound by A. Tolliver,11,6
29,1,8:02.0,,A. Tolliver misses 3-pt jump shot from 23 ft,11,6
30,1,8:01.0,Defensive rebound by N. Jokić,,11,6
31,1,7:54.0,Turnover by G. Harris (bad pass; steal by T. Lawson),,11,6
32,1,7:48.0,,D. Collison misses 3-pt jump shot from 24 ft,11,6
