,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,CLEVELAND_ACTION,CHARLOTTE_SCORE,CLEVELAND_SCORE
0,1,11:39.0,N. Batum makes 2-pt jump shot from 22 ft,,2,0
1,1,11:25.0,,K. Love makes 2-pt jump shot from 17 ft (assist by L. James),2,2
2,1,11:10.0,Turnover by C. Zeller (lost ball; steal by L. James),,2,2
3,1,11:03.0,,J. Smith misses 3-pt jump shot from 25 ft,2,2
4,1,11:02.0,Defensive rebound by M. Kidd-Gilchrist,,2,2
5,1,10:53.0,M. Kidd-Gilchrist misses 2-pt jump shot from 14 ft,,2,2
6,1,10:53.0,,Defensive rebound by T. Thompson,2,2
7,1,10:38.0,,K. Love makes 2-pt layup from 1 ft,2,4
8,1,10:27.0,Shooting foul by T. Thompson (drawn by K. Walker),,2,4
9,1,10:27.0,K. Walker makes free throw 1 of 2,,3,4
10,1,10:27.0,K. Walker misses free throw 2 of 2,,3,4
11,1,10:26.0,,Defensive rebound by K. Love,3,4
12,1,10:16.0,,Personal foul by M. Williams (drawn by K. Love),3,4
13,1,10:02.0,,Turnover by Team (shot clock),3,4
14,1,9:51.0,C. Zeller makes 2-pt jump shot from 5 ft (assist by N. Batum),,5,4
15,1,9:35.0,,L. James makes 3-pt jump shot from 25 ft (assist by K. Irving),5,7
16,1,9:19.0,K. Walker makes 3-pt jump shot from 26 ft,,8,7
17,1,9:06.0,,K. Love makes 2-pt hook shot from 8 ft (assist by K. Irving),8,9
18,1,8:48.0,N. Batum misses 3-pt jump shot from 24 ft,,8,9
19,1,8:48.0,,Defensive rebound by K. Irving,8,9
20,1,8:39.0,,J. Smith makes 3-pt jump shot from 25 ft (assist by L. James),8,12
21,1,8:24.0,Turnover by K. Walker (lost ball; steal by K. Love),,8,12
22,1,8:19.0,,K. Irving misses 2-pt layup from 1 ft,8,12
23,1,8:18.0,Defensive rebound by C. Zeller,,8,12
24,1,8:10.0,Personal foul by K. Irving (drawn by K. Walker),,8,12
25,1,8:01.0,Turnover by N. Batum (lost ball; steal by T. Thompson),,8,12
26,1,7:54.0,,Turnover by L. James (bad pass; steal by C. Zeller),8,12
27,1,7:51.0,Turnover by C. Zeller (bad pass; steal by L. James),,8,12
28,1,7:46.0,,T. Thompson makes 2-pt layup from 3 ft (assist by L. James),8,14
29,1,7:41.0,Charlotte full timeout,,8,14
30,1,7:30.0,M. Williams misses 2-pt layup from 2 ft,,8,14
31,1,7:29.0,,Defensive rebound by L. James,8,14
32,1,7:22.0,,L. James makes 2-pt jump shot from 19 ft,8,16
33,1,7:03.0,C. Zeller makes 2-pt layup from 1 ft (assist by M. Kidd-Gilchrist),,10,16
34,1,6:50.0,,L. James misses 2-pt jump shot from 22 ft,10,16
35,1,6:50.0,Defensive rebound by C. Zeller,,10,16
36,1,6:42.0,M. Williams misses 3-pt jump shot from 24 ft,,10,16
37,1,6:41.0,,Defensive rebound by K. Irving,10,16
