,QUARTER,TIME_REMAINING,DETROIT_ACTION,ATLANTA_ACTION,DETROIT_SCORE,ATLANTA_SCORE
0,1,11:46.0,,D. Schröder misses 2-pt jump shot from 12 ft,0,0
1,1,11:45.0,Defensive rebound by I. Smith,,0,0
2,1,11:37.0,A. Drummond makes 2-pt hook shot from 6 ft (assist by I. Smith),,2,0
3,1,11:20.0,,K. Bazemore misses 3-pt jump shot from 22 ft,2,0
4,1,11:19.0,Defensive rebound by T. Harris,,2,0
5,1,11:01.0,T. Harris misses 2-pt jump shot from 11 ft,,2,0
6,1,11:00.0,,Defensive rebound by T. Sefolosha,2,0
7,1,10:47.0,,K. Bazemore misses 2-pt jump shot from 9 ft,2,0
8,1,10:46.0,Defensive rebound by Team,,2,0
9,1,10:33.0,M. Morris misses 2-pt jump shot from 16 ft,,2,0
10,1,10:32.0,,Defensive rebound by K. Bazemore,2,0
11,1,10:25.0,,D. Schröder misses 3-pt jump shot from 25 ft,2,0
12,1,10:19.0,Defensive rebound by K. Caldwell-Pope,,2,0
13,1,10:16.0,K. Caldwell-Pope makes 3-pt jump shot from 24 ft,,5,0
14,1,9:57.0,,T. Sefolosha misses 2-pt jump shot from 6 ft (block by T. Harris),5,0
15,1,9:56.0,Defensive rebound by A. Drummond,,5,0
16,1,9:50.0,K. Caldwell-Pope makes 3-pt jump shot from 23 ft (assist by I. Smith),,8,0
17,1,9:38.0,,D. Schröder makes 2-pt layup from 1 ft,8,2
18,1,9:16.0,A. Drummond misses 2-pt hook shot from 9 ft,,8,2
19,1,9:14.0,,Defensive rebound by T. Sefolosha,8,2
20,1,9:10.0,,K. Bazemore misses 3-pt jump shot from 23 ft,8,2
21,1,9:08.0,Defensive rebound by I. Smith,,8,2
22,1,9:01.0,T. Harris makes 3-pt jump shot from 25 ft (assist by I. Smith),,11,2
23,1,8:44.0,,T. Sefolosha misses 2-pt jump shot from 16 ft,11,2
24,1,8:43.0,Defensive rebound by M. Morris,,11,2
25,1,8:36.0,T. Harris misses 2-pt layup from 2 ft (block by D. Howard),,11,2
26,1,8:34.0,,Defensive rebound by K. Korver,11,2
27,1,8:25.0,,K. Bazemore makes 2-pt jump shot from 8 ft (assist by D. Schröder),11,4
28,1,8:10.0,K. Caldwell-Pope misses 2-pt jump shot from 11 ft,,11,4
29,1,8:08.0,,Defensive rebound by D. Schröder,11,4
30,1,8:00.0,,D. Howard makes 2-pt dunk at rim (assist by D. Schröder),11,6
31,1,7:40.0,I. Smith makes 2-pt jump shot from 18 ft,,13,6
32,1,7:25.0,,K. Bazemore makes 3-pt jump shot from 25 ft (assist by D. Schröder),13,9
33,1,7:02.0,K. Caldwell-Pope makes 2-pt layup from 2 ft (assist by A. Drummond),,15,9
34,1,6:48.0,,D. Howard misses 2-pt layup from 1 ft,15,9
35,1,6:47.0,Defensive rebound by T. Harris,,15,9
36,1,6:42.0,I. Smith misses 2-pt layup from 2 ft,,15,9
37,1,6:41.0,,Defensive rebound by D. Howard,15,9
38,1,6:31.0,,T. Sefolosha makes 3-pt jump shot from 25 ft (assist by D. Schröder),15,12
39,1,6:09.0,K. Caldwell-Pope misses 2-pt layup from 2 ft,,15,12
40,1,6:08.0,,Defensive rebound by D. Howard,15,12
41,1,6:01.0,,K. Korver makes 2-pt jump shot from 10 ft,15,14
42,1,5:42.0,Detroit full timeout,,15,14
43,1,5:42.0,,M. Muscala enters the game for T. Sefolosha,15,14
44,1,5:42.0,J. Leuer enters the game for T. Harris,,15,14
45,1,5:32.0,K. Caldwell-Pope misses 2-pt jump shot from 8 ft,,15,14
