,QUARTER,TIME_REMAINING,DALLAS_ACTION,NEW ORLEANS_ACTION,DALLAS_SCORE,NEW ORLEANS_SCORE
0,1,11:44.0,,A. Davis misses 2-pt jump shot from 8 ft,0,0
1,1,11:43.0,Defensive rebound by N. Noel,,0,0
2,1,11:24.0,H. Barnes misses 2-pt jump shot from 11 ft,,0,0
3,1,11:22.0,,Defensive rebound by A. Davis,0,0
4,1,11:17.0,,S. Hill misses 2-pt layup from 2 ft,0,0
5,1,11:16.0,Defensive rebound by H. Barnes,,0,0
6,1,10:58.0,W. Matthews misses 2-pt jump shot from 16 ft,,0,0
7,1,10:56.0,,Defensive rebound by S. Hill,0,0
8,1,10:48.0,,D. Cousins misses 3-pt jump shot from 26 ft,0,0
9,1,10:45.0,Defensive rebound by N. Noel,,0,0
10,1,10:30.0,Shooting foul by J. Holiday (drawn by S. Curry),,0,0
11,1,10:30.0,S. Curry makes free throw 1 of 2,,1,0
12,1,10:30.0,S. Curry makes free throw 2 of 2,,2,0
13,1,10:22.0,,Turnover by D. Cousins (offensive foul),2,0
14,1,10:22.0,,Offensive foul by D. Cousins (drawn by N. Noel),2,0
15,1,10:04.0,D. Nowitzki misses 2-pt jump shot from 10 ft (block by J. Holiday),,2,0
16,1,10:03.0,Offensive rebound by D. Nowitzki,,2,0
17,1,10:02.0,D. Nowitzki misses 2-pt jump shot from 16 ft,,2,0
18,1,10:00.0,,Defensive rebound by D. Cousins,2,0
19,1,9:53.0,,J. Holiday misses 3-pt jump shot from 23 ft,2,0
20,1,9:51.0,,Offensive rebound by A. Davis,2,0
21,1,9:48.0,,A. Davis makes 2-pt layup from 2 ft,2,2
22,1,9:35.0,N. Noel misses 2-pt jump shot from 14 ft,,2,2
23,1,9:33.0,,Defensive rebound by A. Davis,2,2
24,1,9:16.0,,A. Davis misses 2-pt jump shot from 22 ft,2,2
25,1,9:14.0,Defensive rebound by S. Curry,,2,2
26,1,9:07.0,S. Curry misses 2-pt jump shot from 17 ft,,2,2
27,1,9:05.0,,Defensive rebound by A. Davis,2,2
28,1,8:59.0,,S. Hill misses 3-pt jump shot from 27 ft,2,2
29,1,8:56.0,Defensive rebound by S. Curry,,2,2
30,1,8:47.0,W. Matthews misses 3-pt jump shot from 26 ft (block by J. Holiday),,2,2
31,1,8:46.0,,Defensive rebound by D. Cousins,2,2
32,1,8:42.0,,J. Holiday makes 2-pt dunk at rim (assist by D. Cousins),2,4
33,1,8:41.0,Dallas full timeout,,2,4
34,1,8:19.0,N. Noel misses 2-pt jump shot from 20 ft,,2,4
35,1,8:18.0,,Defensive rebound by J. Holiday,2,4
36,1,8:13.0,Violation by N. Noel (kicked ball),,2,4
37,1,8:01.0,,Shooting foul by H. Barnes (drawn by D. Cousins),2,4
38,1,8:01.0,,D. Cousins makes free throw 1 of 2,2,5
39,1,8:01.0,,D. Cousins makes free throw 2 of 2,2,6
40,1,7:43.0,N. Noel misses 2-pt jump shot from 4 ft,,2,6
41,1,7:42.0,,Defensive rebound by A. Davis,2,6
42,1,7:29.0,,A. Davis makes 2-pt layup from 2 ft (assist by D. Cousins),2,8
43,1,7:10.0,D. Nowitzki makes 2-pt jump shot from 13 ft (assist by W. Matthews),,4,8
44,1,6:58.0,,Shooting foul by N. Noel (drawn by D. Cousins),4,8
45,1,6:58.0,,D. Cousins makes free throw 1 of 2,4,9
46,1,6:58.0,,D. Cousins makes free throw 2 of 2,4,10
47,1,6:48.0,S. Curry makes 2-pt layup from 2 ft (assist by D. Nowitzki),,6,10
48,1,6:35.0,,D. Cousins misses 3-pt jump shot from 25 ft,6,10
49,1,6:33.0,Defensive rebound by H. Barnes,,6,10
50,1,6:24.0,D. Nowitzki misses 2-pt jump shot from 15 ft,,6,10
51,1,6:22.0,,Defensive rebound by D. Cousins,6,10
52,1,6:13.0,,Turnover by A. Davis (lost ball),6,10
53,1,6:13.0,Dallas full timeout,,6,10
54,1,6:13.0,Y. Ferrell enters the game for D. Nowitzki,,6,10
55,1,6:09.0,S. Curry misses 3-pt jump shot from 24 ft,,6,10
56,1,6:07.0,,Defensive rebound by A. Davis,6,10
57,1,5:53.0,,Shooting foul by Y. Ferrell (drawn by S. Hill),6,10
58,1,5:53.0,,S. Hill misses free throw 1 of 2,6,10
59,1,5:53.0,,Offensive rebound by Team,6,10
60,1,5:53.0,,S. Hill makes free throw 2 of 2,6,11
61,1,5:44.0,Y. Ferrell misses 2-pt jump shot from 21 ft,,6,11
62,1,5:41.0,,Defensive rebound by J. Holiday,6,11
63,1,5:30.0,,T. Frazier misses 3-pt jump shot from 27 ft,6,11
64,1,5:29.0,Defensive rebound by H. Barnes,,6,11
65,1,5:08.0,H. Barnes misses 2-pt layup from 3 ft (block by D. Cousins),,6,11
66,1,5:06.0,,Defensive rebound by J. Holiday,6,11
67,1,5:01.0,,J. Holiday makes 2-pt layup from 2 ft,6,13
68,1,5:01.0,,Shooting foul by S. Curry (drawn by J. Holiday),6,13
69,1,5:01.0,,E. Moore enters the game for D. Cousins,6,13
70,1,5:01.0,,D. Cunningham enters the game for T. Frazier,6,13
71,1,5:01.0,,J. Holiday makes free throw 1 of 1,6,14
72,1,4:48.0,W. Matthews makes 2-pt layup from 2 ft,,8,14
73,1,4:37.0,,A. Davis misses 2-pt jump shot from 17 ft,8,14
74,1,4:35.0,Defensive rebound by W. Matthews,,8,14
75,1,4:16.0,H. Barnes misses 2-pt jump shot from 16 ft,,8,14
76,1,4:14.0,Offensive rebound by H. Barnes,,8,14
77,1,4:04.0,N. Noel makes 2-pt dunk at rim,,10,14
78,1,3:42.0,,A. Davis makes 2-pt layup from 2 ft (assist by E. Moore),10,16
79,1,3:22.0,Personal foul by D. Cunningham (drawn by H. Barnes),,10,16
80,1,3:22.0,D. Harris enters the game for N. Noel,,10,16
81,1,3:22.0,J. Barea enters the game for S. Curry,,10,16
82,1,3:22.0,D. Powell enters the game for Y. Ferrell,,10,16
83,1,3:18.0,D. Powell makes 2-pt layup at rim (assist by J. Barea),,12,16
84,1,3:01.0,,J. Holiday misses 2-pt jump shot from 11 ft,12,16
85,1,2:58.0,Defensive rebound by Team,,12,16
86,1,2:57.0,,New Orleans full timeout,12,16
87,1,2:57.0,D. Nowitzki enters the game for H. Barnes,,12,16
88,1,2:57.0,D. Finney-Smith enters the game for W. Matthews,,12,16
89,1,2:37.0,D. Powell makes 2-pt layup from 2 ft (assist by J. Barea),,14,16
90,1,2:22.0,,E. Moore misses 3-pt jump shot from 25 ft,14,16
