,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,INDIANA_ACTION,PHILADELPHIA_SCORE,INDIANA_SCORE
0,1,11:50.0,,Turnover by P. George (bad pass; steal by T. McConnell),0,0
1,1,11:47.0,T. McConnell makes 2-pt layup from 1 ft,,2,0
2,1,11:39.0,,J. Teague makes 2-pt jump shot from 4 ft,2,2
3,1,11:15.0,R. Covington misses 2-pt layup from 2 ft,,2,2
4,1,11:14.0,Offensive rebound by D. Šarić,,2,2
5,1,11:14.0,D. Šarić misses 2-pt layup at rim,,2,2
6,1,11:13.0,,Defensive rebound by P. George,2,2
7,1,11:08.0,,T. Young misses 2-pt layup from 1 ft,2,2
8,1,11:07.0,Defensive rebound by R. Holmes,,2,2
9,1,10:48.0,D. Šarić makes 2-pt layup from 1 ft (assist by T. McConnell),,4,2
10,1,10:37.0,,P. George misses 2-pt jump shot from 18 ft,4,2
11,1,10:37.0,,Offensive rebound by M. Turner,4,2
12,1,10:32.0,,P. George makes 2-pt layup from 4 ft,4,4
13,1,10:12.0,D. Šarić misses 3-pt jump shot from 27 ft,,4,4
14,1,10:11.0,,Defensive rebound by P. George,4,4
15,1,9:58.0,,T. Young misses 2-pt hook shot from 5 ft,4,4
16,1,9:58.0,Defensive rebound by R. Covington,,4,4
17,1,9:47.0,T. McConnell makes 2-pt layup from 1 ft,,6,4
18,1,9:37.0,,Personal foul by T. Luwawu-Cabarrot (drawn by J. Teague),6,4
19,1,9:30.0,,J. Teague makes 3-pt jump shot from 28 ft (assist by T. Young),6,7
20,1,9:08.0,T. Luwawu-Cabarrot misses 3-pt jump shot from 26 ft,,6,7
21,1,9:07.0,,Defensive rebound by Team,6,7
22,1,9:04.0,,Turnover by J. Teague (bad pass; steal by R. Holmes),6,7
23,1,8:58.0,R. Covington makes 3-pt jump shot from 27 ft (assist by T. McConnell),,9,7
24,1,8:42.0,,T. Young misses 2-pt layup from 2 ft,9,7
25,1,8:40.0,,Offensive rebound by T. Young,9,7
26,1,8:40.0,,T. Young misses 2-pt layup from 1 ft,9,7
27,1,8:39.0,Defensive rebound by R. Holmes,,9,7
28,1,8:27.0,R. Covington misses 3-pt jump shot from 28 ft,,9,7
29,1,8:26.0,,Defensive rebound by M. Turner,9,7
30,1,8:13.0,,P. George misses 3-pt jump shot from 26 ft,9,7
31,1,8:13.0,Defensive rebound by R. Holmes,,9,7
32,1,7:59.0,Turnover by D. Šarić (lost ball; steal by T. Young),,9,7
33,1,7:50.0,,M. Ellis misses 3-pt jump shot from 26 ft,9,7
34,1,7:49.0,Defensive rebound by T. McConnell,,9,7
35,1,7:45.0,T. Luwawu-Cabarrot makes 2-pt layup at rim (assist by T. McConnell),,11,7
36,1,7:30.0,,J. Teague misses 2-pt jump shot from 19 ft,11,7
37,1,7:30.0,Defensive rebound by R. Holmes,,11,7
38,1,7:23.0,Shooting foul by T. Young (drawn by R. Covington),,11,7
39,1,7:23.0,R. Covington makes free throw 1 of 2,,12,7
40,1,7:23.0,R. Covington makes free throw 2 of 2,,13,7
41,1,7:08.0,,M. Ellis makes 3-pt jump shot from 24 ft (assist by P. George),13,10
42,1,7:00.0,G. Henderson enters the game for R. Covington,,13,10
43,1,6:57.0,T. Luwawu-Cabarrot misses 2-pt layup from 2 ft (block by M. Ellis),,13,10
44,1,6:56.0,,Defensive rebound by J. Teague,13,10
45,1,6:44.0,,P. George makes 2-pt jump shot from 19 ft,13,12
46,1,6:18.0,T. Luwawu-Cabarrot misses 2-pt jump shot from 19 ft,,13,12
47,1,6:17.0,,Defensive rebound by P. George,13,12
48,1,6:00.0,,Shooting foul by T. Luwawu-Cabarrot (drawn by T. Young),13,12
49,1,6:00.0,,T. Young makes free throw 1 of 2,13,13
50,1,6:00.0,N. Stauskas enters the game for T. Luwawu-Cabarrot,,13,13
51,1,6:00.0,,T. Young makes free throw 2 of 2,13,14
52,1,5:49.0,D. Šarić misses 3-pt jump shot from 27 ft,,13,14
53,1,5:49.0,,Defensive rebound by M. Turner,13,14
54,1,5:35.0,,P. George misses 2-pt jump shot from 8 ft,13,14
55,1,5:35.0,,Offensive rebound by M. Turner,13,14
56,1,5:27.0,,T. Young misses 2-pt layup from 2 ft,13,14
57,1,5:27.0,Defensive rebound by D. Šarić,,13,14
58,1,5:21.0,Personal foul by T. Young (drawn by D. Šarić),,13,14
59,1,5:21.0,,Indiana full timeout,13,14
60,1,5:21.0,,L. Allen enters the game for T. Young,13,14
61,1,5:11.0,D. Šarić misses 2-pt jump shot from 7 ft,,13,14
62,1,5:09.0,Offensive rebound by R. Holmes,,13,14
63,1,4:58.0,R. Holmes makes 2-pt dunk at rim (assist by T. McConnell),,15,14
64,1,4:40.0,,J. Teague makes 3-pt jump shot from 26 ft (assist by M. Ellis),15,17
65,1,4:26.0,D. Šarić misses 2-pt layup from 1 ft,,15,17
66,1,4:25.0,,Defensive rebound by P. George,15,17
67,1,4:19.0,,J. Teague misses 3-pt jump shot from 27 ft,15,17
68,1,4:19.0,Defensive rebound by N. Stauskas,,15,17
69,1,4:11.0,Turnover by N. Stauskas (lost ball; steal by L. Allen),,15,17
