,QUARTER,TIME_REMAINING,DALLAS_ACTION,WASHINGTON_ACTION,DALLAS_SCORE,WASHINGTON_SCORE
0,1,11:47.0,,M. Gortat makes 2-pt layup from 2 ft (assist by J. Wall),0,2
1,1,11:22.0,H. Barnes makes 2-pt jump shot from 6 ft,,2,2
2,1,11:05.0,,O. Porter makes 3-pt jump shot from 25 ft (assist by M. Morris),2,5
3,1,10:38.0,H. Barnes misses 2-pt jump shot from 10 ft,,2,5
4,1,10:38.0,,Defensive rebound by M. Morris,2,5
5,1,10:18.0,,M. Morris misses 3-pt jump shot from 25 ft,2,5
6,1,10:18.0,Defensive rebound by D. Finney-Smith,,2,5
7,1,10:09.0,Turnover by D. Nowitzki (lost ball; steal by M. Morris),,2,5
8,1,10:04.0,,Shooting foul by Y. Ferrell (drawn by M. Morris),2,5
9,1,10:04.0,,B. Beal makes free throw 1 of 2,2,6
10,1,10:04.0,Dallas full timeout,,2,6
11,1,10:04.0,,B. Beal makes free throw 2 of 2,2,7
12,1,9:47.0,D. Finney-Smith misses 3-pt jump shot from 26 ft,,2,7
13,1,9:46.0,,Defensive rebound by O. Porter,2,7
14,1,9:23.0,,B. Beal makes 3-pt jump shot from 28 ft (assist by J. Wall),2,10
15,1,9:13.0,Personal foul by J. Wall (drawn by Y. Ferrell),,2,10
16,1,8:54.0,H. Barnes makes 2-pt jump shot from 14 ft,,4,10
17,1,8:39.0,,M. Gortat misses 2-pt jump shot from 5 ft,4,10
18,1,8:38.0,Defensive rebound by H. Barnes,,4,10
19,1,8:28.0,Y. Ferrell misses 2-pt layup from 1 ft,,4,10
20,1,8:26.0,Offensive rebound by D. Finney-Smith,,4,10
21,1,8:25.0,D. Finney-Smith makes 2-pt dunk at rim,,6,10
22,1,8:16.0,,Personal foul by Y. Ferrell (drawn by J. Wall),6,10
23,1,8:16.0,J. Barea enters the game for Y. Ferrell,,6,10
24,1,8:10.0,,J. Wall makes 3-pt jump shot from 29 ft (assist by B. Beal),6,13
25,1,7:56.0,S. Curry makes 2-pt jump shot from 8 ft (assist by J. Barea),,8,13
26,1,7:50.0,,O. Porter makes 2-pt layup from 1 ft (assist by J. Wall),8,15
27,1,7:38.0,Def 3 sec tech foul by M. Morris,,8,15
28,1,7:38.0,D. Nowitzki makes technical free throw,,9,15
29,1,7:32.0,J. Barea makes 2-pt layup from 1 ft,,11,15
30,1,7:17.0,,M. Morris misses 2-pt layup from 1 ft,11,15
31,1,7:16.0,Defensive rebound by J. Barea,,11,15
32,1,7:07.0,D. Nowitzki makes 2-pt jump shot from 21 ft (assist by J. Barea),,13,15
33,1,6:53.0,,M. Gortat misses 2-pt hook shot at rim,13,15
34,1,6:52.0,,Offensive rebound by M. Gortat,13,15
35,1,6:47.0,,J. Wall misses 3-pt jump shot from 24 ft,13,15
36,1,6:46.0,,Offensive rebound by M. Gortat,13,15
37,1,6:43.0,,B. Beal misses 3-pt jump shot from 26 ft,13,15
38,1,6:42.0,,Offensive rebound by M. Morris,13,15
39,1,6:29.0,,B. Beal misses 2-pt jump shot from 6 ft,13,15
40,1,6:28.0,,Offensive rebound by O. Porter,13,15
41,1,6:25.0,,O. Porter makes 2-pt jump shot from 4 ft,13,17
42,1,6:24.0,Dallas full timeout,,13,17
43,1,6:24.0,N. Noel enters the game for D. Nowitzki,,13,17
44,1,6:11.0,Offensive foul by N. Noel (drawn by B. Beal),,13,17
45,1,6:11.0,Turnover by N. Noel (offensive foul),,13,17
46,1,5:55.0,,M. Gortat makes 2-pt hook shot from 7 ft,13,19
47,1,5:34.0,H. Barnes misses 2-pt jump shot from 16 ft,,13,19
48,1,5:34.0,,Defensive rebound by M. Gortat,13,19
49,1,5:24.0,,M. Gortat makes 2-pt dunk at rim (assist by J. Wall),13,21
50,1,5:03.0,N. Noel makes 2-pt dunk at rim (assist by J. Barea),,15,21
51,1,4:34.0,,M. Gortat misses 2-pt jump shot from 6 ft,15,21
52,1,4:33.0,Defensive rebound by D. Finney-Smith,,15,21
53,1,4:27.0,Shooting foul by M. Morris (drawn by N. Noel),,15,21
54,1,4:27.0,N. Noel makes free throw 1 of 2,,16,21
55,1,4:27.0,N. Brussino enters the game for D. Finney-Smith,,16,21
56,1,4:27.0,D. Harris enters the game for S. Curry,,16,21
57,1,4:27.0,,I. Mahinmi enters the game for M. Gortat,16,21
58,1,4:27.0,,B. Bogdanović enters the game for M. Morris,16,21
59,1,4:27.0,N. Noel makes free throw 2 of 2,,17,21
60,1,4:15.0,,B. Beal makes 2-pt dunk at rim (assist by B. Bogdanović),17,23
61,1,3:57.0,N. Brussino makes 3-pt jump shot from 29 ft (assist by J. Barea),,20,23
62,1,3:44.0,,B. Beal makes 3-pt jump shot from 24 ft (assist by J. Wall),20,26
63,1,3:33.0,J. Barea makes 2-pt jump shot from 7 ft,,22,26
64,1,3:20.0,,I. Mahinmi misses 2-pt layup from 3 ft,22,26
65,1,3:19.0,Defensive rebound by N. Brussino,,22,26
66,1,3:12.0,D. Harris makes 3-pt jump shot from 24 ft (assist by J. Barea),,25,26
67,1,3:10.0,,Washington full timeout,25,26
68,1,2:54.0,,B. Beal makes 2-pt jump shot from 18 ft,25,28
69,1,2:43.0,N. Noel makes 2-pt dunk at rim (assist by J. Barea),,27,28
70,1,2:23.0,,J. Wall makes 2-pt jump shot from 15 ft (assist by O. Porter),27,30
71,1,2:13.0,N. Noel misses 2-pt layup from 2 ft,,27,30
72,1,2:12.0,,Defensive rebound by I. Mahinmi,27,30
73,1,1:58.0,,O. Porter misses 3-pt jump shot from 28 ft,27,30
74,1,1:58.0,,Offensive rebound by Team,27,30
75,1,1:58.0,Loose ball foul by D. Harris (drawn by I. Mahinmi),,27,30
76,1,1:58.0,,B. Jennings enters the game for B. Beal,27,30
77,1,1:58.0,D. Nowitzki enters the game for H. Barnes,,27,30
78,1,1:52.0,,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by B. Jennings),27,33
79,1,1:37.0,J. Barea misses 3-pt jump shot from 24 ft,,27,33
80,1,1:36.0,,Defensive rebound by I. Mahinmi,27,33
81,1,1:30.0,,Personal foul by N. Brussino (drawn by B. Bogdanović),27,33
82,1,1:30.0,,B. Bogdanović makes free throw 1 of 2,27,34
83,1,1:30.0,,J. Smith enters the game for O. Porter,27,34
84,1,1:30.0,,B. Bogdanović makes free throw 2 of 2,27,35
85,1,1:13.0,D. Nowitzki makes 2-pt jump shot from 17 ft (assist by D. Harris),,29,35
86,1,0:54.0,,J. Wall makes 2-pt layup from 2 ft,29,37
87,1,0:36.0,J. Barea misses 2-pt layup from 3 ft,,29,37
88,1,0:35.0,,Defensive rebound by J. Wall,29,37
89,1,0:29.0,,I. Mahinmi makes 2-pt dunk at rim (assist by B. Jennings),29,39
90,1,0:08.0,D. Nowitzki makes 3-pt jump shot from 26 ft (assist by J. Barea),,32,39
91,1,0:01.0,,J. Wall misses 2-pt jump shot from 15 ft,32,39
92,1,0:00.0,Defensive rebound by D. Nowitzki,,32,39
93,2,11:47.0,D. Harris makes 2-pt layup from 2 ft (assist by J. Barea),,34,39
94,2,11:30.0,,B. Bogdanović makes 2-pt jump shot from 3 ft (assist by B. Jennings),34,41
95,2,11:22.0,Personal foul by T. Satoranský (drawn by D. Harris),,34,41
96,2,11:22.0,S. Curry enters the game for J. Barea,,34,41
97,2,11:15.0,S. Curry misses 3-pt jump shot from 27 ft,,34,41
98,2,11:14.0,,Defensive rebound by I. Mahinmi,34,41
99,2,11:07.0,,J. Smith misses 2-pt jump shot from 18 ft,34,41
100,2,11:05.0,Defensive rebound by N. Brussino,,34,41
101,2,10:54.0,S. Curry makes 2-pt jump shot from 19 ft,,36,41
102,2,10:37.0,,Turnover by B. Bogdanović (bad pass),36,41
103,2,10:24.0,Shooting foul by T. Satoranský (drawn by D. Harris),,36,41
104,2,10:24.0,D. Harris makes free throw 1 of 2,,37,41
