,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,MILWAUKEE_ACTION,MINNESOTA_SCORE,MILWAUKEE_SCORE
0,1,11:37.0,Offensive charge foul by T. Snell (drawn by B. Rush),,0,0
1,1,11:37.0,,Turnover by T. Snell (offensive foul),0,0
2,1,11:29.0,Turnover by A. Wiggins (bad pass),,0,0
3,1,11:21.0,,Personal foul by R. Rubio (drawn by G. Antetokounmpo),0,0
4,1,11:16.0,,M. Dellavedova misses 2-pt layup from 1 ft (block by G. Dieng),0,0
5,1,11:13.0,Defensive rebound by G. Dieng,,0,0
6,1,10:59.0,K. Towns makes 2-pt layup from 2 ft,,2,0
7,1,10:40.0,,M. Dellavedova misses 2-pt layup from 1 ft,2,0
8,1,10:38.0,,Offensive rebound by T. Maker,2,0
9,1,10:38.0,,T. Maker misses 2-pt layup from 2 ft,2,0
10,1,10:36.0,Defensive rebound by A. Wiggins,,2,0
11,1,10:35.0,G. Dieng makes 2-pt layup from 1 ft (assist by R. Rubio),,4,0
12,1,10:35.0,Shooting foul by K. Middleton (drawn by G. Dieng),,4,0
13,1,10:35.0,G. Dieng makes free throw 1 of 1,,5,0
14,1,10:11.0,,Turnover by G. Antetokounmpo (bad pass),5,0
15,1,10:02.0,Turnover by K. Towns (bad pass),,5,0
16,1,9:53.0,,K. Middleton misses 3-pt jump shot from 24 ft,5,0
17,1,9:51.0,Defensive rebound by K. Towns,,5,0
18,1,9:44.0,G. Dieng misses 2-pt layup from 1 ft,,5,0
19,1,9:43.0,,Defensive rebound by T. Maker,5,0
20,1,9:37.0,,Shooting foul by A. Wiggins (drawn by G. Antetokounmpo),5,0
21,1,9:37.0,,G. Antetokounmpo makes 2-pt layup from 4 ft,5,2
22,1,9:37.0,,G. Antetokounmpo makes free throw 1 of 1,5,3
23,1,9:34.0,Personal block foul by M. Dellavedova (drawn by R. Rubio),,5,3
24,1,9:26.0,Turnover by K. Towns (bad pass),,5,3
25,1,9:18.0,,M. Dellavedova misses 3-pt jump shot from 25 ft,5,3
26,1,9:16.0,Defensive rebound by G. Dieng,,5,3
27,1,9:06.0,K. Towns makes 2-pt dunk at rim (assist by B. Rush),,7,3
28,1,8:46.0,,G. Antetokounmpo misses 2-pt jump shot from 11 ft,7,3
29,1,8:45.0,Defensive rebound by K. Towns,,7,3
30,1,8:27.0,A. Wiggins misses 2-pt layup from 2 ft,,7,3
31,1,8:26.0,Offensive rebound by A. Wiggins,,7,3
32,1,8:26.0,A. Wiggins misses 2-pt layup from 3 ft,,7,3
33,1,8:24.0,Offensive rebound by G. Dieng,,7,3
34,1,8:17.0,B. Rush misses 2-pt layup from 3 ft,,7,3
35,1,8:16.0,,Defensive rebound by T. Maker,7,3
36,1,8:04.0,,K. Middleton misses 2-pt jump shot from 17 ft,7,3
37,1,8:03.0,,Offensive rebound by T. Snell,7,3
38,1,7:57.0,,T. Snell makes 2-pt jump shot from 20 ft,7,5
39,1,7:42.0,B. Rush misses 2-pt layup from 1 ft (block by T. Maker),,7,5
40,1,7:40.0,,Defensive rebound by G. Antetokounmpo,7,5
41,1,7:37.0,,Shooting block foul by G. Dieng (drawn by G. Antetokounmpo),7,5
42,1,7:37.0,,G. Antetokounmpo misses free throw 1 of 2,7,5
43,1,7:37.0,,Offensive rebound by Team,7,5
44,1,7:37.0,,J. Terry enters the game for K. Middleton,7,5
45,1,7:37.0,,G. Antetokounmpo makes free throw 2 of 2,7,6
46,1,7:25.0,B. Rush misses 2-pt jump shot from 15 ft,,7,6
47,1,7:23.0,,Defensive rebound by T. Snell,7,6
48,1,7:06.0,,M. Dellavedova makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),7,9
49,1,6:53.0,Personal foul by T. Snell (drawn by A. Wiggins),,7,9
50,1,6:53.0,,G. Monroe enters the game for T. Maker,7,9
51,1,6:41.0,R. Rubio misses 2-pt jump shot from 9 ft,,7,9
52,1,6:41.0,,Defensive rebound by Team,7,9
53,1,6:41.0,Loose ball foul by R. Rubio (drawn by G. Antetokounmpo),,7,9
54,1,6:41.0,K. Dunn enters the game for R. Rubio,,7,9
55,1,6:26.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by M. Dellavedova),7,11
56,1,6:04.0,K. Towns misses 3-pt jump shot from 23 ft,,7,11
57,1,6:03.0,,Defensive rebound by T. Snell,7,11
58,1,5:54.0,,G. Monroe misses 2-pt jump shot from 15 ft,7,11
59,1,5:52.0,Defensive rebound by K. Dunn,,7,11
60,1,5:40.0,K. Dunn makes 2-pt jump shot from 13 ft,,9,11
61,1,5:25.0,,M. Dellavedova misses 2-pt jump shot from 6 ft (block by K. Towns),9,11
62,1,5:23.0,,Offensive rebound by J. Terry,9,11
63,1,5:18.0,,J. Terry misses 2-pt jump shot from 6 ft,9,11
64,1,5:17.0,Defensive rebound by B. Rush,,9,11
65,1,5:05.0,K. Towns makes 2-pt jump shot from 4 ft,,11,11
66,1,4:49.0,,T. Snell makes 3-pt jump shot from 24 ft (assist by J. Terry),11,14
67,1,4:25.0,Personal foul by G. Antetokounmpo (drawn by A. Wiggins),,11,14
68,1,4:25.0,,Milwaukee full timeout,11,14
69,1,4:25.0,,K. Middleton enters the game for G. Antetokounmpo,11,14
70,1,4:25.0,,J. Henson enters the game for T. Snell,11,14
71,1,4:25.0,N. Bjelica enters the game for K. Towns,,11,14
72,1,4:12.0,K. Dunn misses 3-pt jump shot from 29 ft,,11,14
73,1,4:11.0,,Defensive rebound by J. Terry,11,14
74,1,3:52.0,,G. Monroe makes 2-pt hook shot from 8 ft,11,16
75,1,3:41.0,,R. Vaughn enters the game for M. Dellavedova,11,16
76,1,3:41.0,S. Muhammad enters the game for B. Rush,,11,16
77,1,3:27.0,S. Muhammad misses 3-pt jump shot from 27 ft,,11,16
78,1,3:24.0,Offensive rebound by A. Wiggins,,11,16
79,1,3:12.0,N. Bjelica makes 2-pt layup at rim (assist by S. Muhammad),,13,16
80,1,2:53.0,,K. Middleton misses 3-pt jump shot from 26 ft,13,16
81,1,2:51.0,Defensive rebound by K. Dunn,,13,16
82,1,2:44.0,S. Muhammad misses 2-pt jump shot from 15 ft,,13,16
83,1,2:43.0,Offensive rebound by Team,,13,16
84,1,2:43.0,,Loose ball foul by J. Henson (drawn by G. Dieng),13,16
85,1,2:43.0,Minnesota full timeout,,13,16
86,1,2:43.0,G. Dieng makes free throw 1 of 2,,14,16
87,1,2:43.0,G. Dieng makes free throw 2 of 2,,15,16
88,1,2:23.0,,G. Monroe misses 2-pt hook shot from 6 ft,15,16
89,1,2:20.0,,Offensive rebound by J. Henson,15,16
90,1,2:20.0,,J. Henson misses 2-pt layup from 1 ft,15,16
91,1,2:18.0,,Offensive rebound by G. Monroe,15,16
92,1,2:15.0,,G. Monroe makes 2-pt hook shot from 2 ft,15,18
93,1,1:58.0,A. Wiggins misses 2-pt jump shot from 19 ft,,15,18
94,1,1:56.0,Offensive rebound by G. Dieng,,15,18
95,1,1:53.0,N. Bjelica makes 2-pt layup at rim (assist by K. Dunn),,17,18
96,1,1:29.0,,J. Terry makes 2-pt jump shot from 3 ft,17,20
97,1,1:29.0,,Shooting foul by A. Wiggins (drawn by J. Terry),17,20
98,1,1:29.0,T. Jones enters the game for A. Wiggins,,17,20
99,1,1:29.0,,J. Terry makes free throw 1 of 1,17,21
100,1,1:12.0,S. Muhammad makes 2-pt layup at rim (assist by T. Jones),,19,21
101,1,0:52.0,,G. Monroe misses 2-pt hook shot from 6 ft,19,21
102,1,0:51.0,Defensive rebound by K. Dunn,,19,21
103,1,0:43.0,Turnover by K. Dunn (bad pass; steal by R. Vaughn),,19,21
