,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,LA LAKERS_ACTION,SACRAMENTO_SCORE,LA LAKERS_SCORE
0,1,11:46.0,B. Hield makes 3-pt jump shot from 26 ft (assist by D. Collison),,3,0
1,1,11:27.0,,J. Clarkson makes 3-pt jump shot from 24 ft (assist by B. Ingram),3,3
2,1,10:58.0,B. Hield misses 2-pt layup from 3 ft,,3,3
3,1,10:56.0,,Defensive rebound by L. Nance,3,3
4,1,10:39.0,,B. Ingram makes 2-pt jump shot from 8 ft,3,5
5,1,10:15.0,Shooting foul by J. Randle (drawn by W. Cauley-Stein),,3,5
6,1,10:15.0,W. Cauley-Stein makes free throw 1 of 2,,4,5
7,1,10:15.0,W. Cauley-Stein misses free throw 2 of 2,,4,5
8,1,10:14.0,,Defensive rebound by D. Russell,4,5
9,1,9:54.0,,D. Russell misses 2-pt jump shot from 16 ft,4,5
10,1,9:53.0,Defensive rebound by D. Collison,,4,5
11,1,9:46.0,D. Collison makes 2-pt jump shot from 19 ft,,6,5
12,1,9:36.0,,J. Clarkson misses 3-pt jump shot from 25 ft,6,5
13,1,9:33.0,Defensive rebound by S. Labissière,,6,5
14,1,9:12.0,W. Cauley-Stein makes 2-pt jump shot from 19 ft,,8,5
15,1,9:01.0,,J. Randle misses 3-pt jump shot from 26 ft,8,5
16,1,8:59.0,Defensive rebound by D. Collison,,8,5
17,1,8:44.0,W. Cauley-Stein makes 2-pt hook shot from 11 ft (assist by D. Collison),,10,5
18,1,8:23.0,,Turnover by J. Clarkson (bad pass),10,5
19,1,8:09.0,S. Labissière makes 2-pt dunk at rim (assist by D. Collison),,12,5
20,1,7:47.0,,J. Randle makes 2-pt jump shot from 8 ft (assist by L. Nance),12,7
21,1,7:21.0,B. Hield misses 2-pt layup from 2 ft,,12,7
22,1,7:19.0,Offensive rebound by W. Cauley-Stein,,12,7
23,1,7:18.0,W. Cauley-Stein misses 2-pt layup at rim,,12,7
24,1,7:17.0,Offensive rebound by W. Cauley-Stein,,12,7
25,1,7:16.0,W. Cauley-Stein makes 2-pt layup from 1 ft,,14,7
26,1,7:05.0,,L. Nance misses 3-pt jump shot from 26 ft,14,7
27,1,7:03.0,Defensive rebound by A. Afflalo,,14,7
28,1,6:52.0,D. Collison misses 2-pt jump shot from 17 ft,,14,7
29,1,6:49.0,,Defensive rebound by L. Nance,14,7
30,1,6:40.0,,J. Clarkson misses 3-pt jump shot from 25 ft,14,7
31,1,6:39.0,Defensive rebound by A. Afflalo,,14,7
32,1,6:34.0,Turnover by B. Hield (lost ball; steal by L. Nance),,14,7
33,1,6:30.0,,Turnover by D. Russell (bad pass; steal by D. Collison),14,7
34,1,6:24.0,S. Labissière misses 2-pt hook shot from 9 ft,,14,7
35,1,6:17.0,Offensive rebound by S. Labissière,,14,7
36,1,6:14.0,Sacramento full timeout,,14,7
37,1,6:05.0,W. Cauley-Stein makes 2-pt dunk at rim (assist by B. Hield),,16,7
38,1,5:49.0,,J. Randle makes 2-pt jump shot from 17 ft (assist by J. Clarkson),16,9
39,1,5:32.0,S. Labissière makes 2-pt layup at rim (assist by D. Collison),,18,9
40,1,5:20.0,,Turnover by D. Russell (bad pass),18,9
41,1,5:20.0,G. Papagiannis enters the game for W. Cauley-Stein,,18,9
42,1,5:07.0,B. Hield misses 2-pt jump shot from 17 ft,,18,9
43,1,5:02.0,,Defensive rebound by L. Nance,18,9
44,1,4:44.0,,B. Ingram makes 2-pt dunk at rim (assist by J. Clarkson),18,11
45,1,4:33.0,Turnover by A. Afflalo (bad pass; steal by L. Nance),,18,11
46,1,4:27.0,,B. Ingram makes 2-pt layup from 1 ft (assist by L. Nance),18,13
47,1,4:11.0,S. Labissière misses 2-pt layup from 3 ft,,18,13
48,1,4:08.0,Offensive rebound by G. Papagiannis,,18,13
49,1,4:08.0,G. Papagiannis makes 2-pt layup from 3 ft,,20,13
50,1,3:50.0,,D. Russell makes 3-pt jump shot from 27 ft,20,16
51,1,3:36.0,G. Papagiannis makes 2-pt jump shot from 7 ft (assist by D. Collison),,22,16
52,1,3:24.0,,J. Randle makes 2-pt layup from 2 ft (assist by J. Clarkson),22,18
53,1,3:11.0,Turnover by B. Hield (bad pass; steal by L. Nance),,22,18
54,1,3:11.0,Loose ball foul by B. Hield (drawn by L. Nance),,22,18
55,1,3:11.0,,T. Ennis enters the game for L. Nance,22,18
56,1,3:11.0,,T. Black enters the game for J. Clarkson,22,18
57,1,3:11.0,B. McLemore enters the game for B. Hield,,22,18
58,1,2:55.0,,Turnover by D. Russell (bad pass),22,18
59,1,2:55.0,,LA Lakers full timeout,22,18
60,1,2:55.0,,C. Brewer enters the game for B. Ingram,22,18
61,1,2:55.0,T. Evans enters the game for A. Afflalo,,22,18
62,1,2:40.0,S. Labissière makes 2-pt hook shot from 6 ft (assist by D. Collison),,24,18
63,1,2:23.0,,T. Black misses 2-pt hook shot from 7 ft,24,18
64,1,2:20.0,Defensive rebound by T. Evans,,24,18
65,1,2:01.0,Turnover by G. Papagiannis (bad pass; steal by T. Ennis),,24,18
66,1,1:56.0,,C. Brewer misses 2-pt layup from 2 ft,24,18
67,1,1:54.0,,Offensive rebound by J. Randle,24,18
68,1,1:54.0,,J. Randle misses 2-pt layup from 1 ft,24,18
69,1,1:51.0,Defensive rebound by G. Papagiannis,,24,18
70,1,1:46.0,T. Evans makes 2-pt jump shot from 14 ft (assist by D. Collison),,26,18
71,1,1:31.0,,J. Randle misses 3-pt jump shot from 25 ft,26,18
72,1,1:29.0,Defensive rebound by D. Collison,,26,18
73,1,1:12.0,Turnover by T. Evans (bad pass),,26,18
74,1,1:12.0,,T. Robinson enters the game for J. Randle,26,18
75,1,1:12.0,A. Tolliver enters the game for S. Labissière,,26,18
76,1,1:00.0,,T. Ennis misses 2-pt layup from 2 ft,26,18
77,1,0:58.0,Defensive rebound by G. Papagiannis,,26,18
78,1,0:54.0,Shooting foul by D. Russell (drawn by D. Collison),,26,18
79,1,0:54.0,D. Collison makes free throw 1 of 2,,27,18
80,1,0:54.0,D. Collison makes free throw 2 of 2,,28,18
81,1,0:43.0,,D. Russell misses 3-pt jump shot from 25 ft,28,18
82,1,0:41.0,,Offensive rebound by T. Robinson,28,18
83,1,0:34.0,,T. Robinson misses 2-pt hook shot from 8 ft,28,18
84,1,0:30.0,Defensive rebound by G. Papagiannis,,28,18
85,1,0:19.0,T. Evans misses 2-pt layup from 2 ft,,28,18
86,1,0:15.0,Offensive rebound by T. Evans,,28,18
87,1,0:14.0,D. Collison makes 3-pt jump shot from 25 ft (assist by T. Evans),,31,18
88,1,0:02.0,,T. Ennis misses 3-pt jump shot from 26 ft,31,18
89,1,0:00.0,,Offensive rebound by Team,31,18
90,2,11:43.0,,T. Black makes 2-pt dunk at rim (assist by J. Clarkson),31,20
91,2,11:31.0,Turnover by B. McLemore (step out of bounds),,31,20
92,2,11:11.0,,T. Robinson makes 2-pt layup from 3 ft (assist by J. Clarkson),31,22
93,2,10:56.0,Personal foul by C. Brewer (drawn by B. McLemore),,31,22
94,2,10:51.0,Turnover by L. Galloway (bad pass),,31,22
95,2,10:51.0,Loose ball foul by A. Tolliver (drawn by C. Brewer),,31,22
96,2,10:51.0,W. Cauley-Stein enters the game for G. Papagiannis,,31,22
97,2,10:37.0,,J. Clarkson makes 3-pt jump shot from 28 ft (assist by T. Ennis),31,25
