,QUARTER,TIME_REMAINING,MIAMI_ACTION,INDIANA_ACTION,MIAMI_SCORE,INDIANA_SCORE
0,1,11:43.0,R. McGruder misses 2-pt jump shot from 8 ft,,0,0
1,1,11:43.0,Offensive rebound by H. Whiteside,,0,0
2,1,11:41.0,H. Whiteside misses 2-pt jump shot from 5 ft,,0,0
3,1,11:39.0,Offensive rebound by R. McGruder,,0,0
4,1,11:39.0,R. McGruder misses 2-pt layup from 1 ft,,0,0
5,1,11:39.0,,Defensive rebound by P. George,0,0
6,1,11:28.0,,T. Young misses 2-pt hook shot from 8 ft,0,0
7,1,11:26.0,,Offensive rebound by M. Turner,0,0
8,1,11:17.0,,T. Young makes 2-pt layup from 1 ft (assist by M. Turner),0,2
9,1,10:54.0,H. Whiteside makes 2-pt hook shot from 14 ft (assist by R. McGruder),,2,2
10,1,10:43.0,,M. Turner makes 2-pt dunk at rim (assist by T. Young),2,4
11,1,10:17.0,D. Waiters makes 3-pt jump shot from 26 ft,,5,4
12,1,10:03.0,,M. Turner misses 2-pt layup from 1 ft,5,4
13,1,10:03.0,,Offensive rebound by M. Turner,5,4
14,1,10:03.0,,M. Turner misses 2-pt layup from 1 ft (block by J. Richardson),5,4
15,1,10:02.0,,Offensive rebound by Team,5,4
16,1,10:02.0,,Inbound foul by R. McGruder,5,4
17,1,10:02.0,,P. George makes free throw 1 of 1,5,5
18,1,9:55.0,,P. George misses 2-pt jump shot from 3 ft,5,5
19,1,9:54.0,,Offensive rebound by M. Turner,5,5
20,1,9:54.0,,M. Turner misses 2-pt layup from 1 ft,5,5
21,1,9:53.0,Defensive rebound by H. Whiteside,,5,5
22,1,9:53.0,Personal foul by T. Young (drawn by H. Whiteside),,5,5
23,1,9:46.0,Turnover by D. Waiters (lost ball; steal by P. George),,5,5
24,1,9:41.0,,T. Young makes 2-pt layup from 2 ft (assist by P. George),5,7
25,1,9:24.0,D. Waiters makes 3-pt jump shot from 26 ft (assist by R. McGruder),,8,7
26,1,9:11.0,,M. Turner misses 2-pt jump shot from 14 ft,8,7
27,1,9:11.0,Defensive rebound by D. Waiters,,8,7
28,1,8:48.0,J. Richardson misses 2-pt layup from 1 ft,,8,7
29,1,8:47.0,,Defensive rebound by J. Teague,8,7
30,1,8:41.0,,Shooting foul by J. Richardson (drawn by M. Turner),8,7
31,1,8:41.0,,M. Turner makes free throw 1 of 2,8,8
32,1,8:41.0,,M. Turner makes free throw 2 of 2,8,9
