,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MINNESOTA_ACTION,BROOKLYN_SCORE,MINNESOTA_SCORE
0,1,11:46.0,,K. Towns makes 2-pt jump shot from 18 ft (assist by A. Wiggins),0,2
1,1,11:33.0,Turnover by B. Lopez (lost ball; steal by G. Dieng),,0,2
2,1,11:27.0,,K. Towns misses 2-pt layup from 1 ft,0,2
3,1,11:25.0,Defensive rebound by B. Lopez,,0,2
4,1,11:21.0,Personal take foul by R. Rubio (drawn by R. Foye),,0,2
5,1,11:15.0,B. Lopez makes 2-pt layup from 1 ft (assist by T. Booker),,2,2
6,1,11:06.0,,A. Wiggins makes 2-pt layup from 1 ft (assist by K. Towns),2,4
7,1,11:06.0,,Shooting foul by T. Booker (drawn by A. Wiggins),2,4
8,1,11:06.0,,A. Wiggins makes free throw 1 of 1,2,5
9,1,10:50.0,S. Dinwiddie misses 2-pt jump shot from 13 ft,,2,5
10,1,10:49.0,,Defensive rebound by G. Dieng,2,5
11,1,10:36.0,,K. Towns misses 2-pt hook shot from 7 ft,2,5
12,1,10:35.0,Defensive rebound by T. Booker,,2,5
13,1,10:29.0,Turnover by T. Booker (lost ball; steal by Z. LaVine),,2,5
14,1,10:19.0,,G. Dieng makes 2-pt jump shot from 19 ft (assist by Z. LaVine),2,7
15,1,10:05.0,B. Lopez misses 2-pt jump shot from 12 ft,,2,7
16,1,10:04.0,,Defensive rebound by K. Towns,2,7
17,1,9:49.0,,Turnover by G. Dieng (3 sec),2,7
18,1,9:34.0,B. Lopez makes 3-pt jump shot from 24 ft (assist by S. Dinwiddie),,5,7
19,1,9:16.0,,A. Wiggins makes 2-pt jump shot from 17 ft,5,9
20,1,9:07.0,Turnover by R. Foye (bad pass; steal by R. Rubio),,5,9
21,1,9:04.0,Violation by R. Foye (def goaltending),,5,9
22,1,9:04.0,,R. Rubio makes 2-pt layup from 1 ft,5,11
23,1,8:56.0,Turnover by B. Bogdanović (traveling),,5,11
24,1,8:40.0,,R. Rubio misses 3-pt jump shot from 26 ft,5,11
25,1,8:39.0,Defensive rebound by B. Lopez,,5,11
26,1,8:21.0,R. Foye misses 3-pt jump shot from 23 ft (block by Z. LaVine),,5,11
27,1,8:20.0,,Defensive rebound by K. Towns,5,11
28,1,8:10.0,,K. Towns makes 2-pt jump shot from 18 ft (assist by R. Rubio),5,13
29,1,8:10.0,Brooklyn full timeout,,5,13
30,1,7:58.0,B. Lopez misses 2-pt hook shot from 8 ft,,5,13
31,1,7:57.0,,Defensive rebound by K. Towns,5,13
32,1,7:34.0,,G. Dieng misses 2-pt jump shot from 14 ft,5,13
33,1,7:33.0,Defensive rebound by T. Booker,,5,13
34,1,7:24.0,B. Bogdanović misses 2-pt layup from 3 ft (block by K. Towns),,5,13
35,1,7:23.0,Offensive rebound by Team,,5,13
36,1,7:23.0,Turnover by R. Foye (bad pass),,5,13
37,1,7:12.0,,Shooting foul by T. Booker (drawn by G. Dieng),5,13
38,1,7:12.0,,G. Dieng makes free throw 1 of 2,5,14
39,1,7:12.0,,G. Dieng makes free throw 2 of 2,5,15
40,1,7:02.0,B. Bogdanović misses 2-pt jump shot from 11 ft (block by K. Towns),,5,15
41,1,7:00.0,,Defensive rebound by Z. LaVine,5,15
42,1,6:55.0,,Shooting foul by S. Dinwiddie (drawn by K. Towns),5,15
43,1,6:55.0,,K. Towns misses free throw 1 of 2,5,15
44,1,6:55.0,,Offensive rebound by Team,5,15
45,1,6:55.0,S. Kilpatrick enters the game for S. Dinwiddie,,5,15
46,1,6:55.0,I. Whitehead enters the game for R. Foye,,5,15
47,1,6:55.0,C. LeVert enters the game for B. Bogdanović,,5,15
48,1,6:55.0,,K. Towns makes free throw 2 of 2,5,16
49,1,6:36.0,B. Lopez misses 3-pt jump shot from 25 ft,,5,16
50,1,6:35.0,,Defensive rebound by R. Rubio,5,16
51,1,6:21.0,,Z. LaVine makes 3-pt jump shot from 25 ft,5,19
52,1,6:14.0,B. Lopez makes 2-pt layup from 1 ft (assist by I. Whitehead),,7,19
53,1,5:57.0,,Z. LaVine misses 3-pt jump shot from 25 ft,7,19
54,1,5:56.0,Defensive rebound by T. Booker,,7,19
55,1,5:34.0,S. Kilpatrick misses 2-pt jump shot from 19 ft,,7,19
56,1,5:33.0,,Defensive rebound by K. Towns,7,19
57,1,5:27.0,Violation by C. LeVert (kicked ball),,7,19
58,1,5:27.0,R. Hollis-Jefferson enters the game for T. Booker,,7,19
59,1,5:23.0,,Turnover by K. Towns (bad pass; steal by B. Lopez),7,19
60,1,5:17.0,B. Lopez makes 3-pt jump shot from 25 ft (assist by I. Whitehead),,10,19
61,1,5:00.0,,Turnover by A. Wiggins (lost ball; steal by C. LeVert),10,19
62,1,4:57.0,Shooting foul by R. Rubio (drawn by I. Whitehead),,10,19
63,1,4:57.0,I. Whitehead makes free throw 1 of 2,,11,19
64,1,4:57.0,,K. Dunn enters the game for R. Rubio,11,19
65,1,4:57.0,,S. Muhammad enters the game for Z. LaVine,11,19
66,1,4:57.0,I. Whitehead makes free throw 2 of 2,,12,19
67,1,4:45.0,,K. Towns misses 2-pt jump shot from 11 ft,12,19
68,1,4:44.0,Defensive rebound by C. LeVert,,12,19
69,1,4:40.0,C. LeVert makes 2-pt jump shot from 16 ft,,14,19
70,1,4:20.0,,A. Wiggins misses 2-pt jump shot from 11 ft,14,19
71,1,4:18.0,Defensive rebound by B. Lopez,,14,19
72,1,4:12.0,S. Kilpatrick makes 2-pt jump shot from 4 ft,,16,19
73,1,3:58.0,,K. Dunn makes 2-pt jump shot from 21 ft,16,21
74,1,3:45.0,C. LeVert misses 2-pt jump shot from 12 ft,,16,21
75,1,3:44.0,,Defensive rebound by G. Dieng,16,21
76,1,3:41.0,,Turnover by G. Dieng (back court),16,21
77,1,3:41.0,J. Hamilton enters the game for B. Lopez,,16,21
78,1,3:32.0,J. Hamilton makes 2-pt jump shot from 13 ft (assist by I. Whitehead),,18,21
79,1,3:16.0,,S. Muhammad makes 3-pt jump shot from 25 ft (assist by K. Dunn),18,24
80,1,2:56.0,J. Hamilton misses 2-pt jump shot from 13 ft (block by K. Towns),,18,24
81,1,2:55.0,,Defensive rebound by G. Dieng,18,24
82,1,2:43.0,,A. Wiggins makes 2-pt jump shot from 5 ft (assist by K. Dunn),18,26
83,1,2:22.0,I. Whitehead makes 2-pt jump shot from 15 ft,,20,26
84,1,2:09.0,,K. Towns misses 2-pt jump shot from 13 ft,20,26
85,1,2:07.0,Defensive rebound by C. LeVert,,20,26
86,1,2:03.0,S. Kilpatrick misses 2-pt layup from 1 ft (block by A. Wiggins),,20,26
87,1,2:02.0,Offensive rebound by J. Hamilton,,20,26
88,1,2:02.0,J. Hamilton makes 2-pt layup from 1 ft,,22,26
89,1,1:37.0,,S. Muhammad makes 3-pt jump shot from 25 ft (assist by A. Wiggins),22,29
90,1,1:27.0,Turnover by I. Whitehead (bad pass; steal by K. Towns),,22,29
91,1,1:22.0,,Shooting foul by C. LeVert (drawn by S. Muhammad),22,29
92,1,1:22.0,,Minnesota full timeout,22,29
93,1,1:22.0,,S. Muhammad makes free throw 1 of 2,22,30
94,1,1:22.0,,N. Bjelica enters the game for G. Dieng,22,29
95,1,1:22.0,,S. Muhammad makes free throw 2 of 2,22,31
96,1,1:11.0,J. Hamilton makes 2-pt layup from 2 ft (assist by C. LeVert),,24,31
97,1,0:55.0,,A. Wiggins misses 2-pt jump shot from 16 ft,24,31
98,1,0:54.0,Defensive rebound by R. Hollis-Jefferson,,24,31
99,1,0:49.0,C. LeVert misses 2-pt jump shot from 24 ft,,24,31
100,1,0:47.0,,Defensive rebound by K. Towns,24,31
101,1,0:38.0,,K. Towns makes 2-pt layup from 1 ft (assist by N. Bjelica),24,33
102,1,0:29.0,I. Whitehead misses 2-pt jump shot from 16 ft,,24,33
103,1,0:27.0,,Defensive rebound by K. Dunn,24,33
104,1,0:07.0,,Turnover by A. Wiggins (bad pass; steal by I. Whitehead),24,33
105,1,0:03.0,S. Kilpatrick makes 2-pt dunk at rim (assist by I. Whitehead),,26,33
106,1,0:01.0,,S. Muhammad misses 3-pt jump shot from 25 ft,26,33
107,1,0:00.0,,Offensive rebound by Team,26,33
108,2,11:41.0,I. Whitehead misses 3-pt jump shot from 24 ft,,26,33
109,2,11:40.0,,Defensive rebound by Z. LaVine,26,33
110,2,11:26.0,,Z. LaVine misses 3-pt jump shot from 25 ft,26,33
111,2,11:25.0,Defensive rebound by I. Whitehead,,26,33
112,2,11:19.0,S. Kilpatrick misses 2-pt jump shot from 17 ft,,26,33
113,2,11:18.0,,Defensive rebound by Z. LaVine,26,33
114,2,11:12.0,,Turnover by K. Dunn (bad pass; steal by I. Whitehead),26,33
115,2,11:05.0,J. Hamilton makes 3-pt jump shot from 24 ft (assist by I. Whitehead),,29,33
116,2,10:46.0,,S. Muhammad misses 2-pt jump shot from 12 ft,29,33
117,2,10:44.0,,Offensive rebound by S. Muhammad,29,33
118,2,10:42.0,,Turnover by C. Aldrich (traveling),29,33
119,2,10:42.0,R. Foye enters the game for S. Kilpatrick,,29,33
120,2,10:42.0,B. Bogdanović enters the game for C. LeVert,,29,33
121,2,10:21.0,R. Foye misses 2-pt jump shot from 21 ft,,29,33
122,2,10:20.0,,Defensive rebound by K. Dunn,29,33
123,2,10:07.0,,C. Aldrich misses 2-pt hook shot from 9 ft,29,33
124,2,10:06.0,Defensive rebound by R. Hollis-Jefferson,,29,33
125,2,10:01.0,Shooting foul by C. Aldrich (drawn by I. Whitehead),,29,33
126,2,10:01.0,I. Whitehead makes free throw 1 of 2,,30,33
127,2,10:01.0,B. Lopez enters the game for J. Hamilton,,30,33
128,2,10:01.0,,G. Dieng enters the game for C. Aldrich,30,33
129,2,10:01.0,I. Whitehead makes free throw 2 of 2,,31,33
130,2,9:52.0,,Shooting foul by B. Lopez (drawn by Z. LaVine),31,33
131,2,9:52.0,,Z. LaVine makes free throw 1 of 2,31,34
132,2,9:52.0,,Z. LaVine misses free throw 2 of 2,31,34
133,2,9:52.0,Defensive rebound by R. Hollis-Jefferson,,31,34
134,2,9:41.0,R. Hollis-Jefferson misses 2-pt layup from 3 ft,,31,34
135,2,9:40.0,,Defensive rebound by Z. LaVine,31,34
136,2,9:36.0,Offensive charge foul by Z. LaVine (drawn by I. Whitehead),,31,34
137,2,9:36.0,,Turnover by Z. LaVine (offensive foul),31,34
138,2,9:25.0,Turnover by R. Foye (lost ball; steal by G. Dieng),,31,34
139,2,9:20.0,,S. Muhammad misses 2-pt layup from 2 ft (block by I. Whitehead),31,34
140,2,9:19.0,,Offensive rebound by Team,31,34
141,2,9:19.0,T. Booker enters the game for R. Hollis-Jefferson,,31,34
142,2,9:08.0,,Shooting foul by T. Booker (drawn by S. Muhammad),31,34
143,2,9:08.0,,S. Muhammad makes free throw 1 of 2,31,35
144,2,9:08.0,Q. Acy enters the game for T. Booker,,31,35
145,2,9:08.0,,S. Muhammad makes free throw 2 of 2,31,36
146,2,8:54.0,Turnover by B. Bogdanović (traveling),,31,36
147,2,8:54.0,,Minnesota full timeout,31,36
148,2,8:42.0,,Z. LaVine misses 2-pt jump shot from 18 ft,31,36
149,2,8:40.0,Defensive rebound by B. Bogdanović,,31,36
150,2,8:35.0,R. Foye makes 2-pt layup at rim,,33,36
151,2,8:21.0,,Def 3 sec tech foul by B. Lopez,33,36
152,2,8:21.0,,Z. LaVine makes technical free throw,33,37
153,2,8:07.0,,Z. LaVine makes 2-pt jump shot from 16 ft,33,39
154,2,7:48.0,I. Whitehead makes 2-pt jump shot from 4 ft,,35,39
155,2,7:36.0,,N. Bjelica misses 3-pt jump shot from 24 ft,35,39
156,2,7:33.0,,Offensive rebound by S. Muhammad,35,39
157,2,7:32.0,,S. Muhammad makes 2-pt layup from 2 ft,35,41
158,2,7:15.0,R. Foye makes 3-pt jump shot from 25 ft,,38,41
159,2,7:03.0,,G. Dieng makes 2-pt dunk at rim (assist by Z. LaVine),38,43
160,2,6:42.0,B. Bogdanović misses 2-pt jump shot from 22 ft,,38,43
161,2,6:39.0,,Defensive rebound by K. Dunn,38,43
162,2,6:28.0,,Personal foul by Q. Acy (drawn by K. Dunn),38,43
163,2,6:28.0,C. LeVert enters the game for B. Bogdanović,,38,43
164,2,6:28.0,S. Kilpatrick enters the game for R. Foye,,38,43
165,2,6:21.0,,S. Muhammad misses 2-pt jump shot from 6 ft (block by B. Lopez),38,43
166,2,6:19.0,,Offensive rebound by S. Muhammad,38,43
167,2,6:15.0,,Z. LaVine makes 3-pt jump shot from 24 ft (assist by K. Dunn),38,46
168,2,5:57.0,I. Whitehead misses 2-pt jump shot from 19 ft,,38,46
169,2,5:56.0,,Defensive rebound by Z. LaVine,38,46
170,2,5:50.0,,N. Bjelica misses 3-pt jump shot from 25 ft,38,46
171,2,5:48.0,Defensive rebound by B. Lopez,,38,46
172,2,5:31.0,Personal foul by G. Dieng (drawn by B. Lopez),,38,46
173,2,5:31.0,,Minnesota full timeout,38,46
174,2,5:31.0,,R. Rubio enters the game for K. Dunn,38,46
175,2,5:31.0,,A. Wiggins enters the game for S. Muhammad,38,46
176,2,5:31.0,,K. Towns enters the game for N. Bjelica,38,46
177,2,5:31.0,S. Dinwiddie enters the game for I. Whitehead,,38,46
178,2,5:23.0,Shooting foul by R. Rubio (drawn by S. Dinwiddie),,38,46
179,2,5:23.0,S. Dinwiddie misses free throw 1 of 2,,38,46
180,2,5:23.0,Offensive rebound by Team,,38,46
181,2,5:23.0,,K. Dunn enters the game for R. Rubio,38,46
182,2,5:23.0,S. Dinwiddie makes free throw 2 of 2,,39,46
183,2,5:14.0,,Z. LaVine makes 3-pt jump shot from 24 ft (assist by G. Dieng),39,49
184,2,4:55.0,Shooting block foul by G. Dieng (drawn by S. Kilpatrick),,39,49
185,2,4:55.0,S. Kilpatrick makes free throw 1 of 2,,40,49
186,2,4:55.0,S. Kilpatrick makes free throw 2 of 2,,41,49
187,2,4:47.0,,G. Dieng misses 2-pt jump shot from 19 ft,41,49
188,2,4:45.0,Defensive rebound by S. Dinwiddie,,41,49
189,2,4:37.0,Q. Acy makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie),,44,49
190,2,4:18.0,,A. Wiggins misses 2-pt jump shot from 10 ft,44,49
191,2,4:17.0,,Offensive rebound by G. Dieng,44,49
192,2,4:17.0,,G. Dieng misses 2-pt layup from 2 ft,44,49
193,2,4:16.0,,Offensive rebound by K. Towns,44,49
194,2,4:15.0,,K. Towns makes 2-pt layup from 1 ft,44,51
195,2,4:00.0,B. Lopez misses 3-pt jump shot from 25 ft,,44,51
196,2,3:59.0,,Defensive rebound by Team,44,51
197,2,3:46.0,,K. Towns makes 2-pt jump shot from 5 ft (assist by K. Dunn),44,53
198,2,3:28.0,Q. Acy makes 2-pt layup at rim (assist by S. Dinwiddie),,46,53
199,2,3:11.0,,Turnover by K. Towns (lost ball; steal by C. LeVert),46,53
200,2,2:55.0,Q. Acy misses 3-pt jump shot from 24 ft,,46,53
201,2,2:54.0,,Defensive rebound by K. Dunn,46,53
202,2,2:50.0,,K. Towns makes 2-pt dunk at rim (assist by A. Wiggins),46,55
203,2,2:47.0,Brooklyn full timeout,,46,55
204,2,2:47.0,J. Hamilton enters the game for B. Lopez,,46,55
205,2,2:36.0,C. LeVert makes 2-pt layup from 1 ft,,48,55
206,2,2:16.0,,K. Towns makes 2-pt hook shot from 6 ft,48,57
207,2,2:02.0,J. Hamilton misses 2-pt jump shot from 10 ft,,48,57
208,2,1:59.0,,Defensive rebound by G. Dieng,48,57
209,2,1:50.0,,A. Wiggins makes 2-pt jump shot from 13 ft (assist by K. Dunn),48,59
210,2,1:35.0,C. LeVert makes 3-pt jump shot from 25 ft,,51,59
211,2,1:17.0,,K. Towns misses 2-pt jump shot from 5 ft,51,59
212,2,1:16.0,Defensive rebound by J. Hamilton,,51,59
213,2,1:01.0,J. Hamilton misses 3-pt jump shot from 23 ft,,51,59
214,2,1:00.0,,Defensive rebound by K. Dunn,51,59
215,2,0:43.0,,A. Wiggins makes 2-pt jump shot from 17 ft (assist by K. Dunn),51,61
216,2,0:34.0,S. Dinwiddie makes 2-pt jump shot from 14 ft,,53,61
217,2,0:13.0,,K. Dunn misses 3-pt jump shot from 24 ft,53,61
218,2,0:11.0,Defensive rebound by S. Dinwiddie,,53,61
219,2,0:05.0,Personal foul by A. Wiggins (drawn by S. Dinwiddie),,53,61
220,2,0:05.0,S. Dinwiddie makes free throw 1 of 2,,54,61
221,2,0:05.0,R. Foye enters the game for S. Kilpatrick,,54,61
222,2,0:05.0,S. Dinwiddie makes free throw 2 of 2,,55,61
223,2,0:00.0,,Z. LaVine makes 2-pt jump shot from 19 ft,55,63
224,3,11:44.0,B. Lopez makes 2-pt layup from 1 ft,,57,63
225,3,11:44.0,Shooting foul by G. Dieng (drawn by B. Lopez),,57,63
226,3,11:44.0,B. Lopez makes free throw 1 of 1,,58,63
227,3,11:28.0,,K. Towns makes 2-pt jump shot from 8 ft (assist by G. Dieng),58,65
228,3,11:28.0,,Shooting foul by B. Lopez (drawn by K. Towns),58,65
229,3,11:28.0,,K. Towns makes free throw 1 of 1,58,66
230,3,11:10.0,B. Lopez makes 2-pt jump shot from 7 ft,,60,66
231,3,10:48.0,,A. Wiggins misses 2-pt jump shot from 20 ft,60,66
232,3,10:47.0,Defensive rebound by T. Booker,,60,66
233,3,10:38.0,T. Booker makes 2-pt layup from 1 ft (assist by R. Foye),,62,66
234,3,10:29.0,,K. Towns makes 2-pt dunk at rim (assist by R. Rubio),62,68
235,3,10:09.0,B. Lopez makes 3-pt jump shot from 24 ft (assist by S. Dinwiddie),,65,68
236,3,9:51.0,,A. Wiggins misses 2-pt jump shot from 21 ft,65,68
237,3,9:50.0,Defensive rebound by S. Dinwiddie,,65,68
238,3,9:42.0,S. Dinwiddie misses 2-pt layup from 1 ft,,65,68
239,3,9:40.0,,Defensive rebound by K. Towns,65,68
240,3,9:25.0,,G. Dieng makes 2-pt jump shot from 5 ft (assist by R. Rubio),65,70
241,3,8:58.0,R. Foye misses 2-pt jump shot from 19 ft,,65,70
242,3,8:57.0,,Defensive rebound by G. Dieng,65,70
243,3,8:53.0,,Z. LaVine makes 2-pt dunk at rim (assist by G. Dieng),65,72
244,3,8:36.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,65,72
245,3,8:34.0,Offensive rebound by T. Booker,,65,72
246,3,8:33.0,T. Booker makes 2-pt layup from 3 ft,,67,72
247,3,8:17.0,,Turnover by R. Rubio (bad pass; steal by S. Dinwiddie),67,72
248,3,8:13.0,T. Booker makes 2-pt dunk at rim (assist by S. Dinwiddie),,69,72
