,QUARTER,TIME_REMAINING,PHOENIX_ACTION,NEW ORLEANS_ACTION,PHOENIX_SCORE,NEW ORLEANS_SCORE
0,1,11:46.0,T. Chandler makes 2-pt dunk at rim (assist by J. Dudley),,2,0
1,1,11:28.0,,T. Jones makes 2-pt jump shot from 19 ft (assist by E. Moore),2,2
2,1,11:16.0,T. Warren makes 2-pt jump shot from 16 ft (assist by E. Bledsoe),,4,2
3,1,11:07.0,,T. Frazier misses 2-pt jump shot from 7 ft,4,2
4,1,11:06.0,Defensive rebound by T. Chandler,,4,2
5,1,10:59.0,J. Dudley makes 3-pt jump shot from 25 ft (assist by D. Booker),,7,2
6,1,10:41.0,,Personal foul by D. Booker (drawn by E. Moore),7,2
7,1,10:35.0,,T. Jones makes 2-pt jump shot from 21 ft (assist by S. Hill),7,4
8,1,10:23.0,Shooting foul by S. Hill (drawn by T. Warren),,7,4
9,1,10:23.0,T. Warren makes free throw 1 of 2,,8,4
10,1,10:23.0,T. Warren makes free throw 2 of 2,,9,4
11,1,10:04.0,,A. Davis makes 2-pt layup from 2 ft (assist by T. Jones),9,6
12,1,9:56.0,E. Bledsoe makes 2-pt layup from 1 ft,,11,6
13,1,9:29.0,,E. Moore misses 3-pt jump shot from 24 ft,11,6
14,1,9:28.0,Defensive rebound by E. Bledsoe,,11,6
15,1,9:11.0,D. Booker makes 2-pt jump shot from 13 ft,,13,6
16,1,9:10.0,,New Orleans full timeout,13,6
17,1,8:52.0,,T. Jones makes 3-pt jump shot from 25 ft (assist by E. Moore),13,9
18,1,8:39.0,,Offensive charge foul by E. Bledsoe (drawn by T. Jones),13,9
19,1,8:39.0,Turnover by E. Bledsoe (offensive foul),,13,9
20,1,8:31.0,,A. Davis makes 2-pt layup from 2 ft (assist by E. Moore),13,11
21,1,8:08.0,T. Warren makes 3-pt jump shot from 24 ft (assist by D. Booker),,16,11
22,1,7:56.0,,T. Jones misses 2-pt jump shot from 8 ft,16,11
23,1,7:55.0,Defensive rebound by T. Chandler,,16,11
24,1,7:46.0,,Violation by T. Jones (def goaltending),16,11
25,1,7:46.0,D. Booker makes 2-pt layup from 2 ft,,18,11
26,1,7:35.0,,Shooting foul by J. Dudley (drawn by A. Davis),18,11
27,1,7:35.0,,A. Davis misses free throw 1 of 2,18,11
28,1,7:35.0,,Offensive rebound by Team,18,11
29,1,7:35.0,,A. Davis misses free throw 2 of 2,18,11
30,1,7:33.0,Defensive rebound by T. Chandler,,18,11
31,1,7:16.0,E. Bledsoe makes 2-pt jump shot from 4 ft,,20,11
32,1,7:05.0,,T. Frazier makes 3-pt jump shot from 26 ft,20,14
33,1,6:45.0,E. Bledsoe misses 3-pt jump shot from 23 ft,,20,14
34,1,6:42.0,,Defensive rebound by E. Moore,20,14
35,1,6:35.0,,T. Jones makes 2-pt layup from 2 ft (assist by E. Moore),20,16
36,1,6:17.0,T. Chandler misses 2-pt layup from 2 ft (block by A. Davis),,20,16
37,1,6:15.0,,Defensive rebound by S. Hill,20,16
38,1,6:09.0,,S. Hill misses 2-pt layup from 1 ft,20,16
39,1,6:08.0,,Offensive rebound by A. Davis,20,16
40,1,6:08.0,Loose ball foul by J. Dudley (drawn by A. Davis),,20,16
41,1,6:08.0,P. Tucker enters the game for J. Dudley,,20,16
42,1,5:59.0,,T. Jones makes 2-pt hook shot from 7 ft (assist by T. Frazier),20,18
43,1,5:36.0,D. Booker makes 2-pt jump shot from 10 ft (assist by T. Chandler),,22,18
44,1,5:28.0,,Turnover by T. Frazier (bad pass; steal by P. Tucker),22,18
45,1,5:23.0,T. Warren misses 2-pt jump shot from 3 ft (block by T. Jones),,22,18
46,1,5:21.0,Offensive rebound by Team,,22,18
47,1,5:21.0,A. Len enters the game for T. Chandler,,22,18
48,1,5:21.0,B. Knight enters the game for E. Bledsoe,,22,18
49,1,5:19.0,T. Warren misses 2-pt jump shot from 7 ft,,22,18
50,1,5:18.0,,Defensive rebound by A. Davis,22,18
51,1,5:05.0,,T. Frazier makes 2-pt jump shot from 9 ft,22,20
52,1,4:52.0,A. Len misses 2-pt jump shot from 18 ft,,22,20
53,1,4:51.0,,Defensive rebound by T. Jones,22,20
54,1,4:41.0,,Turnover by E. Moore (bad pass; steal by B. Knight),22,20
55,1,4:39.0,D. Booker makes 2-pt layup from 2 ft (assist by B. Knight),,24,20
56,1,4:23.0,,E. Moore makes 3-pt jump shot from 23 ft (assist by A. Davis),24,23
57,1,4:13.0,Turnover by B. Knight (lost ball; steal by T. Frazier),,24,23
58,1,4:01.0,,T. Frazier makes 2-pt layup from 2 ft,24,25
59,1,3:59.0,Phoenix full timeout,,24,25
60,1,3:45.0,T. Warren misses 2-pt jump shot from 20 ft,,24,25
61,1,3:45.0,Offensive rebound by A. Len,,24,25
62,1,3:45.0,A. Len misses 2-pt layup from 2 ft,,24,25
63,1,3:44.0,,Defensive rebound by Team,24,25
64,1,3:36.0,,Shooting foul by A. Len (drawn by A. Davis),24,25
65,1,3:36.0,,A. Davis misses free throw 1 of 2,24,25
66,1,3:36.0,,Offensive rebound by Team,24,25
67,1,3:36.0,,A. Davis makes free throw 2 of 2,24,26
68,1,3:19.0,B. Knight misses 3-pt jump shot from 24 ft,,24,26
69,1,3:18.0,,Defensive rebound by T. Jones,24,26
70,1,3:13.0,,Turnover by T. Frazier (bad pass; steal by T. Warren),24,26
71,1,3:03.0,Personal foul by E. Moore (drawn by D. Booker),,24,26
72,1,3:03.0,,Ö. Aşık enters the game for T. Jones,24,26
73,1,2:53.0,P. Tucker makes 2-pt jump shot from 6 ft,,26,26
74,1,2:33.0,,Ö. Aşık misses 2-pt layup from 2 ft,26,26
75,1,2:27.0,,Offensive rebound by S. Hill,26,26
76,1,2:20.0,,S. Hill misses 2-pt jump shot from 13 ft,26,26
77,1,2:19.0,Defensive rebound by A. Len,,26,26
78,1,2:10.0,T. Warren misses 2-pt layup from 2 ft,,26,26
79,1,2:09.0,Offensive rebound by A. Len,,26,26
80,1,2:08.0,A. Len makes 2-pt layup from 3 ft,,28,26
81,1,1:55.0,,Personal foul by P. Tucker (drawn by A. Davis),28,26
82,1,1:55.0,,A. Davis makes free throw 1 of 2,28,27
83,1,1:55.0,,A. Davis misses free throw 2 of 2,28,27
84,1,1:53.0,Defensive rebound by A. Len,,28,27
85,1,1:42.0,Turnover by D. Booker (bad pass),,28,27
86,1,1:42.0,,B. Hield enters the game for E. Moore,28,27
87,1,1:42.0,,L. Galloway enters the game for T. Frazier,28,27
88,1,1:42.0,M. Chriss enters the game for T. Warren,,28,27
89,1,1:42.0,E. Bledsoe enters the game for D. Booker,,28,27
90,1,1:22.0,,B. Hield misses 3-pt jump shot from 26 ft,28,27
91,1,1:22.0,Defensive rebound by M. Chriss,,28,27
92,1,1:08.0,Offensive foul by A. Len (drawn by L. Galloway),,28,27
93,1,1:08.0,Turnover by A. Len (offensive foul),,28,27
94,1,0:54.0,,L. Galloway misses 2-pt jump shot from 21 ft,28,27
95,1,0:53.0,Defensive rebound by A. Len,,28,27
96,1,0:42.0,M. Chriss misses 2-pt layup from 2 ft (block by S. Hill),,28,27
97,1,0:42.0,Offensive rebound by Team,,28,27
98,1,0:42.0,,L. Stephenson enters the game for S. Hill,28,27
99,1,0:33.0,B. Knight makes 2-pt jump shot from 21 ft (assist by A. Len),,30,27
100,1,0:22.0,,Shooting foul by M. Chriss (drawn by A. Davis),30,27
101,1,0:22.0,,A. Davis makes free throw 1 of 2,30,28
102,1,0:22.0,,A. Davis makes free throw 2 of 2,30,29
103,1,0:05.0,Personal foul by Ö. Aşık (drawn by E. Bledsoe),,30,29
