,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,INDIANA_ACTION,LA CLIPPERS_SCORE,INDIANA_SCORE
0,1,11:49.0,Turnover by C. Paul (bad pass; steal by J. Teague),,0,0
1,1,11:44.0,,G. Robinson makes 2-pt dunk at rim (assist by J. Teague),0,2
2,1,11:28.0,J. Redick misses 2-pt jump shot from 19 ft,,0,2
3,1,11:27.0,,Defensive rebound by M. Turner,0,2
4,1,11:09.0,,M. Turner makes 2-pt jump shot from 20 ft (assist by M. Ellis),0,4
5,1,10:59.0,Shooting foul by G. Robinson (drawn by D. Jordan),,0,4
6,1,10:59.0,D. Jordan misses free throw 1 of 2,,0,4
7,1,10:59.0,Offensive rebound by Team,,0,4
8,1,10:59.0,D. Jordan makes free throw 2 of 2,,1,4
9,1,10:43.0,,M. Turner misses 2-pt jump shot from 19 ft,1,4
10,1,10:42.0,Defensive rebound by D. Jordan,,1,4
11,1,10:30.0,Shooting foul by M. Turner (drawn by L. Mbah a Moute),,1,4
12,1,10:30.0,L. Mbah a Moute makes free throw 1 of 2,,2,4
13,1,10:30.0,L. Mbah a Moute makes free throw 2 of 2,,3,4
14,1,10:24.0,,Turnover by J. Teague (bad pass; steal by C. Paul),3,4
15,1,10:21.0,L. Mbah a Moute makes 2-pt dunk at rim,,5,4
16,1,10:10.0,,G. Robinson makes 2-pt layup from 1 ft (assist by M. Turner),5,6
17,1,10:03.0,Turnover by B. Griffin (bad pass),,5,6
18,1,9:52.0,,M. Turner makes 2-pt jump shot from 17 ft (assist by J. Teague),5,8
19,1,9:35.0,B. Griffin misses 2-pt jump shot from 8 ft,,5,8
20,1,9:35.0,,Defensive rebound by M. Ellis,5,8
21,1,9:27.0,,M. Turner misses 2-pt layup from 2 ft (block by C. Paul),5,8
22,1,9:25.0,Defensive rebound by C. Paul,,5,8
23,1,9:23.0,Turnover by C. Paul (bad pass; steal by J. Teague),,5,8
24,1,9:17.0,,G. Robinson makes 2-pt jump shot from 5 ft (assist by J. Teague),5,10
25,1,9:02.0,Shooting foul by T. Young (drawn by J. Redick),,5,10
26,1,9:02.0,J. Redick makes free throw 1 of 2,,6,10
27,1,9:02.0,J. Redick makes free throw 2 of 2,,7,10
28,1,8:51.0,,M. Ellis misses 2-pt layup from 3 ft,7,10
29,1,8:51.0,,Offensive rebound by Team,7,10
30,1,8:51.0,Loose ball foul by C. Paul (drawn by J. Teague),,7,10
