,QUARTER,TIME_REMAINING,PORTLAND_ACTION,INDIANA_ACTION,PORTLAND_SCORE,INDIANA_SCORE
0,1,11:40.0,M. Harkless makes 2-pt layup from 2 ft (assist by D. Lillard),,2,0
1,1,11:20.0,,J. Teague makes 2-pt jump shot from 11 ft,2,2
2,1,11:00.0,C. McCollum misses 2-pt jump shot from 10 ft,,2,2
3,1,10:59.0,,Defensive rebound by P. George,2,2
4,1,10:49.0,,T. Young misses 2-pt jump shot from 4 ft (block by C. McCollum),2,2
5,1,10:47.0,Defensive rebound by D. Lillard,,2,2
6,1,10:44.0,M. Plumlee makes 2-pt layup from 2 ft (assist by D. Lillard),,4,2
7,1,10:36.0,,M. Turner makes 2-pt layup from 3 ft (assist by T. Young),4,4
8,1,10:16.0,D. Lillard makes 3-pt jump shot from 25 ft (assist by C. McCollum),,7,4
9,1,10:00.0,,T. Young makes 2-pt jump shot from 17 ft (assist by M. Ellis),7,6
10,1,9:46.0,Personal foul by M. Ellis (drawn by M. Harkless),,7,6
11,1,9:39.0,C. McCollum makes 2-pt jump shot from 18 ft,,9,6
12,1,9:16.0,,M. Ellis misses 3-pt jump shot from 26 ft,9,6
13,1,9:15.0,Defensive rebound by M. Plumlee,,9,6
14,1,9:03.0,D. Lillard misses 2-pt layup from 4 ft,,9,6
15,1,9:02.0,Offensive rebound by E. Davis,,9,6
16,1,9:00.0,E. Davis makes 2-pt layup from 3 ft,,11,6
17,1,8:46.0,,M. Ellis makes 2-pt jump shot from 7 ft (assist by J. Teague),11,8
18,1,8:23.0,Turnover by M. Plumlee (lost ball; steal by P. George),,11,8
19,1,8:16.0,,P. George misses 2-pt jump shot from 17 ft (block by C. McCollum),11,8
20,1,8:16.0,Defensive rebound by E. Davis,,11,8
21,1,8:08.0,,Violation by J. Teague (kicked ball),11,8
22,1,8:04.0,Shooting foul by P. George (drawn by C. McCollum),,11,8
23,1,8:04.0,C. McCollum makes free throw 1 of 3,,12,8
24,1,8:04.0,C. McCollum makes free throw 2 of 3,,13,8
25,1,8:04.0,C. McCollum makes free throw 3 of 3,,14,8
26,1,7:55.0,,Personal foul by M. Harkless (drawn by P. George),14,8
27,1,7:50.0,,M. Turner makes 2-pt layup from 3 ft (assist by P. George),14,10
28,1,7:33.0,M. Harkless misses 3-pt jump shot from 25 ft,,14,10
29,1,7:32.0,Offensive rebound by E. Davis,,14,10
30,1,7:31.0,Shooting foul by M. Turner (drawn by M. Plumlee),,14,10
31,1,7:31.0,M. Plumlee makes free throw 1 of 2,,15,10
32,1,7:31.0,M. Plumlee makes free throw 2 of 2,,16,10
33,1,7:14.0,,Shooting block foul by M. Plumlee (drawn by M. Ellis),16,10
34,1,7:14.0,,M. Ellis makes free throw 1 of 2,16,11
35,1,7:14.0,,M. Ellis misses free throw 2 of 2,16,11
36,1,7:14.0,Defensive rebound by M. Plumlee,,16,11
37,1,7:05.0,D. Lillard makes 2-pt layup from 3 ft,,18,11
38,1,6:46.0,,P. George misses 3-pt jump shot from 26 ft,18,11
39,1,6:46.0,Defensive rebound by M. Plumlee,,18,11
40,1,6:40.0,Shooting foul by J. Teague (drawn by D. Lillard),,18,11
41,1,6:40.0,D. Lillard makes free throw 1 of 3,,19,11
42,1,6:40.0,D. Lillard misses free throw 2 of 3,,19,11
43,1,6:40.0,Offensive rebound by Team,,19,11
44,1,6:40.0,D. Lillard makes free throw 3 of 3,,20,11
45,1,6:29.0,,M. Turner misses 2-pt jump shot from 19 ft,20,11
46,1,6:28.0,Defensive rebound by D. Lillard,,20,11
47,1,6:20.0,D. Lillard makes 3-pt jump shot from 26 ft,,23,11
48,1,6:08.0,,P. George misses 3-pt jump shot from 26 ft,23,11
49,1,6:08.0,Defensive rebound by E. Davis,,23,11
50,1,5:58.0,D. Lillard makes 3-pt jump shot from 23 ft (assist by C. McCollum),,26,11
51,1,5:57.0,,Indiana full timeout,26,11
52,1,5:46.0,,J. Teague makes 3-pt jump shot from 25 ft (assist by M. Ellis),26,14
53,1,5:32.0,D. Lillard makes 3-pt jump shot from 25 ft,,29,14
54,1,5:17.0,,T. Young makes 3-pt jump shot from 25 ft (assist by M. Ellis),29,17
55,1,5:02.0,Offensive foul by M. Plumlee (drawn by J. Teague),,29,17
56,1,5:02.0,Turnover by M. Plumlee (offensive foul),,29,17
57,1,5:02.0,,A. Jefferson enters the game for M. Turner,29,17
58,1,5:02.0,M. Leonard enters the game for M. Harkless,,29,17
59,1,5:02.0,A. Crabbe enters the game for M. Plumlee,,29,17
60,1,5:02.0,E. Turner enters the game for C. McCollum,,29,17
61,1,4:43.0,,J. Teague misses 2-pt jump shot from 5 ft,29,17
62,1,4:43.0,,Offensive rebound by A. Jefferson,29,17
63,1,4:41.0,,A. Jefferson makes 2-pt layup from 1 ft,29,19
64,1,4:21.0,E. Davis makes 2-pt jump shot from 5 ft (assist by A. Crabbe),,31,19
65,1,4:05.0,,P. George misses 2-pt jump shot from 12 ft,31,19
66,1,4:04.0,Defensive rebound by E. Turner,,31,19
67,1,3:56.0,M. Leonard misses 3-pt jump shot from 25 ft,,31,19
68,1,3:55.0,,Defensive rebound by A. Jefferson,31,19
69,1,3:51.0,,Shooting foul by A. Crabbe (drawn by M. Ellis),31,19
70,1,3:51.0,,M. Ellis makes free throw 1 of 2,31,20
71,1,3:51.0,,R. Stuckey enters the game for J. Teague,31,20
72,1,3:51.0,,M. Ellis makes free throw 2 of 2,31,21
73,1,3:34.0,E. Davis misses 2-pt layup from 2 ft,,31,21
74,1,3:33.0,,Defensive rebound by A. Jefferson,31,21
75,1,3:16.0,,T. Young misses 2-pt layup from 1 ft,31,21
76,1,3:15.0,,Offensive rebound by T. Young,31,21
77,1,3:12.0,,P. George misses 3-pt jump shot from 27 ft,31,21
78,1,3:11.0,Defensive rebound by M. Leonard,,31,21
79,1,3:01.0,E. Turner makes 3-pt jump shot from 24 ft (assist by D. Lillard),,34,21
80,1,2:38.0,,A. Jefferson misses 2-pt jump shot from 11 ft,34,21
81,1,2:38.0,Defensive rebound by E. Davis,,34,21
82,1,2:30.0,D. Lillard makes 3-pt jump shot from 27 ft,,37,21
83,1,2:11.0,,P. George makes 2-pt jump shot from 15 ft,37,23
84,1,1:56.0,A. Crabbe makes 3-pt jump shot from 27 ft (assist by D. Lillard),,40,23
85,1,1:36.0,,P. George makes 3-pt jump shot from 26 ft (assist by A. Jefferson),40,26
86,1,1:20.0,D. Lillard misses 3-pt jump shot from 26 ft,,40,26
87,1,1:20.0,,Defensive rebound by T. Young,40,26
88,1,1:05.0,,P. George misses 3-pt jump shot from 25 ft,40,26
89,1,1:05.0,Defensive rebound by M. Leonard,,40,26
90,1,0:55.0,D. Lillard misses 2-pt jump shot from 15 ft,,40,26
91,1,0:55.0,Offensive rebound by E. Davis,,40,26
92,1,0:51.0,E. Turner misses 3-pt jump shot from 25 ft,,40,26
93,1,0:50.0,,Defensive rebound by A. Jefferson,40,26
94,1,0:45.0,,M. Ellis makes 2-pt layup from 2 ft,40,28
95,1,0:45.0,,Shooting foul by A. Crabbe (drawn by M. Ellis),40,28
96,1,0:45.0,Portland full timeout,,40,28
97,1,0:45.0,,C. Miles enters the game for P. George,40,28
98,1,0:45.0,,G. Robinson enters the game for T. Young,40,28
99,1,0:45.0,N. Vonleh enters the game for E. Davis,,40,28
100,1,0:45.0,,M. Ellis makes free throw 1 of 1,40,29
101,1,0:35.0,N. Vonleh makes 2-pt dunk from 4 ft (assist by D. Lillard),,42,29
102,1,0:17.0,,A. Jefferson makes 2-pt jump shot from 11 ft (assist by C. Miles),42,31
103,1,0:02.0,D. Lillard misses 2-pt layup from 4 ft (block by A. Jefferson),,42,31
104,1,0:02.0,Offensive rebound by Team,,42,31
105,1,0:00.0,N. Vonleh makes 2-pt jump shot from 20 ft (assist by E. Turner),,44,31
106,2,11:49.0,,C. Miles misses 3-pt jump shot from 27 ft,44,31
107,2,11:49.0,Defensive rebound by A. Crabbe,,44,31
108,2,11:31.0,Shooting foul by A. Jefferson (drawn by N. Vonleh),,44,31
109,2,11:31.0,N. Vonleh makes free throw 1 of 2,,45,31
110,2,11:31.0,N. Vonleh makes free throw 2 of 2,,46,31
111,2,11:08.0,,A. Jefferson misses 2-pt jump shot from 12 ft,46,31
112,2,11:08.0,Defensive rebound by N. Vonleh,,46,31
113,2,10:58.0,C. McCollum misses 2-pt jump shot from 19 ft,,46,31
114,2,10:57.0,,Defensive rebound by C. Miles,46,31
115,2,10:40.0,,C. Miles misses 2-pt jump shot from 7 ft,46,31
116,2,10:40.0,,Offensive rebound by A. Jefferson,46,31
117,2,10:38.0,,A. Jefferson makes 2-pt layup from 2 ft,46,33
118,2,10:19.0,M. Leonard makes 2-pt jump shot from 15 ft (assist by A. Crabbe),,48,33
119,2,10:10.0,,A. Brooks makes 2-pt jump shot from 11 ft,48,35
120,2,10:10.0,,Shooting foul by N. Vonleh (drawn by A. Brooks),48,35
121,2,10:10.0,,A. Brooks makes free throw 1 of 1,48,36
122,2,9:53.0,Turnover by M. Leonard (lost ball; steal by C. Miles),,48,36
123,2,9:47.0,,R. Stuckey makes 2-pt layup from 3 ft,48,38
124,2,9:38.0,C. McCollum misses 2-pt jump shot from 6 ft,,48,38
125,2,9:37.0,Offensive rebound by N. Vonleh,,48,38
126,2,9:21.0,M. Leonard makes 2-pt dunk from 2 ft (assist by E. Turner),,50,38
127,2,9:12.0,,Turnover by G. Robinson (bad pass; steal by E. Turner),50,38
128,2,9:08.0,E. Turner makes 2-pt dunk from 2 ft,,52,38
129,2,9:00.0,,Indiana full timeout,52,38
130,2,8:49.0,,A. Jefferson misses 2-pt jump shot from 15 ft,52,38
131,2,8:48.0,Defensive rebound by E. Turner,,52,38
132,2,8:39.0,A. Crabbe makes 3-pt jump shot from 23 ft (assist by C. McCollum),,55,38
133,2,8:26.0,,A. Brooks misses 3-pt jump shot from 26 ft,55,38
134,2,8:25.0,Defensive rebound by C. McCollum,,55,38
135,2,8:08.0,C. McCollum makes 3-pt jump shot from 25 ft (assist by A. Crabbe),,58,38
136,2,7:49.0,,G. Robinson makes 3-pt jump shot from 26 ft (assist by C. Miles),58,41
