,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,OKLAHOMA CITY_ACTION,LA LAKERS_SCORE,OKLAHOMA CITY_SCORE
0,1,11:43.0,,Shooting foul by N. Young (drawn by S. Adams),0,0
1,1,11:43.0,,S. Adams makes free throw 1 of 2,0,1
2,1,11:43.0,,S. Adams makes free throw 2 of 2,0,2
3,1,11:23.0,J. Randle makes 2-pt jump shot from 4 ft,,2,2
4,1,11:23.0,Shooting foul by D. Sabonis (drawn by J. Randle),,2,2
5,1,11:23.0,J. Randle makes free throw 1 of 1,,3,2
6,1,11:11.0,,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),3,4
7,1,10:55.0,J. Randle makes 2-pt layup from 2 ft (assist by D. Russell),,5,4
8,1,10:43.0,,V. Oladipo misses 2-pt jump shot from 12 ft,5,4
9,1,10:43.0,,Offensive rebound by Team,5,4
10,1,10:43.0,Loose ball foul by T. Mozgov (drawn by S. Adams),,5,4
11,1,10:33.0,,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),5,6
12,1,10:09.0,N. Young misses 3-pt jump shot from 26 ft,,5,6
13,1,10:09.0,Offensive rebound by D. Russell,,5,6
14,1,9:56.0,D. Russell misses 2-pt jump shot from 6 ft,,5,6
15,1,9:55.0,Offensive rebound by T. Mozgov,,5,6
16,1,9:47.0,D. Russell makes 3-pt jump shot from 24 ft (assist by J. Randle),,8,6
17,1,9:22.0,,R. Westbrook makes 2-pt jump shot from 16 ft,8,8
18,1,9:12.0,J. Randle makes 2-pt jump shot from 4 ft,,10,8
19,1,9:12.0,Shooting foul by D. Sabonis (drawn by J. Randle),,10,8
20,1,9:12.0,,E. İlyasova enters the game for D. Sabonis,10,8
21,1,9:12.0,J. Randle makes free throw 1 of 1,,11,8
22,1,9:01.0,,V. Oladipo misses 2-pt layup from 2 ft,11,8
23,1,9:01.0,Defensive rebound by Team,,11,8
24,1,8:49.0,L. Deng misses 3-pt jump shot from 24 ft,,11,8
25,1,8:47.0,,Defensive rebound by R. Westbrook,11,8
26,1,8:35.0,,R. Westbrook misses 2-pt jump shot from 12 ft,11,8
27,1,8:35.0,Defensive rebound by D. Russell,,11,8
28,1,8:26.0,D. Russell makes 3-pt jump shot from 24 ft (assist by J. Randle),,14,8
29,1,8:15.0,,R. Westbrook misses 2-pt jump shot from 12 ft,14,8
30,1,8:14.0,,Offensive rebound by S. Adams,14,8
31,1,8:11.0,,Turnover by S. Adams (lost ball; steal by D. Russell),14,8
32,1,8:03.0,T. Mozgov makes 2-pt dunk at rim (assist by L. Deng),,16,8
33,1,8:02.0,,Oklahoma City full timeout,16,8
34,1,7:47.0,,A. Roberson misses 3-pt jump shot from 22 ft,16,8
35,1,7:47.0,Defensive rebound by Team,,16,8
36,1,7:32.0,Turnover by L. Deng (bad pass; steal by A. Roberson),,16,8
37,1,7:24.0,,V. Oladipo makes 3-pt jump shot from 25 ft (assist by R. Westbrook),16,11
38,1,7:13.0,Turnover by T. Mozgov (lost ball),,16,11
39,1,6:58.0,,A. Roberson makes 2-pt layup from 1 ft (assist by S. Adams),16,13
40,1,6:38.0,N. Young misses 3-pt jump shot from 23 ft,,16,13
41,1,6:38.0,,Defensive rebound by S. Adams,16,13
42,1,6:32.0,,R. Westbrook makes 3-pt jump shot from 25 ft,16,16
43,1,6:09.0,N. Young misses 3-pt jump shot from 23 ft,,16,16
44,1,6:08.0,,Defensive rebound by Team,16,16
45,1,5:53.0,,V. Oladipo misses 3-pt jump shot from 23 ft,16,16
46,1,5:52.0,Defensive rebound by Team,,16,16
47,1,5:52.0,,Loose ball foul by S. Adams (drawn by T. Mozgov),16,16
48,1,5:52.0,J. Clarkson enters the game for N. Young,,16,16
49,1,5:33.0,J. Randle misses 2-pt jump shot from 8 ft,,16,16
50,1,5:32.0,,Defensive rebound by Team,16,16
51,1,5:17.0,,S. Adams misses 2-pt jump shot from 8 ft,16,16
52,1,5:17.0,,Offensive rebound by R. Westbrook,16,16
53,1,5:15.0,,R. Westbrook misses 2-pt layup from 2 ft (block by L. Deng),16,16
54,1,5:14.0,Defensive rebound by J. Clarkson,,16,16
55,1,5:04.0,J. Randle makes 2-pt layup from 2 ft (assist by J. Clarkson),,18,16
56,1,4:58.0,,S. Adams misses 2-pt layup from 3 ft (block by T. Mozgov),18,16
57,1,4:58.0,,Offensive rebound by Team,18,16
58,1,4:58.0,,E. Freedom enters the game for S. Adams,18,16
59,1,4:58.0,B. Ingram enters the game for J. Randle,,18,16
60,1,4:58.0,L. Nance enters the game for T. Mozgov,,18,16
61,1,4:45.0,,V. Oladipo makes 2-pt layup from 1 ft,18,18
62,1,4:35.0,D. Russell misses 2-pt layup from 1 ft (block by R. Westbrook),,18,18
63,1,4:34.0,,Defensive rebound by E. İlyasova,18,18
64,1,4:30.0,,E. Freedom makes 2-pt dunk at rim (assist by R. Westbrook),18,20
65,1,4:23.0,LA Lakers full timeout,,18,20
66,1,4:23.0,,K. Singler enters the game for V. Oladipo,18,20
67,1,4:13.0,L. Nance misses 2-pt jump shot from 3 ft,,18,20
68,1,4:13.0,,Defensive rebound by E. İlyasova,18,20
69,1,4:08.0,,E. Freedom makes 2-pt layup from 1 ft (assist by R. Westbrook),18,22
70,1,3:54.0,J. Clarkson misses 2-pt jump shot from 15 ft,,18,22
71,1,3:52.0,,Defensive rebound by E. Freedom,18,22
72,1,3:43.0,,Personal foul by D. Russell (drawn by R. Westbrook),18,22
73,1,3:43.0,L. Williams enters the game for D. Russell,,18,22
74,1,3:43.0,M. World Peace enters the game for L. Deng,,18,22
75,1,3:39.0,,Def 3 sec tech foul by B. Ingram,18,22
76,1,3:39.0,,R. Westbrook makes technical free throw,18,23
77,1,3:31.0,,R. Westbrook misses 2-pt jump shot from 14 ft,18,23
78,1,3:30.0,Defensive rebound by Team,,18,23
79,1,3:15.0,J. Clarkson makes 2-pt layup from 2 ft (assist by L. Williams),,20,23
80,1,3:07.0,,Personal foul by B. Ingram (drawn by E. Freedom),20,23
81,1,3:07.0,,S. Christon enters the game for R. Westbrook,20,23
82,1,2:50.0,,E. Freedom makes 2-pt jump shot from 9 ft,20,25
83,1,2:38.0,M. World Peace misses 3-pt jump shot from 25 ft,,20,25
84,1,2:38.0,,Defensive rebound by A. Roberson,20,25
85,1,2:29.0,,E. İlyasova misses 3-pt jump shot from 24 ft,20,25
86,1,2:29.0,Defensive rebound by L. Nance,,20,25
87,1,2:21.0,L. Williams makes 2-pt jump shot from 9 ft,,22,25
88,1,2:08.0,,S. Christon makes 3-pt jump shot from 22 ft (assist by A. Roberson),22,28
89,1,1:48.0,J. Clarkson misses 2-pt jump shot from 7 ft,,22,28
90,1,1:48.0,,Defensive rebound by A. Roberson,22,28
91,1,1:38.0,,E. İlyasova misses 3-pt jump shot from 23 ft,22,28
92,1,1:37.0,,Offensive rebound by Team,22,28
93,1,1:36.0,,V. Oladipo enters the game for A. Roberson,22,28
94,1,1:25.0,,E. Freedom makes 2-pt layup from 2 ft,22,30
95,1,1:23.0,LA Lakers full timeout,,22,30
96,1,1:12.0,L. Williams misses 3-pt jump shot from 25 ft,,22,30
97,1,1:10.0,Offensive rebound by L. Nance,,22,30
98,1,1:06.0,M. World Peace misses 2-pt layup from 2 ft,,22,30
99,1,1:06.0,,Defensive rebound by E. İlyasova,22,30
100,1,0:53.0,,Turnover by K. Singler (bad pass; steal by M. World Peace),22,30
101,1,0:48.0,Turnover by L. Williams (bad pass; steal by S. Christon),,22,30
102,1,0:45.0,,Turnover by S. Christon (bad pass; steal by J. Clarkson),22,30
103,1,0:40.0,B. Ingram misses 3-pt jump shot from 24 ft,,22,30
104,1,0:39.0,Offensive rebound by Team,,22,30
105,1,0:37.0,J. Clarkson makes 2-pt jump shot from 16 ft (assist by B. Ingram),,24,30
106,1,0:22.0,,Turnover by E. Freedom (lost ball; steal by L. Nance),24,30
107,1,0:17.0,Turnover by B. Ingram (bad pass),,24,30
108,1,0:03.0,,S. Christon misses 2-pt jump shot from 16 ft,24,30
109,1,0:02.0,Defensive rebound by L. Williams,,24,30
110,2,11:46.0,Personal foul by K. Singler (drawn by B. Ingram),,24,30
111,2,11:39.0,B. Ingram misses 2-pt jump shot from 10 ft,,24,30
112,2,11:39.0,,Defensive rebound by Team,24,30
113,2,11:39.0,Loose ball foul by T. Black (drawn by E. Freedom),,24,30
