,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,BOSTON_ACTION,SACRAMENTO_SCORE,BOSTON_SCORE
0,1,11:42.0,A. Afflalo misses 2-pt jump shot from 16 ft,,0,0
1,1,11:41.0,,Defensive rebound by A. Horford,0,0
2,1,11:27.0,,I. Thomas misses 3-pt jump shot from 24 ft,0,0
3,1,11:26.0,Defensive rebound by D. Cousins,,0,0
4,1,11:11.0,Shooting foul by A. Johnson (drawn by D. Cousins),,0,0
5,1,11:11.0,D. Cousins makes free throw 1 of 2,,1,0
6,1,11:11.0,D. Cousins makes free throw 2 of 2,,2,0
7,1,11:02.0,,Personal foul by D. Cousins (drawn by J. Crowder),2,0
8,1,10:53.0,,A. Bradley misses 2-pt jump shot from 15 ft,2,0
9,1,10:52.0,Defensive rebound by D. Cousins,,2,0
10,1,10:37.0,R. Gay misses 3-pt jump shot from 24 ft,,2,0
11,1,10:35.0,,Defensive rebound by A. Horford,2,0
12,1,10:20.0,,A. Horford makes 3-pt jump shot from 25 ft (assist by A. Bradley),2,3
13,1,9:59.0,D. Cousins misses 3-pt jump shot from 25 ft,,2,3
14,1,9:58.0,,Defensive rebound by A. Bradley,2,3
15,1,9:40.0,,A. Bradley makes 3-pt jump shot from 26 ft (assist by A. Johnson),2,6
16,1,9:25.0,Turnover by R. Gay (lost ball; steal by J. Crowder),,2,6
17,1,9:20.0,,I. Thomas makes 2-pt layup at rim,2,8
18,1,9:02.0,D. Cousins misses 2-pt layup from 2 ft (block by A. Horford),,2,8
19,1,9:01.0,Offensive rebound by Team,,2,8
20,1,8:57.0,D. Collison makes 3-pt jump shot from 23 ft (assist by R. Gay),,5,8
21,1,8:42.0,,A. Horford misses 3-pt jump shot from 26 ft,5,8
22,1,8:41.0,Defensive rebound by A. Afflalo,,5,8
23,1,8:27.0,Turnover by K. Koufos (traveling),,5,8
24,1,8:14.0,,J. Crowder makes 3-pt jump shot from 23 ft (assist by A. Horford),5,11
25,1,7:58.0,Personal foul by I. Thomas (drawn by D. Collison),,5,11
26,1,7:50.0,A. Afflalo makes 2-pt layup from 1 ft (assist by D. Cousins),,7,11
27,1,7:29.0,,A. Horford makes 2-pt hook shot from 9 ft,7,13
28,1,7:08.0,R. Gay makes 2-pt jump shot from 11 ft,,9,13
29,1,6:50.0,,I. Thomas misses 2-pt jump shot from 8 ft,9,13
30,1,6:49.0,,Offensive rebound by A. Johnson,9,13
31,1,6:46.0,,I. Thomas makes 2-pt jump shot from 20 ft (assist by A. Johnson),9,15
32,1,6:32.0,D. Cousins misses 2-pt dunk at rim (block by A. Johnson),,9,15
33,1,6:31.0,Offensive rebound by A. Afflalo,,9,15
34,1,6:30.0,A. Afflalo makes 2-pt layup from 1 ft,,11,15
35,1,6:19.0,,A. Horford makes 3-pt jump shot from 25 ft (assist by I. Thomas),11,18
36,1,6:10.0,Sacramento full timeout,,11,18
37,1,6:10.0,M. Barnes enters the game for K. Koufos,,11,18
38,1,5:51.0,R. Gay misses 3-pt jump shot from 23 ft,,11,18
39,1,5:50.0,,Defensive rebound by Team,11,18
40,1,5:33.0,,A. Bradley makes 2-pt jump shot from 5 ft (assist by A. Horford),11,20
41,1,5:21.0,D. Cousins misses 2-pt jump shot from 21 ft,,11,20
42,1,5:20.0,,Defensive rebound by A. Bradley,11,20
43,1,5:08.0,,J. Crowder makes 2-pt jump shot from 14 ft (assist by I. Thomas),11,22
44,1,4:49.0,Personal block foul by A. Johnson (drawn by D. Cousins),,11,22
45,1,4:49.0,T. Lawson enters the game for A. Afflalo,,11,22
46,1,4:49.0,G. Temple enters the game for D. Collison,,11,22
47,1,4:49.0,,T. Zeller enters the game for A. Johnson,11,22
48,1,4:40.0,R. Gay misses 2-pt jump shot from 18 ft,,11,22
49,1,4:39.0,,Defensive rebound by I. Thomas,11,22
50,1,4:26.0,,A. Horford makes 2-pt layup from 2 ft (assist by I. Thomas),11,24
51,1,4:10.0,D. Cousins makes 3-pt jump shot from 24 ft (assist by T. Lawson),,14,24
52,1,3:53.0,,A. Horford makes 2-pt jump shot from 19 ft (assist by J. Crowder),14,26
53,1,3:39.0,R. Gay makes 2-pt dunk at rim,,16,26
54,1,3:13.0,,A. Bradley makes 3-pt jump shot from 26 ft (assist by I. Thomas),16,29
55,1,2:56.0,M. Barnes makes 3-pt jump shot from 26 ft (assist by R. Gay),,19,29
56,1,2:43.0,,A. Horford misses 2-pt jump shot from 15 ft,19,29
57,1,2:41.0,,Offensive rebound by T. Zeller,19,29
58,1,2:41.0,,T. Zeller misses 2-pt layup at rim,19,29
59,1,2:40.0,,Offensive rebound by A. Bradley,19,29
60,1,2:36.0,,I. Thomas misses 3-pt jump shot from 26 ft,19,29
61,1,2:35.0,Defensive rebound by D. Cousins,,19,29
62,1,2:23.0,T. Lawson misses 3-pt jump shot from 25 ft,,19,29
63,1,2:23.0,Offensive rebound by M. Barnes,,19,29
64,1,2:21.0,M. Barnes misses 2-pt layup from 1 ft,,19,29
65,1,2:20.0,Offensive rebound by M. Barnes,,19,29
66,1,2:20.0,M. Barnes misses 2-pt layup from 2 ft,,19,29
67,1,2:20.0,,Defensive rebound by Team,19,29
68,1,2:20.0,,Boston full timeout,19,29
69,1,2:20.0,O. Casspi enters the game for R. Gay,,19,29
70,1,2:20.0,,M. Smart enters the game for J. Crowder,19,29
71,1,2:20.0,,J. Brown enters the game for A. Horford,19,29
72,1,2:20.0,,K. Olynyk enters the game for A. Bradley,19,29
73,1,1:56.0,,Turnover by Team (shot clock),19,29
74,1,1:43.0,D. Cousins makes 2-pt layup from 1 ft (assist by M. Barnes),,21,29
75,1,1:40.0,,Turnover by T. Zeller (bad pass; steal by T. Lawson),21,29
76,1,1:38.0,T. Lawson makes 2-pt layup at rim,,23,29
77,1,1:22.0,,I. Thomas misses 2-pt layup from 2 ft (block by D. Cousins),23,29
78,1,1:21.0,Defensive rebound by M. Barnes,,23,29
79,1,1:15.0,O. Casspi makes 3-pt jump shot from 26 ft (assist by M. Barnes),,26,29
80,1,1:00.0,,J. Brown misses 2-pt jump shot from 6 ft (block by G. Temple),26,29
81,1,0:59.0,Defensive rebound by M. Barnes,,26,29
82,1,0:42.0,Shooting foul by I. Thomas (drawn by M. Barnes),,26,29
83,1,0:42.0,M. Barnes makes free throw 1 of 2,,27,29
84,1,0:42.0,M. Barnes misses free throw 2 of 2,,27,29
85,1,0:42.0,,Defensive rebound by J. Jerebko,27,29
86,1,0:42.0,,T. Rozier enters the game for I. Thomas,27,29
87,1,0:42.0,,J. Jerebko enters the game for T. Zeller,27,29
88,1,0:20.0,,Turnover by T. Rozier (bad pass; steal by M. Barnes),27,29
89,1,0:16.0,G. Temple misses 2-pt layup from 1 ft,,27,29
90,1,0:15.0,Offensive rebound by T. Lawson,,27,29
91,1,0:14.0,Shooting foul by J. Brown (drawn by T. Lawson),,27,29
92,1,0:14.0,T. Lawson makes free throw 1 of 2,,28,29
93,1,0:14.0,R. Gay enters the game for D. Cousins,,28,29
94,1,0:14.0,T. Lawson makes free throw 2 of 2,,29,29
95,1,0:02.0,,T. Rozier misses 3-pt jump shot from 25 ft,29,29
96,1,0:01.0,Defensive rebound by R. Gay,,29,29
97,1,0:01.0,R. Gay misses 3-pt jump shot from 79 ft,,29,29
98,1,0:00.0,Offensive rebound by Team,,29,29
99,2,11:37.0,,T. Rozier misses 2-pt jump shot from 17 ft,29,29
100,2,11:36.0,,Offensive rebound by Team,29,29
