,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,SACRAMENTO_ACTION,SAN ANTONIO_SCORE,SACRAMENTO_SCORE
0,1,11:38.0,,D. Cousins misses 2-pt jump shot from 17 ft,0,0
1,1,11:38.0,Defensive rebound by L. Aldridge,,0,0
2,1,11:26.0,Turnover by K. Anderson (bad pass; steal by A. Afflalo),,0,0
3,1,11:22.0,,A. Afflalo misses 2-pt layup from 2 ft (block by K. Anderson),0,0
4,1,11:22.0,,Offensive rebound by Team,0,0
5,1,11:11.0,,D. Cousins makes 2-pt layup from 3 ft,0,2
6,1,10:53.0,K. Leonard misses 2-pt layup from 3 ft,,0,2
7,1,10:52.0,,Defensive rebound by D. Cousins,0,2
8,1,10:44.0,,T. Lawson makes 2-pt jump shot from 16 ft,0,4
9,1,10:19.0,P. Gasol misses 2-pt hook shot from 8 ft,,0,4
10,1,10:18.0,,Defensive rebound by K. Koufos,0,4
11,1,10:13.0,,Turnover by T. Lawson (bad pass; steal by K. Anderson),0,4
12,1,10:00.0,L. Aldridge misses 3-pt jump shot from 25 ft,,0,4
13,1,9:58.0,,Defensive rebound by A. Afflalo,0,4
14,1,9:44.0,,Offensive foul by K. Koufos (drawn by P. Gasol),0,4
15,1,9:44.0,,Turnover by K. Koufos (offensive foul),0,4
16,1,9:22.0,K. Leonard makes 2-pt jump shot from 8 ft,,2,4
17,1,9:06.0,,Turnover by K. Koufos (lost ball; steal by P. Gasol),2,4
18,1,8:54.0,T. Parker misses 2-pt jump shot from 19 ft,,2,4
19,1,8:54.0,,Defensive rebound by T. Lawson,2,4
20,1,8:50.0,,Shooting foul by K. Anderson (drawn by D. Cousins),2,4
21,1,8:50.0,,D. Cousins makes free throw 1 of 2,2,5
22,1,8:50.0,,D. Cousins makes free throw 2 of 2,2,6
23,1,8:42.0,Turnover by P. Gasol (bad pass; steal by R. Gay),,2,6
24,1,8:37.0,,K. Koufos makes 2-pt dunk at rim (assist by R. Gay),2,8
25,1,8:18.0,K. Leonard makes 2-pt jump shot from 13 ft,,4,8
26,1,8:01.0,,R. Gay makes 2-pt jump shot from 11 ft,4,10
27,1,7:50.0,Personal foul by R. Gay (drawn by K. Leonard),,4,10
28,1,7:38.0,K. Leonard misses 2-pt jump shot from 13 ft,,4,10
29,1,7:38.0,,Defensive rebound by D. Cousins,4,10
