,QUARTER,TIME_REMAINING,INDIANA_ACTION,BOSTON_ACTION,INDIANA_SCORE,BOSTON_SCORE
0,1,11:36.0,C. Miles misses 2-pt layup from 2 ft,,0,0
1,1,11:35.0,,Defensive rebound by J. Crowder,0,0
2,1,11:22.0,,Turnover by A. Bradley (lost ball; steal by C. Miles),0,0
3,1,11:13.0,J. Teague makes 2-pt jump shot from 5 ft,,2,0
4,1,10:51.0,,I. Thomas misses 2-pt layup at rim,2,0
5,1,10:50.0,,Offensive rebound by A. Horford,2,0
6,1,10:50.0,,A. Horford misses 2-pt layup from 1 ft (block by M. Turner),2,0
7,1,10:49.0,,Offensive rebound by Team,2,0
8,1,10:49.0,,Shooting foul by J. Teague (drawn by A. Horford),2,0
9,1,10:49.0,,A. Horford misses free throw 1 of 2,2,0
10,1,10:49.0,,Offensive rebound by Team,2,0
11,1,10:49.0,,A. Horford makes free throw 2 of 2,2,1
12,1,10:29.0,T. Young misses 2-pt hook shot from 7 ft,,2,1
13,1,10:28.0,,Defensive rebound by A. Horford,2,1
14,1,10:10.0,,A. Horford makes 2-pt jump shot from 10 ft,2,3
15,1,9:51.0,M. Turner misses 2-pt jump shot from 20 ft,,2,3
16,1,9:50.0,,Defensive rebound by A. Johnson,2,3
17,1,9:36.0,,I. Thomas makes 3-pt jump shot from 24 ft (assist by A. Horford),2,6
18,1,9:20.0,M. Turner makes 2-pt dunk at rim (assist by J. Teague),,4,6
19,1,9:06.0,,Turnover by A. Johnson (lost ball; steal by J. Teague),4,6
20,1,9:02.0,J. Teague makes 2-pt layup at rim,,6,6
21,1,8:35.0,,J. Crowder makes 2-pt jump shot from 21 ft,6,8
22,1,8:22.0,Shooting foul by A. Johnson (drawn by P. George),,6,8
23,1,8:22.0,P. George makes free throw 1 of 2,,7,8
24,1,8:22.0,P. George misses free throw 2 of 2,,7,8
25,1,8:22.0,,Defensive rebound by J. Crowder,7,8
26,1,8:01.0,,A. Bradley makes 2-pt layup from 1 ft (assist by A. Horford),7,10
27,1,7:50.0,P. George misses 2-pt jump shot from 16 ft,,7,10
28,1,7:49.0,,Defensive rebound by A. Bradley,7,10
29,1,7:43.0,,Personal foul by P. George (drawn by A. Johnson),7,10
30,1,7:31.0,,Turnover by A. Bradley (bad pass; steal by M. Turner),7,10
31,1,7:25.0,C. Miles makes 2-pt layup from 2 ft (assist by M. Turner),,9,10
32,1,7:09.0,,I. Thomas misses 2-pt jump shot from 19 ft,9,10
33,1,7:08.0,Defensive rebound by M. Turner,,9,10
34,1,7:01.0,J. Teague misses 3-pt jump shot from 25 ft,,9,10
35,1,7:00.0,,Defensive rebound by A. Horford,9,10
36,1,6:52.0,,A. Bradley misses 2-pt jump shot from 21 ft,9,10
37,1,6:51.0,Defensive rebound by M. Turner,,9,10
38,1,6:39.0,Shooting foul by A. Bradley (drawn by P. George),,9,10
39,1,6:39.0,P. George misses free throw 1 of 2,,9,10
40,1,6:39.0,Offensive rebound by Team,,9,10
41,1,6:39.0,P. George makes free throw 2 of 2,,10,10
42,1,6:29.0,,Offensive foul by A. Johnson (drawn by P. George),10,10
43,1,6:29.0,,Turnover by A. Johnson (offensive foul),10,10
44,1,6:18.0,J. Teague makes 3-pt jump shot from 26 ft (assist by C. Miles),,13,10
45,1,6:17.0,,Boston full timeout,13,10
46,1,5:55.0,,J. Crowder misses 3-pt jump shot from 25 ft,13,10
47,1,5:54.0,Defensive rebound by T. Young,,13,10
48,1,5:38.0,C. Miles misses 3-pt jump shot from 28 ft,,13,10
49,1,5:37.0,Offensive rebound by C. Miles,,13,10
50,1,5:30.0,Turnover by M. Turner (offensive foul),,13,10
51,1,5:30.0,Offensive foul by M. Turner (drawn by I. Thomas),,13,10
52,1,5:30.0,,T. Zeller enters the game for A. Horford,13,10
