,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,NEW ORLEANS_ACTION,LA LAKERS_SCORE,NEW ORLEANS_SCORE
0,1,11:45.0,,Turnover by A. Davis (bad pass; steal by L. Deng),0,0
1,1,11:27.0,J. Calderón misses 3-pt jump shot from 26 ft,,0,0
2,1,11:26.0,,Defensive rebound by Ö. Aşık,0,0
3,1,11:17.0,,A. Davis makes 2-pt jump shot from 15 ft (assist by J. Holiday),0,2
4,1,11:04.0,,Violation by Ö. Aşık (kicked ball),0,2
5,1,10:58.0,T. Mozgov makes 2-pt dunk at rim (assist by J. Calderón),,2,2
6,1,10:41.0,,Ö. Aşık makes 2-pt layup from 2 ft (assist by A. Davis),2,4
7,1,10:21.0,Turnover by J. Randle (bad pass; steal by Ö. Aşık),,2,4
8,1,10:18.0,,T. Frazier makes 2-pt layup from 1 ft (assist by Ö. Aşık),2,6
9,1,10:10.0,LA Lakers full timeout,,2,6
10,1,10:10.0,J. Clarkson enters the game for N. Young,,2,6
11,1,9:58.0,J. Calderón misses 3-pt jump shot from 23 ft,,2,6
12,1,9:56.0,,Defensive rebound by A. Davis,2,6
13,1,9:42.0,,Ö. Aşık makes 2-pt dunk at rim (assist by J. Holiday),2,8
14,1,9:28.0,Turnover by J. Calderón (bad pass; steal by A. Davis),,2,8
15,1,9:22.0,,T. Frazier makes 2-pt layup from 2 ft (assist by A. Davis),2,10
16,1,9:06.0,J. Randle makes 2-pt jump shot from 22 ft (assist by L. Deng),,4,10
17,1,8:58.0,,Ö. Aşık misses 2-pt layup from 2 ft,4,10
18,1,8:57.0,Defensive rebound by T. Mozgov,,4,10
19,1,8:48.0,J. Calderón misses 3-pt jump shot from 25 ft,,4,10
20,1,8:47.0,,Defensive rebound by Ö. Aşık,4,10
21,1,8:39.0,,Turnover by J. Holiday (bad pass; steal by J. Clarkson),4,10
22,1,8:38.0,J. Clarkson makes 2-pt layup from 2 ft,,6,10
23,1,8:28.0,,J. Holiday makes 3-pt jump shot from 25 ft (assist by T. Frazier),6,13
24,1,8:03.0,J. Randle makes 2-pt jump shot from 20 ft (assist by J. Calderón),,8,13
25,1,7:48.0,,A. Davis misses 2-pt jump shot from 20 ft,8,13
26,1,7:47.0,,Offensive rebound by Ö. Aşık,8,13
27,1,7:44.0,,Shooting foul by J. Randle (drawn by A. Davis),8,13
28,1,7:44.0,,A. Davis makes free throw 1 of 2,8,14
29,1,7:44.0,,A. Davis makes free throw 2 of 2,8,15
30,1,7:27.0,T. Mozgov misses 2-pt jump shot from 3 ft,,8,15
31,1,7:26.0,,Defensive rebound by Ö. Aşık,8,15
32,1,7:13.0,,J. Holiday makes 3-pt jump shot from 27 ft (assist by T. Frazier),8,18
33,1,7:00.0,J. Randle misses 3-pt jump shot from 25 ft,,8,18
34,1,6:59.0,,Defensive rebound by J. Holiday,8,18
35,1,6:46.0,,S. Hill misses 3-pt jump shot from 23 ft,8,18
36,1,6:45.0,Defensive rebound by J. Clarkson,,8,18
